locality,county,fips
Abingdon,Washington County,51191
Accomac,Accomack County,51001
Alberta,Brunswick County,51025
Altavista,Campbell County,51031
Amherst,Amherst County,51009
Appalachia,Wise County,51195
Appomattox,Appomattox,51009
Ashland,Hanover County,51085
Bedford,Bedford County,51019
Belle Haven,,#N/A
Berryville,Clarke County,51043
Big Stone Gap,Wise County,51195
Blacksburg,Montgomery County,51121
Blackstone,Nottoway County,51135
Bloxom,Accomack County,51001
Bluefield,Tazewell County,51185
Boones Mille,Franklin County,51067
Boyce,Clarke County,51043
Boydton,Mecklenburg County,51117
Boykins,Southampton County,51175
Branchville,Southampton County,51175
Bridgewater,Rockingham County,51165
Broadway,Rockingham County,51165
Brodnax,,#N/A
Brookneal,Campbell County,51031
Buchanan,Botetourt County,51023
Burkeville,Nottoway County,51135
Cape Charles,Northampton County,51131
Capron,Southampton County,51175
Cedar Bluff,Tazewell County,51185
Charlotte Court House,Charlotte County,51037
Chase City,Mecklenburg County,51117
Chatham,Pittsylvania County,51143
Cheriton,Northampton County,51131
Chilhowie,Smyth County,51173
Chincoteague,Accomack County,51001
Christiansburg,Montgomery County,51121
Claremont,Surry County,51181
Clarksville,Mecklenburg County,51117
Cleveland,Russell County,51167
Clifton,Fairfax County,51059
Clifton Forge,Alleghany County,51005
Clinchco,Dickenson County,51051
Clinchport,Scott County,51169
Clintwood,Dickenson County,51051
Coeburn,Wise County,51195
Colonial Beach,Westmoreland County,51193
Courtland,Southampton County,51175
Craigsville,Augusta County,51015
Culpeper,Culpeper County,51047
Damascus,Washington County,51191
Dayton,Rockingham County,51165
Dendron,Surry County,51181
Dilwyn,Buckingham County,51029
Drakes Branch,Charlotte County,51037
Dublin,Pulaski County,51155
Duffield,Scott County,51169
Dumfries,Prince William County,51153
Dungannon,Scott County,51169
Eastville,Northampton County,51131
Edinburg,Shenandoah County,51171
Elkton,Rockingham County,51165
Exmore,Northampton County,51131
Farmville,,#N/A
Fincastle,Botetourt County,51023
Floyd,Floyd County,51063
Fries,Grayson County,51077
Front Royal,Warren County,51187
Gate City,Scott County,51169
Glade Spring,Washington County,51191
Glasgow,Rockbridge County,51163
Glen Lyn,Giles County,51071
Gordonsville,Orange County,51137
Goshen,Rockbridge County,51163
Gretna,Pittsylvania County,51143
Grottoes,,#N/A
Grundy,Buchanan County,51027
Halifax,Halifax County,51083
Hallwood,Accomack County,51001
Hamilton,Loudoun County,51107
Haymarket,Prince William County,51153
Haysi,Dickenson County,51051
Herndon,Fairfax County,51059
Hillsboro,Loudoun County,51107
Hillsville,Carroll County,51035
Honaker,Russell County,51167
Hurt,Pittsylvania County,51143
Independence,Grayson County,51077
Iron Gate,Alleghany County,51005
Irvington,Lancaster County,51103
Ivor,Southampton County,51175
Jarratt,,#N/A
Jonesville,Lee County,51105
Keller,Accomack County,51001
Kenbridge,Lunenburg County,51111
Keysville,Charlotte County,51037
Kilmarnock,,#N/A
La Crosse,Mecklenburg County,51117
Lawrence,Brunswick County,51025
Lebanon,Russell County,51167
Leesburg,Loudoun County,51107
Louisa,Louisa County,51109
Lovettsville,Loudoun County,51107
Luray,Page County,51139
Madison,Madison County,51113
Marion,Smyth County,51173
McKenney,Dinwiddie County,51053
Melfa,Accomack County,51001
Middleburg,Loudoun County,51107
Middletown,Frederick County,51069
Mineral,Louisa County,51109
Montery,Highland County,51091
Montross,Westmoreland County,51193
Mount Crawford,Rockingham County,51165
Mount Jackson,Shenandoah County,51171
Narrows,Giles County,51071
Nassawadox,Northampton County,51131
New Castle,Craig County,51045
New Market,Shenandoah County,51171
Newsoms,Southampton County,51175
Nickelsville,Scott County,51169
Occoquan,Prince William County,51153
Onancock,Accomack County,51001
Onley,Accomack County,51001
Orange,Orange County,51137
Painter,Accomack County,51001
Pamplin City,,#N/A
Parksley,Accomack County,51001
Pearisburg,Giles County,51071
Pembroke,Giles County,51071
Pennington Gap,Lee County,51105
Phenix,Charlotte County,51037
Pocahontas,Tazewell County,51185
Port Royal,Caroline County,51033
Pound,Wise County,51195
Pulaski,Pulaski County,51155
Purcellsville,Loudoun County,51107
Quantico,Prince William County,51153
Remington,Fauquier County,51061
Rich Creek,Giles County,51071
Richlands,Tazewell County,51185
Ridgeway,Henry County,51089
Rocky Mount,Franklin County,51067
Round Hill,Loudoun County,51107
Rural Retreat,Wythe County,51197
St. Charles,Lee County,51105
St. Paul,,#N/A
Saltville,Smyth County,51173
Saxis,Accomack County,51001
Scottsburg,Halifax County,51083
Scottsville,,#N/A
Shenandoah,Page County,51139
Smithfield,Isle of Wight County,51093
South Boston,Halifax County,51083
South Hill,Mecklenburg County,51117
Stanardsville,Greene County,51079
Stanley,Page County,51139
Stephens City,Frederick County,51069
Stony Creek,Sussex County,51183
Strasburg,Shenandoah County,51171
Stuart,Patrick County,51141
Surry,Surry County,51181
Tangier,Accomack County,51001
Tappahannock,Essex County,51057
Tazewell,Tazewell County,51185
The Plains,Fauquier County,51061
Timberville,Rockingham County,51165
Toms Brook,Shenandoah County,51171
Troutdale,Grayson County,51077
Troutville,Botetourt County,51023
Urbanna,Middlesex County,51119
Victoria,Lunenburg County,51111
Vienna,Fairfax County,51059
Virgilina,Halifax County,51083
Wachapreague,Accomack County,51001
Wakefield,Sussex County,51183
Warrenton,Fauquier County,51061
Warsaw,Richmond County,51159
Washington,Rappahannock County,51157
Waverly,Sussex County,51183
Weber City,Scott County,51169
West Point ,King William County,51101
White Stone,Lancaster County,51103
Windsor,Isle of Wight County,51093
Wise,Wise County,51195
Woodstock,Shenandoah County,51171
Wytheville,Wythe County,51197
Wise County,Wise County,51195
Norton City,Norton City,51720
Giles County,Giles County,51071
Montgomery County,Montgomery County,51121
Pulaski County,Pulaski County,51155
Radford City,Radford City,51750
Bland County,Bland County,51021
Tazewell County,Tazewell County,51185
Albemarle County,Albemarle County,51003
Fluvanna County,Fluvanna County,51065
Greene County,Greene County,51079
Nelson County,Nelson County,51125
Charlottesville City,Charlottesville City,51540
Pittsylvania County,Pittsylvania County,51143
Danville City,Danville City,51590
Rockingham County,Rockingham County,51165
Harrisonburg City,Harrisonburg City,51660
Scott County,Scott County,51169
Washington County,Washington County,51191
Bristol City,Bristol City,51520
Amherst County,Amherst County,51009
Appomattox County,Appomattox County,51011
Bedford County,Bedford County,51019
Campbell County,Campbell County,51031
Lynchburg City,Lynchburg City,51680
Henry County,Henry County,51089
Martinsville City,Martinsville City,51690
