variable,year,locality,fips,race,medhhincome,estimate,moe,index,adjusted
B19013B_001,2010,"Accomack County, Virginia",51001,Black Or African American  ,Median household income in the past 12 months (in 2021 inflation-adjusted dollars),28312,4048,218.07616666666667,37989.81790441719
B19013B_001,2010,"Albemarle County, Virginia",51003,Black Or African American  ,Median household income in the past 12 months (in 2021 inflation-adjusted dollars),38526,5455,218.07616666666667,51695.24316846485
B19013B_001,2010,"Alleghany County, Virginia",51005,Black Or African American  ,Median household income in the past 12 months (in 2021 inflation-adjusted dollars),27853,6554,218.07616666666667,37373.91911880941
B19013B_001,2010,"Amelia County, Virginia",51007,Black Or African American  ,Median household income in the past 12 months (in 2021 inflation-adjusted dollars),38750,6650,218.07616666666667,51995.8125104608
B19013B_001,2010,"Amherst County, Virginia",51009,Black Or African American  ,Median household income in the past 12 months (in 2021 inflation-adjusted dollars),31275,7678,218.07616666666667,41965.65254876546
B19013B_001,2010,"Appomattox County, Virginia",51011,Black Or African American  ,Median household income in the past 12 months (in 2021 inflation-adjusted dollars),41613,15841,218.07616666666667,55837.46441284659
B19013B_001,2010,"Arlington County, Virginia",51013,Black Or African American  ,Median household income in the past 12 months (in 2021 inflation-adjusted dollars),54218,4883,218.07616666666667,72751.19903721713
B19013B_001,2010,"Augusta County, Virginia",51015,Black Or African American  ,Median household income in the past 12 months (in 2021 inflation-adjusted dollars),40833,14200,218.07616666666667,54790.839025539244
B19013B_001,2010,"Bath County, Virginia",51017,Black Or African American  ,Median household income in the past 12 months (in 2021 inflation-adjusted dollars),41757,13367,218.07616666666667,56030.687561272556
B19013B_001,2010,"Bedford County, Virginia",51019,Black Or African American  ,Median household income in the past 12 months (in 2021 inflation-adjusted dollars),35250,13895,218.07616666666667,47299.416541774015
B19013B_001,2010,"Bland County, Virginia",51021,Black Or African American  ,Median household income in the past 12 months (in 2021 inflation-adjusted dollars),29125,36062,218.07616666666667,39080.72359657215
B19013B_001,2010,"Botetourt County, Virginia",51023,Black Or African American  ,Median household income in the past 12 months (in 2021 inflation-adjusted dollars),34500,25518,218.07616666666667,46293.04597705542
B19013B_001,2010,"Brunswick County, Virginia",51025,Black Or African American  ,Median household income in the past 12 months (in 2021 inflation-adjusted dollars),25391,4397,218.07616666666667,34070.340011693166
B19013B_001,2010,"Buchanan County, Virginia",51027,Black Or African American  ,Median household income in the past 12 months (in 2021 inflation-adjusted dollars),2499,NA,218.07616666666667,3353.226721642362
B19013B_001,2010,"Buckingham County, Virginia",51029,Black Or African American  ,Median household income in the past 12 months (in 2021 inflation-adjusted dollars),29428,8799,218.07616666666667,39487.297304718464
B19013B_001,2010,"Campbell County, Virginia",51031,Black Or African American  ,Median household income in the past 12 months (in 2021 inflation-adjusted dollars),32654,4167,218.07616666666667,43816.03256042805
B19013B_001,2010,"Caroline County, Virginia",51033,Black Or African American  ,Median household income in the past 12 months (in 2021 inflation-adjusted dollars),45929,10021,218.07616666666667,61628.7915559472
B19013B_001,2010,"Carroll County, Virginia",51035,Black Or African American  ,Median household income in the past 12 months (in 2021 inflation-adjusted dollars),11298,5187,218.07616666666667,15159.966186920932
B19013B_001,2010,"Charles City County, Virginia",51036,Black Or African American  ,Median household income in the past 12 months (in 2021 inflation-adjusted dollars),41038,3876,218.07616666666667,55065.91364656233
B19013B_001,2010,"Charlotte County, Virginia",51037,Black Or African American  ,Median household income in the past 12 months (in 2021 inflation-adjusted dollars),26111,9083,218.07616666666667,35036.455753823015
B19013B_001,2010,"Chesterfield County, Virginia",51041,Black Or African American  ,Median household income in the past 12 months (in 2021 inflation-adjusted dollars),59676,2963,218.07616666666667,80074.89309352926
B19013B_001,2010,"Clarke County, Virginia",51043,Black Or African American  ,Median household income in the past 12 months (in 2021 inflation-adjusted dollars),42361,37229,218.07616666666667,56841.151322725935
B19013B_001,2010,"Craig County, Virginia",51045,Black Or African American  ,Median household income in the past 12 months (in 2021 inflation-adjusted dollars),NA,NA,218.07616666666667,NA
B19013B_001,2010,"Culpeper County, Virginia",51047,Black Or African American  ,Median household income in the past 12 months (in 2021 inflation-adjusted dollars),42500,7125,218.07616666666667,57027.66533405378
B19013B_001,2010,"Cumberland County, Virginia",51049,Black Or African American  ,Median household income in the past 12 months (in 2021 inflation-adjusted dollars),23092,2845,218.07616666666667,30985.478773975763
B19013B_001,2010,"Dickenson County, Virginia",51051,Black Or African American  ,Median household income in the past 12 months (in 2021 inflation-adjusted dollars),30000,19459,218.07616666666667,40254.822588743846
B19013B_001,2010,"Dinwiddie County, Virginia",51053,Black Or African American  ,Median household income in the past 12 months (in 2021 inflation-adjusted dollars),44193,4813,218.07616666666667,59299.37915547856
B19013B_001,2010,"Essex County, Virginia",51057,Black Or African American  ,Median household income in the past 12 months (in 2021 inflation-adjusted dollars),41750,8602,218.07616666666667,56021.29476933518
B19013B_001,2010,"Fairfax County, Virginia",51059,Black Or African American  ,Median household income in the past 12 months (in 2021 inflation-adjusted dollars),75072,3106,218.07616666666667,100733.66804607259
B19013B_001,2010,"Fauquier County, Virginia",51061,Black Or African American  ,Median household income in the past 12 months (in 2021 inflation-adjusted dollars),49600,25975,218.07616666666667,66554.64001338983
B19013B_001,2010,"Floyd County, Virginia",51063,Black Or African American  ,Median household income in the past 12 months (in 2021 inflation-adjusted dollars),13725,8790,218.07616666666667,18416.581334350307
B19013B_001,2010,"Fluvanna County, Virginia",51065,Black Or African American  ,Median household income in the past 12 months (in 2021 inflation-adjusted dollars),47721,15742,218.07616666666667,64033.34629191483
B19013B_001,2010,"Franklin County, Virginia",51067,Black Or African American  ,Median household income in the past 12 months (in 2021 inflation-adjusted dollars),31334,1815,218.07616666666667,42044.82036652332
B19013B_001,2010,"Frederick County, Virginia",51069,Black Or African American  ,Median household income in the past 12 months (in 2021 inflation-adjusted dollars),53750,35642,218.07616666666667,72123.22380483273
B19013B_001,2010,"Giles County, Virginia",51071,Black Or African American  ,Median household income in the past 12 months (in 2021 inflation-adjusted dollars),44563,48318,218.07616666666667,59795.85530073973
B19013B_001,2010,"Gloucester County, Virginia",51073,Black Or African American  ,Median household income in the past 12 months (in 2021 inflation-adjusted dollars),37941,7556,218.07616666666667,50910.27412798434
B19013B_001,2010,"Goochland County, Virginia",51075,Black Or African American  ,Median household income in the past 12 months (in 2021 inflation-adjusted dollars),36929,3019,218.07616666666667,49552.34477932405
B19013B_001,2010,"Grayson County, Virginia",51077,Black Or African American  ,Median household income in the past 12 months (in 2021 inflation-adjusted dollars),35380,32500,218.07616666666667,47473.85410632524
B19013B_001,2010,"Greene County, Virginia",51079,Black Or African American  ,Median household income in the past 12 months (in 2021 inflation-adjusted dollars),35341,8801,218.07616666666667,47421.52283695987
B19013B_001,2010,"Greensville County, Virginia",51081,Black Or African American  ,Median household income in the past 12 months (in 2021 inflation-adjusted dollars),37580,8384,218.07616666666667,50425.87442949979
B19013B_001,2010,"Halifax County, Virginia",51083,Black Or African American  ,Median household income in the past 12 months (in 2021 inflation-adjusted dollars),23730,4184,218.07616666666667,31841.56466769638
B19013B_001,2010,"Hanover County, Virginia",51085,Black Or African American  ,Median household income in the past 12 months (in 2021 inflation-adjusted dollars),59775,3984,218.07616666666667,80207.7340080721
B19013B_001,2010,"Henrico County, Virginia",51087,Black Or African American  ,Median household income in the past 12 months (in 2021 inflation-adjusted dollars),46636,2191,218.07616666666667,62577.46354162193
B19013B_001,2010,"Henry County, Virginia",51089,Black Or African American  ,Median household income in the past 12 months (in 2021 inflation-adjusted dollars),29449,2630,218.07616666666667,39515.47568053058
B19013B_001,2010,"Highland County, Virginia",51091,Black Or African American  ,Median household income in the past 12 months (in 2021 inflation-adjusted dollars),NA,NA,218.07616666666667,NA
B19013B_001,2010,"Isle of Wight County, Virginia",51093,Black Or African American  ,Median household income in the past 12 months (in 2021 inflation-adjusted dollars),38131,5847,218.07616666666667,51165.221337713054
B19013B_001,2010,"James City County, Virginia",51095,Black Or African American  ,Median household income in the past 12 months (in 2021 inflation-adjusted dollars),44739,5818,218.07616666666667,60032.01692659369
