variable,year,locality,fips,tenure,income,estimate,moe
B25118_001,2010,"Accomack County, Virginia",51001,All,All,14085,488
B25118_002,2010,"Accomack County, Virginia",51001,Owner occupied,All,10436,436
B25118_003,2010,"Accomack County, Virginia",51001,Owner occupied,"Less than $5,000",361,132
B25118_004,2010,"Accomack County, Virginia",51001,Owner occupied,"$5,000 to $9,999",768,194
B25118_005,2010,"Accomack County, Virginia",51001,Owner occupied,"$10,000 to $14,999",741,169
B25118_006,2010,"Accomack County, Virginia",51001,Owner occupied,"$15,000 to $19,999",545,165
B25118_007,2010,"Accomack County, Virginia",51001,Owner occupied,"$20,000 to $24,999",740,196
B25118_008,2010,"Accomack County, Virginia",51001,Owner occupied,"$25,000 to $34,999",1019,224
B25118_009,2010,"Accomack County, Virginia",51001,Owner occupied,"$35,000 to $49,999",1907,305
B25118_010,2010,"Accomack County, Virginia",51001,Owner occupied,"$50,000 to $74,999",1849,267
B25118_011,2010,"Accomack County, Virginia",51001,Owner occupied,"$75,000 to $99,999",982,177
B25118_012,2010,"Accomack County, Virginia",51001,Owner occupied,"$100,000 to $149,999",997,199
B25118_013,2010,"Accomack County, Virginia",51001,Owner occupied,"$150,000 or more",527,125
B25118_014,2010,"Accomack County, Virginia",51001,Renter occupied,All,3649,400
B25118_015,2010,"Accomack County, Virginia",51001,Renter occupied,"Less than $5,000",343,138
B25118_016,2010,"Accomack County, Virginia",51001,Renter occupied,"$5,000 to $9,999",281,123
B25118_017,2010,"Accomack County, Virginia",51001,Renter occupied,"$10,000 to $14,999",240,95
B25118_018,2010,"Accomack County, Virginia",51001,Renter occupied,"$15,000 to $19,999",288,139
B25118_019,2010,"Accomack County, Virginia",51001,Renter occupied,"$20,000 to $24,999",211,111
B25118_020,2010,"Accomack County, Virginia",51001,Renter occupied,"$25,000 to $34,999",630,227
B25118_021,2010,"Accomack County, Virginia",51001,Renter occupied,"$35,000 to $49,999",699,211
B25118_022,2010,"Accomack County, Virginia",51001,Renter occupied,"$50,000 to $74,999",420,159
