variable,year,CBSA,fips,tenure,estimate,moe,index,adjusted
B25119_001,2010,"Blacksburg-Christiansburg-Radford, VA Metro Area",13980,All,41377,998,218.07616666666667,55520.793141815135
B25119_002,2010,"Blacksburg-Christiansburg-Radford, VA Metro Area",13980,Owner occupied (dollars),56118,2285,218.07616666666667,75300.67113450423
B25119_003,2010,"Blacksburg-Christiansburg-Radford, VA Metro Area",13980,Renter occupied (dollars),21426,1267,218.07616666666667,28749.994292880852
B25119_001,2010,"Bluefield, WV-VA Micro Area",14140,All,33352,1154,218.07616666666667,44752.62809932615
B25119_002,2010,"Bluefield, WV-VA Micro Area",14140,Owner occupied (dollars),39674,1268,218.07616666666667,53235.66104619411
B25119_003,2010,"Bluefield, WV-VA Micro Area",14140,Renter occupied (dollars),17480,1453,218.07616666666667,23455.143295041413
B25119_001,2010,"Charlottesville, VA Metro Area",16820,All,56592,1168,218.07616666666667,75936.69733140638
B25119_002,2010,"Charlottesville, VA Metro Area",16820,Owner occupied (dollars),73174,1521,218.07616666666667,98186.87960362474
B25119_003,2010,"Charlottesville, VA Metro Area",16820,Renter occupied (dollars),35169,1724,218.07616666666667,47190.72852078441
B25119_001,2010,"Culpeper, VA Micro Area",19020,All,65132,3080,218.07616666666667,87395.90349500213
B25119_002,2010,"Culpeper, VA Micro Area",19020,Owner occupied (dollars),77775,3603,218.07616666666667,104360.62756131841
B25119_003,2010,"Culpeper, VA Micro Area",19020,Renter occupied (dollars),37691,2642,218.07616666666667,50574.81727307814
B25119_001,2010,"Danville, VA Metro Area",19260,All,35049,1068,218.07616666666667,47029.709230429435
B25119_002,2010,"Danville, VA Metro Area",19260,Owner occupied (dollars),43404,1219,218.07616666666667,58240.67732139459
B25119_003,2010,"Danville, VA Metro Area",19260,Renter occupied (dollars),20048,1152,218.07616666666667,26900.956108637885
B25119_001,2010,"Harrisonburg, VA Metro Area",25500,All,45805,1334,218.07616666666667,61462.40495591373
B25119_002,2010,"Harrisonburg, VA Metro Area",25500,Owner occupied (dollars),57478,1707,218.07616666666667,77125.55642519395
B25119_003,2010,"Harrisonburg, VA Metro Area",25500,Renter occupied (dollars),28491,2240,218.07616666666667,38230.005012530026
B25119_001,2010,"Kingsport-Bristol-Bristol, TN-VA Metro Area",28700,All,37749,713,218.07616666666667,50652.64326341638
B25119_002,2010,"Kingsport-Bristol-Bristol, TN-VA Metro Area",28700,Owner occupied (dollars),45031,727,218.07616666666667,60423.830533124135
B25119_003,2010,"Kingsport-Bristol-Bristol, TN-VA Metro Area",28700,Renter occupied (dollars),21601,870,218.07616666666667,28984.81409131519
B25119_001,2010,"Lynchburg, VA Metro Area",31340,All,44560,997,218.07616666666667,59791.82981848086
B25119_002,2010,"Lynchburg, VA Metro Area",31340,Owner occupied (dollars),54569,1398,218.07616666666667,73222.18046150543
B25119_003,2010,"Lynchburg, VA Metro Area",31340,Renter occupied (dollars),25380,1267,218.07616666666667,34055.57991007729
B25119_001,2010,"Martinsville, VA Micro Area",32300,All,33642,1423,218.07616666666667,45141.75805101734
B25119_002,2010,"Martinsville, VA Micro Area",32300,Owner occupied (dollars),39783,1446,218.07616666666667,53381.92023493321
B25119_003,2010,"Martinsville, VA Micro Area",32300,Renter occupied (dollars),21948,2378,218.07616666666667,29450.428205924996
B25119_001,2010,"Richmond, VA Metro Area",40060,All,57543,551,218.07616666666667,77212.77520746956
B25119_002,2010,"Richmond, VA Metro Area",40060,Owner occupied (dollars),73017,782,218.07616666666667,97976.21269874363
