variable,year,locality,fips,tenure,estimate,moe,cpi_index
B25119_001,2010,"Accomack County, Virginia",51001,All,41372,1614,320.4
B25119_002,2010,"Accomack County, Virginia",51001,Owner occupied (dollars),43889,1598,320.4
B25119_003,2010,"Accomack County, Virginia",51001,Renter occupied (dollars),31322,3808,320.4
B25119_001,2010,"Albemarle County, Virginia",51003,All,64847,2443,320.4
B25119_002,2010,"Albemarle County, Virginia",51003,Owner occupied (dollars),84401,2798,320.4
B25119_003,2010,"Albemarle County, Virginia",51003,Renter occupied (dollars),40590,2039,320.4
B25119_001,2010,"Alleghany County, Virginia",51005,All,43160,2560,320.4
B25119_002,2010,"Alleghany County, Virginia",51005,Owner occupied (dollars),48696,2448,320.4
B25119_003,2010,"Alleghany County, Virginia",51005,Renter occupied (dollars),18279,1738,320.4
B25119_001,2010,"Amelia County, Virginia",51007,All,50135,4590,320.4
B25119_002,2010,"Amelia County, Virginia",51007,Owner occupied (dollars),55404,4798,320.4
B25119_003,2010,"Amelia County, Virginia",51007,Renter occupied (dollars),39866,4368,320.4
B25119_001,2010,"Amherst County, Virginia",51009,All,44757,2542,320.4
B25119_002,2010,"Amherst County, Virginia",51009,Owner occupied (dollars),51873,3065,320.4
B25119_003,2010,"Amherst County, Virginia",51009,Renter occupied (dollars),29118,2639,320.4
B25119_001,2010,"Appomattox County, Virginia",51011,All,49224,3188,320.4
B25119_002,2010,"Appomattox County, Virginia",51011,Owner occupied (dollars),57025,5146,320.4
B25119_003,2010,"Appomattox County, Virginia",51011,Renter occupied (dollars),24413,5145,320.4
B25119_001,2010,"Arlington County, Virginia",51013,All,94880,2016,320.4
B25119_002,2010,"Arlington County, Virginia",51013,Owner occupied (dollars),128653,3728,320.4
B25119_003,2010,"Arlington County, Virginia",51013,Renter occupied (dollars),73013,2465,320.4
B25119_001,2010,"Augusta County, Virginia",51015,All,50612,1706,320.4
B25119_002,2010,"Augusta County, Virginia",51015,Owner occupied (dollars),56326,1734,320.4
B25119_003,2010,"Augusta County, Virginia",51015,Renter occupied (dollars),31700,2406,320.4
B25119_001,2010,"Bath County, Virginia",51017,All,50589,6470,320.4
B25119_002,2010,"Bath County, Virginia",51017,Owner occupied (dollars),51039,4332,320.4
B25119_003,2010,"Bath County, Virginia",51017,Renter occupied (dollars),39167,29026,320.4
B25119_001,2010,"Bedford County, Virginia",51019,All,54110,2469,320.4
B25119_002,2010,"Bedford County, Virginia",51019,Owner occupied (dollars),61244,1825,320.4
B25119_003,2010,"Bedford County, Virginia",51019,Renter occupied (dollars),29359,1937,320.4
B25119_001,2010,"Bland County, Virginia",51021,All,41552,2093,320.4
B25119_002,2010,"Bland County, Virginia",51021,Owner occupied (dollars),44684,3424,320.4
B25119_003,2010,"Bland County, Virginia",51021,Renter occupied (dollars),23652,4712,320.4
B25119_001,2010,"Botetourt County, Virginia",51023,All,64724,3600,320.4
B25119_002,2010,"Botetourt County, Virginia",51023,Owner occupied (dollars),67623,2442,320.4
B25119_003,2010,"Botetourt County, Virginia",51023,Renter occupied (dollars),37946,5293,320.4
B25119_001,2010,"Brunswick County, Virginia",51025,All,35184,2884,320.4
B25119_002,2010,"Brunswick County, Virginia",51025,Owner occupied (dollars),44922,5114,320.4
B25119_003,2010,"Brunswick County, Virginia",51025,Renter occupied (dollars),22067,4661,320.4
B25119_001,2010,"Buchanan County, Virginia",51027,All,29183,2181,320.4
B25119_002,2010,"Buchanan County, Virginia",51027,Owner occupied (dollars),32493,3320,320.4
B25119_003,2010,"Buchanan County, Virginia",51027,Renter occupied (dollars),14659,2378,320.4
B25119_001,2010,"Buckingham County, Virginia",51029,All,34720,4849,320.4
B25119_002,2010,"Buckingham County, Virginia",51029,Owner occupied (dollars),37183,6639,320.4
B25119_003,2010,"Buckingham County, Virginia",51029,Renter occupied (dollars),31972,10438,320.4
B25119_001,2010,"Campbell County, Virginia",51031,All,43478,1227,320.4
B25119_002,2010,"Campbell County, Virginia",51031,Owner occupied (dollars),51181,2001,320.4
B25119_003,2010,"Campbell County, Virginia",51031,Renter occupied (dollars),23512,2436,320.4
B25119_001,2010,"Caroline County, Virginia",51033,All,57690,2746,320.4
B25119_002,2010,"Caroline County, Virginia",51033,Owner occupied (dollars),63648,3982,320.4
B25119_003,2010,"Caroline County, Virginia",51033,Renter occupied (dollars),36197,5461,320.4
B25119_001,2010,"Carroll County, Virginia",51035,All,36142,2348,320.4
B25119_002,2010,"Carroll County, Virginia",51035,Owner occupied (dollars),40797,2263,320.4
B25119_003,2010,"Carroll County, Virginia",51035,Renter occupied (dollars),24500,5554,320.4
B25119_001,2010,"Charles City County, Virginia",51036,All,46337,3910,320.4
B25119_002,2010,"Charles City County, Virginia",51036,Owner occupied (dollars),49861,4781,320.4
B25119_003,2010,"Charles City County, Virginia",51036,Renter occupied (dollars),38188,9750,320.4
B25119_001,2010,"Charlotte County, Virginia",51037,All,34881,3431,320.4
B25119_002,2010,"Charlotte County, Virginia",51037,Owner occupied (dollars),42716,7248,320.4
B25119_003,2010,"Charlotte County, Virginia",51037,Renter occupied (dollars),18438,5872,320.4
B25119_001,2010,"Chesterfield County, Virginia",51041,All,71321,1171,320.4
B25119_002,2010,"Chesterfield County, Virginia",51041,Owner occupied (dollars),81973,1428,320.4
B25119_003,2010,"Chesterfield County, Virginia",51041,Renter occupied (dollars),41500,1363,320.4
B25119_001,2010,"Clarke County, Virginia",51043,All,73244,7456,320.4
B25119_002,2010,"Clarke County, Virginia",51043,Owner occupied (dollars),85056,4717,320.4
B25119_003,2010,"Clarke County, Virginia",51043,Renter occupied (dollars),40676,6028,320.4
B25119_001,2010,"Craig County, Virginia",51045,All,51291,3188,320.4
B25119_002,2010,"Craig County, Virginia",51045,Owner occupied (dollars),54408,12161,320.4
B25119_003,2010,"Craig County, Virginia",51045,Renter occupied (dollars),46307,7920,320.4
B25119_001,2010,"Culpeper County, Virginia",51047,All,65132,3080,320.4
