year,period,periodName,latest,value,footnotes,seriesID,date,fips
2024,M11,November,true,15356,P Preliminary.,LAUCN510010000000005,2024-11-01,51001
2024,M10,October,NA,15634,,LAUCN510010000000005,2024-10-01,51001
2024,M09,September,NA,15634,,LAUCN510010000000005,2024-09-01,51001
2024,M08,August,NA,15969,,LAUCN510010000000005,2024-08-01,51001
2024,M07,July,NA,15995,,LAUCN510010000000005,2024-07-01,51001
2024,M06,June,NA,15889,,LAUCN510010000000005,2024-06-01,51001
2024,M05,May,NA,15408,,LAUCN510010000000005,2024-05-01,51001
2024,M04,April,NA,15644,,LAUCN510010000000005,2024-04-01,51001
2024,M03,March,NA,15586,,LAUCN510010000000005,2024-03-01,51001
2024,M02,February,NA,15517,,LAUCN510010000000005,2024-02-01,51001
2024,M01,January,NA,15608,,LAUCN510010000000005,2024-01-01,51001
2023,M12,December,NA,15461,,LAUCN510010000000005,2023-12-01,51001
2023,M11,November,NA,15643,,LAUCN510010000000005,2023-11-01,51001
2023,M10,October,NA,15833,,LAUCN510010000000005,2023-10-01,51001
2023,M09,September,NA,15853,,LAUCN510010000000005,2023-09-01,51001
2023,M08,August,NA,16064,,LAUCN510010000000005,2023-08-01,51001
2023,M07,July,NA,16423,,LAUCN510010000000005,2023-07-01,51001
2023,M06,June,NA,16071,,LAUCN510010000000005,2023-06-01,51001
2023,M05,May,NA,15462,,LAUCN510010000000005,2023-05-01,51001
2023,M04,April,NA,15627,,LAUCN510010000000005,2023-04-01,51001
2023,M03,March,NA,15181,,LAUCN510010000000005,2023-03-01,51001
2023,M02,February,NA,14997,,LAUCN510010000000005,2023-02-01,51001
2023,M01,January,NA,14955,,LAUCN510010000000005,2023-01-01,51001
2022,M12,December,NA,15000,,LAUCN510010000000005,2022-12-01,51001
2022,M11,November,NA,14946,,LAUCN510010000000005,2022-11-01,51001
2022,M10,October,NA,15255,,LAUCN510010000000005,2022-10-01,51001
2022,M09,September,NA,15204,,LAUCN510010000000005,2022-09-01,51001
2022,M08,August,NA,15425,,LAUCN510010000000005,2022-08-01,51001
2022,M07,July,NA,15741,,LAUCN510010000000005,2022-07-01,51001
2022,M06,June,NA,15665,,LAUCN510010000000005,2022-06-01,51001
2022,M05,May,NA,15193,,LAUCN510010000000005,2022-05-01,51001
2022,M04,April,NA,15140,,LAUCN510010000000005,2022-04-01,51001
2022,M03,March,NA,14652,,LAUCN510010000000005,2022-03-01,51001
2022,M02,February,NA,14440,,LAUCN510010000000005,2022-02-01,51001
2022,M01,January,NA,14374,,LAUCN510010000000005,2022-01-01,51001
2021,M12,December,NA,14495,,LAUCN510010000000005,2021-12-01,51001
2021,M11,November,NA,14590,,LAUCN510010000000005,2021-11-01,51001
2021,M10,October,NA,14909,,LAUCN510010000000005,2021-10-01,51001
2021,M09,September,NA,14650,,LAUCN510010000000005,2021-09-01,51001
2021,M08,August,NA,15141,,LAUCN510010000000005,2021-08-01,51001
2021,M07,July,NA,15192,,LAUCN510010000000005,2021-07-01,51001
2021,M06,June,NA,15111,,LAUCN510010000000005,2021-06-01,51001
2021,M05,May,NA,14577,,LAUCN510010000000005,2021-05-01,51001
2021,M04,April,NA,14470,,LAUCN510010000000005,2021-04-01,51001
2021,M03,March,NA,14314,,LAUCN510010000000005,2021-03-01,51001
2021,M02,February,NA,14280,,LAUCN510010000000005,2021-02-01,51001
2021,M01,January,NA,14413,,LAUCN510010000000005,2021-01-01,51001
2020,M12,December,NA,14628,,LAUCN510010000000005,2020-12-01,51001
2020,M11,November,NA,14945,,LAUCN510010000000005,2020-11-01,51001
2020,M10,October,NA,14996,,LAUCN510010000000005,2020-10-01,51001
2020,M09,September,NA,14703,,LAUCN510010000000005,2020-09-01,51001
2020,M08,August,NA,15003,,LAUCN510010000000005,2020-08-01,51001
2020,M07,July,NA,14963,,LAUCN510010000000005,2020-07-01,51001
2020,M06,June,NA,14681,,LAUCN510010000000005,2020-06-01,51001
2020,M05,May,NA,13751,,LAUCN510010000000005,2020-05-01,51001
2020,M04,April,NA,14186,,LAUCN510010000000005,2020-04-01,51001
2020,M03,March,NA,15288,,LAUCN510010000000005,2020-03-01,51001
2020,M02,February,NA,15387,,LAUCN510010000000005,2020-02-01,51001
2020,M01,January,NA,15360,,LAUCN510010000000005,2020-01-01,51001
2019,M12,December,NA,15625,,LAUCN510010000000005,2019-12-01,51001
2019,M11,November,NA,15809,,LAUCN510010000000005,2019-11-01,51001
2019,M10,October,NA,16006,,LAUCN510010000000005,2019-10-01,51001
2019,M09,September,NA,16086,,LAUCN510010000000005,2019-09-01,51001
2019,M08,August,NA,16542,,LAUCN510010000000005,2019-08-01,51001
2019,M07,July,NA,16750,,LAUCN510010000000005,2019-07-01,51001
2019,M06,June,NA,16856,,LAUCN510010000000005,2019-06-01,51001
2019,M05,May,NA,16126,,LAUCN510010000000005,2019-05-01,51001
2019,M04,April,NA,16020,,LAUCN510010000000005,2019-04-01,51001
2019,M03,March,NA,15644,,LAUCN510010000000005,2019-03-01,51001
2019,M02,February,NA,15794,,LAUCN510010000000005,2019-02-01,51001
2019,M01,January,NA,15634,,LAUCN510010000000005,2019-01-01,51001
2018,M12,December,NA,16144,,LAUCN510010000000005,2018-12-01,51001
2018,M11,November,NA,16217,,LAUCN510010000000005,2018-11-01,51001
2018,M10,October,NA,16113,,LAUCN510010000000005,2018-10-01,51001
2018,M09,September,NA,16234,,LAUCN510010000000005,2018-09-01,51001
2018,M08,August,NA,16502,,LAUCN510010000000005,2018-08-01,51001
2018,M07,July,NA,16960,,LAUCN510010000000005,2018-07-01,51001
2018,M06,June,NA,16812,,LAUCN510010000000005,2018-06-01,51001
2018,M05,May,NA,16303,,LAUCN510010000000005,2018-05-01,51001
2018,M04,April,NA,16192,,LAUCN510010000000005,2018-04-01,51001
2018,M03,March,NA,15764,,LAUCN510010000000005,2018-03-01,51001
2018,M02,February,NA,15518,,LAUCN510010000000005,2018-02-01,51001
2018,M01,January,NA,15274,,LAUCN510010000000005,2018-01-01,51001
2017,M12,December,NA,15922,,LAUCN510010000000005,2017-12-01,51001
2017,M11,November,NA,15852,,LAUCN510010000000005,2017-11-01,51001
2017,M10,October,NA,16154,,LAUCN510010000000005,2017-10-01,51001
2017,M09,September,NA,16284,,LAUCN510010000000005,2017-09-01,51001
2017,M08,August,NA,16450,,LAUCN510010000000005,2017-08-01,51001
2017,M07,July,NA,16938,,LAUCN510010000000005,2017-07-01,51001
2017,M06,June,NA,16815,,LAUCN510010000000005,2017-06-01,51001
2017,M05,May,NA,16268,,LAUCN510010000000005,2017-05-01,51001
2017,M04,April,NA,16230,,LAUCN510010000000005,2017-04-01,51001
2017,M03,March,NA,15397,,LAUCN510010000000005,2017-03-01,51001
2017,M02,February,NA,15195,,LAUCN510010000000005,2017-02-01,51001
