year,period,periodName,value,footnotes,seriesID,date,fips
2017,M12,December,15857,,LAUCN510010000000005,2017-12-01,51001
2017,M11,November,15777,,LAUCN510010000000005,2017-11-01,51001
2017,M10,October,16076,,LAUCN510010000000005,2017-10-01,51001
2017,M09,September,16220,,LAUCN510010000000005,2017-09-01,51001
2017,M08,August,16367,,LAUCN510010000000005,2017-08-01,51001
2017,M07,July,16851,,LAUCN510010000000005,2017-07-01,51001
2017,M06,June,16732,,LAUCN510010000000005,2017-06-01,51001
2017,M05,May,16194,,LAUCN510010000000005,2017-05-01,51001
2017,M04,April,16159,,LAUCN510010000000005,2017-04-01,51001
2017,M03,March,15331,,LAUCN510010000000005,2017-03-01,51001
2017,M02,February,15139,,LAUCN510010000000005,2017-02-01,51001
2017,M01,January,14857,,LAUCN510010000000005,2017-01-01,51001
2016,M12,December,14753,,LAUCN510010000000005,2016-12-01,51001
2016,M11,November,14761,,LAUCN510010000000005,2016-11-01,51001
2016,M10,October,14910,,LAUCN510010000000005,2016-10-01,51001
2016,M09,September,15203,,LAUCN510010000000005,2016-09-01,51001
2016,M08,August,15723,,LAUCN510010000000005,2016-08-01,51001
2016,M07,July,16124,,LAUCN510010000000005,2016-07-01,51001
2016,M06,June,15721,,LAUCN510010000000005,2016-06-01,51001
2016,M05,May,15341,,LAUCN510010000000005,2016-05-01,51001
2016,M04,April,15008,,LAUCN510010000000005,2016-04-01,51001
2016,M03,March,14595,,LAUCN510010000000005,2016-03-01,51001
2016,M02,February,14420,,LAUCN510010000000005,2016-02-01,51001
2016,M01,January,14158,,LAUCN510010000000005,2016-01-01,51001
2015,M12,December,14494,,LAUCN510010000000005,2015-12-01,51001
2015,M11,November,14608,,LAUCN510010000000005,2015-11-01,51001
2015,M10,October,14884,,LAUCN510010000000005,2015-10-01,51001
2015,M09,September,15177,,LAUCN510010000000005,2015-09-01,51001
2015,M08,August,15830,,LAUCN510010000000005,2015-08-01,51001
2015,M07,July,16489,,LAUCN510010000000005,2015-07-01,51001
2015,M06,June,15901,,LAUCN510010000000005,2015-06-01,51001
2015,M05,May,15505,,LAUCN510010000000005,2015-05-01,51001
2015,M04,April,15125,,LAUCN510010000000005,2015-04-01,51001
2015,M03,March,14575,,LAUCN510010000000005,2015-03-01,51001
2015,M02,February,14261,,LAUCN510010000000005,2015-02-01,51001
2015,M01,January,14140,,LAUCN510010000000005,2015-01-01,51001
2014,M12,December,14538,,LAUCN510010000000005,2014-12-01,51001
2014,M11,November,14717,,LAUCN510010000000005,2014-11-01,51001
2014,M10,October,15243,,LAUCN510010000000005,2014-10-01,51001
2014,M09,September,15234,,LAUCN510010000000005,2014-09-01,51001
2014,M08,August,15281,,LAUCN510010000000005,2014-08-01,51001
2014,M07,July,15941,,LAUCN510010000000005,2014-07-01,51001
2014,M06,June,15537,,LAUCN510010000000005,2014-06-01,51001
2014,M05,May,15357,,LAUCN510010000000005,2014-05-01,51001
2014,M04,April,15028,,LAUCN510010000000005,2014-04-01,51001
2014,M03,March,14977,,LAUCN510010000000005,2014-03-01,51001
2014,M02,February,14327,,LAUCN510010000000005,2014-02-01,51001
2014,M01,January,14488,,LAUCN510010000000005,2014-01-01,51001
2013,M12,December,14573,,LAUCN510010000000005,2013-12-01,51001
2013,M11,November,14739,,LAUCN510010000000005,2013-11-01,51001
2013,M10,October,14820,,LAUCN510010000000005,2013-10-01,51001
2013,M09,September,14861,,LAUCN510010000000005,2013-09-01,51001
2013,M08,August,15418,,LAUCN510010000000005,2013-08-01,51001
2013,M07,July,16143,,LAUCN510010000000005,2013-07-01,51001
2013,M06,June,15842,,LAUCN510010000000005,2013-06-01,51001
2013,M05,May,15609,,LAUCN510010000000005,2013-05-01,51001
2013,M04,April,14962,,LAUCN510010000000005,2013-04-01,51001
2013,M03,March,14835,,LAUCN510010000000005,2013-03-01,51001
2013,M02,February,14580,,LAUCN510010000000005,2013-02-01,51001
2013,M01,January,14615,,LAUCN510010000000005,2013-01-01,51001
2012,M12,December,14756,,LAUCN510010000000005,2012-12-01,51001
2012,M11,November,14968,,LAUCN510010000000005,2012-11-01,51001
2012,M10,October,15014,,LAUCN510010000000005,2012-10-01,51001
2012,M09,September,14939,,LAUCN510010000000005,2012-09-01,51001
2012,M08,August,15408,,LAUCN510010000000005,2012-08-01,51001
2012,M07,July,16085,,LAUCN510010000000005,2012-07-01,51001
2012,M06,June,15953,,LAUCN510010000000005,2012-06-01,51001
2012,M05,May,15668,,LAUCN510010000000005,2012-05-01,51001
2012,M04,April,15036,,LAUCN510010000000005,2012-04-01,51001
2012,M03,March,14897,,LAUCN510010000000005,2012-03-01,51001
2012,M02,February,14296,,LAUCN510010000000005,2012-02-01,51001
2012,M01,January,14452,,LAUCN510010000000005,2012-01-01,51001
2011,M12,December,14738,,LAUCN510010000000005,2011-12-01,51001
2011,M11,November,14888,,LAUCN510010000000005,2011-11-01,51001
2011,M10,October,15055,,LAUCN510010000000005,2011-10-01,51001
2011,M09,September,15051,,LAUCN510010000000005,2011-09-01,51001
2011,M08,August,15610,,LAUCN510010000000005,2011-08-01,51001
2011,M07,July,15874,,LAUCN510010000000005,2011-07-01,51001
2011,M06,June,15867,,LAUCN510010000000005,2011-06-01,51001
2011,M05,May,15609,,LAUCN510010000000005,2011-05-01,51001
2011,M04,April,15228,,LAUCN510010000000005,2011-04-01,51001
2011,M03,March,14955,,LAUCN510010000000005,2011-03-01,51001
2011,M02,February,14535,,LAUCN510010000000005,2011-02-01,51001
2011,M01,January,14718,,LAUCN510010000000005,2011-01-01,51001
2010,M12,December,14794,,LAUCN510010000000005,2010-12-01,51001
2010,M11,November,15190,,LAUCN510010000000005,2010-11-01,51001
2010,M10,October,15271,,LAUCN510010000000005,2010-10-01,51001
2010,M09,September,15574,,LAUCN510010000000005,2010-09-01,51001
2010,M08,August,16154,,LAUCN510010000000005,2010-08-01,51001
2010,M07,July,16537,,LAUCN510010000000005,2010-07-01,51001
2010,M06,June,16335,,LAUCN510010000000005,2010-06-01,51001
2010,M05,May,15853,,LAUCN510010000000005,2010-05-01,51001
2010,M04,April,15677,,LAUCN510010000000005,2010-04-01,51001
2010,M03,March,15072,,LAUCN510010000000005,2010-03-01,51001
2010,M02,February,14720,,LAUCN510010000000005,2010-02-01,51001
2010,M01,January,14474,,LAUCN510010000000005,2010-01-01,51001
2009,M12,December,17488,,LAUCN510010000000005,2009-12-01,51001
2009,M11,November,17819,,LAUCN510010000000005,2009-11-01,51001
2009,M10,October,18191,,LAUCN510010000000005,2009-10-01,51001
2009,M09,September,18700,,LAUCN510010000000005,2009-09-01,51001
2009,M08,August,19757,,LAUCN510010000000005,2009-08-01,51001
2009,M07,July,20257,,LAUCN510010000000005,2009-07-01,51001
2009,M06,June,19378,,LAUCN510010000000005,2009-06-01,51001
2009,M05,May,18904,,LAUCN510010000000005,2009-05-01,51001
2009,M04,April,18181,,LAUCN510010000000005,2009-04-01,51001
2009,M03,March,17743,,LAUCN510010000000005,2009-03-01,51001
2009,M02,February,17644,,LAUCN510010000000005,2009-02-01,51001
2009,M01,January,17674,,LAUCN510010000000005,2009-01-01,51001
2008,M12,December,17025,,LAUCN510010000000005,2008-12-01,51001
2008,M11,November,17365,,LAUCN510010000000005,2008-11-01,51001
2008,M10,October,17689,,LAUCN510010000000005,2008-10-01,51001
2008,M09,September,18230,,LAUCN510010000000005,2008-09-01,51001
2008,M08,August,18944,,LAUCN510010000000005,2008-08-01,51001
2008,M07,July,19272,,LAUCN510010000000005,2008-07-01,51001
2008,M06,June,19057,,LAUCN510010000000005,2008-06-01,51001
2008,M05,May,18266,,LAUCN510010000000005,2008-05-01,51001
2008,M04,April,17858,,LAUCN510010000000005,2008-04-01,51001
2008,M03,March,17374,,LAUCN510010000000005,2008-03-01,51001
2008,M02,February,17049,,LAUCN510010000000005,2008-02-01,51001
2008,M01,January,17435,,LAUCN510010000000005,2008-01-01,51001
2017,M12,December,53952,,LAUCN510030000000005,2017-12-01,51003
2017,M11,November,54033,,LAUCN510030000000005,2017-11-01,51003
2017,M10,October,54149,,LAUCN510030000000005,2017-10-01,51003
2017,M09,September,55018,,LAUCN510030000000005,2017-09-01,51003
2017,M08,August,52898,,LAUCN510030000000005,2017-08-01,51003
2017,M07,July,53579,,LAUCN510030000000005,2017-07-01,51003
2017,M06,June,54250,,LAUCN510030000000005,2017-06-01,51003
2017,M05,May,54123,,LAUCN510030000000005,2017-05-01,51003
2017,M04,April,54517,,LAUCN510030000000005,2017-04-01,51003
2017,M03,March,53877,,LAUCN510030000000005,2017-03-01,51003
2017,M02,February,53414,,LAUCN510030000000005,2017-02-01,51003
2017,M01,January,51935,,LAUCN510030000000005,2017-01-01,51003
2016,M12,December,53009,,LAUCN510030000000005,2016-12-01,51003
2016,M11,November,53300,,LAUCN510030000000005,2016-11-01,51003
2016,M10,October,53036,,LAUCN510030000000005,2016-10-01,51003
2016,M09,September,53649,,LAUCN510030000000005,2016-09-01,51003
2016,M08,August,51814,,LAUCN510030000000005,2016-08-01,51003
2016,M07,July,52073,,LAUCN510030000000005,2016-07-01,51003
2016,M06,June,52722,,LAUCN510030000000005,2016-06-01,51003
2016,M05,May,52420,,LAUCN510030000000005,2016-05-01,51003
2016,M04,April,53168,,LAUCN510030000000005,2016-04-01,51003
2016,M03,March,52714,,LAUCN510030000000005,2016-03-01,51003
2016,M02,February,52598,,LAUCN510030000000005,2016-02-01,51003
2016,M01,January,51074,,LAUCN510030000000005,2016-01-01,51003
2015,M12,December,51992,,LAUCN510030000000005,2015-12-01,51003
2015,M11,November,52366,,LAUCN510030000000005,2015-11-01,51003
2015,M10,October,51971,,LAUCN510030000000005,2015-10-01,51003
2015,M09,September,52174,,LAUCN510030000000005,2015-09-01,51003
2015,M08,August,50964,,LAUCN510030000000005,2015-08-01,51003
2015,M07,July,51673,,LAUCN510030000000005,2015-07-01,51003
2015,M06,June,52002,,LAUCN510030000000005,2015-06-01,51003
2015,M05,May,52521,,LAUCN510030000000005,2015-05-01,51003
2015,M04,April,53113,,LAUCN510030000000005,2015-04-01,51003
2015,M03,March,52351,,LAUCN510030000000005,2015-03-01,51003
2015,M02,February,52298,,LAUCN510030000000005,2015-02-01,51003
2015,M01,January,51215,,LAUCN510030000000005,2015-01-01,51003
2014,M12,December,51701,,LAUCN510030000000005,2014-12-01,51003
2014,M11,November,52090,,LAUCN510030000000005,2014-11-01,51003
2014,M10,October,51725,,LAUCN510030000000005,2014-10-01,51003
2014,M09,September,52001,,LAUCN510030000000005,2014-09-01,51003
2014,M08,August,50374,,LAUCN510030000000005,2014-08-01,51003
2014,M07,July,50936,,LAUCN510030000000005,2014-07-01,51003
2014,M06,June,51578,,LAUCN510030000000005,2014-06-01,51003
2014,M05,May,52170,,LAUCN510030000000005,2014-05-01,51003
2014,M04,April,52424,,LAUCN510030000000005,2014-04-01,51003
2014,M03,March,51504,,LAUCN510030000000005,2014-03-01,51003
2014,M02,February,50909,,LAUCN510030000000005,2014-02-01,51003
2014,M01,January,49593,,LAUCN510030000000005,2014-01-01,51003
2013,M12,December,49926,,LAUCN510030000000005,2013-12-01,51003
2013,M11,November,50223,,LAUCN510030000000005,2013-11-01,51003
2013,M10,October,49900,,LAUCN510030000000005,2013-10-01,51003
2013,M09,September,50343,,LAUCN510030000000005,2013-09-01,51003
2013,M08,August,49163,,LAUCN510030000000005,2013-08-01,51003
