year,period,periodName,employment,footnotes,seriesID,date,fips,name_long,name_short,cbsa_title,hu
2022,M13,Annual,15226,,LAUCN510010000000005,2022-12-01,51001,Accomack County,Accomack,Non-Metro,22044
2021,M13,Annual,14729,,LAUCN510010000000005,2021-12-01,51001,Accomack County,Accomack,Non-Metro,21870
2020,M13,Annual,14858,,LAUCN510010000000005,2020-12-01,51001,Accomack County,Accomack,Non-Metro,21713
2019,M13,Annual,16057,,LAUCN510010000000005,2019-12-01,51001,Accomack County,Accomack,Non-Metro,21319
2018,M13,Annual,16169,,LAUCN510010000000005,2018-12-01,51001,Accomack County,Accomack,Non-Metro,21272
2017,M13,Annual,16035,,LAUCN510010000000005,2017-12-01,51001,Accomack County,Accomack,Non-Metro,21251
2016,M13,Annual,15060,,LAUCN510010000000005,2016-12-01,51001,Accomack County,Accomack,Non-Metro,21237
2015,M13,Annual,15082,,LAUCN510010000000005,2015-12-01,51001,Accomack County,Accomack,Non-Metro,21231
2014,M13,Annual,15056,,LAUCN510010000000005,2014-12-01,51001,Accomack County,Accomack,Non-Metro,21206
2013,M13,Annual,15083,,LAUCN510010000000005,2013-12-01,51001,Accomack County,Accomack,Non-Metro,21158
2012,M13,Annual,15123,,LAUCN510010000000005,2012-12-01,51001,Accomack County,Accomack,Non-Metro,21095
2011,M13,Annual,15177,,LAUCN510010000000005,2011-12-01,51001,Accomack County,Accomack,Non-Metro,21065
2010,M13,Annual,15471,,LAUCN510010000000005,2010-12-01,51001,Accomack County,Accomack,Non-Metro,21002
2022,M13,Annual,56633,,LAUCN510030000000005,2022-12-01,51003,Albemarle County,Albemarle,"Charlottesville, VA",49210
2021,M13,Annual,54591,,LAUCN510030000000005,2021-12-01,51003,Albemarle County,Albemarle,"Charlottesville, VA",48414
2020,M13,Annual,53011,,LAUCN510030000000005,2020-12-01,51003,Albemarle County,Albemarle,"Charlottesville, VA",47507
2019,M13,Annual,56725,,LAUCN510030000000005,2019-12-01,51003,Albemarle County,Albemarle,"Charlottesville, VA",47081
2018,M13,Annual,54914,,LAUCN510030000000005,2018-12-01,51003,Albemarle County,Albemarle,"Charlottesville, VA",46080
2017,M13,Annual,54055,,LAUCN510030000000005,2017-12-01,51003,Albemarle County,Albemarle,"Charlottesville, VA",45352
2016,M13,Annual,52631,,LAUCN510030000000005,2016-12-01,51003,Albemarle County,Albemarle,"Charlottesville, VA",44723
2015,M13,Annual,52053,,LAUCN510030000000005,2015-12-01,51003,Albemarle County,Albemarle,"Charlottesville, VA",44300
2014,M13,Annual,51417,,LAUCN510030000000005,2014-12-01,51003,Albemarle County,Albemarle,"Charlottesville, VA",43965
2013,M13,Annual,50068,,LAUCN510030000000005,2013-12-01,51003,Albemarle County,Albemarle,"Charlottesville, VA",43618
2012,M13,Annual,49877,,LAUCN510030000000005,2012-12-01,51003,Albemarle County,Albemarle,"Charlottesville, VA",43347
2011,M13,Annual,49185,,LAUCN510030000000005,2011-12-01,51003,Albemarle County,Albemarle,"Charlottesville, VA",42742
2010,M13,Annual,47912,,LAUCN510030000000005,2010-12-01,51003,Albemarle County,Albemarle,"Charlottesville, VA",42122
2022,M13,Annual,6474,,LAUCN510050000000005,2022-12-01,51005,Alleghany County,Alleghany,Non-Metro,7910
2021,M13,Annual,6306,,LAUCN510050000000005,2021-12-01,51005,Alleghany County,Alleghany,Non-Metro,7922
