year,period,periodName,latest,employment,footnotes,seriesID,date,fips,NAME,DATE,variable,hu,longdate,counttype
2020,M13,Annual,NA,15011,,LAUCN510010000000005,2020-12-01,51001,"Accomack County, Virginia",13,H1_001N,21703,4/1/2020,Census population
2019,M13,Annual,NA,16116,,LAUCN510010000000005,2019-12-01,51001,"Accomack County, Virginia",12,HUEST,21319,7/1/2019,Population estimate
2018,M13,Annual,NA,16187,,LAUCN510010000000005,2018-12-01,51001,"Accomack County, Virginia",11,HUEST,21272,7/1/2018,Population estimate
2017,M13,Annual,NA,15963,,LAUCN510010000000005,2017-12-01,51001,"Accomack County, Virginia",10,HUEST,21251,7/1/2017,Population estimate
2016,M13,Annual,NA,15060,,LAUCN510010000000005,2016-12-01,51001,"Accomack County, Virginia",9,HUEST,21237,7/1/2016,Population estimate
2015,M13,Annual,NA,15082,,LAUCN510010000000005,2015-12-01,51001,"Accomack County, Virginia",8,HUEST,21231,7/1/2015,Population estimate
2014,M13,Annual,NA,15056,,LAUCN510010000000005,2014-12-01,51001,"Accomack County, Virginia",7,HUEST,21206,7/1/2014,Population estimate
2013,M13,Annual,NA,15083,,LAUCN510010000000005,2013-12-01,51001,"Accomack County, Virginia",6,HUEST,21158,7/1/2013,Population estimate
2012,M13,Annual,NA,15123,,LAUCN510010000000005,2012-12-01,51001,"Accomack County, Virginia",5,HUEST,21095,7/1/2012,Population estimate
2011,M13,Annual,NA,15177,,LAUCN510010000000005,2011-12-01,51001,"Accomack County, Virginia",4,HUEST,21065,7/1/2011,Population estimate
2010,M13,Annual,NA,15471,,LAUCN510010000000005,2010-12-01,51001,"Accomack County, Virginia",1,HUEST,21002,4/1/2010,Census population
2010,M13,Annual,NA,15471,,LAUCN510010000000005,2010-12-01,51001,"Accomack County, Virginia",2,HUEST,21001,4/1/2010,Estimates base
2010,M13,Annual,NA,15471,,LAUCN510010000000005,2010-12-01,51001,"Accomack County, Virginia",3,HUEST,21015,7/1/2010,Population estimate
2020,M13,Annual,NA,52792,,LAUCN510030000000005,2020-12-01,51003,"Albemarle County, Virginia",13,H1_001N,47291,4/1/2020,Census population
2019,M13,Annual,NA,56939,,LAUCN510030000000005,2019-12-01,51003,"Albemarle County, Virginia",12,HUEST,47081,7/1/2019,Population estimate
2018,M13,Annual,NA,54975,,LAUCN510030000000005,2018-12-01,51003,"Albemarle County, Virginia",11,HUEST,46080,7/1/2018,Population estimate
2017,M13,Annual,NA,53812,,LAUCN510030000000005,2017-12-01,51003,"Albemarle County, Virginia",10,HUEST,45352,7/1/2017,Population estimate
2016,M13,Annual,NA,52631,,LAUCN510030000000005,2016-12-01,51003,"Albemarle County, Virginia",9,HUEST,44723,7/1/2016,Population estimate
2015,M13,Annual,NA,52053,,LAUCN510030000000005,2015-12-01,51003,"Albemarle County, Virginia",8,HUEST,44300,7/1/2015,Population estimate
2014,M13,Annual,NA,51417,,LAUCN510030000000005,2014-12-01,51003,"Albemarle County, Virginia",7,HUEST,43965,7/1/2014,Population estimate
2013,M13,Annual,NA,50068,,LAUCN510030000000005,2013-12-01,51003,"Albemarle County, Virginia",6,HUEST,43618,7/1/2013,Population estimate
2012,M13,Annual,NA,49877,,LAUCN510030000000005,2012-12-01,51003,"Albemarle County, Virginia",5,HUEST,43347,7/1/2012,Population estimate
2011,M13,Annual,NA,49185,,LAUCN510030000000005,2011-12-01,51003,"Albemarle County, Virginia",4,HUEST,42742,7/1/2011,Population estimate
2010,M13,Annual,NA,47912,,LAUCN510030000000005,2010-12-01,51003,"Albemarle County, Virginia",1,HUEST,42122,4/1/2010,Census population
2010,M13,Annual,NA,47912,,LAUCN510030000000005,2010-12-01,51003,"Albemarle County, Virginia",2,HUEST,42120,4/1/2010,Estimates base
2010,M13,Annual,NA,47912,,LAUCN510030000000005,2010-12-01,51003,"Albemarle County, Virginia",3,HUEST,42180,7/1/2010,Population estimate
2020,M13,Annual,NA,6376,,LAUCN510050000000005,2020-12-01,51005,"Alleghany County, Virginia",13,H1_001N,7934,4/1/2020,Census population
2019,M13,Annual,NA,6784,,LAUCN510050000000005,2019-12-01,51005,"Alleghany County, Virginia",12,HUEST,8010,7/1/2019,Population estimate
2018,M13,Annual,NA,6707,,LAUCN510050000000005,2018-12-01,51005,"Alleghany County, Virginia",11,HUEST,8019,7/1/2018,Population estimate
2017,M13,Annual,NA,6719,,LAUCN510050000000005,2017-12-01,51005,"Alleghany County, Virginia",10,HUEST,8026,7/1/2017,Population estimate
2016,M13,Annual,NA,6593,,LAUCN510050000000005,2016-12-01,51005,"Alleghany County, Virginia",9,HUEST,8037,7/1/2016,Population estimate
2015,M13,Annual,NA,6722,,LAUCN510050000000005,2015-12-01,51005,"Alleghany County, Virginia",8,HUEST,8044,7/1/2015,Population estimate
2014,M13,Annual,NA,6801,,LAUCN510050000000005,2014-12-01,51005,"Alleghany County, Virginia",7,HUEST,8049,7/1/2014,Population estimate
2013,M13,Annual,NA,7032,,LAUCN510050000000005,2013-12-01,51005,"Alleghany County, Virginia",6,HUEST,8055,7/1/2013,Population estimate
2012,M13,Annual,NA,7248,,LAUCN510050000000005,2012-12-01,51005,"Alleghany County, Virginia",5,HUEST,8062,7/1/2012,Population estimate
2011,M13,Annual,NA,7276,,LAUCN510050000000005,2011-12-01,51005,"Alleghany County, Virginia",4,HUEST,8073,7/1/2011,Population estimate
2010,M13,Annual,NA,7261,,LAUCN510050000000005,2010-12-01,51005,"Alleghany County, Virginia",1,HUEST,8074,4/1/2010,Census population
2010,M13,Annual,NA,7261,,LAUCN510050000000005,2010-12-01,51005,"Alleghany County, Virginia",2,HUEST,8080,4/1/2010,Estimates base
