year,period,periodName,latest,value,footnotes,seriesID,date,fips
2024,M11,November,true,15864,P Preliminary.,LAUCN510010000000006,2024-11-01,51001
2024,M10,October,NA,16136,,LAUCN510010000000006,2024-10-01,51001
2024,M09,September,NA,16155,,LAUCN510010000000006,2024-09-01,51001
2024,M08,August,NA,16568,,LAUCN510010000000006,2024-08-01,51001
2024,M07,July,NA,16573,,LAUCN510010000000006,2024-07-01,51001
2024,M06,June,NA,16408,,LAUCN510010000000006,2024-06-01,51001
2024,M05,May,NA,15880,,LAUCN510010000000006,2024-05-01,51001
2024,M04,April,NA,16079,,LAUCN510010000000006,2024-04-01,51001
2024,M03,March,NA,16087,,LAUCN510010000000006,2024-03-01,51001
2024,M02,February,NA,16146,,LAUCN510010000000006,2024-02-01,51001
2024,M01,January,NA,16226,,LAUCN510010000000006,2024-01-01,51001
2023,M12,December,NA,16021,,LAUCN510010000000006,2023-12-01,51001
2023,M11,November,NA,16177,,LAUCN510010000000006,2023-11-01,51001
2023,M10,October,NA,16374,,LAUCN510010000000006,2023-10-01,51001
2023,M09,September,NA,16381,,LAUCN510010000000006,2023-09-01,51001
2023,M08,August,NA,16631,,LAUCN510010000000006,2023-08-01,51001
2023,M07,July,NA,16949,,LAUCN510010000000006,2023-07-01,51001
2023,M06,June,NA,16603,,LAUCN510010000000006,2023-06-01,51001
2023,M05,May,NA,15993,,LAUCN510010000000006,2023-05-01,51001
2023,M04,April,NA,16113,,LAUCN510010000000006,2023-04-01,51001
2023,M03,March,NA,15799,,LAUCN510010000000006,2023-03-01,51001
2023,M02,February,NA,15720,,LAUCN510010000000006,2023-02-01,51001
2023,M01,January,NA,15658,,LAUCN510010000000006,2023-01-01,51001
2022,M12,December,NA,15530,,LAUCN510010000000006,2022-12-01,51001
2022,M11,November,NA,15454,,LAUCN510010000000006,2022-11-01,51001
2022,M10,October,NA,15714,,LAUCN510010000000006,2022-10-01,51001
2022,M09,September,NA,15659,,LAUCN510010000000006,2022-09-01,51001
2022,M08,August,NA,15977,,LAUCN510010000000006,2022-08-01,51001
2022,M07,July,NA,16249,,LAUCN510010000000006,2022-07-01,51001
2022,M06,June,NA,16177,,LAUCN510010000000006,2022-06-01,51001
2022,M05,May,NA,15669,,LAUCN510010000000006,2022-05-01,51001
2022,M04,April,NA,15562,,LAUCN510010000000006,2022-04-01,51001
2022,M03,March,NA,15154,,LAUCN510010000000006,2022-03-01,51001
2022,M02,February,NA,14959,,LAUCN510010000000006,2022-02-01,51001
2022,M01,January,NA,14906,,LAUCN510010000000006,2022-01-01,51001
2021,M12,December,NA,14934,,LAUCN510010000000006,2021-12-01,51001
2021,M11,November,NA,14955,,LAUCN510010000000006,2021-11-01,51001
2021,M10,October,NA,15363,,LAUCN510010000000006,2021-10-01,51001
2021,M09,September,NA,15162,,LAUCN510010000000006,2021-09-01,51001
2021,M08,August,NA,15758,,LAUCN510010000000006,2021-08-01,51001
2021,M07,July,NA,15885,,LAUCN510010000000006,2021-07-01,51001
2021,M06,June,NA,15890,,LAUCN510010000000006,2021-06-01,51001
2021,M05,May,NA,15290,,LAUCN510010000000006,2021-05-01,51001
2021,M04,April,NA,15183,,LAUCN510010000000006,2021-04-01,51001
2021,M03,March,NA,15149,,LAUCN510010000000006,2021-03-01,51001
2021,M02,February,NA,15148,,LAUCN510010000000006,2021-02-01,51001
2021,M01,January,NA,15336,,LAUCN510010000000006,2021-01-01,51001
2020,M12,December,NA,15384,,LAUCN510010000000006,2020-12-01,51001
2020,M11,November,NA,15723,,LAUCN510010000000006,2020-11-01,51001
