year,period,periodName,latest,value,footnotes,seriesID,date,fips
2021,M12,December,true,16026,P Preliminary.,LAUCN510010000000006,2021-12-01,51001
2021,M11,November,NA,16174,,LAUCN510010000000006,2021-11-01,51001
2021,M10,October,NA,16249,,LAUCN510010000000006,2021-10-01,51001
2021,M09,September,NA,15928,,LAUCN510010000000006,2021-09-01,51001
2021,M08,August,NA,16293,,LAUCN510010000000006,2021-08-01,51001
2021,M07,July,NA,16613,,LAUCN510010000000006,2021-07-01,51001
2021,M06,June,NA,16301,,LAUCN510010000000006,2021-06-01,51001
2021,M05,May,NA,15715,,LAUCN510010000000006,2021-05-01,51001
2021,M04,April,NA,15668,,LAUCN510010000000006,2021-04-01,51001
2021,M03,March,NA,15493,,LAUCN510010000000006,2021-03-01,51001
2021,M02,February,NA,15372,,LAUCN510010000000006,2021-02-01,51001
2021,M01,January,NA,15686,,LAUCN510010000000006,2021-01-01,51001
2020,M12,December,NA,15878,,LAUCN510010000000006,2020-12-01,51001
2020,M11,November,NA,16028,,LAUCN510010000000006,2020-11-01,51001
2020,M10,October,NA,16149,,LAUCN510010000000006,2020-10-01,51001
2020,M09,September,NA,15673,,LAUCN510010000000006,2020-09-01,51001
2020,M08,August,NA,16332,,LAUCN510010000000006,2020-08-01,51001
2020,M07,July,NA,16283,,LAUCN510010000000006,2020-07-01,51001
2020,M06,June,NA,16215,,LAUCN510010000000006,2020-06-01,51001
2020,M05,May,NA,15412,,LAUCN510010000000006,2020-05-01,51001
2020,M04,April,NA,16189,,LAUCN510010000000006,2020-04-01,51001
2020,M03,March,NA,16091,,LAUCN510010000000006,2020-03-01,51001
2020,M02,February,NA,16172,,LAUCN510010000000006,2020-02-01,51001
2020,M01,January,NA,16196,,LAUCN510010000000006,2020-01-01,51001
2019,M12,December,NA,16286,,LAUCN510010000000006,2019-12-01,51001
2019,M11,November,NA,16367,,LAUCN510010000000006,2019-11-01,51001
2019,M10,October,NA,16520,,LAUCN510010000000006,2019-10-01,51001
2019,M09,September,NA,16600,,LAUCN510010000000006,2019-09-01,51001
2019,M08,August,NA,17103,,LAUCN510010000000006,2019-08-01,51001
2019,M07,July,NA,17298,,LAUCN510010000000006,2019-07-01,51001
2019,M06,June,NA,17394,,LAUCN510010000000006,2019-06-01,51001
2019,M05,May,NA,16668,,LAUCN510010000000006,2019-05-01,51001
2019,M04,April,NA,16559,,LAUCN510010000000006,2019-04-01,51001
2019,M03,March,NA,16296,,LAUCN510010000000006,2019-03-01,51001
2019,M02,February,NA,16601,,LAUCN510010000000006,2019-02-01,51001
2019,M01,January,NA,16539,,LAUCN510010000000006,2019-01-01,51001
2018,M12,December,NA,16829,,LAUCN510010000000006,2018-12-01,51001
2018,M11,November,NA,16792,,LAUCN510010000000006,2018-11-01,51001
2018,M10,October,NA,16648,,LAUCN510010000000006,2018-10-01,51001
2018,M09,September,NA,16784,,LAUCN510010000000006,2018-09-01,51001
2018,M08,August,NA,17118,,LAUCN510010000000006,2018-08-01,51001
2018,M07,July,NA,17561,,LAUCN510010000000006,2018-07-01,51001
2018,M06,June,NA,17410,,LAUCN510010000000006,2018-06-01,51001
2018,M05,May,NA,16899,,LAUCN510010000000006,2018-05-01,51001
2018,M04,April,NA,16789,,LAUCN510010000000006,2018-04-01,51001
2018,M03,March,NA,16533,,LAUCN510010000000006,2018-03-01,51001
2018,M02,February,NA,16377,,LAUCN510010000000006,2018-02-01,51001
2018,M01,January,NA,16117,,LAUCN510010000000006,2018-01-01,51001
2017,M12,December,NA,16574,,LAUCN510010000000006,2017-12-01,51001
2017,M11,November,NA,16411,,LAUCN510010000000006,2017-11-01,51001
2017,M10,October,NA,16713,,LAUCN510010000000006,2017-10-01,51001
2017,M09,September,NA,16877,,LAUCN510010000000006,2017-09-01,51001
2017,M08,August,NA,17090,,LAUCN510010000000006,2017-08-01,51001
2017,M07,July,NA,17566,,LAUCN510010000000006,2017-07-01,51001
2017,M06,June,NA,17428,,LAUCN510010000000006,2017-06-01,51001
2017,M05,May,NA,16905,,LAUCN510010000000006,2017-05-01,51001
2017,M04,April,NA,16871,,LAUCN510010000000006,2017-04-01,51001
2017,M03,March,NA,16163,,LAUCN510010000000006,2017-03-01,51001
2017,M02,February,NA,16122,,LAUCN510010000000006,2017-02-01,51001
2017,M01,January,NA,15846,,LAUCN510010000000006,2017-01-01,51001
2016,M12,December,NA,15551,,LAUCN510010000000006,2016-12-01,51001
2016,M11,November,NA,15504,,LAUCN510010000000006,2016-11-01,51001
2016,M10,October,NA,15614,,LAUCN510010000000006,2016-10-01,51001
2016,M09,September,NA,15935,,LAUCN510010000000006,2016-09-01,51001
2016,M08,August,NA,16469,,LAUCN510010000000006,2016-08-01,51001
2016,M07,July,NA,16855,,LAUCN510010000000006,2016-07-01,51001
2016,M06,June,NA,16441,,LAUCN510010000000006,2016-06-01,51001
2016,M05,May,NA,16015,,LAUCN510010000000006,2016-05-01,51001
2016,M04,April,NA,15679,,LAUCN510010000000006,2016-04-01,51001
2016,M03,March,NA,15404,,LAUCN510010000000006,2016-03-01,51001
2016,M02,February,NA,15305,,LAUCN510010000000006,2016-02-01,51001
2016,M01,January,NA,15067,,LAUCN510010000000006,2016-01-01,51001
2015,M12,December,NA,15266,,LAUCN510010000000006,2015-12-01,51001
2015,M11,November,NA,15367,,LAUCN510010000000006,2015-11-01,51001
2015,M10,October,NA,15563,,LAUCN510010000000006,2015-10-01,51001
2015,M09,September,NA,15873,,LAUCN510010000000006,2015-09-01,51001
2015,M08,August,NA,16599,,LAUCN510010000000006,2015-08-01,51001
2015,M07,July,NA,17291,,LAUCN510010000000006,2015-07-01,51001
2015,M06,June,NA,16709,,LAUCN510010000000006,2015-06-01,51001
2015,M05,May,NA,16378,,LAUCN510010000000006,2015-05-01,51001
2015,M04,April,NA,15961,,LAUCN510010000000006,2015-04-01,51001
2015,M03,March,NA,15557,,LAUCN510010000000006,2015-03-01,51001
2015,M02,February,NA,15357,,LAUCN510010000000006,2015-02-01,51001
2015,M01,January,NA,15338,,LAUCN510010000000006,2015-01-01,51001
2014,M12,December,NA,15545,,LAUCN510010000000006,2014-12-01,51001
2014,M11,November,NA,15658,,LAUCN510010000000006,2014-11-01,51001
2014,M10,October,NA,16110,,LAUCN510010000000006,2014-10-01,51001
2014,M09,September,NA,16148,,LAUCN510010000000006,2014-09-01,51001
2014,M08,August,NA,16312,,LAUCN510010000000006,2014-08-01,51001
2014,M07,July,NA,16953,,LAUCN510010000000006,2014-07-01,51001
2014,M06,June,NA,16538,,LAUCN510010000000006,2014-06-01,51001
2014,M05,May,NA,16383,,LAUCN510010000000006,2014-05-01,51001
2014,M04,April,NA,16089,,LAUCN510010000000006,2014-04-01,51001
2014,M03,March,NA,16150,,LAUCN510010000000006,2014-03-01,51001
2014,M02,February,NA,15611,,LAUCN510010000000006,2014-02-01,51001
2014,M01,January,NA,15840,,LAUCN510010000000006,2014-01-01,51001
2013,M12,December,NA,15668,,LAUCN510010000000006,2013-12-01,51001
