year,period,periodName,latest,value,footnotes,seriesID,date,fips
2023,M12,December,true,567,P Preliminary.,LAUCN510010000000004,2023-12-01,51001
2023,M11,November,NA,544,,LAUCN510010000000004,2023-11-01,51001
2023,M10,October,NA,546,,LAUCN510010000000004,2023-10-01,51001
2023,M09,September,NA,533,,LAUCN510010000000004,2023-09-01,51001
2023,M08,August,NA,546,,LAUCN510010000000004,2023-08-01,51001
2023,M07,July,NA,495,,LAUCN510010000000004,2023-07-01,51001
2023,M06,June,NA,517,,LAUCN510010000000004,2023-06-01,51001
2023,M05,May,NA,502,,LAUCN510010000000004,2023-05-01,51001
2023,M04,April,NA,502,,LAUCN510010000000004,2023-04-01,51001
2023,M03,March,NA,620,,LAUCN510010000000004,2023-03-01,51001
2023,M02,February,NA,717,,LAUCN510010000000004,2023-02-01,51001
2023,M01,January,NA,742,,LAUCN510010000000004,2023-01-01,51001
2022,M12,December,NA,564,,LAUCN510010000000004,2022-12-01,51001
2022,M11,November,NA,540,,LAUCN510010000000004,2022-11-01,51001
2022,M10,October,NA,479,,LAUCN510010000000004,2022-10-01,51001
2022,M09,September,NA,471,,LAUCN510010000000004,2022-09-01,51001
2022,M08,August,NA,568,,LAUCN510010000000004,2022-08-01,51001
2022,M07,July,NA,522,,LAUCN510010000000004,2022-07-01,51001
2022,M06,June,NA,515,,LAUCN510010000000004,2022-06-01,51001
2022,M05,May,NA,490,,LAUCN510010000000004,2022-05-01,51001
2022,M04,April,NA,431,,LAUCN510010000000004,2022-04-01,51001
2022,M03,March,NA,519,,LAUCN510010000000004,2022-03-01,51001
2022,M02,February,NA,533,,LAUCN510010000000004,2022-02-01,51001
2022,M01,January,NA,553,,LAUCN510010000000004,2022-01-01,51001
2021,M12,December,NA,445,,LAUCN510010000000004,2021-12-01,51001
2021,M11,November,NA,375,,LAUCN510010000000004,2021-11-01,51001
2021,M10,October,NA,458,,LAUCN510010000000004,2021-10-01,51001
2021,M09,September,NA,514,,LAUCN510010000000004,2021-09-01,51001
2021,M08,August,NA,626,,LAUCN510010000000004,2021-08-01,51001
2021,M07,July,NA,705,,LAUCN510010000000004,2021-07-01,51001
2021,M06,June,NA,781,,LAUCN510010000000004,2021-06-01,51001
2021,M05,May,NA,720,,LAUCN510010000000004,2021-05-01,51001
2021,M04,April,NA,715,,LAUCN510010000000004,2021-04-01,51001
2021,M03,March,NA,846,,LAUCN510010000000004,2021-03-01,51001
2021,M02,February,NA,880,,LAUCN510010000000004,2021-02-01,51001
2021,M01,January,NA,936,,LAUCN510010000000004,2021-01-01,51001
2020,M12,December,NA,757,,LAUCN510010000000004,2020-12-01,51001
2020,M11,November,NA,779,,LAUCN510010000000004,2020-11-01,51001
2020,M10,October,NA,808,,LAUCN510010000000004,2020-10-01,51001
2020,M09,September,NA,942,,LAUCN510010000000004,2020-09-01,51001
2020,M08,August,NA,1176,,LAUCN510010000000004,2020-08-01,51001
2020,M07,July,NA,1384,,LAUCN510010000000004,2020-07-01,51001
2020,M06,June,NA,1590,,LAUCN510010000000004,2020-06-01,51001
2020,M05,May,NA,1596,,LAUCN510010000000004,2020-05-01,51001
2020,M04,April,NA,1663,,LAUCN510010000000004,2020-04-01,51001
2020,M03,March,NA,751,,LAUCN510010000000004,2020-03-01,51001
2020,M02,February,NA,688,,LAUCN510010000000004,2020-02-01,51001
2020,M01,January,NA,769,,LAUCN510010000000004,2020-01-01,51001
2019,M12,December,NA,579,,LAUCN510010000000004,2019-12-01,51001
2019,M11,November,NA,507,,LAUCN510010000000004,2019-11-01,51001
2019,M10,October,NA,477,,LAUCN510010000000004,2019-10-01,51001
2019,M09,September,NA,482,,LAUCN510010000000004,2019-09-01,51001
2019,M08,August,NA,537,,LAUCN510010000000004,2019-08-01,51001
2019,M07,July,NA,545,,LAUCN510010000000004,2019-07-01,51001
2019,M06,June,NA,525,,LAUCN510010000000004,2019-06-01,51001
2019,M05,May,NA,538,,LAUCN510010000000004,2019-05-01,51001
2019,M04,April,NA,525,,LAUCN510010000000004,2019-04-01,51001
2019,M03,March,NA,645,,LAUCN510010000000004,2019-03-01,51001
2019,M02,February,NA,765,,LAUCN510010000000004,2019-02-01,51001
2019,M01,January,NA,902,,LAUCN510010000000004,2019-01-01,51001
2018,M12,December,NA,661,,LAUCN510010000000004,2018-12-01,51001
2018,M11,November,NA,566,,LAUCN510010000000004,2018-11-01,51001
2018,M10,October,NA,528,,LAUCN510010000000004,2018-10-01,51001
2018,M09,September,NA,532,,LAUCN510010000000004,2018-09-01,51001
