year,period,periodName,latest,value,footnotes,seriesID,date,fips
2021,M12,December,true,432,P Preliminary.,LAUCN510010000000004,2021-12-01,51001
2021,M11,November,NA,466,,LAUCN510010000000004,2021-11-01,51001
2021,M10,October,NA,440,,LAUCN510010000000004,2021-10-01,51001
2021,M09,September,NA,479,,LAUCN510010000000004,2021-09-01,51001
2021,M08,August,NA,579,,LAUCN510010000000004,2021-08-01,51001
2021,M07,July,NA,660,,LAUCN510010000000004,2021-07-01,51001
2021,M06,June,NA,741,,LAUCN510010000000004,2021-06-01,51001
2021,M05,May,NA,682,,LAUCN510010000000004,2021-05-01,51001
2021,M04,April,NA,681,,LAUCN510010000000004,2021-04-01,51001
2021,M03,March,NA,942,,LAUCN510010000000004,2021-03-01,51001
2021,M02,February,NA,996,,LAUCN510010000000004,2021-02-01,51001
2021,M01,January,NA,1076,,LAUCN510010000000004,2021-01-01,51001
2020,M12,December,NA,980,,LAUCN510010000000004,2020-12-01,51001
2020,M11,November,NA,860,,LAUCN510010000000004,2020-11-01,51001
2020,M10,October,NA,855,,LAUCN510010000000004,2020-10-01,51001
2020,M09,September,NA,975,,LAUCN510010000000004,2020-09-01,51001
2020,M08,August,NA,1109,,LAUCN510010000000004,2020-08-01,51001
2020,M07,July,NA,1212,,LAUCN510010000000004,2020-07-01,51001
2020,M06,June,NA,1392,,LAUCN510010000000004,2020-06-01,51001
2020,M05,May,NA,1406,,LAUCN510010000000004,2020-05-01,51001
2020,M04,April,NA,1686,,LAUCN510010000000004,2020-04-01,51001
2020,M03,March,NA,653,,LAUCN510010000000004,2020-03-01,51001
2020,M02,February,NA,642,,LAUCN510010000000004,2020-02-01,51001
2020,M01,January,NA,719,,LAUCN510010000000004,2020-01-01,51001
2019,M12,December,NA,552,,LAUCN510010000000004,2019-12-01,51001
2019,M11,November,NA,470,,LAUCN510010000000004,2019-11-01,51001
2019,M10,October,NA,453,,LAUCN510010000000004,2019-10-01,51001
2019,M09,September,NA,457,,LAUCN510010000000004,2019-09-01,51001
2019,M08,August,NA,524,,LAUCN510010000000004,2019-08-01,51001
2019,M07,July,NA,536,,LAUCN510010000000004,2019-07-01,51001
2019,M06,June,NA,530,,LAUCN510010000000004,2019-06-01,51001
2019,M05,May,NA,514,,LAUCN510010000000004,2019-05-01,51001
2019,M04,April,NA,513,,LAUCN510010000000004,2019-04-01,51001
2019,M03,March,NA,629,,LAUCN510010000000004,2019-03-01,51001
2019,M02,February,NA,769,,LAUCN510010000000004,2019-02-01,51001
2019,M01,January,NA,887,,LAUCN510010000000004,2019-01-01,51001
2018,M12,December,NA,648,,LAUCN510010000000004,2018-12-01,51001
2018,M11,November,NA,539,,LAUCN510010000000004,2018-11-01,51001
2018,M10,October,NA,515,,LAUCN510010000000004,2018-10-01,51001
2018,M09,September,NA,519,,LAUCN510010000000004,2018-09-01,51001
2018,M08,August,NA,601,,LAUCN510010000000004,2018-08-01,51001
2018,M07,July,NA,595,,LAUCN510010000000004,2018-07-01,51001
2018,M06,June,NA,604,,LAUCN510010000000004,2018-06-01,51001
2018,M05,May,NA,574,,LAUCN510010000000004,2018-05-01,51001
2018,M04,April,NA,584,,LAUCN510010000000004,2018-04-01,51001
2018,M03,March,NA,755,,LAUCN510010000000004,2018-03-01,51001
2018,M02,February,NA,838,,LAUCN510010000000004,2018-02-01,51001
2018,M01,January,NA,837,,LAUCN510010000000004,2018-01-01,51001
2017,M12,December,NA,717,,LAUCN510010000000004,2017-12-01,51001
2017,M11,November,NA,634,,LAUCN510010000000004,2017-11-01,51001
2017,M10,October,NA,637,,LAUCN510010000000004,2017-10-01,51001
2017,M09,September,NA,657,,LAUCN510010000000004,2017-09-01,51001
2017,M08,August,NA,723,,LAUCN510010000000004,2017-08-01,51001
2017,M07,July,NA,715,,LAUCN510010000000004,2017-07-01,51001
2017,M06,June,NA,696,,LAUCN510010000000004,2017-06-01,51001
2017,M05,May,NA,711,,LAUCN510010000000004,2017-05-01,51001
2017,M04,April,NA,712,,LAUCN510010000000004,2017-04-01,51001
2017,M03,March,NA,832,,LAUCN510010000000004,2017-03-01,51001
2017,M02,February,NA,983,,LAUCN510010000000004,2017-02-01,51001
2017,M01,January,NA,989,,LAUCN510010000000004,2017-01-01,51001
2016,M12,December,NA,798,,LAUCN510010000000004,2016-12-01,51001
2016,M11,November,NA,743,,LAUCN510010000000004,2016-11-01,51001
2016,M10,October,NA,704,,LAUCN510010000000004,2016-10-01,51001
2016,M09,September,NA,732,,LAUCN510010000000004,2016-09-01,51001
2016,M08,August,NA,746,,LAUCN510010000000004,2016-08-01,51001
2016,M07,July,NA,731,,LAUCN510010000000004,2016-07-01,51001
2016,M06,June,NA,720,,LAUCN510010000000004,2016-06-01,51001
2016,M05,May,NA,674,,LAUCN510010000000004,2016-05-01,51001
2016,M04,April,NA,671,,LAUCN510010000000004,2016-04-01,51001
2016,M03,March,NA,809,,LAUCN510010000000004,2016-03-01,51001
2016,M02,February,NA,885,,LAUCN510010000000004,2016-02-01,51001
2016,M01,January,NA,909,,LAUCN510010000000004,2016-01-01,51001
2015,M12,December,NA,772,,LAUCN510010000000004,2015-12-01,51001
2015,M11,November,NA,759,,LAUCN510010000000004,2015-11-01,51001
2015,M10,October,NA,679,,LAUCN510010000000004,2015-10-01,51001
2015,M09,September,NA,696,,LAUCN510010000000004,2015-09-01,51001
2015,M08,August,NA,769,,LAUCN510010000000004,2015-08-01,51001
2015,M07,July,NA,802,,LAUCN510010000000004,2015-07-01,51001
2015,M06,June,NA,808,,LAUCN510010000000004,2015-06-01,51001
2015,M05,May,NA,873,,LAUCN510010000000004,2015-05-01,51001
2015,M04,April,NA,836,,LAUCN510010000000004,2015-04-01,51001
2015,M03,March,NA,982,,LAUCN510010000000004,2015-03-01,51001
2015,M02,February,NA,1096,,LAUCN510010000000004,2015-02-01,51001
2015,M01,January,NA,1198,,LAUCN510010000000004,2015-01-01,51001
2014,M12,December,NA,1007,,LAUCN510010000000004,2014-12-01,51001
2014,M11,November,NA,941,,LAUCN510010000000004,2014-11-01,51001
2014,M10,October,NA,867,,LAUCN510010000000004,2014-10-01,51001
2014,M09,September,NA,914,,LAUCN510010000000004,2014-09-01,51001
2014,M08,August,NA,1031,,LAUCN510010000000004,2014-08-01,51001
2014,M07,July,NA,1012,,LAUCN510010000000004,2014-07-01,51001
2014,M06,June,NA,1001,,LAUCN510010000000004,2014-06-01,51001
2014,M05,May,NA,1026,,LAUCN510010000000004,2014-05-01,51001
2014,M04,April,NA,1061,,LAUCN510010000000004,2014-04-01,51001
2014,M03,March,NA,1173,,LAUCN510010000000004,2014-03-01,51001
2014,M02,February,NA,1284,,LAUCN510010000000004,2014-02-01,51001
2014,M01,January,NA,1352,,LAUCN510010000000004,2014-01-01,51001
2013,M12,December,NA,1095,,LAUCN510010000000004,2013-12-01,51001
2013,M11,November,NA,1072,,LAUCN510010000000004,2013-11-01,51001
2013,M10,October,NA,1075,,LAUCN510010000000004,2013-10-01,51001
2013,M09,September,NA,1035,,LAUCN510010000000004,2013-09-01,51001
2013,M08,August,NA,1101,,LAUCN510010000000004,2013-08-01,51001
2013,M07,July,NA,1129,,LAUCN510010000000004,2013-07-01,51001
2013,M06,June,NA,1160,,LAUCN510010000000004,2013-06-01,51001
2013,M05,May,NA,1112,,LAUCN510010000000004,2013-05-01,51001
2013,M04,April,NA,1078,,LAUCN510010000000004,2013-04-01,51001
2013,M03,March,NA,1159,,LAUCN510010000000004,2013-03-01,51001
2013,M02,February,NA,1295,,LAUCN510010000000004,2013-02-01,51001
2013,M01,January,NA,1403,,LAUCN510010000000004,2013-01-01,51001
2012,M12,December,NA,1229,,LAUCN510010000000004,2012-12-01,51001
2012,M11,November,NA,1107,,LAUCN510010000000004,2012-11-01,51001
2012,M10,October,NA,1076,,LAUCN510010000000004,2012-10-01,51001
2012,M09,September,NA,1103,,LAUCN510010000000004,2012-09-01,51001
2012,M08,August,NA,1202,,LAUCN510010000000004,2012-08-01,51001
2012,M07,July,NA,1264,,LAUCN510010000000004,2012-07-01,51001
2012,M06,June,NA,1261,,LAUCN510010000000004,2012-06-01,51001
2012,M05,May,NA,1228,,LAUCN510010000000004,2012-05-01,51001
2012,M04,April,NA,1233,,LAUCN510010000000004,2012-04-01,51001
2012,M03,March,NA,1387,,LAUCN510010000000004,2012-03-01,51001
2012,M02,February,NA,1495,,LAUCN510010000000004,2012-02-01,51001
2012,M01,January,NA,1597,,LAUCN510010000000004,2012-01-01,51001
2011,M12,December,NA,1409,,LAUCN510010000000004,2011-12-01,51001
2011,M11,November,NA,1300,,LAUCN510010000000004,2011-11-01,51001
2011,M10,October,NA,1243,,LAUCN510010000000004,2011-10-01,51001
2011,M09,September,NA,1292,,LAUCN510010000000004,2011-09-01,51001
2011,M08,August,NA,1399,,LAUCN510010000000004,2011-08-01,51001
2011,M07,July,NA,1380,,LAUCN510010000000004,2011-07-01,51001
2011,M06,June,NA,1350,,LAUCN510010000000004,2011-06-01,51001
2011,M05,May,NA,1307,,LAUCN510010000000004,2011-05-01,51001
2011,M04,April,NA,1322,,LAUCN510010000000004,2011-04-01,51001
2011,M03,March,NA,1460,,LAUCN510010000000004,2011-03-01,51001
2011,M02,February,NA,1565,,LAUCN510010000000004,2011-02-01,51001
2011,M01,January,NA,1615,,LAUCN510010000000004,2011-01-01,51001
2010,M12,December,NA,1426,,LAUCN510010000000004,2010-12-01,51001
2010,M11,November,NA,1382,,LAUCN510010000000004,2010-11-01,51001
2010,M10,October,NA,1292,,LAUCN510010000000004,2010-10-01,51001
2010,M09,September,NA,1224,,LAUCN510010000000004,2010-09-01,51001
2010,M08,August,NA,1266,,LAUCN510010000000004,2010-08-01,51001
2010,M07,July,NA,1288,,LAUCN510010000000004,2010-07-01,51001
2010,M06,June,NA,1286,,LAUCN510010000000004,2010-06-01,51001
2010,M05,May,NA,1290,,LAUCN510010000000004,2010-05-01,51001
2010,M04,April,NA,1280,,LAUCN510010000000004,2010-04-01,51001
2010,M03,March,NA,1485,,LAUCN510010000000004,2010-03-01,51001
2010,M02,February,NA,1580,,LAUCN510010000000004,2010-02-01,51001
2010,M01,January,NA,1524,,LAUCN510010000000004,2010-01-01,51001
2009,M12,December,NA,1517,,LAUCN510010000000004,2009-12-01,51001
2009,M11,November,NA,1332,,LAUCN510010000000004,2009-11-01,51001
2009,M10,October,NA,1277,,LAUCN510010000000004,2009-10-01,51001
2009,M09,September,NA,1263,,LAUCN510010000000004,2009-09-01,51001
2009,M08,August,NA,1265,,LAUCN510010000000004,2009-08-01,51001
2009,M07,July,NA,1349,,LAUCN510010000000004,2009-07-01,51001
2009,M06,June,NA,1320,,LAUCN510010000000004,2009-06-01,51001
2009,M05,May,NA,1213,,LAUCN510010000000004,2009-05-01,51001
2009,M04,April,NA,1170,,LAUCN510010000000004,2009-04-01,51001
2009,M03,March,NA,1294,,LAUCN510010000000004,2009-03-01,51001
2009,M02,February,NA,1361,,LAUCN510010000000004,2009-02-01,51001
2009,M01,January,NA,1385,,LAUCN510010000000004,2009-01-01,51001
2008,M12,December,NA,1190,,LAUCN510010000000004,2008-12-01,51001
2008,M11,November,NA,1021,,LAUCN510010000000004,2008-11-01,51001
2008,M10,October,NA,936,,LAUCN510010000000004,2008-10-01,51001
2008,M09,September,NA,922,,LAUCN510010000000004,2008-09-01,51001
2008,M08,August,NA,936,,LAUCN510010000000004,2008-08-01,51001
2008,M07,July,NA,958,,LAUCN510010000000004,2008-07-01,51001
2008,M06,June,NA,995,,LAUCN510010000000004,2008-06-01,51001
2008,M05,May,NA,950,,LAUCN510010000000004,2008-05-01,51001
2008,M04,April,NA,908,,LAUCN510010000000004,2008-04-01,51001
2008,M03,March,NA,1097,,LAUCN510010000000004,2008-03-01,51001
2008,M02,February,NA,1192,,LAUCN510010000000004,2008-02-01,51001
2008,M01,January,NA,1157,,LAUCN510010000000004,2008-01-01,51001
2021,M12,December,true,1159,P Preliminary.,LAUCN510030000000004,2021-12-01,51003
2021,M11,November,NA,1222,,LAUCN510030000000004,2021-11-01,51003
2021,M10,October,NA,1405,,LAUCN510030000000004,2021-10-01,51003
2021,M09,September,NA,1499,,LAUCN510030000000004,2021-09-01,51003
2021,M08,August,NA,1771,,LAUCN510030000000004,2021-08-01,51003
2021,M07,July,NA,1869,,LAUCN510030000000004,2021-07-01,51003
2021,M06,June,NA,2149,,LAUCN510030000000004,2021-06-01,51003
2021,M05,May,NA,1884,,LAUCN510030000000004,2021-05-01,51003
2021,M04,April,NA,1692,,LAUCN510030000000004,2021-04-01,51003
2021,M03,March,NA,2332,,LAUCN510030000000004,2021-03-01,51003
2021,M02,February,NA,2365,,LAUCN510030000000004,2021-02-01,51003
2021,M01,January,NA,2591,,LAUCN510030000000004,2021-01-01,51003
2020,M12,December,NA,2648,,LAUCN510030000000004,2020-12-01,51003
2020,M11,November,NA,2446,,LAUCN510030000000004,2020-11-01,51003
2020,M10,October,NA,2546,,LAUCN510030000000004,2020-10-01,51003
2020,M09,September,NA,2950,,LAUCN510030000000004,2020-09-01,51003
2020,M08,August,NA,3388,,LAUCN510030000000004,2020-08-01,51003
2020,M07,July,NA,4024,,LAUCN510030000000004,2020-07-01,51003
2020,M06,June,NA,4561,,LAUCN510030000000004,2020-06-01,51003
2020,M05,May,NA,4228,,LAUCN510030000000004,2020-05-01,51003
2020,M04,April,NA,5296,,LAUCN510030000000004,2020-04-01,51003
2020,M03,March,NA,1368,,LAUCN510030000000004,2020-03-01,51003
2020,M02,February,NA,1186,,LAUCN510030000000004,2020-02-01,51003
2020,M01,January,NA,1387,,LAUCN510030000000004,2020-01-01,51003
2019,M12,December,NA,1056,,LAUCN510030000000004,2019-12-01,51003
2019,M11,November,NA,1191,,LAUCN510030000000004,2019-11-01,51003
2019,M10,October,NA,1233,,LAUCN510030000000004,2019-10-01,51003
2019,M09,September,NA,1283,,LAUCN510030000000004,2019-09-01,51003
2019,M08,August,NA,1460,,LAUCN510030000000004,2019-08-01,51003
2019,M07,July,NA,1532,,LAUCN510030000000004,2019-07-01,51003
2019,M06,June,NA,1527,,LAUCN510030000000004,2019-06-01,51003
2019,M05,May,NA,1430,,LAUCN510030000000004,2019-05-01,51003
2019,M04,April,NA,1171,,LAUCN510030000000004,2019-04-01,51003
2019,M03,March,NA,1481,,LAUCN510030000000004,2019-03-01,51003
2019,M02,February,NA,1537,,LAUCN510030000000004,2019-02-01,51003
2019,M01,January,NA,1665,,LAUCN510030000000004,2019-01-01,51003
2018,M12,December,NA,1286,,LAUCN510030000000004,2018-12-01,51003
2018,M11,November,NA,1356,,LAUCN510030000000004,2018-11-01,51003
2018,M10,October,NA,1389,,LAUCN510030000000004,2018-10-01,51003
2018,M09,September,NA,1374,,LAUCN510030000000004,2018-09-01,51003
2018,M08,August,NA,1579,,LAUCN510030000000004,2018-08-01,51003
2018,M07,July,NA,1546,,LAUCN510030000000004,2018-07-01,51003
2018,M06,June,NA,1691,,LAUCN510030000000004,2018-06-01,51003
2018,M05,May,NA,1382,,LAUCN510030000000004,2018-05-01,51003
2018,M04,April,NA,1334,,LAUCN510030000000004,2018-04-01,51003
2018,M03,March,NA,1598,,LAUCN510030000000004,2018-03-01,51003
2018,M02,February,NA,1632,,LAUCN510030000000004,2018-02-01,51003
2018,M01,January,NA,1771,,LAUCN510030000000004,2018-01-01,51003
2017,M12,December,NA,1458,,LAUCN510030000000004,2017-12-01,51003
2017,M11,November,NA,1649,,LAUCN510030000000004,2017-11-01,51003
2017,M10,October,NA,1616,,LAUCN510030000000004,2017-10-01,51003
2017,M09,September,NA,1768,,LAUCN510030000000004,2017-09-01,51003
2017,M08,August,NA,1927,,LAUCN510030000000004,2017-08-01,51003
2017,M07,July,NA,1955,,LAUCN510030000000004,2017-07-01,51003
2017,M06,June,NA,2018,,LAUCN510030000000004,2017-06-01,51003
2017,M05,May,NA,1850,,LAUCN510030000000004,2017-05-01,51003
2017,M04,April,NA,1677,,LAUCN510030000000004,2017-04-01,51003
2017,M03,March,NA,1888,,LAUCN510030000000004,2017-03-01,51003
2017,M02,February,NA,1942,,LAUCN510030000000004,2017-02-01,51003
2017,M01,January,NA,2031,,LAUCN510030000000004,2017-01-01,51003
2016,M12,December,NA,1750,,LAUCN510030000000004,2016-12-01,51003
2016,M11,November,NA,1808,,LAUCN510030000000004,2016-11-01,51003
2016,M10,October,NA,2019,,LAUCN510030000000004,2016-10-01,51003
2016,M09,September,NA,2019,,LAUCN510030000000004,2016-09-01,51003
2016,M08,August,NA,2049,,LAUCN510030000000004,2016-08-01,51003
2016,M07,July,NA,2116,,LAUCN510030000000004,2016-07-01,51003
2016,M06,June,NA,2125,,LAUCN510030000000004,2016-06-01,51003
2016,M05,May,NA,1810,,LAUCN510030000000004,2016-05-01,51003
2016,M04,April,NA,1540,,LAUCN510030000000004,2016-04-01,51003
2016,M03,March,NA,1853,,LAUCN510030000000004,2016-03-01,51003
2016,M02,February,NA,1816,,LAUCN510030000000004,2016-02-01,51003
2016,M01,January,NA,1936,,LAUCN510030000000004,2016-01-01,51003
2015,M12,December,NA,1751,,LAUCN510030000000004,2015-12-01,51003
2015,M11,November,NA,1752,,LAUCN510030000000004,2015-11-01,51003
2015,M10,October,NA,1932,,LAUCN510030000000004,2015-10-01,51003
2015,M09,September,NA,1874,,LAUCN510030000000004,2015-09-01,51003
2015,M08,August,NA,1996,,LAUCN510030000000004,2015-08-01,51003
2015,M07,July,NA,2179,,LAUCN510030000000004,2015-07-01,51003
2015,M06,June,NA,2368,,LAUCN510030000000004,2015-06-01,51003
2015,M05,May,NA,2324,,LAUCN510030000000004,2015-05-01,51003
2015,M04,April,NA,1960,,LAUCN510030000000004,2015-04-01,51003
2015,M03,March,NA,2205,,LAUCN510030000000004,2015-03-01,51003
2015,M02,February,NA,2364,,LAUCN510030000000004,2015-02-01,51003
2015,M01,January,NA,2288,,LAUCN510030000000004,2015-01-01,51003
2014,M12,December,NA,2053,,LAUCN510030000000004,2014-12-01,51003
2014,M11,November,NA,2114,,LAUCN510030000000004,2014-11-01,51003
2014,M10,October,NA,2281,,LAUCN510030000000004,2014-10-01,51003
2014,M09,September,NA,2320,,LAUCN510030000000004,2014-09-01,51003
2014,M08,August,NA,2498,,LAUCN510030000000004,2014-08-01,51003
2014,M07,July,NA,2632,,LAUCN510030000000004,2014-07-01,51003
2014,M06,June,NA,2598,,LAUCN510030000000004,2014-06-01,51003
2014,M05,May,NA,2540,,LAUCN510030000000004,2014-05-01,51003
2014,M04,April,NA,2065,,LAUCN510030000000004,2014-04-01,51003
2014,M03,March,NA,2550,,LAUCN510030000000004,2014-03-01,51003
2014,M02,February,NA,2477,,LAUCN510030000000004,2014-02-01,51003
2014,M01,January,NA,2325,,LAUCN510030000000004,2014-01-01,51003
2013,M12,December,NA,2165,,LAUCN510030000000004,2013-12-01,51003
2013,M11,November,NA,2245,,LAUCN510030000000004,2013-11-01,51003
2013,M10,October,NA,2493,,LAUCN510030000000004,2013-10-01,51003
2013,M09,September,NA,2468,,LAUCN510030000000004,2013-09-01,51003
2013,M08,August,NA,2515,,LAUCN510030000000004,2013-08-01,51003
2013,M07,July,NA,2746,,LAUCN510030000000004,2013-07-01,51003
2013,M06,June,NA,2802,,LAUCN510030000000004,2013-06-01,51003
2013,M05,May,NA,2615,,LAUCN510030000000004,2013-05-01,51003
2013,M04,April,NA,2236,,LAUCN510030000000004,2013-04-01,51003
2013,M03,March,NA,2445,,LAUCN510030000000004,2013-03-01,51003
2013,M02,February,NA,2524,,LAUCN510030000000004,2013-02-01,51003
2013,M01,January,NA,2575,,LAUCN510030000000004,2013-01-01,51003
2012,M12,December,NA,2398,,LAUCN510030000000004,2012-12-01,51003
2012,M11,November,NA,2367,,LAUCN510030000000004,2012-11-01,51003
2012,M10,October,NA,2528,,LAUCN510030000000004,2012-10-01,51003
2012,M09,September,NA,2538,,LAUCN510030000000004,2012-09-01,51003
2012,M08,August,NA,2695,,LAUCN510030000000004,2012-08-01,51003
2012,M07,July,NA,2966,,LAUCN510030000000004,2012-07-01,51003
2012,M06,June,NA,2999,,LAUCN510030000000004,2012-06-01,51003
2012,M05,May,NA,2765,,LAUCN510030000000004,2012-05-01,51003
2012,M04,April,NA,2505,,LAUCN510030000000004,2012-04-01,51003
2012,M03,March,NA,2872,,LAUCN510030000000004,2012-03-01,51003
2012,M02,February,NA,2939,,LAUCN510030000000004,2012-02-01,51003
2012,M01,January,NA,2758,,LAUCN510030000000004,2012-01-01,51003
2011,M12,December,NA,2663,,LAUCN510030000000004,2011-12-01,51003
2011,M11,November,NA,2674,,LAUCN510030000000004,2011-11-01,51003
2011,M10,October,NA,2895,,LAUCN510030000000004,2011-10-01,51003
2011,M09,September,NA,3044,,LAUCN510030000000004,2011-09-01,51003
2011,M08,August,NA,3055,,LAUCN510030000000004,2011-08-01,51003
2011,M07,July,NA,3102,,LAUCN510030000000004,2011-07-01,51003
2011,M06,June,NA,3138,,LAUCN510030000000004,2011-06-01,51003
2011,M05,May,NA,2842,,LAUCN510030000000004,2011-05-01,51003
2011,M04,April,NA,2605,,LAUCN510030000000004,2011-04-01,51003
2011,M03,March,NA,2867,,LAUCN510030000000004,2011-03-01,51003
2011,M02,February,NA,2842,,LAUCN510030000000004,2011-02-01,51003
2011,M01,January,NA,3009,,LAUCN510030000000004,2011-01-01,51003
2010,M12,December,NA,2797,,LAUCN510030000000004,2010-12-01,51003
2010,M11,November,NA,2881,,LAUCN510030000000004,2010-11-01,51003
2010,M10,October,NA,3000,,LAUCN510030000000004,2010-10-01,51003
2010,M09,September,NA,2966,,LAUCN510030000000004,2010-09-01,51003
