year,period,periodName,latest,value,footnotes,seriesID,date,fips
2023,M12,December,true,3.6,P Preliminary.,LAUCN510010000000003,2023-12-01,51001
2023,M11,November,NA,3.4,,LAUCN510010000000003,2023-11-01,51001
2023,M10,October,NA,3.4,,LAUCN510010000000003,2023-10-01,51001
2023,M09,September,NA,3.3,,LAUCN510010000000003,2023-09-01,51001
2023,M08,August,NA,3.3,,LAUCN510010000000003,2023-08-01,51001
2023,M07,July,NA,2.9,,LAUCN510010000000003,2023-07-01,51001
2023,M06,June,NA,3.1,,LAUCN510010000000003,2023-06-01,51001
2023,M05,May,NA,3.2,,LAUCN510010000000003,2023-05-01,51001
2023,M04,April,NA,3.1,,LAUCN510010000000003,2023-04-01,51001
2023,M03,March,NA,3.8,,LAUCN510010000000003,2023-03-01,51001
2023,M02,February,NA,4.5,,LAUCN510010000000003,2023-02-01,51001
2023,M01,January,NA,4.7,,LAUCN510010000000003,2023-01-01,51001
2022,M12,December,NA,3.6,,LAUCN510010000000003,2022-12-01,51001
2022,M11,November,NA,3.4,,LAUCN510010000000003,2022-11-01,51001
2022,M10,October,NA,3,,LAUCN510010000000003,2022-10-01,51001
2022,M09,September,NA,3,,LAUCN510010000000003,2022-09-01,51001
2022,M08,August,NA,3.5,,LAUCN510010000000003,2022-08-01,51001
2022,M07,July,NA,3.2,,LAUCN510010000000003,2022-07-01,51001
2022,M06,June,NA,3.2,,LAUCN510010000000003,2022-06-01,51001
2022,M05,May,NA,3.1,,LAUCN510010000000003,2022-05-01,51001
2022,M04,April,NA,2.8,,LAUCN510010000000003,2022-04-01,51001
2022,M03,March,NA,3.4,,LAUCN510010000000003,2022-03-01,51001
2022,M02,February,NA,3.5,,LAUCN510010000000003,2022-02-01,51001
2022,M01,January,NA,3.7,,LAUCN510010000000003,2022-01-01,51001
2021,M12,December,NA,3,,LAUCN510010000000003,2021-12-01,51001
2021,M11,November,NA,2.5,,LAUCN510010000000003,2021-11-01,51001
2021,M10,October,NA,3,,LAUCN510010000000003,2021-10-01,51001
2021,M09,September,NA,3.4,,LAUCN510010000000003,2021-09-01,51001
2021,M08,August,NA,4,,LAUCN510010000000003,2021-08-01,51001
2021,M07,July,NA,4.4,,LAUCN510010000000003,2021-07-01,51001
2021,M06,June,NA,4.9,,LAUCN510010000000003,2021-06-01,51001
2021,M05,May,NA,4.7,,LAUCN510010000000003,2021-05-01,51001
2021,M04,April,NA,4.7,,LAUCN510010000000003,2021-04-01,51001
2021,M03,March,NA,5.6,,LAUCN510010000000003,2021-03-01,51001
2021,M02,February,NA,5.8,,LAUCN510010000000003,2021-02-01,51001
2021,M01,January,NA,6.1,,LAUCN510010000000003,2021-01-01,51001
2020,M12,December,NA,4.9,,LAUCN510010000000003,2020-12-01,51001
2020,M11,November,NA,4.9,,LAUCN510010000000003,2020-11-01,51001
2020,M10,October,NA,5.1,,LAUCN510010000000003,2020-10-01,51001
2020,M09,September,NA,6,,LAUCN510010000000003,2020-09-01,51001
2020,M08,August,NA,7.2,,LAUCN510010000000003,2020-08-01,51001
2020,M07,July,NA,8.4,,LAUCN510010000000003,2020-07-01,51001
2020,M06,June,NA,9.8,,LAUCN510010000000003,2020-06-01,51001
2020,M05,May,NA,10.4,,LAUCN510010000000003,2020-05-01,51001
2020,M04,April,NA,10.5,,LAUCN510010000000003,2020-04-01,51001
2020,M03,March,NA,4.7,,LAUCN510010000000003,2020-03-01,51001
2020,M02,February,NA,4.3,,LAUCN510010000000003,2020-02-01,51001
2020,M01,January,NA,4.8,,LAUCN510010000000003,2020-01-01,51001
2019,M12,December,NA,3.6,,LAUCN510010000000003,2019-12-01,51001
2019,M11,November,NA,3.1,,LAUCN510010000000003,2019-11-01,51001
2019,M10,October,NA,2.9,,LAUCN510010000000003,2019-10-01,51001
2019,M09,September,NA,2.9,,LAUCN510010000000003,2019-09-01,51001
2019,M08,August,NA,3.1,,LAUCN510010000000003,2019-08-01,51001
2019,M07,July,NA,3.2,,LAUCN510010000000003,2019-07-01,51001
2019,M06,June,NA,3,,LAUCN510010000000003,2019-06-01,51001
2019,M05,May,NA,3.2,,LAUCN510010000000003,2019-05-01,51001
2019,M04,April,NA,3.2,,LAUCN510010000000003,2019-04-01,51001
2019,M03,March,NA,4,,LAUCN510010000000003,2019-03-01,51001
2019,M02,February,NA,4.6,,LAUCN510010000000003,2019-02-01,51001
2019,M01,January,NA,5.5,,LAUCN510010000000003,2019-01-01,51001
2018,M12,December,NA,3.9,,LAUCN510010000000003,2018-12-01,51001
2018,M11,November,NA,3.4,,LAUCN510010000000003,2018-11-01,51001
2018,M10,October,NA,3.2,,LAUCN510010000000003,2018-10-01,51001
2018,M09,September,NA,3.2,,LAUCN510010000000003,2018-09-01,51001
2018,M08,August,NA,3.5,,LAUCN510010000000003,2018-08-01,51001
2018,M07,July,NA,3.4,,LAUCN510010000000003,2018-07-01,51001
2018,M06,June,NA,3.4,,LAUCN510010000000003,2018-06-01,51001
2018,M05,May,NA,3.5,,LAUCN510010000000003,2018-05-01,51001
2018,M04,April,NA,3.5,,LAUCN510010000000003,2018-04-01,51001
2018,M03,March,NA,4.7,,LAUCN510010000000003,2018-03-01,51001
2018,M02,February,NA,5.2,,LAUCN510010000000003,2018-02-01,51001
2018,M01,January,NA,5.3,,LAUCN510010000000003,2018-01-01,51001
2017,M12,December,NA,4.4,,LAUCN510010000000003,2017-12-01,51001
2017,M11,November,NA,3.9,,LAUCN510010000000003,2017-11-01,51001
2017,M10,October,NA,3.8,,LAUCN510010000000003,2017-10-01,51001
2017,M09,September,NA,3.9,,LAUCN510010000000003,2017-09-01,51001
2017,M08,August,NA,4.2,,LAUCN510010000000003,2017-08-01,51001
2017,M07,July,NA,4,,LAUCN510010000000003,2017-07-01,51001
2017,M06,June,NA,3.9,,LAUCN510010000000003,2017-06-01,51001
2017,M05,May,NA,4.2,,LAUCN510010000000003,2017-05-01,51001
2017,M04,April,NA,4.2,,LAUCN510010000000003,2017-04-01,51001
2017,M03,March,NA,5.2,,LAUCN510010000000003,2017-03-01,51001
2017,M02,February,NA,6.1,,LAUCN510010000000003,2017-02-01,51001
2017,M01,January,NA,6.3,,LAUCN510010000000003,2017-01-01,51001
2016,M12,December,NA,5.1,,LAUCN510010000000003,2016-12-01,51001
2016,M11,November,NA,4.8,,LAUCN510010000000003,2016-11-01,51001
2016,M10,October,NA,4.5,,LAUCN510010000000003,2016-10-01,51001
2016,M09,September,NA,4.6,,LAUCN510010000000003,2016-09-01,51001
2016,M08,August,NA,4.5,,LAUCN510010000000003,2016-08-01,51001
2016,M07,July,NA,4.3,,LAUCN510010000000003,2016-07-01,51001
2016,M06,June,NA,4.4,,LAUCN510010000000003,2016-06-01,51001
2016,M05,May,NA,4.2,,LAUCN510010000000003,2016-05-01,51001
2016,M04,April,NA,4.3,,LAUCN510010000000003,2016-04-01,51001
2016,M03,March,NA,5.3,,LAUCN510010000000003,2016-03-01,51001
2016,M02,February,NA,5.8,,LAUCN510010000000003,2016-02-01,51001
2016,M01,January,NA,6,,LAUCN510010000000003,2016-01-01,51001
2015,M12,December,NA,5.1,,LAUCN510010000000003,2015-12-01,51001
2015,M11,November,NA,4.9,,LAUCN510010000000003,2015-11-01,51001
2015,M10,October,NA,4.4,,LAUCN510010000000003,2015-10-01,51001
2015,M09,September,NA,4.4,,LAUCN510010000000003,2015-09-01,51001
2015,M08,August,NA,4.6,,LAUCN510010000000003,2015-08-01,51001
2015,M07,July,NA,4.6,,LAUCN510010000000003,2015-07-01,51001
2015,M06,June,NA,4.8,,LAUCN510010000000003,2015-06-01,51001
2015,M05,May,NA,5.3,,LAUCN510010000000003,2015-05-01,51001
