year,period,periodName,value,footnotes,seriesID,date,fips
2017,M12,December,4.3,,LAUCN510010000000003,2017-12-01,51001
2017,M11,November,3.9,,LAUCN510010000000003,2017-11-01,51001
2017,M10,October,3.8,,LAUCN510010000000003,2017-10-01,51001
2017,M09,September,3.9,,LAUCN510010000000003,2017-09-01,51001
2017,M08,August,4.2,,LAUCN510010000000003,2017-08-01,51001
2017,M07,July,4.1,,LAUCN510010000000003,2017-07-01,51001
2017,M06,June,4,,LAUCN510010000000003,2017-06-01,51001
2017,M05,May,4.2,,LAUCN510010000000003,2017-05-01,51001
2017,M04,April,4.2,,LAUCN510010000000003,2017-04-01,51001
2017,M03,March,5.1,,LAUCN510010000000003,2017-03-01,51001
2017,M02,February,6.1,,LAUCN510010000000003,2017-02-01,51001
2017,M01,January,6.2,,LAUCN510010000000003,2017-01-01,51001
2016,M12,December,5.1,,LAUCN510010000000003,2016-12-01,51001
2016,M11,November,4.8,,LAUCN510010000000003,2016-11-01,51001
2016,M10,October,4.5,,LAUCN510010000000003,2016-10-01,51001
2016,M09,September,4.6,,LAUCN510010000000003,2016-09-01,51001
2016,M08,August,4.5,,LAUCN510010000000003,2016-08-01,51001
2016,M07,July,4.3,,LAUCN510010000000003,2016-07-01,51001
2016,M06,June,4.4,,LAUCN510010000000003,2016-06-01,51001
2016,M05,May,4.2,,LAUCN510010000000003,2016-05-01,51001
2016,M04,April,4.3,,LAUCN510010000000003,2016-04-01,51001
2016,M03,March,5.3,,LAUCN510010000000003,2016-03-01,51001
2016,M02,February,5.8,,LAUCN510010000000003,2016-02-01,51001
2016,M01,January,6,,LAUCN510010000000003,2016-01-01,51001
2015,M12,December,5.1,,LAUCN510010000000003,2015-12-01,51001
2015,M11,November,4.9,,LAUCN510010000000003,2015-11-01,51001
2015,M10,October,4.4,,LAUCN510010000000003,2015-10-01,51001
2015,M09,September,4.4,,LAUCN510010000000003,2015-09-01,51001
2015,M08,August,4.6,,LAUCN510010000000003,2015-08-01,51001
2015,M07,July,4.6,,LAUCN510010000000003,2015-07-01,51001
2015,M06,June,4.8,,LAUCN510010000000003,2015-06-01,51001
2015,M05,May,5.3,,LAUCN510010000000003,2015-05-01,51001
2015,M04,April,5.2,,LAUCN510010000000003,2015-04-01,51001
2015,M03,March,6.3,,LAUCN510010000000003,2015-03-01,51001
2015,M02,February,7.1,,LAUCN510010000000003,2015-02-01,51001
2015,M01,January,7.8,,LAUCN510010000000003,2015-01-01,51001
2014,M12,December,6.5,,LAUCN510010000000003,2014-12-01,51001
2014,M11,November,6,,LAUCN510010000000003,2014-11-01,51001
2014,M10,October,5.4,,LAUCN510010000000003,2014-10-01,51001
2014,M09,September,5.7,,LAUCN510010000000003,2014-09-01,51001
2014,M08,August,6.3,,LAUCN510010000000003,2014-08-01,51001
2014,M07,July,6,,LAUCN510010000000003,2014-07-01,51001
2014,M06,June,6.1,,LAUCN510010000000003,2014-06-01,51001
2014,M05,May,6.3,,LAUCN510010000000003,2014-05-01,51001
2014,M04,April,6.6,,LAUCN510010000000003,2014-04-01,51001
2014,M03,March,7.3,,LAUCN510010000000003,2014-03-01,51001
2014,M02,February,8.2,,LAUCN510010000000003,2014-02-01,51001
2014,M01,January,8.5,,LAUCN510010000000003,2014-01-01,51001
2013,M12,December,7,,LAUCN510010000000003,2013-12-01,51001
2013,M11,November,6.8,,LAUCN510010000000003,2013-11-01,51001
2013,M10,October,6.8,,LAUCN510010000000003,2013-10-01,51001
2013,M09,September,6.5,,LAUCN510010000000003,2013-09-01,51001
2013,M08,August,6.7,,LAUCN510010000000003,2013-08-01,51001
2013,M07,July,6.5,,LAUCN510010000000003,2013-07-01,51001
2013,M06,June,6.8,,LAUCN510010000000003,2013-06-01,51001
2013,M05,May,6.7,,LAUCN510010000000003,2013-05-01,51001
2013,M04,April,6.7,,LAUCN510010000000003,2013-04-01,51001
2013,M03,March,7.2,,LAUCN510010000000003,2013-03-01,51001
2013,M02,February,8.2,,LAUCN510010000000003,2013-02-01,51001
2013,M01,January,8.8,,LAUCN510010000000003,2013-01-01,51001
2012,M12,December,7.7,,LAUCN510010000000003,2012-12-01,51001
2012,M11,November,6.9,,LAUCN510010000000003,2012-11-01,51001
2012,M10,October,6.7,,LAUCN510010000000003,2012-10-01,51001
2012,M09,September,6.9,,LAUCN510010000000003,2012-09-01,51001
2012,M08,August,7.2,,LAUCN510010000000003,2012-08-01,51001
2012,M07,July,7.3,,LAUCN510010000000003,2012-07-01,51001
2012,M06,June,7.3,,LAUCN510010000000003,2012-06-01,51001
2012,M05,May,7.3,,LAUCN510010000000003,2012-05-01,51001
2012,M04,April,7.6,,LAUCN510010000000003,2012-04-01,51001
2012,M03,March,8.5,,LAUCN510010000000003,2012-03-01,51001
2012,M02,February,9.5,,LAUCN510010000000003,2012-02-01,51001
2012,M01,January,10,,LAUCN510010000000003,2012-01-01,51001
2011,M12,December,8.7,,LAUCN510010000000003,2011-12-01,51001
2011,M11,November,8,,LAUCN510010000000003,2011-11-01,51001
2011,M10,October,7.6,,LAUCN510010000000003,2011-10-01,51001
2011,M09,September,7.9,,LAUCN510010000000003,2011-09-01,51001
2011,M08,August,8.2,,LAUCN510010000000003,2011-08-01,51001
2011,M07,July,8,,LAUCN510010000000003,2011-07-01,51001
2011,M06,June,7.8,,LAUCN510010000000003,2011-06-01,51001
2011,M05,May,7.7,,LAUCN510010000000003,2011-05-01,51001
2011,M04,April,8,,LAUCN510010000000003,2011-04-01,51001
2011,M03,March,8.9,,LAUCN510010000000003,2011-03-01,51001
2011,M02,February,9.7,,LAUCN510010000000003,2011-02-01,51001
2011,M01,January,9.9,,LAUCN510010000000003,2011-01-01,51001
2010,M12,December,8.8,,LAUCN510010000000003,2010-12-01,51001
2010,M11,November,8.3,,LAUCN510010000000003,2010-11-01,51001
2010,M10,October,7.8,,LAUCN510010000000003,2010-10-01,51001
2010,M09,September,7.3,,LAUCN510010000000003,2010-09-01,51001
2010,M08,August,7.3,,LAUCN510010000000003,2010-08-01,51001
2010,M07,July,7.2,,LAUCN510010000000003,2010-07-01,51001
2010,M06,June,7.3,,LAUCN510010000000003,2010-06-01,51001
