GEOID,tenure,type,estimate,moe,cv,reliability
51001,Owner,Large-scale multifamily,0,28,Inf,Low
51001,Owner,Medium-scale multifamily,0,28,Inf,Low
51001,Owner,Mobile (manufactured) home,903,230,15.483679864820743,Medium
51001,Owner,Other,23,38,100.43610413638166,Low
51001,Owner,Single-family (attached),126,86,41.49177401457037,Low
51001,Owner,Single-family (detached),8385,455,3.298697014679201,High
51001,Owner,Small-scale multifamily,26,52.3450093132096,122.38720905590274,Low
51001,Renter,Large-scale multifamily,120,75,37.993920972644375,Low
51001,Renter,Medium-scale multifamily,56,53,57.533651758575765,Low
51001,Renter,Mobile (manufactured) home,1097,244,13.521264127365873,High
51001,Renter,Other,0,28,Inf,Low
51001,Renter,Single-family (attached),162,97,36.39911441329881,Low
51001,Renter,Single-family (detached),2796,437,9.501197977136249,High
51001,Renter,Small-scale multifamily,458,154.04544783926593,20.44642994375784,Medium
51003,Owner,Large-scale multifamily,81,31,23.26541333633532,Medium
51003,Owner,Medium-scale multifamily,151,94,37.842951750236516,Low
51003,Owner,Mobile (manufactured) home,778,212,16.564958861080942,Medium
51003,Owner,Other,18,20,67.54474839581222,Low
51003,Owner,Single-family (attached),4127,433,6.378044208831603,High
51003,Owner,Single-family (detached),22588,673,1.8112207412494894,High
51003,Owner,Small-scale multifamily,682,219.33080039064282,19.550116356384567,Medium
51003,Renter,Large-scale multifamily,1705,365,13.013753576553851,High
51003,Renter,Medium-scale multifamily,866,240,16.84718897632268,Medium
51003,Renter,Mobile (manufactured) home,449,142,19.22543172602406,Medium
51003,Renter,Other,28,45,97.69865392965697,Low
51003,Renter,Single-family (attached),1859,290,9.48315187267724,High
51003,Renter,Single-family (detached),3151,349,6.733038867383249,High
51003,Renter,Small-scale multifamily,6583,624.1073625587187,5.763277730275308,High
51005,Owner,Large-scale multifamily,0,21,Inf,Low
51005,Owner,Medium-scale multifamily,0,21,Inf,Low
51005,Owner,Mobile (manufactured) home,574,194,20.545841585206993,Medium
51005,Owner,Other,0,21,Inf,Low
51005,Owner,Single-family (attached),28,19,41.25054277029961,Low
51005,Owner,Single-family (detached),4554,292,3.8978392354895592,High
51005,Owner,Small-scale multifamily,5,37.72267222772003,458.6343127990277,Low
51005,Renter,Large-scale multifamily,160,89,33.81458966565349,Low
51005,Renter,Medium-scale multifamily,49,44,54.587184417840085,Low
51005,Renter,Mobile (manufactured) home,154,72,28.42142659771839,Medium
51005,Renter,Other,0,21,Inf,Low
