"","variable","year","locality","fips","tenure","age","estimate","moe"
"1","B25007_001","2010","Accomack County","51001","All","All","14085","488"
"2","B25007_002","2010","Accomack County","51001","Owner occupied","All","10436","436"
"3","B25007_003","2010","Accomack County","51001","Owner occupied","Householder 15 to 24 years","32","29"
"4","B25007_004","2010","Accomack County","51001","Owner occupied","Householder 25 to 34 years","669","158"
"5","B25007_005","2010","Accomack County","51001","Owner occupied","Householder 35 to 44 years","1240","206"
"6","B25007_006","2010","Accomack County","51001","Owner occupied","Householder 45 to 54 years","2415","203"
"7","B25007_007","2010","Accomack County","51001","Owner occupied","Householder 55 to 59 years","1186","233"
"8","B25007_008","2010","Accomack County","51001","Owner occupied","Householder 60 to 64 years","1191","212"
"9","B25007_009","2010","Accomack County","51001","Owner occupied","Householder 65 to 74 years","1925","158"
"10","B25007_010","2010","Accomack County","51001","Owner occupied","Householder 75 to 84 years","1347","144"
"11","B25007_011","2010","Accomack County","51001","Owner occupied","Householder 85 years and over","431","116"
"12","B25007_012","2010","Accomack County","51001","Renter occupied","All","3649","400"
"13","B25007_013","2010","Accomack County","51001","Renter occupied","Householder 15 to 24 years","329","121"
"14","B25007_014","2010","Accomack County","51001","Renter occupied","Householder 25 to 34 years","644","189"
"15","B25007_015","2010","Accomack County","51001","Renter occupied","Householder 35 to 44 years","859","226"
"16","B25007_016","2010","Accomack County","51001","Renter occupied","Householder 45 to 54 years","829","206"
"17","B25007_017","2010","Accomack County","51001","Renter occupied","Householder 55 to 59 years","362","131"
"18","B25007_018","2010","Accomack County","51001","Renter occupied","Householder 60 to 64 years","205","94"
"19","B25007_019","2010","Accomack County","51001","Renter occupied","Householder 65 to 74 years","254","123"
"20","B25007_020","2010","Accomack County","51001","Renter occupied","Householder 75 to 84 years","137","75"
"21","B25007_021","2010","Accomack County","51001","Renter occupied","Householder 85 years and over","30","26"
"22","B25007_001","2010","Albemarle County","51003","All","All","37459","568"
"23","B25007_002","2010","Albemarle County","51003","Owner occupied","All","24510","510"
"24","B25007_003","2010","Albemarle County","51003","Owner occupied","Householder 15 to 24 years","124","79"
"25","B25007_004","2010","Albemarle County","51003","Owner occupied","Householder 25 to 34 years","2364","231"
"26","B25007_005","2010","Albemarle County","51003","Owner occupied","Householder 35 to 44 years","4025","269"
"27","B25007_006","2010","Albemarle County","51003","Owner occupied","Householder 45 to 54 years","6082","277"
"28","B25007_007","2010","Albemarle County","51003","Owner occupied","Householder 55 to 59 years","2859","279"
