year,locality,fips,race,est_all,est_owner,est_renter,moe_all,moe_owner,moe_renter
2010,Accomack County,51001,All,14085,10436,3649,488,436,400
2010,Albemarle County,51003,All,37459,24510,12949,568,510,645
2010,Alleghany County,51005,All,6964,5758,1206,225,227,179
2010,Amelia County,51007,All,4901,4080,821,196,261,208
2010,Amherst County,51009,All,12706,9576,3130,365,325,367
2010,Appomattox County,51011,All,5976,4539,1437,204,234,229
2010,Arlington County,51013,All,91892,43168,48724,1246,891,1399
2010,Augusta County,51015,All,27909,22683,5226,486,532,426
2010,Bath County,51017,All,2025,1761,264,192,226,140
2010,Bedford County,51019,All,27150,22933,4217,410,495,425
2010,Bland County,51021,All,2580,2189,391,217,205,117
2010,Botetourt County,51023,All,12918,11264,1654,279,307,249
2010,Brunswick County,51025,All,6086,4263,1823,377,304,250
2010,Buchanan County,51027,All,9123,7254,1869,305,345,267
2010,Buckingham County,51029,All,4859,3632,1227,1425,769,713
2010,Campbell County,51031,All,22005,16657,5348,373,434,375
2010,Caroline County,51033,All,10270,8517,1753,270,296,275
2010,Carroll County,51035,All,12818,9770,3048,428,450,397
2010,Charles City County,51036,All,2713,2306,407,112,125,81
2010,Charlotte County,51037,All,4415,3440,975,276,265,188
2010,Chesterfield County,51041,All,112404,88092,24312,743,1049,1025
2010,Clarke County,51043,All,5535,4195,1340,181,230,206
2010,Craig County,51045,All,1989,1704,285,172,150,115
2010,Culpeper County,51047,All,15834,11498,4336,394,426,376
2010,Cumberland County,51049,All,3969,3089,880,195,225,189
2010,Dickenson County,51051,All,6170,4972,1198,232,271,206
2010,Dinwiddie County,51053,All,9800,7427,2373,254,291,281
2010,Essex County,51057,All,4466,3341,1125,242,217,194
2010,Fairfax County,51059,All,381768,274448,107320,1481,2217,1651
2010,Fauquier County,51061,All,22369,17633,4736,513,494,453
2010,Floyd County,51063,All,6334,4970,1364,250,283,238
2010,Fluvanna County,51065,All,9128,7957,1171,269,314,223
2010,Franklin County,51067,All,23355,18324,5031,462,588,495
2010,Frederick County,51069,All,28558,22495,6063,450,646,489
2010,Giles County,51071,All,7100,5527,1573,255,262,210
2010,Gloucester County,51073,All,14014,11544,2470,342,407,346
