geography,name,fips,year,quarter,date,hpi,stderror
State,Virginia,51,1975,1,1975 Q1,69.83,NA
State,Virginia,51,1975,2,1975 Q2,66.7,NA
State,Virginia,51,1975,3,1975 Q3,67.38,NA
State,Virginia,51,1975,4,1975 Q4,67.74,NA
State,Virginia,51,1976,1,1976 Q1,69.46,NA
State,Virginia,51,1976,2,1976 Q2,68.57,NA
State,Virginia,51,1976,3,1976 Q3,70.54,NA
State,Virginia,51,1976,4,1976 Q4,71.98,NA
State,Virginia,51,1977,1,1977 Q1,73.08,NA
State,Virginia,51,1977,2,1977 Q2,75.09,NA
State,Virginia,51,1977,3,1977 Q3,77.31,NA
State,Virginia,51,1977,4,1977 Q4,78.94,NA
State,Virginia,51,1978,1,1978 Q1,80.38,NA
State,Virginia,51,1978,2,1978 Q2,83.38,NA
State,Virginia,51,1978,3,1978 Q3,86.08,NA
State,Virginia,51,1978,4,1978 Q4,89.27,NA
State,Virginia,51,1979,1,1979 Q1,89.48,NA
State,Virginia,51,1979,2,1979 Q2,91.61,NA
State,Virginia,51,1979,3,1979 Q3,94.65,NA
State,Virginia,51,1979,4,1979 Q4,95.53,NA
State,Virginia,51,1980,1,1980 Q1,100,NA
State,Virginia,51,1980,2,1980 Q2,101.16,NA
State,Virginia,51,1980,3,1980 Q3,104.32,NA
State,Virginia,51,1980,4,1980 Q4,104.25,NA
State,Virginia,51,1981,1,1981 Q1,106.09,NA
State,Virginia,51,1981,2,1981 Q2,105.57,NA
State,Virginia,51,1981,3,1981 Q3,106.23,NA
State,Virginia,51,1981,4,1981 Q4,109.83,NA
State,Virginia,51,1982,1,1982 Q1,97.81,NA
State,Virginia,51,1982,2,1982 Q2,109.51,NA
State,Virginia,51,1982,3,1982 Q3,103.77,NA
State,Virginia,51,1982,4,1982 Q4,112.84,NA
State,Virginia,51,1983,1,1983 Q1,115.34,NA
State,Virginia,51,1983,2,1983 Q2,118.08,NA
State,Virginia,51,1983,3,1983 Q3,118.83,NA
State,Virginia,51,1983,4,1983 Q4,118.68,NA
State,Virginia,51,1984,1,1984 Q1,121.41,NA
State,Virginia,51,1984,2,1984 Q2,123.28,NA
State,Virginia,51,1984,3,1984 Q3,124.89,NA
State,Virginia,51,1984,4,1984 Q4,124.49,NA
State,Virginia,51,1985,1,1985 Q1,127.51,NA
State,Virginia,51,1985,2,1985 Q2,129.65,NA
State,Virginia,51,1985,3,1985 Q3,131.52,NA
State,Virginia,51,1985,4,1985 Q4,132.3,NA
State,Virginia,51,1986,1,1986 Q1,134.56,NA
State,Virginia,51,1986,2,1986 Q2,137.02,NA
State,Virginia,51,1986,3,1986 Q3,140.02,NA
State,Virginia,51,1986,4,1986 Q4,142.45,NA
State,Virginia,51,1987,1,1987 Q1,145.5,NA
State,Virginia,51,1987,2,1987 Q2,149.53,NA
State,Virginia,51,1987,3,1987 Q3,156.81,NA
State,Virginia,51,1987,4,1987 Q4,160.3,NA
State,Virginia,51,1988,1,1988 Q1,164.97,NA
State,Virginia,51,1988,2,1988 Q2,170.54,NA
State,Virginia,51,1988,3,1988 Q3,174.61,NA
State,Virginia,51,1988,4,1988 Q4,178.17,NA
