variable,year,cbsa,fips,medgrossrent,estimate,moe,cpi,dollars19
B25064_001,2010,"Blacksburg-Christiansburg-Radford, VA Metro Area",13980,Median gross rent,672,12,208.64258333333333,754.3625154820185
B25064_001,2010,"Bluefield, WV-VA Micro Area",14140,Median gross rent,510,14,208.64258333333333,572.5072662140319
B25064_001,2010,"Charlottesville, VA Metro Area",16820,Median gross rent,955,20,208.64258333333333,1072.047920067452
B25064_001,2010,"Culpeper, VA Micro Area",19020,Median gross rent,963,57,208.64258333333333,1081.0284262041425
B25064_001,2010,"Danville, VA Metro Area",19260,Median gross rent,564,24,208.64258333333333,633.1256826366941
B25064_001,2010,"Harrisonburg, VA Metro Area",25500,Median gross rent,754,24,208.64258333333333,846.4127033830981
B25064_001,2010,"Kingsport-Bristol-Bristol, TN-VA Metro Area",28700,Median gross rent,537,11,208.64258333333333,602.816474425363
B25064_001,2010,"Lynchburg, VA Metro Area",31340,Median gross rent,627,13,208.64258333333333,703.8471684631334
B25064_001,2010,"Martinsville, VA Micro Area",32300,Median gross rent,535,15,208.64258333333333,600.5713478911903
B25064_001,2010,"Richmond, VA Metro Area",40060,Median gross rent,883,6,208.64258333333333,991.2233648372356
B25064_001,2010,"Roanoke, VA Metro Area",40220,Median gross rent,680,12,208.64258333333333,763.3430216187091
B25064_001,2010,"Staunton-Waynesboro, VA Micro Area",44420,Median gross rent,652,24,208.64258333333333,731.9112501402917
B25064_001,2010,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",47260,Median gross rent,960,6,208.64258333333333,1077.6607364028835
B25064_001,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",47900,Median gross rent,1285,7,208.64258333333333,1442.493798205943
B25064_001,2010,"Winchester, VA-WV Metro Area",49020,Median gross rent,861,27,208.64258333333333,966.5269729613361
B25064_001,2011,"Blacksburg-Christiansburg-Radford, VA Metro Area",13980,Median gross rent,701,15,217.04775,756.4435222203408
B25064_001,2011,"Bluefield, WV-VA Micro Area",14140,Median gross rent,532,12,217.04775,574.0769669346952
B25064_001,2011,"Charlottesville, VA Metro Area",16820,Median gross rent,1009,25,217.04775,1088.8038714983222
B25064_001,2011,"Culpeper, VA Micro Area",19020,Median gross rent,987,60,217.04775,1065.063846549895
B25064_001,2011,"Danville, VA Metro Area",19260,Median gross rent,587,17,217.04775,633.4270293057633
B25064_001,2011,"Harrisonburg, VA Metro Area",25500,Median gross rent,789,22,217.04775,851.4036220140498
B25064_001,2011,"Kingsport-Bristol-Bristol, TN-VA Metro Area",28700,Median gross rent,562,10,217.04775,606.449728228005
B25064_001,2011,"Lynchburg, VA Metro Area",31340,Median gross rent,667,13,217.04775,719.7543927545896
B25064_001,2011,"Martinsville, VA Micro Area",32300,Median gross rent,547,14,217.04775,590.2633475813501
B25064_001,2011,"Richmond, VA Metro Area",40060,Median gross rent,921,7,217.04775,993.8437717046132
B25064_001,2011,"Roanoke, VA Metro Area",40220,Median gross rent,705,12,217.04775,760.7598903927822
B25064_001,2011,"Staunton-Waynesboro, VA Micro Area",44420,Median gross rent,679,22,217.04775,732.7034972719135
