DATE,CUUR0300SEHA
1977-12-01,66.400
1978-01-01,.
1978-02-01,66.800
1978-03-01,.
1978-04-01,67.900
1978-05-01,.
1978-06-01,69.100
1978-07-01,.
1978-08-01,69.800
1978-09-01,.
1978-10-01,70.500
1978-11-01,.
1978-12-01,72.200
1979-01-01,.
1979-02-01,72.400
1979-03-01,.
1979-04-01,72.900
1979-05-01,.
1979-06-01,73.900
1979-07-01,.
1979-08-01,75.100
1979-09-01,.
1979-10-01,76.300
1979-11-01,.
1979-12-01,77.100
1980-01-01,.
1980-02-01,78.200
1980-03-01,.
1980-04-01,79.600
1980-05-01,.
1980-06-01,81.300
1980-07-01,.
1980-08-01,81.900
1980-09-01,.
1980-10-01,83.300
1980-11-01,.
1980-12-01,84.600
1981-01-01,.
1981-02-01,85.400
1981-03-01,.
1981-04-01,86.600
1981-05-01,.
1981-06-01,87.700
1981-07-01,.
1981-08-01,89.200
1981-09-01,.
1981-10-01,90.400
1981-11-01,.
1981-12-01,92.500
1982-01-01,.
1982-02-01,92.700
1982-03-01,.
1982-04-01,93.500
1982-05-01,.
1982-06-01,95.000
1982-07-01,.
1982-08-01,96.300
1982-09-01,.
1982-10-01,96.500
1982-11-01,.
1982-12-01,98.300
1983-01-01,.
1983-02-01,99.200
1983-03-01,.
1983-04-01,99.400
1983-05-01,.
1983-06-01,100.100
1983-07-01,.
1983-08-01,101.100
1983-09-01,.
1983-10-01,101.600
1983-11-01,.
1983-12-01,101.900
1984-01-01,.
1984-02-01,102.600
1984-03-01,.
1984-04-01,104.000
1984-05-01,.
1984-06-01,104.000
1984-07-01,.
1984-08-01,104.900
1984-09-01,.
1984-10-01,105.700
1984-11-01,.
1984-12-01,106.900
1985-01-01,.
1985-02-01,107.100
1985-03-01,.
1985-04-01,107.100
1985-05-01,.
1985-06-01,108.900
1985-07-01,.
1985-08-01,109.900
1985-09-01,.
1985-10-01,111.100
1985-11-01,.
1985-12-01,111.300
1986-01-01,.
1986-02-01,112.200
1986-03-01,.
1986-04-01,113.200
1986-05-01,.
1986-06-01,113.600
1986-07-01,.
1986-08-01,113.800
1986-09-01,.
1986-10-01,114.500
1986-11-01,.
1986-12-01,114.700
1987-01-01,114.800
1987-02-01,115.300
