fips,year,renter_occupied,for_rent_vacant,rented_vacant,total_units
51001,2010,3649,135,7,3791
51001,2011,3558,159,15,3732
51001,2012,4216,239,11,4466
51001,2013,4373,117,32,4522
51001,2014,4236,118,25,4379
51001,2015,4042,207,18,4267
51001,2016,4214,186,12,4412
51001,2017,4062,141,36,4239
51001,2018,4308,129,24,4461
51001,2019,4461,105,25,4591
51001,2020,4780,42,32,4854
51001,2021,4689,69,27,4785
51003,2010,12949,1114,174,14237
51003,2011,12667,1402,215,14284
51003,2012,12901,1616,299,14816
51003,2013,12886,1671,214,14771
51003,2014,13402,1528,304,15234
51003,2015,13572,1523,303,15398
51003,2016,13847,1399,399,15645
51003,2017,14556,1095,372,16023
51003,2018,15221,1018,315,16554
51003,2019,15231,809,281,16321
51003,2020,14756,703,264,15723
51003,2021,14641,359,293,15293
51005,2010,1206,0,49,1255
51005,2011,1306,0,72,1378
51005,2012,1234,31,72,1337
51005,2013,1360,59,25,1444
51005,2014,1377,115,63,1555
51005,2015,1444,127,75,1646
51005,2016,1449,160,56,1665
51005,2017,1641,163,72,1876
51005,2018,1504,119,72,1695
51005,2019,1568,145,12,1725
51005,2020,1359,97,11,1467
51005,2021,1244,73,37,1354
51007,2010,821,0,0,821
51007,2011,952,0,0,952
51007,2012,910,0,0,910
51007,2013,965,0,0,965
51007,2014,875,0,0,875
51007,2015,880,0,0,880
51007,2016,695,40,0,735
51007,2017,771,40,0,811
51007,2018,753,44,0,797
51007,2019,773,39,0,812
51007,2020,850,24,0,874
51007,2021,890,0,0,890
51009,2010,3130,64,31,3225
51009,2011,3059,27,29,3115
51009,2012,3069,45,29,3143
51009,2013,3278,38,0,3316
51009,2014,3204,60,0,3264
51009,2015,2968,79,24,3071
51009,2016,2872,74,36,2982
51009,2017,2797,171,83,3051
51009,2018,2695,164,82,2941
51009,2019,2782,130,87,2999
51009,2020,2753,149,56,2958
51009,2021,3084,145,33,3262
51011,2010,1437,35,0,1472
51011,2011,1440,29,0,1469
51011,2012,1390,67,0,1457
51011,2013,1149,51,0,1200
51011,2014,1125,41,0,1166
51011,2015,1137,35,0,1172
51011,2016,1215,34,0,1249
51011,2017,1131,0,0,1131
51011,2018,1362,0,0,1362
51011,2019,1354,0,0,1354
51011,2020,1417,0,0,1417
51011,2021,1423,0,0,1423
51013,2010,48724,3278,1433,53435
51013,2011,49340,3235,2063,54638
51013,2012,50296,3259,2348,55903
51013,2013,51800,3312,2040,57152
51013,2014,53107,3268,1968,58343
51013,2015,54744,3267,1742,59753
51013,2016,56176,3229,1271,60676
51013,2017,56785,3223,977,60985
51013,2018,59212,2957,768,62937
51013,2019,61280,2638,612,64530
51013,2020,62399,2541,584,65524
51013,2021,63220,2979,770,66969
51015,2010,5226,301,134,5661
51015,2011,5207,255,84,5546
51015,2012,5292,295,44,5631
51015,2013,5337,421,75,5833
51015,2014,5311,458,84,5853
51015,2015,5809,494,113,6416
51015,2016,5824,497,166,6487
51015,2017,6016,544,155,6715
51015,2018,6187,436,96,6719
51015,2019,6109,274,91,6474
51015,2020,6227,268,43,6538
51015,2021,6420,360,0,6780
51017,2010,264,20,0,284
51017,2011,293,73,0,366
51017,2012,402,34,0,436
51017,2013,501,33,0,534
51017,2014,551,67,0,618
