source,sumlevel,geoid,name,st,cnty,T14A_est1,T14A_est2,T14A_est3,T14A_est4,T14A_est5,T14A_est6,T14A_est7,T14A_est8,T14A_est9,T14A_est10,T14A_est11,T14A_est12,T14A_est13,T14A_est14,T14A_est15,T14A_est16,T14A_est17,T14A_est18,T14A_est19,T14A_moe1,T14A_moe2,T14A_moe3,T14A_moe4,T14A_moe5,T14A_moe6,T14A_moe7,T14A_moe8,T14A_moe9,T14A_moe10,T14A_moe11,T14A_moe12,T14A_moe13,T14A_moe14,T14A_moe15,T14A_moe16,T14A_moe17,T14A_moe18,T14A_moe19
2009thru2013,050,05000US01001,"Autauga County, Alabama",01,001,110,10,95,10,0,0,10,30,0,0,30,35,0,0,35,25,0,0,25,97,21,99,14,27,27,14,49,27,27,49,48,27,27,48,36,27,27,36
2009thru2013,050,05000US01003,"Baldwin County, Alabama",01,003,2300,555,1745,270,15,0,255,335,0,35,295,380,0,55,330,765,0,95,665,489,224,455,121,26,27,113,245,27,61,235,198,27,64,200,265,27,71,252
2009thru2013,050,05000US01005,"Barbour County, Alabama",01,005,170,20,155,35,0,35,0,10,0,0,10,15,0,0,15,100,0,0,100,100,19,95,53,21,53,21,14,21,21,14,24,21,21,24,69,21,21,69
2009thru2013,050,05000US01007,"Bibb County, Alabama",01,007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
2009thru2013,050,05000US01009,"Blount County, Alabama",01,009,220,85,135,20,0,0,20,85,0,45,45,0,0,0,0,30,0,30,0,139,88,113,26,27,27,26,94,27,66,65,27,27,27,27,44,27,44,27
2009thru2013,050,05000US01011,"Bullock County, Alabama",01,011,55,45,10,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,72,68,15,15,18,18,15,18,18,18,18,18,18,18,18,18,18,18,18
2009thru2013,050,05000US01013,"Butler County, Alabama",01,013,60,35,25,4,0,0,4,0,0,0,0,20,0,0,20,0,0,0,0,48,37,36,4,21,21,4,21,21,21,21,36,21,21,36,21,21,21,21
2009thru2013,050,05000US01015,"Calhoun County, Alabama",01,015,1000,555,450,170,0,20,150,95,0,35,60,155,0,50,105,30,0,30,0,244,192,174,104,27,26,104,73,27,39,58,126,27,67,104,38,27,38,27
2009thru2013,050,05000US01017,"Chambers County, Alabama",01,017,485,300,180,80,0,35,45,10,0,0,10,0,0,0,0,90,0,0,90,154,121,109,60,24,43,43,16,24,24,16,24,24,24,24,92,24,24,92
2009thru2013,050,05000US01019,"Cherokee County, Alabama",01,019,240,40,195,130,0,35,95,0,0,0,0,4,0,0,4,60,0,4,55,133,30,128,114,21,47,100,21,21,21,21,9,21,21,9,63,21,21,63
2009thru2013,050,05000US01021,"Chilton County, Alabama",01,021,345,30,315,215,45,40,130,10,0,10,0,0,0,0,0,90,0,10,80,161,37,153,132,72,44,98,14,24,14,24,24,24,24,24,57,24,20,59
2009thru2013,050,05000US01023,"Choctaw County, Alabama",01,023,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,50,68,18,68,18,18,18,18,18,18,18,18,18,18,18,18,68,18,18,68
2009thru2013,050,05000US01025,"Clarke County, Alabama",01,025,145,40,100,0,0,0,0,50,0,0,50,0,0,0,0,55,0,0,55,108,62,86,21,21,21,21,52,21,21,52,21,21,21,21,69,21,21,69
2009thru2013,050,05000US01027,"Clay County, Alabama",01,027,10,0,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,18,14,14,14,18,18,18,18,18,18,18,18,18,18,18,18,18,18
2009thru2013,050,05000US01029,"Cleburne County, Alabama",01,029,65,30,40,4,0,0,4,0,0,0,0,30,0,0,30,0,0,0,0,61,32,51,14,18,18,14,18,18,18,18,51,18,18,51,18,18,18,18
2009thru2013,050,05000US01031,"Coffee County, Alabama",01,031,380,215,170,40,0,40,4,15,0,0,15,70,0,0,70,40,0,0,40,172,134,118,47,27,47,9,27,27,27,27,82,27,27,82,59,27,27,59
2009thru2013,050,05000US01033,"Colbert County, Alabama",01,033,540,205,335,200,0,85,115,65,0,10,60,40,0,0,40,35,0,10,25,183,128,145,109,27,52,91,70,27,13,67,49,27,27,49,36,27,14,28
2009thru2013,050,05000US01035,"Conecuh County, Alabama",01,035,25,10,15,15,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,29,17,24,24,18,18,24,18,18,18,18,18,18,18,18,18,18,18,18
2009thru2013,050,05000US01037,"Coosa County, Alabama",01,037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
2009thru2013,050,05000US01039,"Covington County, Alabama",01,039,225,135,90,0,0,0,0,45,0,0,45,4,0,0,4,35,0,0,35,114,80,70,24,24,24,24,57,24,24,57,9,24,24,9,40,24,24,40
2009thru2013,050,05000US01041,"Crenshaw County, Alabama",01,041,35,10,25,25,0,0,25,4,0,4,0,0,0,0,0,0,0,0,0,43,16,34,37,18,18,37,4,18,4,18,18,18,18,18,18,18,18,18
2009thru2013,050,05000US01043,"Cullman County, Alabama",01,043,450,155,295,135,0,20,115,10,0,0,10,40,0,0,40,110,0,0,110,164,111,144,91,27,28,87,19,27,27,19,45,27,27,45,103,27,27,103
2009thru2013,050,05000US01045,"Dale County, Alabama",01,045,230,35,200,65,0,15,50,70,0,4,65,0,0,0,0,65,4,40,20,86,28,84,40,24,21,34,47,24,8,48,24,24,24,24,56,10,44,32
2009thru2013,050,05000US01047,"Dallas County, Alabama",01,047,150,135,15,15,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,111,110,21,21,24,24,21,24,24,24,24,24,24,24,24,24,24,24,24
2009thru2013,050,05000US01049,"DeKalb County, Alabama",01,049,480,50,430,175,0,80,95,90,0,10,80,110,55,30,25,55,0,0,55,183,50,168,104,27,74,68,67,27,14,66,100,87,46,24,73,27,27,73
2009thru2013,050,05000US01051,"Elmore County, Alabama",01,051,495,225,270,40,0,40,0,60,0,0,60,145,0,0,145,25,0,25,0,198,116,160,54,27,54,27,66,27,27,66,114,27,27,114,41,27,41,27
2009thru2013,050,05000US01053,"Escambia County, Alabama",01,053,95,0,95,10,0,0,10,85,0,0,85,4,0,0,4,0,0,0,0,92,24,92,15,24,24,15,89,24,24,89,24,24,24,24,24,24,24,24
2009thru2013,050,05000US01055,"Etowah County, Alabama",01,055,780,225,555,255,0,125,130,105,0,0,105,20,0,0,20,170,0,40,130,212,94,183,119,27,110,88,82,27,27,82,25,27,27,25,116,27,53,102
2009thru2013,050,05000US01057,"Fayette County, Alabama",01,057,155,55,105,90,0,25,65,0,0,0,0,10,0,0,10,0,0,0,0,82,72,81,80,18,35,72,18,18,18,18,21,18,18,21,18,18,18,18
2009thru2013,050,05000US01059,"Franklin County, Alabama",01,059,170,80,90,55,0,4,55,30,0,0,30,0,0,0,0,0,0,0,0,116,81,80,62,24,1,62,48,24,24,48,24,24,24,24,24,24,24,24
2009thru2013,050,05000US01061,"Geneva County, Alabama",01,061,240,135,105,70,0,0,70,10,0,0,10,25,0,0,25,0,0,0,0,146,139,60,57,21,21,57,13,21,21,13,30,21,21,30,21,21,21,21
2009thru2013,050,05000US01063,"Greene County, Alabama",01,063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
2009thru2013,050,05000US01065,"Hale County, Alabama",01,065,35,4,30,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,45,8,46,46,18,46,18,18,18,18,18,18,18,18,18,18,18,18,18
2009thru2013,050,05000US01067,"Henry County, Alabama",01,067,140,40,100,80,0,25,55,4,0,0,4,0,0,0,0,15,0,0,15,78,40,68,59,18,39,42,16,18,18,16,18,18,18,18,22,18,18,22
2009thru2013,050,05000US01069,"Houston County, Alabama",01,069,665,235,430,125,0,4,125,80,0,0,80,85,0,10,75,140,4,45,95,138,100,96,43,27,2,42,36,27,27,36,33,27,15,32,75,3,64,47
2009thru2013,050,05000US01071,"Jackson County, Alabama",01,071,340,40,300,115,0,0,115,65,0,10,55,75,0,0,75,50,0,20,30,146,33,144,79,27,27,79,50,27,15,48,84,27,27,84,48,27,34,40
2009thru2013,050,05000US01073,"Jefferson County, Alabama",01,073,5700,2665,3035,895,4,220,670,900,35,180,685,390,40,70,280,845,0,205,645,588,410,453,217,16,93,191,286,41,127,263,193,63,75,148,222,27,115,204
2009thru2013,050,05000US01075,"Lamar County, Alabama",01,075,20,10,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,22,13,15,18,18,18,18,18,18,18,18,18,18,18,18,15,18,15,18
2009thru2013,050,05000US01077,"Lauderdale County, Alabama",01,077,565,195,370,140,0,50,90,90,0,0,90,20,0,0,20,120,0,0,120,165,113,150,110,27,60,93,84,27,27,84,27,27,27,27,100,27,27,100
2009thru2013,050,05000US01079,"Lawrence County, Alabama",01,079,90,30,60,50,0,30,20,10,0,0,10,0,0,0,0,0,0,0,0,72,37,62,59,24,50,33,15,24,24,15,24,24,24,24,24,24,24,24
2009thru2013,050,05000US01081,"Lee County, Alabama",01,081,1170,235,940,265,0,40,225,320,0,50,270,115,30,40,50,240,0,30,210,301,143,241,129,27,37,121,149,27,52,138,70,45,32,41,125,27,23,122
2009thru2013,050,05000US01083,"Limestone County, Alabama",01,083,360,80,285,155,0,4,150,35,0,0,35,55,0,0,55,40,0,0,40,176,66,166,115,27,4,114,51,27,27,51,66,27,27,66,64,27,27,64
2009thru2013,050,05000US01085,"Lowndes County, Alabama",01,085,10,4,4,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,10,4,4,18,18,4,18,18,18,18,18,18,18,18,18,18,18,18
2009thru2013,050,05000US01087,"Macon County, Alabama",01,087,105,65,40,40,0,4,35,0,0,0,0,0,0,0,0,0,0,0,0,65,52,37,37,18,11,37,18,18,18,18,18,18,18,18,18,18,18,18
2009thru2013,050,05000US01089,"Madison County, Alabama",01,089,2855,840,2010,670,25,75,570,545,0,75,470,280,0,0,280,515,0,30,490,449,215,397,223,37,74,187,204,27,82,203,152,27,27,152,208,27,45,211
2009thru2013,050,05000US01091,"Marengo County, Alabama",01,091,70,40,35,4,0,0,4,0,0,0,0,0,0,0,0,30,0,0,30,72,60,41,10,21,21,10,21,21,21,21,21,21,21,21,41,21,21,41
2009thru2013,050,05000US01093,"Marion County, Alabama",01,093,115,110,4,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,106,106,10,10,24,24,10,24,24,24,24,24,24,24,24,24,24,24,24
2009thru2013,050,05000US01095,"Marshall County, Alabama",01,095,800,165,635,110,0,4,105,215,0,45,170,75,0,0,75,235,10,0,225,246,101,242,98,27,5,99,133,27,53,123,76,27,27,76,143,20,27,141
2009thru2013,050,05000US01097,"Mobile County, Alabama",01,097,2735,1475,1260,275,0,45,230,510,0,35,475,65,0,0,65,410,0,35,370,410,329,256,124,27,45,104,202,27,57,198,61,27,27,61,146,27,48,138
2009thru2013,050,05000US01099,"Monroe County, Alabama",01,099,70,30,40,4,0,0,4,35,0,0,35,0,0,0,0,0,0,0,0,69,36,58,1,21,21,1,59,21,21,59,21,21,21,21,21,21,21,21
2009thru2013,050,05000US01101,"Montgomery County, Alabama",01,101,1680,800,880,350,0,50,300,165,0,0,165,125,0,0,125,240,0,15,220,393,283,279,174,27,57,158,127,27,27,127,122,27,27,122,146,27,21,145
2009thru2013,050,05000US01103,"Morgan County, Alabama",01,103,700,250,455,190,0,95,95,165,0,0,165,70,0,0,70,30,0,0,30,219,109,195,139,27,99,96,109,27,27,109,63,27,27,63,37,27,27,37
2009thru2013,050,05000US01105,"Perry County, Alabama",01,105,105,60,45,45,0,40,4,0,0,0,0,0,0,0,0,0,0,0,0,83,70,46,46,18,45,5,18,18,18,18,18,18,18,18,18,18,18,18
2009thru2013,050,05000US01107,"Pickens County, Alabama",01,107,65,35,25,15,0,0,15,4,0,0,4,10,0,0,10,0,0,0,0,47,38,24,16,18,18,16,10,18,18,10,15,18,18,15,18,18,18,18
2009thru2013,050,05000US01109,"Pike County, Alabama",01,109,170,80,90,25,0,20,4,55,0,0,55,4,0,0,4,4,0,0,4,101,71,68,25,24,26,4,66,24,24,66,10,24,24,10,6,24,24,6
2009thru2013,050,05000US01111,"Randolph County, Alabama",01,111,125,30,95,10,0,0,10,0,0,0,0,0,0,0,0,80,0,0,80,86,39,74,23,21,21,23,21,21,21,21,21,21,21,21,71,21,21,71
2009thru2013,050,05000US01113,"Russell County, Alabama",01,113,495,170,325,85,0,10,75,165,0,0,165,45,0,0,45,30,30,0,0,239,135,209,84,27,18,81,135,27,27,135,76,27,27,76,46,46,27,27
2009thru2013,050,05000US01115,"St. Clair County, Alabama",01,115,445,115,330,185,0,0,185,60,0,0,60,0,0,0,0,85,0,0,85,189,108,159,115,27,27,115,68,27,27,68,27,27,27,27,85,27,27,85
2009thru2013,050,05000US01117,"Shelby County, Alabama",01,117,1285,410,875,160,0,35,125,115,0,35,85,95,0,0,95,505,0,0,505,315,176,258,110,27,56,99,93,27,55,74,89,27,27,89,169,27,27,169
2009thru2013,050,05000US01119,"Sumter County, Alabama",01,119,20,0,20,15,0,0,15,4,0,0,4,0,0,0,0,0,0,0,0,27,18,27,26,18,18,26,18,18,18,18,18,18,18,18,18,18,18,18
2009thru2013,050,05000US01121,"Talladega County, Alabama",01,121,785,295,490,170,25,45,100,65,0,65,0,35,0,0,35,215,0,15,205,268,178,204,119,36,73,92,71,27,71,27,60,27,27,60,135,27,24,134
2009thru2013,050,05000US01123,"Tallapoosa County, Alabama",01,123,420,125,295,65,0,60,4,0,0,0,0,30,0,0,30,205,35,0,170,160,99,133,65,24,68,8,24,24,24,24,41,24,24,41,114,53,24,102
2009thru2013,050,05000US01125,"Tuscaloosa County, Alabama",01,125,705,255,455,190,10,10,175,55,0,4,50,0,0,0,0,205,0,0,205,206,117,181,121,13,13,119,78,27,12,78,27,27,27,27,124,27,27,124
2009thru2013,050,05000US01127,"Walker County, Alabama",01,127,195,80,115,55,0,25,30,20,0,0,20,0,0,0,0,40,0,4,40,86,59,68,54,27,40,30,33,27,27,33,27,27,27,27,39,27,1,39
2009thru2013,050,05000US01129,"Washington County, Alabama",01,129,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
2009thru2013,050,05000US01131,"Wilcox County, Alabama",01,131,10,0,10,4,0,4,0,0,0,0,0,10,0,10,0,0,0,0,0,15,18,15,1,18,1,18,18,18,18,18,14,18,14,18,18,18,18,18
2009thru2013,050,05000US01133,"Winston County, Alabama",01,133,275,75,205,55,40,0,15,0,0,0,0,0,0,0,0,145,0,75,75,123,82,93,49,45,21,25,21,21,21,21,21,21,21,21,86,21,69,70
2009thru2013,050,05000US02013,"Aleutians East Borough, Alaska",02,013,15,4,15,15,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,11,9,11,11,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
2009thru2013,050,05000US02016,"Aleutians West Census Area, Alaska",02,016,15,4,10,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,11,11,13,11,13,13,13,13,13,13,13,13,13,13,13,13,13
2009thru2013,050,05000US02020,"Anchorage Municipality, Alaska",02,020,760,115,640,70,10,60,0,225,15,180,30,85,0,0,85,260,0,75,185,239,87,206,68,15,68,22,133,28,122,45,78,22,22,78,138,22,51,123
2009thru2013,050,05000US02050,"Bethel Census Area, Alaska",02,050,4,4,4,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,5,15,4,15,15,15,15,15,15,15,15,4,15,15,4,15,15,15,15
2009thru2013,050,05000US02060,"Bristol Bay Borough, Alaska",02,060,4,0,4,4,0,0,4,4,0,4,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,1,9,1,9,9,9,9,9,9,9,9,9
2009thru2013,050,05000US02068,"Denali Borough, Alaska",02,068,25,15,10,4,0,0,4,4,0,4,0,0,0,0,0,4,0,4,0,15,11,12,5,9,9,5,4,9,4,9,9,9,9,9,10,9,10,9
2009thru2013,050,05000US02070,"Dillingham Census Area, Alaska",02,070,4,4,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,5,5,13,5,13,13,13,13,13,13,13,13,13,13,13,13,13
2009thru2013,050,05000US02090,"Fairbanks North Star Borough, Alaska",02,090,280,95,185,40,20,0,20,85,0,15,70,55,4,0,50,10,0,10,0,146,92,120,42,23,22,34,84,22,25,83,62,8,22,62,13,22,13,22
2009thru2013,050,05000US02100,"Haines Borough, Alaska",02,100,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,13,9,13,9,9,9,9,9,9,9,9,9,9,9,9,13,9,9,13
2009thru2013,050,05000US02105,"Hoonah-Angoon Census Area, Alaska",02,105,40,20,20,10,10,0,4,4,0,0,4,4,0,4,0,10,0,4,4,17,14,12,11,13,9,5,5,9,9,5,3,9,3,9,12,9,10,9
2009thru2013,050,05000US02110,"Juneau City and Borough, Alaska",02,110,45,0,45,30,0,0,30,4,0,0,4,0,0,0,0,10,4,4,0,48,20,48,45,20,20,45,17,20,20,17,20,20,20,20,12,13,20,20
2009thru2013,050,05000US02122,"Kenai Peninsula Borough, Alaska",02,122,255,25,230,45,20,4,25,75,4,15,50,60,4,15,45,50,4,4,40,85,20,83,44,16,2,35,49,12,30,41,46,22,16,45,28,7,22,27
2009thru2013,050,05000US02130,"Ketchikan Gateway Borough, Alaska",02,130,100,10,90,35,4,25,4,4,0,0,4,0,0,0,0,55,0,10,45,61,14,60,44,10,42,7,5,15,15,5,15,15,15,15,43,15,13,41
2009thru2013,050,05000US02150,"Kodiak Island Borough, Alaska",02,150,45,0,45,4,0,0,4,0,0,0,0,35,0,0,35,10,10,0,0,55,15,55,5,15,15,5,15,15,15,15,54,15,15,54,15,15,15,15
2009thru2013,050,05000US02164,"Lake and Peninsula Borough, Alaska",02,164,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
2009thru2013,050,05000US02170,"Matanuska-Susitna Borough, Alaska",02,170,565,195,375,80,10,30,40,180,25,65,95,20,10,4,4,95,25,0,70,125,69,93,45,13,21,37,69,19,47,52,16,14,22,11,63,23,22,58
2009thru2013,050,05000US02180,"Nome Census Area, Alaska",02,180,15,10,4,4,0,0,4,4,0,0,4,0,0,0,0,0,0,0,0,10,11,11,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
2009thru2013,050,05000US02185,"North Slope Borough, Alaska",02,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
2009thru2013,050,05000US02188,"Northwest Arctic Borough, Alaska",02,188,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
2009thru2013,050,05000US02195,"Petersburg Census Area, Alaska",02,195,20,4,15,4,0,4,4,10,0,0,10,4,0,0,4,4,0,0,4,16,9,17,9,9,9,5,13,9,9,13,5,9,9,5,4,9,9,4
2009thru2013,050,05000US02198,"Prince of Wales-Hyder Census Area, Alaska",02,198,15,4,4,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,15,10,14,13,13,13,13,13,13,13,13,14,13,13,14,13,13,13,13
2009thru2013,050,05000US02220,"Sitka City and Borough, Alaska",02,220,35,0,35,20,0,10,4,0,0,0,0,0,0,0,0,15,10,4,0,29,13,29,22,13,22,8,13,13,13,13,13,13,13,13,21,16,13,13
2009thru2013,050,05000US02230,"Skagway Municipality, Alaska",02,230,4,4,4,0,0,0,0,4,0,0,4,4,0,4,0,4,4,0,0,9,2,9,9,9,9,9,4,9,9,4,4,9,4,9,3,3,9,9
2009thru2013,050,05000US02240,"Southeast Fairbanks Census Area, Alaska",02,240,45,25,20,4,0,4,0,4,0,0,4,4,0,4,0,10,10,0,0,27,22,17,4,13,4,13,10,13,13,10,5,13,5,13,13,13,13,13
2009thru2013,050,05000US02261,"Valdez-Cordova Census Area, Alaska",02,261,60,25,40,20,4,15,4,4,0,0,4,10,0,4,10,10,10,0,0,34,24,22,18,3,17,5,5,13,13,5,15,13,5,13,13,13,13,13
2009thru2013,050,05000US02270,"Wade Hampton Census Area, Alaska",02,270,4,0,4,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,3,13,3,13,13,13,13,13,13,13,13,3,13,13,3,13,13,13,13
2009thru2013,050,05000US02275,"Wrangell City and Borough, Alaska",02,275,25,0,25,20,10,0,10,4,0,0,4,0,0,0,0,0,0,0,0,23,9,23,24,13,9,14,9,9,9,9,9,9,9,9,9,9,9,9
2009thru2013,050,05000US02282,"Yakutat City and Borough, Alaska",02,282,4,0,4,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,9,4,9,9,9,9,4,9,4,9,9,9,9,9,9,9,9,9
2009thru2013,050,05000US02290,"Yukon-Koyukuk Census Area, Alaska",02,290,20,10,10,10,4,4,4,0,0,0,0,0,0,0,0,4,0,0,4,9,9,9,12,4,8,3,13,13,13,13,13,13,13,13,4,13,13,4
2009thru2013,050,05000US04001,"Apache County, Arizona",04,001,265,55,210,4,0,0,4,30,0,10,20,15,0,0,15,155,0,35,120,96,40,85,10,30,30,10,31,30,14,31,17,30,30,17,81,30,28,64
2009thru2013,050,05000US04003,"Cochise County, Arizona",04,003,1145,375,770,260,4,60,195,215,0,45,165,95,0,40,55,200,10,80,105,300,179,219,152,30,83,127,88,30,41,87,76,30,54,60,111,21,72,77
2009thru2013,050,05000US04005,"Coconino County, Arizona",04,005,805,80,725,190,40,80,70,4,0,0,4,100,40,15,45,425,30,50,345,230,75,230,114,44,91,63,10,30,30,10,81,57,19,47,180,37,58,162
2009thru2013,050,05000US04007,"Gila County, Arizona",04,007,840,130,710,20,10,10,0,105,30,4,70,60,0,40,20,520,0,135,385,255,85,217,27,20,16,30,97,52,10,81,58,30,48,37,194,30,69,193
2009thru2013,050,05000US04009,"Graham County, Arizona",04,009,165,20,145,105,35,20,50,35,0,10,25,0,0,0,0,10,0,0,10,88,24,86,72,58,23,44,41,27,14,38,27,27,27,27,13,27,27,13
