source,sumlevel,geoid,name,st,cnty,T14B_est1,T14B_est2,T14B_est3,T14B_est4,T14B_est5,T14B_est6,T14B_est7,T14B_est8,T14B_est9,T14B_est10,T14B_est11,T14B_est12,T14B_est13,T14B_est14,T14B_est15,T14B_est16,T14B_est17,T14B_est18,T14B_est19,T14B_moe1,T14B_moe2,T14B_moe3,T14B_moe4,T14B_moe5,T14B_moe6,T14B_moe7,T14B_moe8,T14B_moe9,T14B_moe10,T14B_moe11,T14B_moe12,T14B_moe13,T14B_moe14,T14B_moe15,T14B_moe16,T14B_moe17,T14B_moe18,T14B_moe19
2010thru2014,050,05000US01001,"Autauga County, Alabama",01,001,435,105,330,0,0,0,0,55,0,55,0,125,0,110,20,150,0,95,55,260,80,251,27,27,27,27,91,27,91,27,126,27,124,36,172,27,145,45
2010thru2014,050,05000US01003,"Baldwin County, Alabama",01,003,9450,360,9090,670,20,185,465,2645,145,1215,1285,2400,240,1330,830,3380,670,1700,1010,858,177,841,253,32,145,191,435,121,278,345,517,133,437,272,560,271,391,294
2010thru2014,050,05000US01005,"Barbour County, Alabama",01,005,305,10,300,110,30,25,55,165,10,105,50,25,0,10,20,0,0,0,0,102,13,103,77,49,40,48,65,14,66,66,27,21,14,27,21,21,21,21
2010thru2014,050,05000US01007,"Bibb County, Alabama",01,007,10,0,10,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,14,21,14,21,21,21,21,14,14,21,21,21,21,21,21,21,21,21,21
2010thru2014,050,05000US01009,"Blount County, Alabama",01,009,320,70,250,200,10,65,130,40,0,30,10,4,0,0,4,0,0,0,0,150,99,121,111,15,54,103,37,27,34,13,7,27,27,7,27,27,27,27
2010thru2014,050,05000US01011,"Bullock County, Alabama",01,011,30,15,10,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,23,15,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
2010thru2014,050,05000US01013,"Butler County, Alabama",01,013,110,10,100,4,0,4,0,80,20,40,20,4,0,0,4,10,0,10,0,69,14,70,15,21,15,21,61,33,39,34,19,21,21,19,14,21,14,21
2010thru2014,050,05000US01015,"Calhoun County, Alabama",01,015,605,70,535,100,0,75,30,375,115,220,40,60,0,55,4,0,0,0,0,189,60,173,70,27,62,30,142,79,109,56,65,27,63,9,27,27,27,27
2010thru2014,050,05000US01017,"Chambers County, Alabama",01,017,590,80,510,40,15,0,25,30,10,25,0,65,0,45,25,375,345,0,30,177,71,166,42,21,24,38,39,14,36,24,61,24,48,38,142,138,24,48
2010thru2014,050,05000US01019,"Cherokee County, Alabama",01,019,160,70,95,0,0,0,0,80,0,50,30,15,0,15,0,0,0,0,0,97,85,55,21,21,21,21,58,21,50,41,23,21,23,21,21,21,21,21
2010thru2014,050,05000US01021,"Chilton County, Alabama",01,021,435,0,435,185,50,55,80,170,0,60,110,85,10,45,30,0,0,0,0,185,24,185,119,79,54,68,115,24,78,94,86,13,68,52,24,24,24,24
2010thru2014,050,05000US01023,"Choctaw County, Alabama",01,023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
2010thru2014,050,05000US01025,"Clarke County, Alabama",01,025,95,25,70,10,0,4,4,55,0,35,20,4,0,0,4,0,0,0,0,76,31,68,12,21,11,3,64,21,59,34,10,21,21,10,21,21,21,21
2010thru2014,050,05000US01027,"Clay County, Alabama",01,027,95,20,75,75,25,4,40,0,0,0,0,0,0,0,0,0,0,0,0,86,34,78,78,42,14,66,18,18,18,18,18,18,18,18,18,18,18,18
2010thru2014,050,05000US01029,"Cleburne County, Alabama",01,029,105,4,105,0,0,0,0,105,50,10,45,0,0,0,0,0,0,0,0,69,2,69,18,18,18,18,69,53,14,39,18,18,18,18,18,18,18,18
2010thru2014,050,05000US01031,"Coffee County, Alabama",01,031,725,140,585,65,20,35,4,235,50,140,45,270,0,165,105,15,10,4,0,204,93,179,52,33,41,10,131,62,95,52,131,27,97,92,23,15,15,27
2010thru2014,050,05000US01033,"Colbert County, Alabama",01,033,510,180,335,75,20,25,35,245,65,105,75,10,0,0,10,0,0,0,0,143,103,120,58,18,28,38,108,57,78,57,14,27,27,14,27,27,27,27
2010thru2014,050,05000US01035,"Conecuh County, Alabama",01,035,65,0,65,0,0,0,0,65,0,0,65,0,0,0,0,0,0,0,0,93,18,93,18,18,18,18,93,18,18,93,18,18,18,18,18,18,18,18
2010thru2014,050,05000US01037,"Coosa County, Alabama",01,037,110,35,75,35,0,25,4,40,0,40,0,0,0,0,0,0,0,0,0,67,46,50,36,18,31,12,38,18,38,18,18,18,18,18,18,18,18,18
2010thru2014,050,05000US01039,"Covington County, Alabama",01,039,400,110,290,80,0,70,10,165,30,35,95,45,15,0,30,0,0,0,0,118,62,109,60,24,57,19,80,39,40,63,42,27,24,30,24,24,24,24
2010thru2014,050,05000US01041,"Crenshaw County, Alabama",01,041,75,50,25,15,0,4,10,10,0,4,4,0,0,0,0,0,0,0,0,44,41,20,17,18,4,16,12,18,5,7,18,18,18,18,18,18,18,18
2010thru2014,050,05000US01043,"Cullman County, Alabama",01,043,460,70,390,120,0,110,10,180,20,160,0,55,0,30,25,35,20,15,0,148,48,145,80,27,79,14,117,34,112,27,58,27,46,33,39,34,23,27
2010thru2014,050,05000US01045,"Dale County, Alabama",01,045,590,55,535,150,0,100,55,215,0,125,85,95,10,0,85,75,55,0,20,199,41,195,89,24,79,59,122,24,103,74,75,14,24,73,75,69,24,34
2010thru2014,050,05000US01047,"Dallas County, Alabama",01,047,365,240,125,35,0,35,0,90,30,35,25,0,0,0,0,0,0,0,0,149,124,96,60,24,60,24,73,42,47,40,24,24,24,24,24,24,24,24
2010thru2014,050,05000US01049,"DeKalb County, Alabama",01,049,1350,50,1300,615,50,185,380,650,95,255,300,40,40,0,0,0,0,0,0,281,45,281,204,46,122,163,250,84,136,196,63,63,27,27,27,27,27,27
2010thru2014,050,05000US01051,"Elmore County, Alabama",01,051,510,130,375,0,0,0,0,75,0,25,50,205,0,130,70,100,0,25,75,200,87,174,27,27,27,27,80,27,28,66,154,27,125,86,65,27,39,54
2010thru2014,050,05000US01053,"Escambia County, Alabama",01,053,120,0,120,55,0,45,10,65,0,55,10,0,0,0,0,0,0,0,0,83,24,83,49,24,45,21,60,24,58,13,24,24,24,24,24,24,24,24
2010thru2014,050,05000US01055,"Etowah County, Alabama",01,055,650,145,505,55,30,25,0,380,110,105,165,70,45,15,10,0,0,0,0,232,102,207,43,31,40,27,194,88,91,126,53,44,24,20,27,27,27,27
2010thru2014,050,05000US01057,"Fayette County, Alabama",01,057,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,57,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
2010thru2014,050,05000US01059,"Franklin County, Alabama",01,059,305,25,275,100,35,0,65,175,30,145,0,0,0,0,0,0,0,0,0,154,34,149,92,58,24,76,123,49,113,24,24,24,24,24,24,24,24,24
2010thru2014,050,05000US01061,"Geneva County, Alabama",01,061,150,45,105,45,20,0,25,60,0,45,15,0,0,0,0,0,0,0,0,59,52,55,42,32,21,31,47,21,43,19,21,21,21,21,21,21,21,21
2010thru2014,050,05000US01063,"Greene County, Alabama",01,063,85,0,85,60,0,4,50,4,0,0,4,20,0,10,15,0,0,0,0,70,16,70,60,16,13,59,9,16,16,9,27,16,15,24,16,16,16,16
2010thru2014,050,05000US01065,"Hale County, Alabama",01,065,35,15,20,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,34,25,24,24,18,18,24,18,18,18,18,18,18,18,18,18,18,18,18
2010thru2014,050,05000US01067,"Henry County, Alabama",01,067,130,85,40,35,0,10,20,0,0,0,0,0,0,0,0,10,10,0,0,69,73,43,38,18,20,35,18,18,18,18,18,18,18,18,15,15,18,18
2010thru2014,050,05000US01069,"Houston County, Alabama",01,069,1380,190,1190,185,20,95,70,635,75,365,190,290,45,80,165,85,4,4,70,204,61,188,49,19,37,31,123,35,92,72,76,26,36,60,72,10,10,71
2010thru2014,050,05000US01071,"Jackson County, Alabama",01,071,975,190,785,335,40,40,255,265,25,130,110,180,90,85,10,4,0,0,4,227,126,196,159,38,44,156,116,42,86,69,121,79,67,11,7,27,27,7
2010thru2014,050,05000US01073,"Jefferson County, Alabama",01,073,9145,1515,7630,1085,210,620,260,3355,795,1915,645,2750,650,1730,370,440,260,50,130,796,295,727,226,115,167,129,543,238,413,243,391,221,357,148,194,165,55,97
2010thru2014,050,05000US01075,"Lamar County, Alabama",01,075,40,0,40,10,4,0,4,30,15,15,0,0,0,0,0,0,0,0,0,34,18,34,14,11,18,6,31,25,22,18,18,18,18,18,18,18,18,18
2010thru2014,050,05000US01077,"Lauderdale County, Alabama",01,077,1005,180,825,200,55,125,20,575,275,230,65,50,0,25,30,0,0,0,0,275,107,274,93,53,77,30,225,156,157,63,56,27,39,43,27,27,27,27
2010thru2014,050,05000US01079,"Lawrence County, Alabama",01,079,25,0,25,20,0,20,0,4,0,0,4,0,0,0,0,0,0,0,0,27,24,27,26,24,26,24,2,24,24,2,24,24,24,24,24,24,24,24
2010thru2014,050,05000US01081,"Lee County, Alabama",01,081,1465,130,1340,110,0,30,80,675,185,265,225,420,35,215,170,135,55,40,40,310,107,302,72,27,32,65,227,101,156,137,157,32,128,117,101,57,65,54
2010thru2014,050,05000US01083,"Limestone County, Alabama",01,083,685,85,600,195,0,150,45,280,35,80,165,125,0,75,45,0,0,0,0,225,74,223,134,27,129,52,133,42,76,107,113,27,87,72,27,27,27,27
