source,sumlevel,geoid,name,st,cnty,T17B_est1,T17B_est2,T17B_est3,T17B_est4,T17B_est5,T17B_est6,T17B_est7,T17B_est8,T17B_est9,T17B_est10,T17B_est11,T17B_est12,T17B_est13,T17B_est14,T17B_est15,T17B_est16,T17B_est17,T17B_est18,T17B_est19,T17B_est20,T17B_est21,T17B_moe1,T17B_moe2,T17B_moe3,T17B_moe4,T17B_moe5,T17B_moe6,T17B_moe7,T17B_moe8,T17B_moe9,T17B_moe10,T17B_moe11,T17B_moe12,T17B_moe13,T17B_moe14,T17B_moe15,T17B_moe16,T17B_moe17,T17B_moe18,T17B_moe19,T17B_moe20,T17B_moe21
2010thru2014,050,05000US01001,"Autauga County, Alabama",01,001,435,185,0,40,0,150,95,0,95,0,0,125,0,0,125,0,25,0,25,0,0,260,174,27,53,27,172,105,27,105,27,27,126,27,27,126,27,35,27,35,27,27
2010thru2014,050,05000US01003,"Baldwin County, Alabama",01,003,9450,1840,155,785,415,480,555,110,135,165,145,6255,260,1505,1700,2790,800,250,405,145,0,858,422,111,280,196,196,272,100,149,175,122,700,157,338,397,464,257,167,148,137,27
2010thru2014,050,05000US01005,"Barbour County, Alabama",01,005,305,25,0,25,0,0,95,30,35,25,0,45,30,15,0,0,145,60,85,0,0,102,28,21,28,21,21,61,49,45,27,21,54,46,28,21,21,75,49,59,21,21
2010thru2014,050,05000US01007,"Bibb County, Alabama",01,007,10,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,14,21,21,21,21,21,21,21,21,21,21,14,21,14,21,21,21,21,21,21,21
2010thru2014,050,05000US01009,"Blount County, Alabama",01,009,320,165,130,30,4,0,10,10,0,0,0,0,0,0,0,0,145,135,10,0,0,150,108,104,34,7,27,15,15,27,27,27,27,27,27,27,27,111,109,13,27,27
2010thru2014,050,05000US01011,"Bullock County, Alabama",01,011,30,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,15,15,4,0,0,23,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,15,16,4,18,18
2010thru2014,050,05000US01013,"Butler County, Alabama",01,013,110,30,0,20,4,0,75,10,60,0,10,0,0,0,0,0,4,4,0,0,0,69,34,21,34,19,21,54,14,52,21,14,21,21,21,21,21,15,15,21,21,21
2010thru2014,050,05000US01015,"Calhoun County, Alabama",01,015,605,135,75,40,20,0,145,75,65,4,0,160,20,105,35,0,160,0,160,0,0,189,84,51,47,37,27,78,57,55,9,27,118,38,97,55,27,100,27,100,27,27
2010thru2014,050,05000US01017,"Chambers County, Alabama",01,017,590,100,50,25,25,0,40,10,10,25,0,400,4,0,20,375,45,25,25,0,0,177,82,60,42,38,24,38,16,14,38,24,145,24,24,35,142,52,38,36,24,24
2010thru2014,050,05000US01019,"Cherokee County, Alabama",01,019,160,110,70,30,15,0,10,0,10,0,0,0,0,0,0,0,40,0,40,0,0,97,92,85,41,23,21,17,21,17,21,21,21,21,21,21,21,50,21,50,21,21
