source,sumlevel,geoid,name,st,cnty,T5_est1,T5_est2,T5_est3,T5_est4,T5_est5,T5_est6,T5_est7,T5_est8,T5_est9,T5_est10,T5_est11,T5_est12,T5_est13,T5_est14,T5_est15,T5_est16,T5_est17,T5_est18,T5_est19,T5_est20,T5_est21,T5_est22,T5_est23,T5_est24,T5_est25,T5_est26,T5_est27,T5_est28,T5_est29,T5_est30,T5_est31,T5_est32,T5_est33,T5_est34,T5_est35,T5_est36,T5_est37,T5_est38,T5_est39,T5_est40,T5_est41,T5_est42,T5_est43,T5_est44,T5_est45,T5_est46,T5_est47,T5_est48,T5_est49,T5_est50,T5_est51,T5_est52,T5_est53,T5_est54,T5_est55,T5_est56,T5_est57,T5_est58,T5_est59,T5_est60,T5_est61,T5_est62,T5_est63,T5_est64,T5_est65,T5_est66,T5_est67,T5_est68,T5_est69,T5_est70,T5_est71,T5_est72,T5_est73,T5_est74,T5_est75,T5_est76,T5_est77,T5_est78,T5_est79,T5_est80,T5_est81,T5_est82,T5_est83,T5_est84,T5_est85,T5_est86,T5_est87,T5_est88,T5_est89,T5_est90,T5_est91,T5_est92,T5_est93,T5_est94,T5_est95,T5_est96,T5_est97,T5_est98,T5_est99,T5_est100,T5_est101,T5_est102,T5_est103,T5_est104,T5_est105,T5_est106,T5_est107,T5_est108,T5_est109,T5_est110,T5_est111,T5_est112,T5_est113,T5_est114,T5_est115,T5_est116,T5_est117,T5_est118,T5_est119,T5_est120,T5_est121,T5_est122,T5_est123,T5_est124,T5_est125,T5_est126,T5_est127,T5_est128,T5_est129,T5_moe1,T5_moe2,T5_moe3,T5_moe4,T5_moe5,T5_moe6,T5_moe7,T5_moe8,T5_moe9,T5_moe10,T5_moe11,T5_moe12,T5_moe13,T5_moe14,T5_moe15,T5_moe16,T5_moe17,T5_moe18,T5_moe19,T5_moe20,T5_moe21,T5_moe22,T5_moe23,T5_moe24,T5_moe25,T5_moe26,T5_moe27,T5_moe28,T5_moe29,T5_moe30,T5_moe31,T5_moe32,T5_moe33,T5_moe34,T5_moe35,T5_moe36,T5_moe37,T5_moe38,T5_moe39,T5_moe40,T5_moe41,T5_moe42,T5_moe43,T5_moe44,T5_moe45,T5_moe46,T5_moe47,T5_moe48,T5_moe49,T5_moe50,T5_moe51,T5_moe52,T5_moe53,T5_moe54,T5_moe55,T5_moe56,T5_moe57,T5_moe58,T5_moe59,T5_moe60,T5_moe61,T5_moe62,T5_moe63,T5_moe64,T5_moe65,T5_moe66,T5_moe67,T5_moe68,T5_moe69,T5_moe70,T5_moe71,T5_moe72,T5_moe73,T5_moe74,T5_moe75,T5_moe76,T5_moe77,T5_moe78,T5_moe79,T5_moe80,T5_moe81,T5_moe82,T5_moe83,T5_moe84,T5_moe85,T5_moe86,T5_moe87,T5_moe88,T5_moe89,T5_moe90,T5_moe91,T5_moe92,T5_moe93,T5_moe94,T5_moe95,T5_moe96,T5_moe97,T5_moe98,T5_moe99,T5_moe100,T5_moe101,T5_moe102,T5_moe103,T5_moe104,T5_moe105,T5_moe106,T5_moe107,T5_moe108,T5_moe109,T5_moe110,T5_moe111,T5_moe112,T5_moe113,T5_moe114,T5_moe115,T5_moe116,T5_moe117,T5_moe118,T5_moe119,T5_moe120,T5_moe121,T5_moe122,T5_moe123,T5_moe124,T5_moe125,T5_moe126,T5_moe127,T5_moe128,T5_moe129
2010thru2014,050,05000US01001,"Autauga County, Alabama",01,001,20305,15250,3480,730,260,75,400,585,90,45,445,1010,210,85,715,570,95,25,450,585,150,75,355,11715,115,45,15,55,535,155,185,200,1395,385,430,575,1200,335,145,720,8475,1800,775,5900,55,55,25,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5055,2370,910,130,4,770,450,130,30,285,645,65,0,580,215,0,0,215,155,0,45,110,2610,175,10,0,165,155,10,4,145,335,95,4,240,460,45,0,415,1485,135,10,1340,75,75,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458,577,417,192,131,42,153,170,51,40,150,224,85,63,217,192,58,33,171,163,59,77,140,542,79,51,19,56,156,101,78,93,287,162,164,157,207,119,82,153,503,201,148,487,49,49,30,27,45,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,564,484,281,65,16,270,166,107,50,120,285,82,27,268,183,27,27,183,94,27,51,82,360,99,16,27,97,66,14,1,66,185,69,4,177,147,42,27,149,233,77,16,210,71,71,27,27,71,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
2010thru2014,050,05000US01003,"Baldwin County, Alabama",01,003,73060,52205,12655,2320,555,595,1170,2790,620,430,1740,3000,1085,410,1500,1180,295,135,750,3360,1180,120,2060,38890,440,100,110,235,2205,685,775,750,4395,1515,1485,1395,3570,1420,850,1305,28275,8035,3065,17175,660,660,205,60,395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20855,9555,2615,245,155,2215,2565,370,315,1880,2895,315,165,2415,600,35,75,490,880,90,90,700,10890,705,80,55,565,430,145,40,245,1895,240,145,1510,1775,195,80,1495,6090,930,230,4930,410,410,55,0,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1239,952,735,353,154,149,270,440,198,133,408,430,279,163,308,269,111,83,226,349,238,81,295,984,127,63,59,94,363,221,193,230,431,217,315,249,444,268,191,272,914,472,328,722,201,201,134,48,150,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,1079,873,480,124,82,442,449,140,156,406,515,143,90,548,170,34,57,166,329,62,62,326,845,210,44,52,198,149,78,31,137,394,107,99,373,422,162,72,378,747,280,103,668,180,180,64,27,167,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
2010thru2014,050,05000US01005,"Barbour County, Alabama",01,005,9145,6180,1480,260,45,60,155,480,175,115,190,290,95,55,145,160,60,30,70,285,65,45,180,4635,45,20,10,15,235,95,95,45,570,220,135,215,430,130,60,245,3355,995,330,2030,70,70,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2965,1180,465,60,35,375,405,40,55,310,230,15,35,185,60,4,20,40,20,0,0,20,1615,185,40,20,130,230,55,45,130,315,4,55,255,295,15,4,270,590,90,40,460,170,170,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311,270,200,77,28,38,64,116,70,45,78,87,45,42,69,71,39,31,45,104,29,52,60,252,30,18,21,17,69,44,39,36,109,62,56,76,102,67,33,78,233,124,70,200,51,51,21,21,51,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,290,199,118,37,31,105,114,33,34,103,110,17,30,98,34,5,19,29,28,21,21,28,224,77,40,15,67,81,49,29,56,122,10,37,109,108,19,15,105,156,52,24,142,124,124,21,21,124,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
2010thru2014,050,05000US01007,"Bibb County, Alabama",01,007,7080,5450,1355,375,60,60,255,505,125,95,290,260,95,15,150,95,4,0,90,120,50,15,50,4045,95,50,40,4,425,115,125,190,950,325,140,480,580,165,55,360,1995,410,115,1470,50,50,20,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1630,465,250,10,0,235,205,120,0,85,15,4,10,4,0,0,0,0,0,0,0,0,1110,115,45,20,50,210,85,4,120,480,10,100,365,60,15,0,45,250,25,10,215,50,50,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389,362,243,175,42,49,147,173,61,72,144,96,63,28,73,61,5,21,60,65,52,18,46,354,51,49,35,21,140,72,64,98,213,122,69,159,138,69,37,123,286,117,55,274,42,42,27,21,31,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,297,167,111,18,21,110,121,98,21,62,18,4,15,21,21,21,21,21,21,21,21,21,260,55,39,24,42,120,90,3,73,178,15,84,160,52,25,21,48,135,28,14,134,49,49,21,21,49,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
2010thru2014,050,05000US01009,"Blount County, Alabama",01,009,20935,16415,3680,960,190,185,585,770,230,150,390,920,290,85,545,335,110,15,215,700,140,4,560,12410,265,55,140,70,1015,385,325,305,2175,670,460,1040,1765,530,140,1095,7195,1785,495,4910,325,325,80,20,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4520,1430,730,80,105,545,475,90,20,365,140,15,0,125,45,0,0,45,40,4,0,35,3005,435,120,70,245,525,150,110,265,835,175,30,630,345,65,0,285,860,55,0,805,85,85,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,518,411,192,75,67,175,184,100,65,119,213,127,50,178,130,101,22,81,159,79,3,157,530,125,68,98,44,222,157,95,114,288,130,111,273,271,182,56,211,429,226,99,388,116,116,41,17,114,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,440,254,173,50,79,140,150,73,23,130,73,30,27,60,53,27,27,53,34,4,27,33,383,156,57,43,150,184,99,77,134,230,95,26,198,122,48,27,115,247,49,27,243,87,87,27,27,87,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
2010thru2014,050,05000US01011,"Bullock County, Alabama",01,011,3745,2725,670,195,75,70,45,75,30,20,25,120,25,20,70,75,25,0,50,205,40,0,160,2000,55,10,30,10,130,15,55,60,340,40,115,185,170,65,35,75,1305,415,140,745,60,60,20,15,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1020,370,230,10,0,225,95,4,20,70,40,4,0,35,0,0,0,0,4,0,0,4,615,35,30,0,4,50,15,0,40,200,15,0,185,30,0,0,30,300,20,0,280,30,30,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,198,191,102,55,63,39,44,24,25,31,70,28,26,58,61,38,18,51,141,34,18,137,191,46,24,34,18,87,27,73,63,123,40,74,86,66,38,27,51,197,107,89,182,51,51,32,29,34,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,219,134,112,14,18,109,77,17,23,71,36,4,18,36,18,18,18,18,5,18,18,5,173,34,30,18,18,37,25,18,26,100,30,18,95,43,18,18,43,148,21,18,147,52,52,18,18,52,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
2010thru2014,050,05000US01013,"Butler County, Alabama",01,013,8255,5770,1335,290,40,50,195,375,95,80,200,320,75,50,195,145,60,10,75,205,30,15,160,4330,50,4,35,10,395,130,120,145,665,200,190,280,330,120,95,115,2885,860,280,1745,105,105,20,15,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2485,1190,430,45,30,355,365,85,55,225,320,30,10,275,15,4,0,15,60,4,0,55,1175,105,20,0,85,185,30,15,135,195,30,50,115,215,4,15,195,480,35,4,440,120,120,0,15,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,238,183,85,26,30,79,101,54,40,90,86,33,32,69,67,42,15,54,76,34,19,68,273,39,5,38,15,111,58,51,71,149,81,67,102,92,51,44,52,227,119,59,195,40,40,20,17,39,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,179,156,100,25,21,97,111,51,42,101,103,32,19,102,17,3,21,21,46,11,21,46,157,52,22,21,48,67,27,17,64,82,30,38,59,77,2,20,73,113,25,8,110,63,63,21,19,62,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
2010thru2014,050,05000US01015,"Calhoun County, Alabama",01,015,45350,31075,6545,1785,420,295,1075,1360,365,280,710,1410,485,225,700,690,175,125,395,1300,385,90,825,24280,325,120,60,145,1075,330,375,375,2690,825,900,965,2085,705,295,1085,18105,4700,2050,11355,250,250,35,75,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14270,6480,2895,145,90,2660,1930,190,135,1600,1120,75,135,910,235,40,0,195,300,4,35,260,7460,580,55,50,475,740,165,95,480,1430,165,125,1140,960,115,60,790,3750,455,120,3175,330,330,15,4,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,704,655,479,251,149,113,199,240,119,90,205,264,131,116,177,162,88,86,121,230,113,42,204,657,116,93,36,70,208,88,119,143,266,145,153,231,274,171,94,234,692,315,231,559,105,105,33,52,75,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,632,547,409,70,60,408,316,73,85,313,241,55,91,205,121,49,27,112,141,4,33,137,518,154,43,42,153,152,65,49,130,255,85,84,230,251,87,65,216,412,145,57,363,117,117,24,1,119,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
2010thru2014,050,05000US01017,"Chambers County, Alabama",01,017,13900,9330,2500,485,115,95,270,720,160,150,410,665,145,55,465,205,65,65,75,425,85,20,320,6710,10,0,0,10,470,175,160,135,770,245,230,295,730,245,240,245,4730,1420,430,2880,120,120,4,50,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4570,2355,770,100,40,635,705,130,70,505,595,50,60,480,155,10,20,125,125,0,0,125,2080,185,40,40,100,210,15,60,140,250,45,50,155,220,45,25,150,1220,80,20,1125,135,135,15,15,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394,382,322,172,76,52,130,196,84,69,153,171,57,40,168,79,39,61,48,121,50,16,116,368,17,24,24,17,138,75,73,73,161,86,77,103,150,86,99,98,326,166,107,297,70,70,18,29,58,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,400,261,198,58,29,188,171,70,53,161,156,33,49,151,74,13,20,74,57,24,24,57,290,72,29,45,60,103,16,47,87,104,42,34,83,81,45,32,61,215,50,27,213,70,70,18,22,63,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
2010thru2014,050,05000US01019,"Cherokee County, Alabama",01,019,11725,9070,2450,570,170,55,350,675,175,60,440,555,180,40,335,205,145,30,30,445,150,30,270,6545,85,4,25,55,435,100,55,280,975,445,245,285,780,205,215,360,4265,1265,340,2665,75,75,15,20,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2655,1155,375,20,40,315,340,85,25,230,240,40,15,190,80,0,0,80,115,0,30,85,1480,215,4,60,150,170,55,10,110,340,25,45,270,215,10,0,205,540,45,10,480,25,25,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451,382,303,177,109,37,114,196,84,42,192,167,86,36,139,111,97,35,31,148,71,32,128,431,53,14,28,44,170,70,43,157,201,130,84,105,169,74,97,138,329,182,89,309,45,45,19,31,32,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,348,267,167,22,62,162,130,59,26,103,109,30,24,103,79,21,21,79,96,21,45,85,256,125,15,63,111,72,48,14,58,131,24,42,127,126,15,21,121,167,64,16,148,25,25,21,21,25,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
