source,sumlevel,geoid,name,st,cnty,T17A_est1,T17A_est2,T17A_est3,T17A_est4,T17A_est5,T17A_est6,T17A_est7,T17A_est8,T17A_est9,T17A_est10,T17A_est11,T17A_est12,T17A_est13,T17A_est14,T17A_est15,T17A_est16,T17A_est17,T17A_est18,T17A_est19,T17A_est20,T17A_est21,T17A_moe1,T17A_moe2,T17A_moe3,T17A_moe4,T17A_moe5,T17A_moe6,T17A_moe7,T17A_moe8,T17A_moe9,T17A_moe10,T17A_moe11,T17A_moe12,T17A_moe13,T17A_moe14,T17A_moe15,T17A_moe16,T17A_moe17,T17A_moe18,T17A_moe19,T17A_moe20,T17A_moe21
2011thru2015,050,05000US01001,"Autauga County, Alabama",01,001,175,150,55,35,15,45,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,101,93,44,57,24,46,27,27,27,27,27,27,27,27,27,27,42,42,27,27,27
2011thru2015,050,05000US01003,"Baldwin County, Alabama",01,003,2950,2150,115,635,350,1050,80,0,45,0,40,445,40,25,0,380,270,215,55,0,0,461,486,80,324,193,336,86,27,72,27,47,163,68,41,27,142,156,133,75,27,27
2011thru2015,050,05000US01005,"Barbour County, Alabama",01,005,215,135,4,20,55,55,0,0,0,0,0,0,0,0,0,0,80,70,10,0,0,104,69,10,24,51,48,21,21,21,21,21,21,21,21,21,21,74,73,13,21,21
2011thru2015,050,05000US01007,"Bibb County, Alabama",01,007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
2011thru2015,050,05000US01009,"Blount County, Alabama",01,009,245,245,60,90,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,153,51,88,27,82,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
2011thru2015,050,05000US01011,"Bullock County, Alabama",01,011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,0,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
2011thru2015,050,05000US01013,"Butler County, Alabama",01,013,50,40,20,0,10,10,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,35,35,27,21,21,14,21,21,21,21,21,21,21,21,21,21,14,14,21,21,21
2011thru2015,050,05000US01015,"Calhoun County, Alabama",01,015,970,805,495,135,50,120,20,20,0,0,0,20,0,20,0,0,125,125,0,0,0,199,196,152,94,46,88,32,32,27,27,27,34,27,34,27,27,88,88,27,27,27
2011thru2015,050,05000US01017,"Chambers County, Alabama",01,017,350,305,200,45,35,25,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,139,131,100,53,53,37,51,51,24,24,24,24,24,24,24,24,24,24,24,24,24
2011thru2015,050,05000US01019,"Cherokee County, Alabama",01,019,325,180,45,0,0,135,0,0,0,0,0,0,0,0,0,0,145,95,0,50,0,158,119,79,21,21,79,21,21,21,21,21,21,21,21,21,21,112,78,21,77,21
