source,sumlevel,geoid,name,st,cnty,T18B_est1,T18B_est2,T18B_est3,T18B_est4,T18B_est5,T18B_est6,T18B_est7,T18B_est8,T18B_est9,T18B_est10,T18B_est11,T18B_est12,T18B_est13,T18B_est14,T18B_est15,T18B_est16,T18B_est17,T18B_est18,T18B_est19,T18B_est20,T18B_est21,T18B_est22,T18B_est23,T18B_est24,T18B_est25,T18B_est26,T18B_est27,T18B_est28,T18B_est29,T18B_est30,T18B_est31,T18B_est32,T18B_est33,T18B_est34,T18B_est35,T18B_est36,T18B_est37,T18B_est38,T18B_est39,T18B_est40,T18B_est41,T18B_est42,T18B_est43,T18B_est44,T18B_est45,T18B_est46,T18B_est47,T18B_est48,T18B_est49,T18B_est50,T18B_est51,T18B_est52,T18B_est53,T18B_est54,T18B_est55,T18B_est56,T18B_est57,T18B_est58,T18B_est59,T18B_est60,T18B_est61,T18B_est62,T18B_est63,T18B_est64,T18B_est65,T18B_est66,T18B_est67,T18B_est68,T18B_est69,T18B_est70,T18B_est71,T18B_est72,T18B_est73,T18B_est74,T18B_est75,T18B_est76,T18B_est77,T18B_est78,T18B_est79,T18B_est80,T18B_est81,T18B_est82,T18B_est83,T18B_est84,T18B_est85,T18B_est86,T18B_est87,T18B_est88,T18B_est89,T18B_est90,T18B_est91,T18B_est92,T18B_est93,T18B_est94,T18B_est95,T18B_est96,T18B_est97,T18B_est98,T18B_est99,T18B_est100,T18B_est101,T18B_moe1,T18B_moe2,T18B_moe3,T18B_moe4,T18B_moe5,T18B_moe6,T18B_moe7,T18B_moe8,T18B_moe9,T18B_moe10,T18B_moe11,T18B_moe12,T18B_moe13,T18B_moe14,T18B_moe15,T18B_moe16,T18B_moe17,T18B_moe18,T18B_moe19,T18B_moe20,T18B_moe21,T18B_moe22,T18B_moe23,T18B_moe24,T18B_moe25,T18B_moe26,T18B_moe27,T18B_moe28,T18B_moe29,T18B_moe30,T18B_moe31,T18B_moe32,T18B_moe33,T18B_moe34,T18B_moe35,T18B_moe36,T18B_moe37,T18B_moe38,T18B_moe39,T18B_moe40,T18B_moe41,T18B_moe42,T18B_moe43,T18B_moe44,T18B_moe45,T18B_moe46,T18B_moe47,T18B_moe48,T18B_moe49,T18B_moe50,T18B_moe51,T18B_moe52,T18B_moe53,T18B_moe54,T18B_moe55,T18B_moe56,T18B_moe57,T18B_moe58,T18B_moe59,T18B_moe60,T18B_moe61,T18B_moe62,T18B_moe63,T18B_moe64,T18B_moe65,T18B_moe66,T18B_moe67,T18B_moe68,T18B_moe69,T18B_moe70,T18B_moe71,T18B_moe72,T18B_moe73,T18B_moe74,T18B_moe75,T18B_moe76,T18B_moe77,T18B_moe78,T18B_moe79,T18B_moe80,T18B_moe81,T18B_moe82,T18B_moe83,T18B_moe84,T18B_moe85,T18B_moe86,T18B_moe87,T18B_moe88,T18B_moe89,T18B_moe90,T18B_moe91,T18B_moe92,T18B_moe93,T18B_moe94,T18B_moe95,T18B_moe96,T18B_moe97,T18B_moe98,T18B_moe99,T18B_moe100,T18B_moe101
2011thru2015,050,05000US01001,"Autauga County, Alabama",01,001,5410,4065,1670,155,350,375,310,480,1025,65,70,205,100,585,610,30,10,135,55,385,760,30,35,70,55,565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1325,1305,240,240,360,195,270,15,0,0,0,0,15,4,0,0,0,4,0,4,0,0,0,0,4,411,389,266,61,119,191,149,139,199,58,48,84,69,170,179,28,20,89,56,142,165,28,44,51,36,154,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,34,34,34,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,242,238,110,98,140,109,114,23,27,27,27,27,23,16,27,27,27,16,27,3,27,27,27,27,3
2011thru2015,050,05000US01003,"Baldwin County, Alabama",01,003,21175,17035,4120,675,820,980,430,1215,4545,500,780,950,325,1990,2655,205,290,605,280,1280,5710,395,375,910,430,3595,210,45,0,15,0,35,0,75,0,10,0,0,65,0,0,0,0,0,0,90,0,0,50,0,40,385,90,0,50,30,0,15,10,0,0,0,0,10,40,0,0,0,20,25,240,4,20,0,35,180,3545,3230,625,570,770,530,735,265,0,80,30,55,100,0,0,0,0,0,0,50,10,0,0,0,45,805,663,456,179,251,213,166,239,464,176,203,255,109,344,350,131,113,167,103,229,454,161,102,223,175,345,112,48,27,25,27,42,27,70,27,14,27,27,69,27,27,27,27,27,27,64,27,27,59,27,39,152,87,27,78,29,27,23,23,27,27,27,27,23,35,27,27,27,34,28,114,4,22,27,43,99,408,390,167,173,223,160,207,117,27,70,36,62,73,27,27,27,27,27,27,43,14,27,27,27,40
2011thru2015,050,05000US01005,"Barbour County, Alabama",01,005,3175,2295,980,125,210,200,70,380,520,4,25,120,35,335,155,0,30,15,4,100,640,4,45,120,60,410,4,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,4,4,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,870,785,100,85,215,160,225,60,0,4,10,0,45,4,0,0,0,0,4,25,4,10,0,10,0,252,200,149,53,67,70,33,84,133,8,21,55,24,115,52,21,24,16,12,41,106,8,36,61,42,79,15,21,21,21,21,21,21,11,21,21,21,21,11,21,21,21,21,21,21,4,21,21,21,21,4,5,5,21,21,21,21,5,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,156,142,49,39,79,84,67,45,21,8,13,21,44,21,21,21,21,21,21,23,21,15,21,19,21
2011thru2015,050,05000US01007,"Bibb County, Alabama",01,007,2675,1845,880,90,105,325,160,200,525,55,30,235,55,150,50,0,25,25,0,0,390,90,80,40,10,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,830,785,200,155,225,80,130,35,0,0,35,0,0,0,0,0,0,0,0,4,0,0,0,0,4,236,246,184,53,56,137,90,76,139,51,28,93,40,72,46,21,28,39,21,21,122,67,58,36,17,87,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,172,171,82,77,121,51,66,43,21,21,43,21,21,21,21,21,21,21,21,7,21,21,21,21,7
2011thru2015,050,05000US01009,"Blount County, Alabama",01,009,7575,5505,2240,400,470,545,280,550,1515,205,280,340,180,505,765,95,25,150,120,380,985,90,50,165,65,620,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2065,1960,315,340,585,320,400,70,0,10,0,10,50,0,0,0,0,0,0,35,25,4,10,0,0,472,386,264,147,118,132,97,145,225,93,113,129,75,131,174,84,17,84,64,122,197,70,44,67,41,185,3,3,3,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,312,301,123,110,196,174,109,41,27,13,27,15,42,27,27,27,27,27,27,43,39,1,19,27,27
2011thru2015,050,05000US01011,"Bullock County, Alabama",01,011,1745,1135,605,110,30,155,75,230,225,15,15,25,15,155,55,0,0,0,0,55,250,30,0,0,25,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,610,510,135,115,135,50,80,90,10,0,0,0,80,0,0,0,0,0,0,10,0,10,0,0,0,217,236,198,87,25,121,65,138,76,27,24,28,17,69,40,18,18,18,18,40,83,38,18,18,30,75,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,160,128,71,59,69,35,50,81,15,18,18,18,80,18,18,18,18,18,18,13,18,13,18,18,18
2011thru2015,050,05000US01013,"Butler County, Alabama",01,013,3295,2290,1080,80,270,235,145,345,510,30,35,185,60,200,160,10,15,30,15,95,540,45,50,35,25,385,4,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,910,135,180,145,65,390,50,0,0,15,0,35,0,0,0,0,0,0,40,20,15,4,0,0,210,174,145,49,75,88,59,70,118,22,27,85,37,65,55,14,16,25,15,38,108,26,36,25,17,99,2,21,21,21,21,21,21,2,21,21,21,21,2,21,21,21,21,21,21,21,21,21,21,21,21,4,4,21,4,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,148,139,66,72,58,41,104,37,21,21,23,21,29,21,21,21,21,21,21,27,23,17,5,21,21
2011thru2015,050,05000US01015,"Calhoun County, Alabama",01,015,14570,11580,4720,600,780,1030,445,1865,3155,220,265,695,275,1700,1390,80,65,200,220,825,2315,115,130,335,100,1640,60,55,15,0,10,0,25,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2925,2615,525,450,490,330,820,265,10,4,80,35,140,0,0,0,0,0,0,45,20,4,4,10,4,608,580,393,158,150,157,111,251,378,116,88,171,98,273,256,68,42,91,115,184,288,69,63,126,63,250,48,45,25,27,20,27,31,4,4,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,18,18,27,27,27,27,18,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,336,315,199,176,144,112,209,133,14,12,57,46,105,27,27,27,27,27,27,33,27,6,14,15,12
2011thru2015,050,05000US01017,"Chambers County, Alabama",01,017,4470,3450,1515,85,345,285,170,630,970,100,185,140,205,340,355,15,40,70,15,215,610,10,50,95,50,405,10,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,925,95,270,205,145,210,60,0,10,4,35,10,20,0,0,0,0,20,10,0,0,0,0,10,352,300,216,48,124,74,78,142,175,67,92,64,82,110,109,20,45,45,16,86,113,14,55,43,33,94,18,18,24,24,24,24,18,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,185,195,47,103,81,103,82,41,24,15,11,33,17,28,24,24,24,24,28,15,24,24,24,24,15
2011thru2015,050,05000US01019,"Cherokee County, Alabama",01,019,4785,3230,970,110,180,250,35,390,890,50,175,245,45,375,325,60,0,65,45,155,1050,65,45,185,95,665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,1540,1355,255,270,335,160,335,130,30,4,15,20,65,20,0,20,0,0,4,35,0,0,4,10,20,311,283,165,64,91,85,34,92,208,50,122,114,31,132,98,55,21,56,29,58,189,40,38,80,51,130,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,16,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,16,21,21,21,21,16,260,250,86,129,151,85,89,74,33,1,24,32,50,33,21,33,21,21,21,30,21,21,10,14,19
2011thru2015,050,05000US01021,"Chilton County, Alabama",01,021,6100,4120,1240,260,390,220,50,320,1165,120,70,210,165,595,690,15,95,135,135,310,1030,50,135,150,90,605,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1975,1825,320,305,560,115,525,25,0,0,4,10,4,45,0,0,0,10,35,80,0,0,20,10,50,490,415,227,100,138,100,42,112,246,95,43,85,73,180,191,18,56,97,74,113,177,52,77,83,55,142,2,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,2,24,24,24,24,2,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,343,336,131,112,201,83,152,25,24,24,4,21,17,29,24,24,24,14,28,53,24,24,22,16,48
2011thru2015,050,05000US01023,"Choctaw County, Alabama",01,023,2940,1960,1205,115,205,345,85,450,370,15,40,35,65,210,100,30,0,4,10,50,290,20,50,15,20,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,980,900,225,155,170,155,195,20,4,0,4,0,10,25,0,0,0,0,25,40,10,0,0,0,25,212,173,165,51,71,92,38,104,89,15,40,34,44,71,46,28,18,7,15,32,75,25,33,15,20,66,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,180,170,75,56,88,81,73,20,3,18,10,18,18,28,18,18,18,18,28,36,16,18,18,18,33
2011thru2015,050,05000US01025,"Clarke County, Alabama",01,025,3925,2810,1175,245,160,230,160,380,690,105,50,120,55,355,330,10,85,40,35,165,610,25,20,75,4,485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1115,1000,205,135,220,120,315,40,0,0,15,4,20,4,0,0,0,4,0,75,20,25,4,0,20,287,260,192,105,67,78,96,104,112,65,41,54,34,75,107,17,57,29,26,72,118,22,29,45,9,111,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,179,173,84,64,68,81,105,30,21,21,19,8,27,21,21,21,21,21,21,52,31,38,7,21,34
2011thru2015,050,05000US01027,"Clay County, Alabama",01,027,2180,1400,470,30,65,205,25,150,340,15,45,90,4,180,200,0,0,30,15,155,385,4,20,30,25,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,785,770,100,155,205,75,240,15,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,198,184,115,25,40,79,24,63,80,26,28,54,15,66,85,18,18,25,29,73,89,7,22,22,24,88,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,149,146,57,65,87,48,90,26,18,18,18,18,26,18,18,18,18,18,18,18,18,18,18,18,18
2011thru2015,050,05000US01029,"Cleburne County, Alabama",01,029,2500,1825,520,40,110,165,65,140,570,65,120,130,35,225,205,0,10,30,55,110,530,65,4,70,110,290,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,670,620,105,125,115,55,225,15,4,0,0,0,10,0,0,0,0,0,0,35,0,10,10,0,15,183,160,101,35,52,69,48,58,119,45,77,61,26,70,68,18,13,32,36,50,131,44,4,51,60,79,4,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,4,18,18,18,4,18,16,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,16,18,18,18,18,16,141,133,53,69,60,39,77,19,4,18,18,18,17,18,18,18,18,18,18,27,18,20,15,18,17
2011thru2015,050,05000US01031,"Coffee County, Alabama",01,031,5900,4705,1780,340,340,400,225,475,1370,160,125,265,100,715,745,50,85,90,90,430,815,55,115,90,45,510,20,4,0,0,4,0,0,15,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1175,1120,230,260,245,125,260,10,0,4,0,4,4,4,0,0,4,0,0,40,0,4,4,15,10,271,243,137,67,67,64,63,68,193,71,82,78,34,148,139,37,61,47,63,111,140,28,91,36,22,114,20,27,27,27,27,27,27,21,27,15,13,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,123,128,62,87,60,36,55,8,27,27,27,27,27,4,27,27,4,27,27,22,27,11,13,16,14
2011thru2015,050,05000US01033,"Colbert County, Alabama",01,033,7370,6300,2965,390,470,705,420,975,1585,60,215,230,190,885,685,160,25,75,50,375,1070,105,85,190,45,645,25,20,0,0,0,0,20,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,15,0,0,0,4,10,1020,950,150,270,235,145,150,40,0,4,0,0,30,0,0,0,0,0,0,30,0,15,15,0,0,402,361,291,115,112,145,123,159,205,41,92,90,73,142,139,92,24,41,41,112,195,74,50,74,36,180,23,23,27,27,27,27,23,2,27,2,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,26,27,27,27,27,27,27,27,27,27,27,27,27,14,27,27,27,27,14,21,27,27,27,13,14,148,147,75,102,87,83,75,30,27,10,27,27,30,27,27,27,27,27,27,30,27,23,22,27,27
