source,sumlevel,geoid,name,st,cnty,T14A_est1,T14A_est2,T14A_est3,T14A_est4,T14A_est5,T14A_est6,T14A_est7,T14A_est8,T14A_est9,T14A_est10,T14A_est11,T14A_est12,T14A_est13,T14A_est14,T14A_est15,T14A_est16,T14A_est17,T14A_est18,T14A_est19,T14A_moe1,T14A_moe2,T14A_moe3,T14A_moe4,T14A_moe5,T14A_moe6,T14A_moe7,T14A_moe8,T14A_moe9,T14A_moe10,T14A_moe11,T14A_moe12,T14A_moe13,T14A_moe14,T14A_moe15,T14A_moe16,T14A_moe17,T14A_moe18,T14A_moe19
2012thru2016,050,05000US01001,"Autauga County, Alabama",01,001,80,20,55,15,0,4,10,0,0,0,0,10,0,0,10,30,0,0,30,58,36,47,17,27,5,14,27,27,27,27,23,27,27,23,37,27,27,37
2012thru2016,050,05000US01003,"Baldwin County, Alabama",01,003,2830,180,2650,230,55,10,165,670,0,180,490,280,0,0,280,1470,25,380,1070,529,124,523,124,71,15,103,254,27,126,203,179,27,27,179,333,40,187,262
2012thru2016,050,05000US01005,"Barbour County, Alabama",01,005,230,45,190,80,0,40,35,35,0,0,35,35,0,0,35,45,0,0,45,113,34,103,75,21,58,50,31,21,21,31,44,21,21,44,41,21,21,41
2012thru2016,050,05000US01007,"Bibb County, Alabama",01,007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
2012thru2016,050,05000US01009,"Blount County, Alabama",01,009,225,95,135,30,0,0,30,90,0,40,50,0,0,0,0,15,0,0,15,135,83,97,26,27,27,26,93,27,65,66,27,27,27,27,17,27,27,17
2012thru2016,050,05000US01011,"Bullock County, Alabama",01,011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,18,18,0,18,18,18,18,18,18,18,18,18,18,18,18
2012thru2016,050,05000US01013,"Butler County, Alabama",01,013,110,90,20,10,0,0,10,0,0,0,0,0,0,0,0,10,0,0,10,53,50,21,14,21,21,14,21,21,21,21,21,21,21,21,14,21,21,14
2012thru2016,050,05000US01015,"Calhoun County, Alabama",01,015,855,485,370,220,0,70,150,100,0,50,50,0,0,0,0,50,0,4,50,229,203,157,131,27,46,124,68,27,59,48,27,27,27,27,53,27,27,54
2012thru2016,050,05000US01017,"Chambers County, Alabama",01,017,320,285,35,20,0,4,15,0,0,0,0,0,0,0,0,20,0,0,20,117,117,41,28,24,5,27,24,24,24,24,24,24,24,24,32,24,24,32
2012thru2016,050,05000US01019,"Cherokee County, Alabama",01,019,310,65,245,90,0,35,60,60,0,0,60,0,0,0,0,90,15,0,75,151,57,138,95,21,52,80,77,21,21,77,21,21,21,21,77,25,21,72
2012thru2016,050,05000US01021,"Chilton County, Alabama",01,021,300,85,220,160,45,25,85,4,0,4,0,0,0,0,0,50,0,10,45,141,84,126,115,72,38,78,17,24,17,24,24,24,24,24,44,24,15,47
2012thru2016,050,05000US01023,"Choctaw County, Alabama",01,023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
2012thru2016,050,05000US01025,"Clarke County, Alabama",01,025,80,0,80,25,0,25,0,50,0,4,40,0,0,0,0,10,0,0,10,66,21,66,41,21,41,21,47,21,14,44,21,21,21,21,13,21,21,13
2012thru2016,050,05000US01027,"Clay County, Alabama",01,027,80,4,75,20,0,0,20,50,0,0,50,4,0,4,0,0,0,0,0,65,15,62,26,18,18,26,55,18,18,55,13,18,13,18,18,18,18,18
2012thru2016,050,05000US01029,"Cleburne County, Alabama",01,029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,0,18,18,18,18,18,18,18,18,18,18,18,18
2012thru2016,050,05000US01031,"Coffee County, Alabama",01,031,370,225,140,55,0,4,50,80,0,25,55,0,0,0,0,10,0,0,10,157,146,80,40,27,10,39,64,27,39,49,27,27,27,27,13,27,27,13
2012thru2016,050,05000US01033,"Colbert County, Alabama",01,033,355,155,205,110,0,45,65,70,0,0,70,0,0,0,0,25,0,0,25,153,117,99,75,27,35,66,68,27,27,68,27,27,27,27,43,27,27,43
2012thru2016,050,05000US01035,"Conecuh County, Alabama",01,035,70,4,65,35,0,0,35,30,0,0,30,0,0,0,0,0,0,0,0,57,3,55,41,18,18,41,32,18,18,32,18,18,18,18,18,18,18,18
2012thru2016,050,05000US01037,"Coosa County, Alabama",01,037,70,25,45,30,0,0,30,0,0,0,0,0,0,0,0,15,0,0,15,59,39,43,37,18,18,37,18,18,18,18,18,18,18,18,24,18,18,24
2012thru2016,050,05000US01039,"Covington County, Alabama",01,039,330,145,180,85,0,25,65,15,0,0,15,10,0,0,10,70,0,25,45,106,73,87,60,24,32,43,17,24,24,17,15,24,24,15,57,24,42,39
2012thru2016,050,05000US01041,"Crenshaw County, Alabama",01,041,50,15,35,35,0,15,20,0,0,0,0,0,0,0,0,0,0,0,0,34,16,32,32,18,21,26,18,18,18,18,18,18,18,18,18,18,18,18
2012thru2016,050,05000US01043,"Cullman County, Alabama",01,043,380,110,275,115,0,4,110,95,0,0,95,0,0,0,0,60,20,0,40,173,75,156,106,27,4,107,93,27,27,93,27,27,27,27,56,37,27,43
2012thru2016,050,05000US01045,"Dale County, Alabama",01,045,320,70,250,75,0,15,60,40,0,0,40,30,0,0,30,110,0,0,110,153,62,138,60,24,18,58,50,24,24,50,33,24,24,33,101,24,24,101
2012thru2016,050,05000US01047,"Dallas County, Alabama",01,047,145,130,15,10,0,0,10,4,0,0,4,0,0,0,0,0,0,0,0,84,85,18,21,24,24,21,9,24,24,9,24,24,24,24,24,24,24,24
2012thru2016,050,05000US01049,"DeKalb County, Alabama",01,049,465,95,370,110,0,40,75,70,0,0,70,100,50,25,20,90,0,4,85,163,61,144,72,27,45,56,69,27,27,69,92,80,44,20,81,27,27,80
2012thru2016,050,05000US01051,"Elmore County, Alabama",01,051,725,205,520,105,0,0,105,280,0,0,280,95,0,40,55,40,0,0,40,242,117,225,72,27,27,72,179,27,27,179,91,27,64,65,63,27,27,63
2012thru2016,050,05000US01053,"Escambia County, Alabama",01,053,110,0,110,25,0,0,25,80,0,0,80,4,0,0,4,0,0,0,0,101,24,101,39,24,24,39,95,24,24,95,13,24,24,13,24,24,24,24
2012thru2016,050,05000US01055,"Etowah County, Alabama",01,055,400,165,235,145,0,90,55,65,0,0,65,20,0,10,10,10,0,0,10,151,104,126,114,27,79,51,64,27,27,64,24,27,13,13,14,27,27,14
2012thru2016,050,05000US01057,"Fayette County, Alabama",01,057,75,0,75,65,0,0,65,0,0,0,0,10,0,0,10,0,0,0,0,65,18,65,63,18,18,63,18,18,18,18,16,18,18,16,18,18,18,18
2012thru2016,050,05000US01059,"Franklin County, Alabama",01,059,180,95,85,45,0,0,45,35,0,0,35,10,0,0,10,0,0,0,0,116,89,67,41,24,24,41,54,24,24,54,15,24,24,15,24,24,24,24
2012thru2016,050,05000US01061,"Geneva County, Alabama",01,061,270,125,145,65,0,4,60,40,0,0,40,0,0,0,0,40,0,40,0,141,102,84,44,21,21,43,34,21,21,34,21,21,21,21,62,21,62,21
2012thru2016,050,05000US01063,"Greene County, Alabama",01,063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,16,16,0,16,16,16,16,16,16,16,16,16,16,16,16
2012thru2016,050,05000US01065,"Hale County, Alabama",01,065,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
2012thru2016,050,05000US01067,"Henry County, Alabama",01,067,205,135,70,60,0,25,35,0,0,0,0,0,0,0,0,10,0,0,10,88,72,46,44,18,34,29,18,18,18,18,18,18,18,18,16,18,18,16
2012thru2016,050,05000US01069,"Houston County, Alabama",01,069,680,190,490,195,0,20,175,100,0,0,100,75,0,20,55,120,0,0,120,122,81,109,52,27,19,50,36,27,27,36,32,27,18,30,88,27,27,88
2012thru2016,050,05000US01071,"Jackson County, Alabama",01,071,420,10,405,225,25,30,170,110,0,50,60,45,0,0,45,20,0,20,0,176,18,177,132,40,32,115,76,27,59,51,72,27,27,72,37,27,37,27
2012thru2016,050,05000US01073,"Jefferson County, Alabama",01,073,4370,1875,2495,880,10,255,615,815,0,140,675,390,0,25,365,410,0,0,410,630,349,452,215,13,125,172,298,27,96,293,167,27,47,167,184,27,27,184
2012thru2016,050,05000US01075,"Lamar County, Alabama",01,075,45,20,25,0,0,0,0,4,0,4,0,0,0,0,0,25,0,10,10,42,30,28,18,18,18,18,4,18,4,18,18,18,18,18,29,18,20,22
2012thru2016,050,05000US01077,"Lauderdale County, Alabama",01,077,480,225,255,150,0,0,150,55,0,10,45,15,0,0,15,35,4,0,25,183,124,144,135,27,27,135,42,27,13,41,23,27,27,23,28,9,27,25
2012thru2016,050,05000US01079,"Lawrence County, Alabama",01,079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
2012thru2016,050,05000US01081,"Lee County, Alabama",01,081,995,270,720,305,0,45,260,170,0,30,140,150,0,0,150,95,0,10,85,284,151,252,167,27,49,157,107,27,44,108,137,27,27,137,87,27,23,83
2012thru2016,050,05000US01083,"Limestone County, Alabama",01,083,555,250,305,95,0,60,30,175,0,0,175,0,0,0,0,40,0,0,40,235,122,183,81,27,70,40,129,27,27,129,27,27,27,27,62,27,27,62
2012thru2016,050,05000US01085,"Lowndes County, Alabama",01,085,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
2012thru2016,050,05000US01087,"Macon County, Alabama",01,087,85,55,30,25,0,4,20,4,0,0,4,0,0,0,0,0,0,0,0,50,39,25,24,18,9,23,4,18,18,4,18,18,18,18,18,18,18,18
2012thru2016,050,05000US01089,"Madison County, Alabama",01,089,2390,680,1710,765,10,125,635,460,0,4,455,230,0,4,225,255,0,0,255,522,266,456,225,19,101,212,246,27,10,246,147,27,10,148,147,27,27,147
2012thru2016,050,05000US01091,"Marengo County, Alabama",01,091,130,35,95,25,0,4,20,65,0,0,65,4,0,0,4,0,0,0,0,76,54,61,28,21,7,28,66,21,21,66,8,21,21,8,21,21,21,21
2012thru2016,050,05000US01093,"Marion County, Alabama",01,093,130,60,70,55,0,0,55,4,4,0,0,0,0,0,0,15,0,15,0,89,54,73,69,24,24,69,3,3,24,24,24,24,24,24,26,24,26,24
2012thru2016,050,05000US01095,"Marshall County, Alabama",01,095,885,180,705,120,0,10,105,185,0,20,165,135,0,0,135,265,0,25,240,260,100,240,89,27,13,87,116,27,26,114,94,27,27,94,137,27,31,137
2012thru2016,050,05000US01097,"Mobile County, Alabama",01,097,2975,1310,1665,640,0,115,525,705,0,105,600,75,0,0,75,245,0,10,235,436,309,292,187,27,82,177,237,27,80,228,60,27,27,60,118,27,13,115
2012thru2016,050,05000US01099,"Monroe County, Alabama",01,099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,21,21,0,21,21,21,21,21,21,21,21,0,21,0,21
2012thru2016,050,05000US01101,"Montgomery County, Alabama",01,101,1475,845,630,235,15,25,195,150,0,0,150,180,0,10,165,70,0,0,70,371,279,213,131,29,31,131,96,27,27,96,89,27,16,84,74,27,27,74
2012thru2016,050,05000US01103,"Morgan County, Alabama",01,103,910,385,530,390,0,70,320,65,0,0,65,35,0,25,10,40,0,0,40,266,169,212,180,27,67,166,59,27,27,59,40,27,43,14,51,27,27,51
