source,sumlevel,geoid,name,st,cnty,T11_est1,T11_est2,T11_est3,T11_est4,T11_est5,T11_est6,T11_est7,T11_est8,T11_est9,T11_est10,T11_est11,T11_est12,T11_est13,T11_est14,T11_est15,T11_est16,T11_est17,T11_est18,T11_est19,T11_est20,T11_est21,T11_est22,T11_est23,T11_est24,T11_est25,T11_est26,T11_est27,T11_est28,T11_est29,T11_est30,T11_est31,T11_est32,T11_est33,T11_est34,T11_est35,T11_est36,T11_est37,T11_est38,T11_est39,T11_est40,T11_est41,T11_est42,T11_est43,T11_est44,T11_est45,T11_est46,T11_est47,T11_est48,T11_est49,T11_est50,T11_est51,T11_est52,T11_est53,T11_est54,T11_est55,T11_est56,T11_est57,T11_est58,T11_est59,T11_est60,T11_est61,T11_est62,T11_est63,T11_est64,T11_est65,T11_est66,T11_est67,T11_est68,T11_est69,T11_est70,T11_est71,T11_est72,T11_est73,T11_est74,T11_est75,T11_est76,T11_est77,T11_est78,T11_est79,T11_est80,T11_est81,T11_est82,T11_est83,T11_est84,T11_est85,T11_est86,T11_est87,T11_moe1,T11_moe2,T11_moe3,T11_moe4,T11_moe5,T11_moe6,T11_moe7,T11_moe8,T11_moe9,T11_moe10,T11_moe11,T11_moe12,T11_moe13,T11_moe14,T11_moe15,T11_moe16,T11_moe17,T11_moe18,T11_moe19,T11_moe20,T11_moe21,T11_moe22,T11_moe23,T11_moe24,T11_moe25,T11_moe26,T11_moe27,T11_moe28,T11_moe29,T11_moe30,T11_moe31,T11_moe32,T11_moe33,T11_moe34,T11_moe35,T11_moe36,T11_moe37,T11_moe38,T11_moe39,T11_moe40,T11_moe41,T11_moe42,T11_moe43,T11_moe44,T11_moe45,T11_moe46,T11_moe47,T11_moe48,T11_moe49,T11_moe50,T11_moe51,T11_moe52,T11_moe53,T11_moe54,T11_moe55,T11_moe56,T11_moe57,T11_moe58,T11_moe59,T11_moe60,T11_moe61,T11_moe62,T11_moe63,T11_moe64,T11_moe65,T11_moe66,T11_moe67,T11_moe68,T11_moe69,T11_moe70,T11_moe71,T11_moe72,T11_moe73,T11_moe74,T11_moe75,T11_moe76,T11_moe77,T11_moe78,T11_moe79,T11_moe80,T11_moe81,T11_moe82,T11_moe83,T11_moe84,T11_moe85,T11_moe86,T11_moe87
2013thru2017,050,05000US01001,"Autauga County, Alabama",01,001,21055,15430,2845,405,320,350,355,325,100,275,265,55,170,0,65,155,12510,100,185,355,395,290,265,990,970,190,940,250,1145,6440,80,80,0,0,0,0,0,0,0,0,0,0,0,0,5625,2790,505,520,460,210,375,10,190,50,155,120,0,0,195,2755,55,120,105,100,85,15,110,360,120,320,90,260,1020,80,80,0,0,0,0,0,0,0,0,0,0,0,0,387,473,447,155,106,148,164,134,76,148,124,48,94,27,48,81,579,111,98,119,163,105,122,207,209,73,208,91,244,433,73,73,27,27,27,27,27,27,27,27,27,27,27,27,472,424,176,177,206,101,186,15,126,49,117,166,27,27,163,397,45,85,65,70,73,15,85,183,69,162,76,116,268,65,65,27,27,27,27,27,27,27,27,27,27,27,27
2013thru2017,050,05000US01003,"Baldwin County, Alabama",01,003,76135,55470,11595,1275,1250,1345,1085,1005,355,1520,895,370,790,100,565,1035,43235,110,735,1050,1480,1850,725,3110,3270,900,3250,965,3775,22020,635,635,0,0,0,0,0,0,0,0,0,0,0,0,20665,8555,1265,1635,1415,945,825,370,1060,480,200,145,30,100,90,11850,285,390,425,555,700,320,1295,1710,340,760,495,940,3640,255,255,0,0,0,0,0,0,0,0,0,0,0,0,1152,1090,826,261,322,333,248,255,124,396,235,141,212,78,180,220,1209,53,232,236,297,288,174,432,436,231,377,194,422,887,229,229,27,27,27,27,27,27,27,27,27,27,27,27,1054,803,317,373,334,280,278,261,264,202,181,100,51,73,49,864,149,158,240,211,231,181,322,444,167,249,214,258,516,125,125,27,27,27,27,27,27,27,27,27,27,27,27
2013thru2017,050,05000US01005,"Barbour County, Alabama",01,005,9190,5745,1000,135,130,180,130,95,65,70,85,15,30,0,20,50,4690,4,70,105,150,300,130,425,385,115,355,90,285,2270,55,55,0,0,0,0,0,0,0,0,0,0,0,0,3445,1350,285,445,260,165,120,40,25,10,0,0,0,0,0,1860,50,85,100,165,155,100,250,190,50,240,45,85,345,235,235,0,0,0,0,0,0,0,0,0,0,0,0,337,280,150,55,66,71,53,45,36,50,40,21,22,21,24,34,269,4,37,51,63,80,53,105,94,53,106,39,74,219,30,30,21,21,21,21,21,21,21,21,21,21,21,21,303,226,100,133,89,72,63,40,30,15,21,21,21,21,21,243,31,59,51,84,80,58,107,96,37,112,43,51,108,95,95,21,21,21,21,21,21,21,21,21,21,21,21
2013thru2017,050,05000US01007,"Bibb County, Alabama",01,007,6915,5210,720,105,85,215,40,85,70,80,4,4,25,0,4,4,4450,90,135,135,235,245,210,495,430,205,315,100,400,1445,45,45,0,0,0,0,0,0,0,0,0,0,0,0,1705,560,205,170,80,55,15,20,0,0,0,0,0,0,10,1100,15,95,60,90,170,170,150,85,4,110,0,10,145,45,45,0,0,0,0,0,0,0,0,0,0,0,0,309,267,199,60,64,110,25,70,57,66,5,7,29,21,15,4,311,65,61,55,105,119,96,120,144,113,116,60,168,233,43,43,21,21,21,21,21,21,21,21,21,21,21,21,239,152,105,77,74,43,19,32,21,21,21,21,21,21,19,207,15,61,48,63,106,118,82,76,9,58,21,24,100,42,42,21,21,21,21,21,21,21,21,21,21,21,21
2013thru2017,050,05000US01009,"Blount County, Alabama",01,009,20690,16245,2675,550,400,265,235,350,145,240,120,90,75,0,135,65,13225,20,330,460,695,855,530,1350,1410,560,1100,380,1490,4045,350,350,0,0,0,0,0,0,0,0,0,0,0,0,4445,1395,500,240,305,130,80,80,25,4,0,30,4,4,0,2850,260,165,240,300,385,125,425,175,50,100,130,165,325,200,200,0,0,0,0,0,0,0,0,0,0,0,0,391,463,341,165,124,100,95,129,76,104,50,62,59,27,90,52,491,14,144,134,173,193,139,231,252,144,228,149,235,374,128,128,27,27,27,27,27,27,27,27,27,27,27,27,448,249,154,88,99,80,49,56,27,5,27,35,27,4,27,367,125,78,133,150,171,68,165,82,42,73,83,79,148,102,102,27,27,27,27,27,27,27,27,27,27,27,27
2013thru2017,050,05000US01011,"Bullock County, Alabama",01,011,3670,2570,620,55,135,85,15,45,20,95,10,0,115,20,30,0,1875,0,75,75,25,90,35,155,65,75,35,100,270,870,80,80,0,0,0,0,0,0,0,0,0,0,0,0,1100,610,240,160,90,25,70,0,20,0,0,0,0,0,4,460,10,70,40,25,45,50,85,45,0,20,0,60,15,35,35,0,0,0,0,0,0,0,0,0,0,0,0,204,232,179,44,84,69,17,54,28,56,15,18,113,25,47,18,198,18,70,52,25,68,41,94,50,58,30,62,125,181,86,86,18,18,18,18,18,18,18,18,18,18,18,18,251,190,128,109,92,30,71,18,44,18,18,18,18,18,7,191,18,64,42,24,69,56,77,54,18,28,18,61,23,49,49,18,18,18,18,18,18,18,18,18,18,18,18
2013thru2017,050,05000US01013,"Butler County, Alabama",01,013,7050,4940,1050,115,95,165,190,95,75,45,105,35,40,0,30,55,3840,0,65,165,245,255,65,225,205,105,320,50,325,1810,55,55,0,0,0,0,0,0,0,0,0,0,0,0,2110,805,100,225,135,115,100,20,35,20,0,10,0,30,4,1165,45,55,40,110,45,4,35,215,70,105,35,90,320,140,140,0,0,0,0,0,0,0,0,0,0,0,0,314,228,143,56,54,79,75,55,48,31,56,36,36,21,30,33,220,21,45,74,90,96,31,70,71,52,88,29,74,206,33,33,21,21,21,21,21,21,21,21,21,21,21,21,196,158,48,82,60,49,58,23,28,29,21,21,21,30,11,173,41,26,25,59,40,5,25,82,55,44,34,53,103,65,65,21,21,21,21,21,21,21,21,21,21,21,21
2013thru2017,050,05000US01015,"Calhoun County, Alabama",01,015,45100,31295,5630,725,795,805,385,505,185,525,420,25,360,110,270,520,25415,50,310,610,710,880,685,1835,1855,820,2125,500,2070,12960,255,255,0,0,0,0,0,0,0,0,0,0,0,0,13805,5820,1220,1215,1055,600,755,325,305,180,50,30,35,25,25,7570,160,400,385,315,570,260,810,720,260,440,235,740,2280,415,415,0,0,0,0,0,0,0,0,0,0,0,0,742,709,522,186,206,208,131,164,83,149,122,27,175,67,94,169,710,31,122,160,139,171,185,246,239,248,303,132,283,702,91,91,27,27,27,27,27,27,27,27,27,27,27,27,874,539,236,244,256,183,258,150,118,86,56,34,31,32,29,649,95,138,126,135,189,98,223,197,125,111,114,228,390,168,168,27,27,27,27,27,27,27,27,27,27,27,27
2013thru2017,050,05000US01017,"Chambers County, Alabama",01,017,13695,9105,2030,115,250,375,340,235,85,250,120,10,15,10,105,110,6885,0,35,180,330,335,185,455,635,170,650,165,515,3230,185,185,0,0,0,0,0,0,0,0,0,0,0,0,4590,1910,275,350,215,275,200,140,320,60,4,35,0,10,25,2560,40,65,55,75,100,15,195,250,30,305,135,355,945,120,120,0,0,0,0,0,0,0,0,0,0,0,0,413,386,294,53,97,162,138,86,57,108,72,18,24,18,57,58,332,24,37,93,118,116,86,111,177,71,152,70,121,269,91,91,24,24,24,24,24,24,24,24,24,24,24,24,365,257,95,140,92,89,82,87,131,47,3,33,24,16,22,311,34,57,32,52,51,18,101,103,33,121,100,141,208,66,66,24,24,24,24,24,24,24,24,24,24,24,24
2013thru2017,050,05000US01019,"Cherokee County, Alabama",01,019,10795,8435,1605,210,165,220,130,60,55,265,135,4,110,4,55,185,6745,0,135,165,280,380,150,555,550,140,435,130,505,3315,85,85,0,0,0,0,0,0,0,0,0,0,0,0,2360,995,100,335,135,120,145,35,30,30,10,30,20,10,0,1285,20,75,35,120,110,30,210,105,60,45,40,75,355,80,80,0,0,0,0,0,0,0,0,0,0,0,0,438,428,253,84,70,79,100,47,35,128,90,11,80,8,29,75,382,21,79,96,121,147,74,162,178,57,113,62,112,329,57,57,21,21,21,21,21,21,21,21,21,21,21,21,372,251,60,175,77,76,108,30,26,41,15,42,23,17,21,262,33,59,31,60,75,35,119,89,70,46,50,44,117,86,86,21,21,21,21,21,21,21,21,21,21,21,21
