source,sumlevel,geoid,name,st,cnty,T17B_est1,T17B_est2,T17B_est3,T17B_est4,T17B_est5,T17B_est6,T17B_est7,T17B_est8,T17B_est9,T17B_est10,T17B_est11,T17B_est12,T17B_est13,T17B_est14,T17B_est15,T17B_est16,T17B_est17,T17B_est18,T17B_est19,T17B_est20,T17B_est21,T17B_moe1,T17B_moe2,T17B_moe3,T17B_moe4,T17B_moe5,T17B_moe6,T17B_moe7,T17B_moe8,T17B_moe9,T17B_moe10,T17B_moe11,T17B_moe12,T17B_moe13,T17B_moe14,T17B_moe15,T17B_moe16,T17B_moe17,T17B_moe18,T17B_moe19,T17B_moe20,T17B_moe21
2013thru2017,050,05000US01001,"Autauga County, Alabama",01,001,280,160,0,40,0,120,25,0,4,20,0,80,0,0,80,0,20,20,0,0,0,174,125,27,38,27,126,32,27,13,33,27,118,27,27,118,27,25,25,27,27,27
2013thru2017,050,05000US01003,"Baldwin County, Alabama",01,003,15020,2845,370,705,765,1010,965,200,320,290,160,10260,500,2075,2955,4730,945,280,620,45,0,848,511,148,244,290,297,317,151,180,174,106,712,177,458,519,521,250,140,229,32,27
2013thru2017,050,05000US01005,"Barbour County, Alabama",01,005,370,100,10,65,30,0,100,40,35,25,0,45,15,30,0,0,130,65,65,0,0,153,78,15,58,43,21,70,46,41,36,21,43,25,33,21,21,88,58,54,21,21
2013thru2017,050,05000US01007,"Bibb County, Alabama",01,007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,21,21,21,0,0,21,21,21,0,21,0,21,21,21,21,21,21,21
2013thru2017,050,05000US01009,"Blount County, Alabama",01,009,410,170,85,80,0,0,55,40,10,0,4,10,10,0,0,0,175,150,20,0,0,151,106,85,69,27,27,51,46,13,27,15,15,15,27,27,27,86,85,20,27,27
2013thru2017,050,05000US01011,"Bullock County, Alabama",01,011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,18,18,18,0,18,0,18,18,18,18,18,18,18,0,0,18,18,18
2013thru2017,050,05000US01013,"Butler County, Alabama",01,013,500,85,25,60,0,0,255,70,150,30,10,35,0,35,0,0,125,40,80,0,0,139,53,28,50,21,21,108,46,82,33,13,37,21,37,21,21,78,36,61,21,21
2013thru2017,050,05000US01015,"Calhoun County, Alabama",01,015,575,195,25,125,45,4,65,0,60,4,0,225,0,140,85,0,90,0,90,0,0,173,100,41,78,52,9,50,27,52,3,27,114,27,100,72,27,90,27,90,27,27
2013thru2017,050,05000US01017,"Chambers County, Alabama",01,017,365,125,40,50,35,0,60,15,15,30,0,150,0,0,70,80,35,0,35,0,0,163,93,53,58,52,24,51,23,30,36,24,122,24,24,77,85,50,24,50,24,24
2013thru2017,050,05000US01019,"Cherokee County, Alabama",01,019,395,240,65,125,10,40,35,10,20,0,0,50,50,0,0,0,70,70,0,0,0,170,145,62,115,13,56,41,20,38,21,21,57,57,21,21,21,66,66,21,21,21
2013thru2017,050,05000US01021,"Chilton County, Alabama",01,021,415,75,0,30,45,0,15,4,0,4,0,0,0,0,0,0,325,80,195,45,0,170,63,24,45,66,24,12,16,24,10,24,24,24,24,24,24,166,76,138,72,24
2013thru2017,050,05000US01023,"Choctaw County, Alabama",01,023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,18,18,18,18,18,18,18,18,0,18,0,18,18,18,18,18,18,18
2013thru2017,050,05000US01025,"Clarke County, Alabama",01,025,105,4,4,0,0,0,4,4,0,0,0,55,25,25,0,0,45,25,20,0,0,78,5,5,21,21,21,21,21,21,21,21,60,44,41,21,21,52,41,35,21,21
2013thru2017,050,05000US01027,"Clay County, Alabama",01,027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,0,18,18,18,18,18,18,0,18,0,18,18,18,18,18,18,18
2013thru2017,050,05000US01029,"Cleburne County, Alabama",01,029,50,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,30,0,30,0,0,47,30,18,30,18,18,18,18,18,18,18,18,18,18,18,18,39,18,39,18,18
2013thru2017,050,05000US01031,"Coffee County, Alabama",01,031,680,430,45,160,165,55,155,55,95,0,0,70,0,35,35,0,30,15,10,0,0,234,187,44,114,110,79,98,50,91,27,27,65,27,39,53,27,22,20,15,27,27
2013thru2017,050,05000US01033,"Colbert County, Alabama",01,033,755,230,65,85,20,65,250,145,85,0,15,205,80,90,0,35,70,70,0,0,0,206,150,60,62,31,102,114,86,80,27,30,120,72,83,27,39,71,71,27,27,27
