source,sumlevel,geoid,name,st,cnty,T9_est1,T9_est2,T9_est3,T9_est4,T9_est5,T9_est6,T9_est7,T9_est8,T9_est9,T9_est10,T9_est11,T9_est12,T9_est13,T9_est14,T9_est15,T9_est16,T9_est17,T9_est18,T9_est19,T9_est20,T9_est21,T9_est22,T9_est23,T9_est24,T9_est25,T9_est26,T9_est27,T9_est28,T9_est29,T9_est30,T9_est31,T9_est32,T9_est33,T9_est34,T9_est35,T9_est36,T9_est37,T9_est38,T9_est39,T9_est40,T9_est41,T9_est42,T9_est43,T9_est44,T9_est45,T9_est46,T9_est47,T9_est48,T9_est49,T9_est50,T9_est51,T9_est52,T9_est53,T9_est54,T9_est55,T9_est56,T9_est57,T9_est58,T9_est59,T9_est60,T9_est61,T9_est62,T9_est63,T9_est64,T9_est65,T9_est66,T9_est67,T9_est68,T9_est69,T9_est70,T9_est71,T9_est72,T9_est73,T9_moe1,T9_moe2,T9_moe3,T9_moe4,T9_moe5,T9_moe6,T9_moe7,T9_moe8,T9_moe9,T9_moe10,T9_moe11,T9_moe12,T9_moe13,T9_moe14,T9_moe15,T9_moe16,T9_moe17,T9_moe18,T9_moe19,T9_moe20,T9_moe21,T9_moe22,T9_moe23,T9_moe24,T9_moe25,T9_moe26,T9_moe27,T9_moe28,T9_moe29,T9_moe30,T9_moe31,T9_moe32,T9_moe33,T9_moe34,T9_moe35,T9_moe36,T9_moe37,T9_moe38,T9_moe39,T9_moe40,T9_moe41,T9_moe42,T9_moe43,T9_moe44,T9_moe45,T9_moe46,T9_moe47,T9_moe48,T9_moe49,T9_moe50,T9_moe51,T9_moe52,T9_moe53,T9_moe54,T9_moe55,T9_moe56,T9_moe57,T9_moe58,T9_moe59,T9_moe60,T9_moe61,T9_moe62,T9_moe63,T9_moe64,T9_moe65,T9_moe66,T9_moe67,T9_moe68,T9_moe69,T9_moe70,T9_moe71,T9_moe72,T9_moe73
2013thru2017,050,05000US01001,"Autauga County, Alabama",01,001,21055,15430,12725,10925,950,815,35,2140,1295,550,255,45,90,50,35,0,0,25,10,15,0,0,0,0,0,0,0,280,265,20,0,0,170,125,25,20,0,5625,3630,1945,805,805,75,1775,770,455,510,40,100,15,0,85,0,20,20,0,0,0,10,10,0,0,0,80,60,4,20,0,10,10,0,0,0,387,473,428,508,261,229,39,245,199,175,97,61,68,47,39,27,27,21,12,21,27,27,27,27,27,27,27,98,96,27,27,27,66,61,30,35,27,472,424,302,293,240,66,303,257,157,195,59,87,34,27,95,27,31,31,27,27,27,20,20,27,27,27,67,52,27,38,27,16,16,27,27,27
2013thru2017,050,05000US01003,"Baldwin County, Alabama",01,003,76135,55470,50020,40065,5085,4280,590,2895,1740,760,375,20,375,210,165,4,0,390,295,50,45,0,0,0,0,0,0,1160,975,130,45,10,630,445,45,130,15,20665,15830,9605,3060,2965,200,3170,1460,825,825,55,105,105,0,0,0,140,95,0,45,0,0,0,0,0,0,1170,735,155,275,4,250,135,90,25,0,1152,1090,1026,1053,470,560,232,425,347,238,195,32,154,85,137,7,27,141,130,56,46,27,27,27,27,27,27,257,250,87,53,23,252,188,53,139,29,1054,982,753,449,456,116,525,332,277,307,54,79,79,27,27,27,133,108,27,68,27,27,27,27,27,27,354,350,117,169,3,175,150,94,37,27
2013thru2017,050,05000US01005,"Barbour County, Alabama",01,005,9190,5745,3605,3175,250,170,10,1935,1390,275,230,40,20,20,0,0,0,20,20,0,0,0,0,0,0,0,0,100,85,10,0,0,65,60,0,0,4,3445,1090,635,185,190,80,2165,1175,340,505,145,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,155,75,40,20,25,15,15,4,4,0,337,280,205,211,63,56,16,176,167,90,74,28,26,26,21,21,21,33,33,21,21,21,21,21,21,21,21,52,44,26,21,21,41,41,21,21,13,303,172,137,63,76,64,239,177,118,115,69,34,34,21,21,21,21,21,21,21,21,21,21,21,21,21,75,40,42,27,27,20,16,4,1,21
2013thru2017,050,05000US01007,"Bibb County, Alabama",01,007,6915,5210,4485,3905,310,225,45,615,455,155,4,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,60,60,0,0,0,35,35,0,0,0,1705,1185,810,140,215,25,455,245,60,130,20,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,55,55,4,0,0,4,4,0,0,0,309,267,280,285,118,118,43,146,138,104,1,21,21,21,21,21,21,18,18,21,21,21,21,21,21,21,21,51,51,21,21,21,41,41,21,21,21,239,185,158,70,108,31,164,151,55,101,32,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,40,40,3,21,21,21,21,21,21,21
2013thru2017,050,05000US01009,"Blount County, Alabama",01,009,20690,16245,15125,12745,1185,880,315,105,60,35,10,0,30,15,15,0,0,45,35,4,0,0,0,0,0,0,0,770,530,140,20,80,175,135,30,10,0,4445,3880,2605,555,515,205,140,135,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,345,170,105,45,20,80,55,4,20,0,391,463,466,467,216,184,141,57,41,48,19,27,32,17,24,27,27,35,32,18,27,27,27,27,27,27,27,136,130,90,28,44,93,86,39,15,27,448,437,359,176,155,108,69,71,9,27,27,7,7,27,27,27,27,27,27,27,27,27,27,27,27,27,126,92,89,40,23,63,57,4,21,27
2013thru2017,050,05000US01011,"Bullock County, Alabama",01,011,3670,2570,780,645,110,10,10,1750,1190,250,245,65,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,1100,85,55,0,30,0,985,375,185,390,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,0,0,0,0,0,0,0,0,204,232,125,120,91,18,22,234,193,123,107,85,18,18,18,18,18,37,37,18,18,18,18,18,18,18,18,18,18,18,18,18,22,22,18,18,18,251,67,48,18,45,18,231,166,138,167,49,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,52,52,18,18,18,18,18,18,18,18
2013thru2017,050,05000US01013,"Butler County, Alabama",01,013,7050,4940,3160,2660,250,220,30,1705,1170,320,195,25,4,4,0,0,0,4,4,0,0,0,0,0,0,0,0,15,10,0,4,0,55,55,0,0,0,2110,810,515,140,105,50,1180,650,275,155,95,55,40,15,0,0,4,4,0,0,0,0,0,0,0,0,20,0,10,15,0,40,10,10,20,0,314,228,167,179,75,84,19,160,153,94,78,29,6,6,21,21,21,3,3,21,21,21,21,21,21,21,21,18,15,21,7,21,22,22,21,21,21,196,140,114,52,48,30,144,129,86,74,60,22,19,25,21,21,4,4,21,21,21,21,21,21,21,21,31,21,15,23,21,43,16,16,37,21
2013thru2017,050,05000US01015,"Calhoun County, Alabama",01,015,45100,31295,25395,21375,2505,1350,170,4560,3420,555,560,20,265,205,20,0,40,125,95,4,20,4,4,0,0,0,4,575,500,45,10,25,370,280,75,10,4,13805,7870,4845,1450,1310,265,5010,2470,1100,1270,165,115,110,0,4,0,15,4,0,10,0,0,0,0,0,0,530,355,75,100,0,260,95,70,85,15,742,709,610,602,339,265,66,309,277,163,182,14,89,85,33,27,47,62,57,27,29,14,16,27,27,27,16,133,116,45,16,29,83,79,52,17,10,874,635,495,236,251,159,471,372,261,255,67,100,98,27,16,27,16,7,27,15,27,27,27,27,27,27,129,84,65,60,27,89,49,53,66,25
2013thru2017,050,05000US01017,"Chambers County, Alabama",01,017,13695,9105,5970,4855,615,365,140,2970,2080,450,390,50,4,4,0,0,0,20,20,0,0,0,0,0,0,0,0,110,0,70,40,0,30,30,0,0,0,4590,1880,1330,305,190,55,2310,1240,505,485,80,150,145,0,4,0,30,15,0,10,0,0,0,0,0,0,185,110,45,35,0,35,25,10,0,0,413,386,288,265,127,123,93,261,231,150,151,41,6,6,24,24,24,23,23,24,24,24,24,24,24,24,24,102,24,89,69,24,30,30,24,24,24,365,233,204,92,88,42,272,237,136,147,54,50,50,24,11,24,30,26,24,20,24,24,24,24,24,24,116,87,73,53,24,32,32,16,24,24
2013thru2017,050,05000US01019,"Cherokee County, Alabama",01,019,10795,8435,7890,6485,765,545,95,380,260,75,50,0,0,0,0,0,0,45,40,0,0,4,0,0,0,0,0,65,50,0,15,0,55,50,4,0,0,2360,2130,1230,510,355,35,75,65,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,10,4,85,45,10,0,10,0,0,438,428,403,381,185,130,59,90,73,50,68,21,21,21,21,21,21,53,53,21,21,4,21,21,21,21,21,56,49,21,31,21,49,49,13,21,21,372,308,252,178,125,48,57,56,21,21,19,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,126,17,11,122,74,15,21,15,21,21
2013thru2017,050,05000US01021,"Chilton County, Alabama",01,021,16770,12625,11160,9125,965,960,110,870,610,140,120,0,4,4,0,0,0,40,40,0,0,0,0,0,0,0,0,500,310,90,105,0,45,20,0,25,0,4145,2635,1485,630,490,30,730,385,160,170,20,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,570,340,155,75,0,170,50,120,0,0,388,487,447,472,222,268,59,169,141,65,59,24,4,4,24,24,24,36,36,24,24,24,24,24,24,24,24,186,165,121,122,24,46,25,24,40,24,411,359,272,230,208,27,203,140,109,127,27,27,27,24,24,24,24,24,24,24,24,24,24,24,24,24,150,146,139,64,24,143,74,131,24,24
2013thru2017,050,05000US01023,"Choctaw County, Alabama",01,023,5465,4380,2665,2375,120,115,50,1650,1220,215,180,30,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,65,55,15,0,0,1085,385,220,90,75,0,665,360,160,85,60,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,30,15,0,15,0,4,4,0,0,0,199,218,157,150,53,51,45,135,146,75,72,18,18,18,18,18,18,3,3,18,18,18,18,18,18,18,18,18,18,18,18,18,46,41,23,18,18,181,126,94,65,54,18,146,113,86,51,37,18,18,18,18,18,4,18,4,18,18,18,18,18,18,18,28,23,18,22,18,3,3,18,18,18
2013thru2017,050,05000US01025,"Clarke County, Alabama",01,025,9600,6335,3870,3130,445,225,70,2360,1525,260,390,185,80,75,0,0,4,4,4,0,0,0,0,0,0,0,0,10,10,0,0,0,10,10,0,0,0,3265,1535,1000,155,140,240,1720,775,390,265,290,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,10,10,0,0,0,0,0,0,0,0,272,312,228,255,126,84,40,237,217,92,116,86,82,83,21,21,10,11,11,21,21,21,21,21,21,21,21,19,19,21,21,21,15,15,21,21,21,325,231,187,80,84,104,256,196,150,132,104,21,21,21,21,21,21,21,21,21,21,3,3,21,21,21,16,16,21,21,21,21,21,21,21,21
2013thru2017,050,05000US01027,"Clay County, Alabama",01,027,5340,4080,3590,2925,320,325,20,395,285,80,30,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,45,35,4,0,0,25,0,0,10,15,1255,815,655,105,20,40,325,245,30,45,10,4,4,0,0,0,30,10,20,0,0,0,0,0,0,0,70,50,4,0,15,4,4,0,0,0,248,286,250,244,169,119,22,65,74,53,23,18,18,18,18,18,18,41,41,18,18,18,18,18,18,18,18,33,32,18,18,18,34,18,18,20,30,201,156,145,67,25,51,76,71,32,41,14,12,12,18,18,18,34,13,39,18,18,18,18,18,18,18,76,58,19,18,25,18,18,18,18,18
