source,sumlevel,geoid,name,st,cnty,T1_est1,T1_est2,T1_est3,T1_est4,T1_est5,T1_est6,T1_est7,T1_est8,T1_est9,T1_est10,T1_est11,T1_est12,T1_est13,T1_est14,T1_est15,T1_est16,T1_est17,T1_est18,T1_est19,T1_est20,T1_est21,T1_est22,T1_est23,T1_est24,T1_est25,T1_est26,T1_est27,T1_est28,T1_est29,T1_est30,T1_est31,T1_est32,T1_est33,T1_est34,T1_est35,T1_est36,T1_est37,T1_est38,T1_est39,T1_est40,T1_est41,T1_est42,T1_est43,T1_est44,T1_est45,T1_est46,T1_est47,T1_est48,T1_est49,T1_est50,T1_est51,T1_est52,T1_est53,T1_est54,T1_est55,T1_est56,T1_est57,T1_est58,T1_est59,T1_est60,T1_est61,T1_est62,T1_est63,T1_est64,T1_est65,T1_est66,T1_est67,T1_est68,T1_est69,T1_est70,T1_est71,T1_est72,T1_est73,T1_est74,T1_est75,T1_est76,T1_est77,T1_est78,T1_est79,T1_est80,T1_est81,T1_est82,T1_est83,T1_est84,T1_est85,T1_est86,T1_est87,T1_est88,T1_est89,T1_est90,T1_est91,T1_est92,T1_est93,T1_est94,T1_est95,T1_est96,T1_est97,T1_est98,T1_est99,T1_est100,T1_est101,T1_est102,T1_est103,T1_est104,T1_est105,T1_est106,T1_est107,T1_est108,T1_est109,T1_est110,T1_est111,T1_est112,T1_est113,T1_est114,T1_est115,T1_est116,T1_est117,T1_est118,T1_est119,T1_est120,T1_est121,T1_est122,T1_est123,T1_est124,T1_est125,T1_est126,T1_est127,T1_est128,T1_est129,T1_est130,T1_est131,T1_est132,T1_est133,T1_est134,T1_est135,T1_est136,T1_est137,T1_est138,T1_est139,T1_est140,T1_est141,T1_est142,T1_est143,T1_est144,T1_est145,T1_est146,T1_est147,T1_moe1,T1_moe2,T1_moe3,T1_moe4,T1_moe5,T1_moe6,T1_moe7,T1_moe8,T1_moe9,T1_moe10,T1_moe11,T1_moe12,T1_moe13,T1_moe14,T1_moe15,T1_moe16,T1_moe17,T1_moe18,T1_moe19,T1_moe20,T1_moe21,T1_moe22,T1_moe23,T1_moe24,T1_moe25,T1_moe26,T1_moe27,T1_moe28,T1_moe29,T1_moe30,T1_moe31,T1_moe32,T1_moe33,T1_moe34,T1_moe35,T1_moe36,T1_moe37,T1_moe38,T1_moe39,T1_moe40,T1_moe41,T1_moe42,T1_moe43,T1_moe44,T1_moe45,T1_moe46,T1_moe47,T1_moe48,T1_moe49,T1_moe50,T1_moe51,T1_moe52,T1_moe53,T1_moe54,T1_moe55,T1_moe56,T1_moe57,T1_moe58,T1_moe59,T1_moe60,T1_moe61,T1_moe62,T1_moe63,T1_moe64,T1_moe65,T1_moe66,T1_moe67,T1_moe68,T1_moe69,T1_moe70,T1_moe71,T1_moe72,T1_moe73,T1_moe74,T1_moe75,T1_moe76,T1_moe77,T1_moe78,T1_moe79,T1_moe80,T1_moe81,T1_moe82,T1_moe83,T1_moe84,T1_moe85,T1_moe86,T1_moe87,T1_moe88,T1_moe89,T1_moe90,T1_moe91,T1_moe92,T1_moe93,T1_moe94,T1_moe95,T1_moe96,T1_moe97,T1_moe98,T1_moe99,T1_moe100,T1_moe101,T1_moe102,T1_moe103,T1_moe104,T1_moe105,T1_moe106,T1_moe107,T1_moe108,T1_moe109,T1_moe110,T1_moe111,T1_moe112,T1_moe113,T1_moe114,T1_moe115,T1_moe116,T1_moe117,T1_moe118,T1_moe119,T1_moe120,T1_moe121,T1_moe122,T1_moe123,T1_moe124,T1_moe125,T1_moe126,T1_moe127,T1_moe128,T1_moe129,T1_moe130,T1_moe131,T1_moe132,T1_moe133,T1_moe134,T1_moe135,T1_moe136,T1_moe137,T1_moe138,T1_moe139,T1_moe140,T1_moe141,T1_moe142,T1_moe143,T1_moe144,T1_moe145,T1_moe146,T1_moe147
2014thru2018,050,05000US01001,"Autauga County, Alabama",01,001,21115,15815,3010,1055,625,385,0,0,0,0,625,460,120,0,20,0,0,625,415,210,0,0,0,0,215,140,70,0,0,0,10,490,285,70,50,0,0,85,12805,330,200,125,0,0,0,0,755,570,180,4,0,0,0,1465,1155,270,0,0,0,25,1055,960,75,0,0,0,0,9205,8030,795,45,15,0,275,5300,2480,980,515,380,70,0,0,0,665,335,315,0,0,0,4,415,195,205,0,0,0,15,55,45,15,0,0,0,0,370,315,55,0,0,0,0,2820,300,135,145,20,0,0,0,250,120,120,0,0,0,15,195,130,65,0,0,0,0,410,265,140,0,0,4,0,1665,1290,315,15,0,0,40,383,493,394,212,178,127,28,28,28,28,187,161,108,28,33,28,28,215,190,114,28,28,28,28,100,75,69,28,28,28,18,164,123,70,44,28,28,77,502,142,127,83,28,28,28,28,198,184,96,5,28,28,28,257,232,111,28,28,28,42,201,208,58,28,28,28,28,536,493,173,41,18,28,166,448,335,247,175,150,86,28,28,28,212,126,168,28,28,28,2,162,119,122,28,28,28,26,42,36,29,28,28,28,28,201,183,76,28,28,28,28,369,126,85,98,40,28,28,28,105,76,69,28,28,28,18,90,81,57,28,28,28,28,159,123,74,28,28,13,28,338,291,154,23,28,28,53
2014thru2018,050,05000US01003,"Baldwin County, Alabama",01,003,78620,57880,11765,2605,2160,330,0,50,0,65,2055,1640,290,4,0,0,95,3045,2540,125,220,4,0,55,1320,1105,180,0,0,0,30,2735,2455,140,55,30,0,55,46120,1260,1120,95,0,4,0,15,2370,1965,275,4,0,0,80,5780,5000,445,145,40,0,60,4240,3735,200,20,60,0,225,32470,30285,900,150,155,0,620,20740,8320,2800,1600,830,0,20,0,325,2170,1575,300,0,0,0,245,2160,1715,350,0,0,0,95,645,485,130,0,0,0,0,545,495,15,0,0,0,35,12420,915,635,250,0,0,0,15,940,645,160,0,0,0,135,2340,1715,415,30,45,0,125,1595,1060,290,20,4,0,100,6635,5795,485,55,15,0,275,1186,1171,726,412,353,156,28,48,28,74,333,304,160,1,28,28,70,459,382,80,231,11,28,71,342,310,139,28,28,28,56,376,370,98,86,47,28,69,1235,270,263,72,28,12,28,30,367,334,143,8,28,28,87,617,531,156,148,46,28,55,517,503,110,37,67,28,147,1011,947,245,84,90,28,221,1051,764,475,352,271,28,26,28,189,435,362,165,28,28,28,153,401,367,166,28,28,28,100,207,185,126,28,28,28,28,203,195,22,28,28,28,53,806,227,202,135,28,28,28,23,301,210,105,28,28,28,190,445,375,193,40,76,28,134,402,289,155,26,13,28,123,712,620,181,77,28,28,251
2014thru2018,050,05000US01005,"Barbour County, Alabama",01,005,9185,5640,1085,305,100,195,0,0,0,10,220,105,110,0,0,0,0,240,80,145,0,0,0,20,115,65,50,0,0,0,0,210,80,130,0,0,0,0,4555,120,45,65,0,0,0,0,255,135,105,0,0,0,15,635,380,235,4,0,0,10,530,345,145,15,0,0,25,3015,2225,730,4,0,0,25,3545,1365,590,95,480,0,0,0,0,590,160,350,0,0,0,30,155,100,40,0,0,0,15,30,10,25,0,0,0,0,0,0,0,0,0,0,0,2180,435,130,275,0,0,0,25,225,55,170,0,0,0,0,520,135,340,0,0,0,25,215,45,170,0,0,0,0,785,365,360,20,0,0,40,281,284,222,99,55,83,22,22,22,16,82,59,51,22,22,22,22,104,44,81,22,22,22,29,42,28,32,22,22,22,22,129,35,129,22,22,22,22,296,50,30,37,22,22,22,22,76,46,55,22,22,22,16,132,100,73,14,22,22,16,117,93,65,26,22,22,30,261,208,131,3,22,22,22,324,197,132,55,126,22,22,22,22,149,74,119,22,22,22,34,66,55,28,22,22,22,24,41,15,37,22,22,22,22,22,22,22,22,22,22,22,296,128,78,98,22,22,22,35,97,34,95,22,22,22,22,139,65,109,22,22,22,44,79,33,70,22,22,22,22,180,105,129,36,22,22,35
2014thru2018,050,05000US01007,"Bibb County, Alabama",01,007,6840,5135,885,245,225,25,0,0,0,0,330,140,190,0,0,0,0,210,210,0,0,0,0,0,30,25,4,0,0,0,0,70,50,25,0,0,0,0,4250,250,165,60,0,0,0,0,255,255,4,0,0,0,0,860,745,90,0,0,0,20,420,360,60,0,0,0,0,2465,2215,190,20,0,0,25,1705,530,315,180,140,0,0,0,0,135,75,60,0,0,0,4,55,50,0,0,0,0,4,0,0,0,0,0,0,0,20,4,0,0,0,0,15,1175,245,195,50,0,0,0,0,125,75,10,0,0,0,35,400,230,155,0,0,0,10,95,70,25,0,0,0,0,310,240,70,0,0,0,0,320,333,225,111,109,33,22,22,22,22,162,85,166,22,22,22,22,105,105,22,22,22,22,22,32,31,7,22,22,22,22,65,51,40,22,22,22,22,312,94,71,59,22,22,22,22,98,97,7,22,22,22,22,194,178,63,22,22,22,40,152,128,79,22,22,22,22,328,297,131,33,22,22,36,289,191,150,111,100,22,22,22,22,109,50,86,22,22,22,10,51,48,22,22,22,22,10,22,22,22,22,22,22,22,20,4,22,22,22,22,21,265,115,101,51,22,22,22,22,82,59,16,22,22,22,52,169,106,124,22,22,22,21,81,60,47,22,22,22,22,129,111,70,22,22,22,22
2014thru2018,050,05000US01009,"Blount County, Alabama",01,009,20600,16195,2505,910,805,4,0,10,0,90,465,415,0,0,0,0,50,755,625,0,0,0,0,120,180,160,0,0,0,0,15,195,175,0,0,0,0,4,13690,785,680,0,0,0,0,85,1220,1175,4,4,0,0,45,2630,2350,10,4,0,0,230,1775,1675,4,0,15,0,70,7280,7065,20,30,4,0,105,4405,1495,790,660,0,0,0,0,130,535,470,0,0,0,0,65,115,90,0,0,0,0,25,10,10,0,0,0,0,0,40,40,0,0,0,0,4,2910,475,455,0,0,0,0,15,510,495,4,0,0,0,10,865,695,70,4,0,0,60,360,340,0,0,0,0,20,700,645,35,0,0,0,15,396,495,349,208,195,12,28,14,28,84,132,126,28,28,28,28,49,199,194,28,28,28,28,86,72,73,28,28,28,28,27,93,93,28,28,28,28,5,473,212,199,28,28,28,28,59,239,245,6,2,28,28,39,342,332,13,4,28,28,125,288,278,4,28,24,28,67,431,417,25,28,5,28,81,411,230,186,176,28,28,28,28,71,163,146,28,28,28,28,73,65,57,28,28,28,28,28,14,14,28,28,28,28,28,41,40,28,28,28,28,3,345,142,141,28,28,28,28,20,195,195,9,28,28,28,18,244,214,89,28,28,28,66,128,125,28,28,28,28,22,179,172,54,28,28,28,18
2014thru2018,050,05000US01011,"Bullock County, Alabama",01,011,3610,2725,600,185,0,185,0,0,0,0,130,15,115,0,0,0,0,115,25,90,0,0,0,0,4,0,4,0,0,0,0,165,65,100,0,0,0,0,2125,260,15,240,0,0,0,4,115,40,75,0,0,0,0,215,25,190,0,0,0,0,165,45,75,0,45,0,0,1370,560,795,0,0,0,15,885,445,295,0,295,0,0,0,0,125,0,125,0,0,0,0,25,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440,205,4,170,0,0,0,30,35,0,35,0,0,0,0,55,4,50,0,0,0,0,90,10,80,0,0,0,0,60,15,40,0,0,0,0,196,213,175,93,19,93,19,19,19,19,67,25,60,19,19,19,19,60,26,54,19,19,19,19,13,19,13,19,19,19,19,132,79,107,19,19,19,19,241,191,32,191,19,19,19,3,73,44,55,19,19,19,19,108,26,104,19,19,19,19,91,52,57,19,52,19,19,199,98,176,19,19,19,27,193,146,147,19,147,19,19,19,19,85,19,85,19,19,19,19,34,17,29,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,148,98,9,95,19,19,19,40,31,19,31,19,19,19,19,53,9,53,19,19,19,19,85,15,85,19,19,19,19,54,27,48,19,19,19,19
2014thru2018,050,05000US01013,"Butler County, Alabama",01,013,6710,4690,995,225,120,95,0,0,0,10,310,65,240,0,0,0,4,220,70,150,0,0,0,0,110,50,60,0,0,0,0,125,90,35,0,0,0,0,3695,115,65,40,0,0,0,10,250,130,120,0,0,0,0,505,315,185,0,0,0,0,300,170,125,0,4,0,0,2530,1925,555,4,4,0,0,2015,730,310,105,180,10,0,0,15,215,70,145,0,0,0,0,145,30,90,0,0,0,10,25,4,25,0,0,0,0,30,15,15,0,0,0,0,1285,265,80,180,0,0,0,0,120,55,65,0,0,0,0,90,40,50,0,0,0,0,220,90,130,0,0,0,0,590,310,250,30,0,0,0,272,232,143,70,55,48,22,22,22,14,99,37,91,22,22,22,12,77,39,66,22,22,22,22,65,33,56,22,22,22,22,61,53,32,22,22,22,22,212,49,41,28,22,22,22,13,87,45,71,22,22,22,22,98,89,68,22,22,22,22,96,74,66,22,6,22,22,217,189,103,2,4,22,22,235,145,87,56,60,14,22,22,23,77,38,69,22,22,22,22,66,26,46,22,22,22,15,30,2,29,22,22,22,22,25,23,16,22,22,22,22,185,82,40,75,22,22,22,22,55,36,42,22,22,22,22,44,26,33,22,22,22,22,87,51,68,22,22,22,22,134,103,82,26,22,22,22
2014thru2018,050,05000US01015,"Calhoun County, Alabama",01,015,45035,31285,5840,1690,1150,465,0,10,0,10,1135,870,240,0,0,0,15,1230,960,180,20,10,0,60,550,245,185,0,0,0,30,1235,1080,110,25,4,0,15,25450,640,460,100,30,10,10,25,1275,905,270,90,0,0,0,3140,2255,605,65,0,0,130,2350,1960,340,15,0,0,35,18045,15375,2110,110,80,0,240,13745,5915,2050,870,1095,0,4,0,20,1935,930,855,15,10,0,65,1505,925,510,0,0,0,35,245,180,40,0,0,0,0,180,135,20,0,0,0,30,7830,805,440,330,10,0,0,0,780,515,235,0,0,0,20,1410,810,500,0,0,0,85,805,510,185,0,0,0,60,4030,2750,1105,35,4,0,100,681,654,525,251,208,159,28,14,28,15,221,150,125,28,28,28,22,236,216,87,34,19,28,48,144,84,99,28,28,28,39,252,238,66,40,28,28,26,750,156,129,69,39,16,13,28,234,195,95,93,28,28,28,358,299,162,67,28,28,80,317,263,137,24,28,28,40,653,609,269,85,53,28,95,711,505,273,197,209,28,10,28,25,372,257,238,26,15,28,56,294,240,162,28,28,28,40,103,92,40,28,28,28,28,92,81,29,28,28,28,35,655,169,134,115,16,28,28,28,219,182,129,28,28,28,27,273,209,145,28,28,28,73,184,162,71,28,28,28,51,554,447,251,32,13,28,67
2014thru2018,050,05000US01017,"Chambers County, Alabama",01,017,13515,9160,1885,360,200,160,0,0,0,0,615,275,255,0,0,0,90,580,230,350,0,0,0,0,115,95,20,0,0,0,0,215,155,60,0,0,0,0,7275,175,125,50,0,0,0,0,470,275,195,0,0,0,0,975,640,320,0,15,0,0,770,510,260,0,0,0,0,4880,3380,1390,4,10,0,70,4355,1885,545,115,400,0,0,0,35,475,180,255,10,15,0,0,670,130,480,0,0,0,55,120,50,75,0,0,0,0,70,35,35,0,0,0,0,2475,265,160,105,0,0,0,0,105,45,60,0,0,0,0,305,85,195,0,0,0,30,230,200,30,0,0,0,0,1570,765,570,125,15,0,80,372,398,280,104,71,86,25,25,25,25,158,107,92,25,25,25,89,150,92,130,25,25,25,25,64,62,21,25,25,25,25,82,76,38,25,25,25,25,358,75,63,41,25,25,25,25,128,106,90,25,25,25,25,152,128,99,25,26,25,25,176,146,99,25,25,25,25,328,256,194,9,20,25,72,436,282,155,66,132,25,25,25,58,129,80,101,19,23,25,25,204,64,179,25,25,25,76,86,49,72,25,25,25,25,54,33,44,25,25,25,25,351,116,95,73,25,25,25,25,53,27,44,25,25,25,25,130,51,104,25,25,25,48,97,90,25,25,25,25,25,306,200,171,70,24,25,91
2014thru2018,050,05000US01019,"Cherokee County, Alabama",01,019,10605,8375,1485,435,420,0,0,0,0,15,340,335,4,0,0,0,0,315,300,15,0,0,0,0,145,115,15,0,0,0,15,250,240,10,0,0,0,0,6890,160,160,0,0,4,0,0,390,325,65,0,0,0,0,1190,1020,105,0,15,0,50,645,605,40,0,0,0,0,4505,4305,130,0,20,0,15,2230,805,270,260,0,0,0,0,10,260,260,0,0,0,0,0,225,210,0,0,0,0,15,30,30,0,0,0,0,0,20,20,0,0,0,0,0,1425,210,165,10,0,0,0,35,155,155,0,0,0,0,0,325,285,40,0,0,0,0,180,180,0,0,0,0,0,560,510,45,0,0,0,4,370,411,234,139,136,22,22,22,22,24,88,86,18,22,22,22,22,105,100,23,22,22,22,22,78,72,24,22,22,22,31,85,87,14,22,22,22,22,419,78,79,22,22,4,22,22,131,123,57,22,22,22,22,256,207,90,22,24,22,69,163,155,49,22,22,22,22,378,342,80,22,21,22,27,323,195,101,99,22,22,22,22,21,102,102,22,22,22,22,22,111,111,22,22,22,22,29,46,46,22,22,22,22,22,24,24,22,22,22,22,22,308,110,101,15,22,22,22,48,84,84,22,22,22,22,22,141,136,54,22,22,22,22,130,130,22,22,22,22,22,182,169,52,22,22,22,9
