source,sumlevel,geoid,name,st,cnty,T14B_est1,T14B_est2,T14B_est3,T14B_est4,T14B_est5,T14B_est6,T14B_est7,T14B_est8,T14B_est9,T14B_est10,T14B_est11,T14B_est12,T14B_est13,T14B_est14,T14B_est15,T14B_est16,T14B_est17,T14B_est18,T14B_est19,T14B_moe1,T14B_moe2,T14B_moe3,T14B_moe4,T14B_moe5,T14B_moe6,T14B_moe7,T14B_moe8,T14B_moe9,T14B_moe10,T14B_moe11,T14B_moe12,T14B_moe13,T14B_moe14,T14B_moe15,T14B_moe16,T14B_moe17,T14B_moe18,T14B_moe19
2014thru2018,050,05000US01001,"Autauga County, Alabama",01,001,340,4,335,15,0,10,4,60,0,20,40,140,15,125,0,120,0,65,55,212,9,210,24,28,18,10,43,28,26,39,169,23,167,28,120,28,102,61
2014thru2018,050,05000US01003,"Baldwin County, Alabama",01,003,15615,390,15225,995,65,215,715,3640,305,1880,1455,4745,285,2275,2185,5845,875,2570,2400,887,197,816,258,78,142,205,514,196,403,362,627,129,439,406,572,208,417,380
2014thru2018,050,05000US01005,"Barbour County, Alabama",01,005,310,25,285,80,0,60,20,145,10,100,35,60,30,0,30,0,0,0,0,128,32,123,60,22,57,21,87,13,75,45,62,53,22,39,22,22,22,22
2014thru2018,050,05000US01007,"Bibb County, Alabama",01,007,60,10,50,0,0,0,0,50,10,40,0,0,0,0,0,0,0,0,0,64,14,62,22,22,22,22,62,17,61,22,22,22,22,22,22,22,22,22
2014thru2018,050,05000US01009,"Blount County, Alabama",01,009,410,20,390,260,0,125,135,120,10,95,20,0,0,0,0,4,0,4,0,165,21,164,126,28,73,85,98,14,88,26,28,28,28,28,17,28,17,28
2014thru2018,050,05000US01011,"Bullock County, Alabama",01,011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,19,19,19,19,0,19,0,19,19,19,19,19,19,19,19,19
2014thru2018,050,05000US01013,"Butler County, Alabama",01,013,555,190,365,80,4,35,40,240,55,95,95,45,15,30,0,0,0,0,0,145,96,112,47,12,41,29,87,40,59,64,42,24,35,22,22,22,22,22
2014thru2018,050,05000US01015,"Calhoun County, Alabama",01,015,680,110,570,40,4,25,4,325,75,180,70,205,60,80,60,4,4,0,0,190,84,176,46,10,44,13,137,73,95,58,117,65,71,56,9,9,28,28
2014thru2018,050,05000US01017,"Chambers County, Alabama",01,017,450,160,285,15,15,0,0,65,25,4,35,125,0,85,45,80,40,40,0,178,95,142,23,23,25,25,49,35,5,37,104,25,80,68,90,63,65,25
2014thru2018,050,05000US01019,"Cherokee County, Alabama",01,019,425,10,415,165,0,100,60,200,0,20,175,0,0,0,0,55,0,55,0,170,14,168,98,22,71,66,138,22,37,132,22,22,22,22,70,22,70,22
2014thru2018,050,05000US01021,"Chilton County, Alabama",01,021,265,10,255,35,0,4,30,160,0,10,150,60,4,0,55,0,0,0,0,151,14,151,46,25,10,44,125,25,13,124,80,11,25,81,25,25,25,25
2014thru2018,050,05000US01023,"Choctaw County, Alabama",01,023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,19,19,19,19,0,0,19,19,19,19,19,19,19,19,19,19
2014thru2018,050,05000US01025,"Clarke County, Alabama",01,025,135,60,75,40,0,30,4,35,0,0,35,0,0,0,0,0,0,0,0,94,68,64,46,22,46,13,47,22,22,47,22,22,22,22,22,22,22,22
2014thru2018,050,05000US01027,"Clay County, Alabama",01,027,80,10,70,0,0,0,0,55,0,55,0,15,0,0,15,0,0,0,0,47,21,45,19,19,19,19,46,19,46,19,24,19,19,24,19,19,19,19
2014thru2018,050,05000US01029,"Cleburne County, Alabama",01,029,85,0,85,0,0,0,0,85,0,35,50,0,0,0,0,0,0,0,0,68,19,68,19,19,19,19,68,19,42,55,19,19,19,19,19,19,19,19
2014thru2018,050,05000US01031,"Coffee County, Alabama",01,031,605,155,450,105,60,20,25,135,40,60,35,210,0,35,175,0,0,0,0,215,102,185,61,53,32,32,101,56,64,55,139,28,57,129,28,28,28,28
2014thru2018,050,05000US01033,"Colbert County, Alabama",01,033,835,285,550,235,55,180,4,225,55,130,35,0,0,0,0,85,20,0,65,236,134,216,122,59,106,3,146,66,118,52,28,28,28,28,105,32,28,99
2014thru2018,050,05000US01035,"Conecuh County, Alabama",01,035,255,85,170,65,0,15,50,105,15,65,25,0,0,0,0,0,0,0,0,150,84,123,59,19,24,57,103,23,95,32,19,19,19,19,19,19,19,19
2014thru2018,050,05000US01037,"Coosa County, Alabama",01,037,60,4,55,25,0,25,0,20,0,20,0,4,4,0,0,0,0,0,0,40,10,39,28,19,28,19,25,19,25,19,14,14,19,19,19,19,19,19
2014thru2018,050,05000US01039,"Covington County, Alabama",01,039,350,25,325,140,15,60,65,125,10,70,45,65,35,0,30,0,0,0,0,125,26,119,91,23,52,72,66,17,58,43,58,42,25,39,25,25,25,25
2014thru2018,050,05000US01041,"Crenshaw County, Alabama",01,041,140,65,75,25,0,20,4,50,0,25,25,0,0,0,0,0,0,0,0,56,44,45,27,19,24,11,36,19,27,22,19,19,19,19,19,19,19,19
2014thru2018,050,05000US01043,"Cullman County, Alabama",01,043,635,55,580,20,0,10,10,345,155,110,80,140,110,25,4,75,30,0,45,223,65,209,21,28,17,16,176,116,100,83,95,90,39,28,84,44,28,72
2014thru2018,050,05000US01045,"Dale County, Alabama",01,045,1000,200,800,250,0,145,105,410,115,185,110,105,15,0,90,40,10,0,25,207,124,190,113,25,99,87,163,94,108,71,83,23,25,79,48,18,25,41
2014thru2018,050,05000US01047,"Dallas County, Alabama",01,047,470,215,255,75,20,20,30,110,0,45,65,70,4,15,45,0,0,0,0,169,113,122,62,37,27,48,89,25,51,74,55,11,27,48,25,25,25,25
2014thru2018,050,05000US01049,"DeKalb County, Alabama",01,049,830,115,715,465,4,185,270,245,0,155,90,4,0,0,4,0,0,0,0,244,102,246,176,10,117,120,132,28,99,90,7,28,28,7,28,28,28,28
2014thru2018,050,05000US01051,"Elmore County, Alabama",01,051,530,10,520,150,0,50,100,170,0,85,90,105,0,45,65,90,0,0,90,197,14,196,124,28,68,101,114,28,88,81,97,28,65,73,83,28,28,83
2014thru2018,050,05000US01053,"Escambia County, Alabama",01,053,435,15,420,195,4,70,120,180,15,165,0,40,0,20,20,0,0,0,0,162,24,163,102,9,60,85,101,30,96,25,47,25,34,33,25,25,25,25
2014thru2018,050,05000US01055,"Etowah County, Alabama",01,055,955,185,770,190,4,30,155,285,95,55,135,255,45,140,70,40,0,0,40,279,113,248,113,10,43,99,164,87,50,128,142,50,96,75,60,28,28,60
2014thru2018,050,05000US01057,"Fayette County, Alabama",01,057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,19,19,19,19,0,19,0,19,19,19,19,19,19,19,19,19
2014thru2018,050,05000US01059,"Franklin County, Alabama",01,059,480,110,375,90,0,0,90,285,25,180,80,0,0,0,0,0,0,0,0,164,83,181,88,25,25,88,144,39,111,93,25,25,25,25,25,25,25,25
2014thru2018,050,05000US01061,"Geneva County, Alabama",01,061,190,105,85,4,0,0,4,80,30,15,35,0,0,0,0,0,0,0,0,114,107,47,10,22,22,10,48,33,25,39,22,22,22,22,22,22,22,22
2014thru2018,050,05000US01063,"Greene County, Alabama",01,063,35,0,35,15,0,0,15,0,0,0,0,20,0,10,15,0,0,0,0,36,17,36,25,17,17,25,17,17,17,17,29,17,14,22,17,17,17,17
2014thru2018,050,05000US01065,"Hale County, Alabama",01,065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
2014thru2018,050,05000US01067,"Henry County, Alabama",01,067,240,70,165,60,0,15,45,75,0,40,35,35,0,35,0,0,0,0,0,107,53,96,67,19,24,64,57,19,46,32,51,19,51,19,19,19,19,19
