source,sumlevel,geoid,name,st,cnty,T8_est1,T8_est2,T8_est3,T8_est4,T8_est5,T8_est6,T8_est7,T8_est8,T8_est9,T8_est10,T8_est11,T8_est12,T8_est13,T8_est14,T8_est15,T8_est16,T8_est17,T8_est18,T8_est19,T8_est20,T8_est21,T8_est22,T8_est23,T8_est24,T8_est25,T8_est26,T8_est27,T8_est28,T8_est29,T8_est30,T8_est31,T8_est32,T8_est33,T8_est34,T8_est35,T8_est36,T8_est37,T8_est38,T8_est39,T8_est40,T8_est41,T8_est42,T8_est43,T8_est44,T8_est45,T8_est46,T8_est47,T8_est48,T8_est49,T8_est50,T8_est51,T8_est52,T8_est53,T8_est54,T8_est55,T8_est56,T8_est57,T8_est58,T8_est59,T8_est60,T8_est61,T8_est62,T8_est63,T8_est64,T8_est65,T8_est66,T8_est67,T8_est68,T8_est69,T8_est70,T8_est71,T8_est72,T8_est73,T8_est74,T8_est75,T8_est76,T8_est77,T8_est78,T8_est79,T8_est80,T8_est81,T8_est82,T8_est83,T8_est84,T8_est85,T8_est86,T8_est87,T8_est88,T8_est89,T8_est90,T8_est91,T8_est92,T8_est93,T8_est94,T8_est95,T8_est96,T8_est97,T8_est98,T8_est99,T8_est100,T8_est101,T8_est102,T8_est103,T8_est104,T8_est105,T8_est106,T8_est107,T8_est108,T8_est109,T8_est110,T8_est111,T8_est112,T8_est113,T8_est114,T8_est115,T8_est116,T8_est117,T8_est118,T8_est119,T8_est120,T8_est121,T8_est122,T8_est123,T8_est124,T8_est125,T8_est126,T8_est127,T8_est128,T8_est129,T8_est130,T8_est131,T8_est132,T8_est133,T8_moe1,T8_moe2,T8_moe3,T8_moe4,T8_moe5,T8_moe6,T8_moe7,T8_moe8,T8_moe9,T8_moe10,T8_moe11,T8_moe12,T8_moe13,T8_moe14,T8_moe15,T8_moe16,T8_moe17,T8_moe18,T8_moe19,T8_moe20,T8_moe21,T8_moe22,T8_moe23,T8_moe24,T8_moe25,T8_moe26,T8_moe27,T8_moe28,T8_moe29,T8_moe30,T8_moe31,T8_moe32,T8_moe33,T8_moe34,T8_moe35,T8_moe36,T8_moe37,T8_moe38,T8_moe39,T8_moe40,T8_moe41,T8_moe42,T8_moe43,T8_moe44,T8_moe45,T8_moe46,T8_moe47,T8_moe48,T8_moe49,T8_moe50,T8_moe51,T8_moe52,T8_moe53,T8_moe54,T8_moe55,T8_moe56,T8_moe57,T8_moe58,T8_moe59,T8_moe60,T8_moe61,T8_moe62,T8_moe63,T8_moe64,T8_moe65,T8_moe66,T8_moe67,T8_moe68,T8_moe69,T8_moe70,T8_moe71,T8_moe72,T8_moe73,T8_moe74,T8_moe75,T8_moe76,T8_moe77,T8_moe78,T8_moe79,T8_moe80,T8_moe81,T8_moe82,T8_moe83,T8_moe84,T8_moe85,T8_moe86,T8_moe87,T8_moe88,T8_moe89,T8_moe90,T8_moe91,T8_moe92,T8_moe93,T8_moe94,T8_moe95,T8_moe96,T8_moe97,T8_moe98,T8_moe99,T8_moe100,T8_moe101,T8_moe102,T8_moe103,T8_moe104,T8_moe105,T8_moe106,T8_moe107,T8_moe108,T8_moe109,T8_moe110,T8_moe111,T8_moe112,T8_moe113,T8_moe114,T8_moe115,T8_moe116,T8_moe117,T8_moe118,T8_moe119,T8_moe120,T8_moe121,T8_moe122,T8_moe123,T8_moe124,T8_moe125,T8_moe126,T8_moe127,T8_moe128,T8_moe129,T8_moe130,T8_moe131,T8_moe132,T8_moe133
2014thru2018,050,05000US01001,"Autauga County, Alabama",01,001,21115,15815,1380,285,0,285,235,15,220,805,0,805,60,0,60,1380,755,0,755,410,0,410,215,0,215,0,0,0,2090,1495,0,1495,410,0,410,185,4,175,0,0,0,1275,1055,0,1055,210,0,210,4,0,4,0,0,0,9695,9395,55,9345,290,0,290,10,0,10,0,0,0,5300,1280,205,0,205,65,0,65,860,0,860,145,50,95,915,250,0,250,310,30,275,355,0,355,0,0,0,610,210,15,195,370,0,370,25,0,25,0,0,0,465,415,0,415,50,0,50,0,0,0,0,0,0,2030,1740,10,1730,90,0,90,200,165,30,0,0,0,383,493,240,134,28,134,128,25,124,201,28,201,63,28,63,228,198,28,198,171,28,171,99,28,99,28,28,28,348,257,28,257,154,28,154,143,10,140,28,28,28,218,201,28,201,98,28,98,19,28,19,28,28,28,532,526,62,526,108,28,108,14,28,14,28,28,28,448,269,110,28,110,52,28,52,220,28,220,107,76,72,239,105,28,105,121,39,115,165,28,165,28,28,28,191,91,26,90,156,28,156,32,28,32,28,28,28,162,158,28,158,42,28,42,28,28,28,28,28,28,394,350,13,350,124,28,124,126,118,56,28,28,28
2014thru2018,050,05000US01003,"Baldwin County, Alabama",01,003,78620,57880,3865,830,15,815,575,0,575,1955,0,1955,500,0,500,4425,2465,30,2435,785,0,785,1175,0,1175,0,0,0,8820,5830,20,5815,1860,0,1860,1130,0,1130,0,0,0,5560,4320,4,4315,1015,0,1015,220,0,220,0,0,0,35210,32890,80,32810,2055,25,2030,265,15,250,0,0,0,20740,3715,675,0,675,460,20,440,2330,50,2275,250,4,245,3110,970,10,960,1040,0,1040,1105,25,1080,0,0,0,4500,2425,15,2410,1745,0,1745,335,35,300,0,0,0,2240,1690,0,1690,510,0,510,40,15,25,0,0,0,7175,6705,10,6695,470,20,450,0,0,0,0,0,0,1186,1171,476,202,24,200,190,28,190,357,28,357,190,28,190,478,372,39,373,216,28,216,281,28,281,28,28,28,742,615,23,615,374,28,374,288,28,288,28,28,28,622,530,12,528,298,28,298,112,28,112,28,28,28,995,1019,66,1011,328,27,326,112,23,110,28,28,28,1051,528,173,28,173,183,38,184,436,49,431,132,3,130,490,302,13,302,256,28,256,356,29,358,28,28,28,604,460,25,460,364,28,364,137,38,133,28,28,28,496,411,28,411,196,28,196,39,23,31,28,28,28,731,715,16,713,194,37,195,28,28,28,28,28,28
2014thru2018,050,05000US01005,"Barbour County, Alabama",01,005,9185,5640,420,60,4,55,25,0,25,265,0,265,75,0,75,475,260,4,255,145,0,145,70,0,70,0,0,0,875,660,4,655,170,0,170,50,0,50,0,0,0,645,535,0,535,90,0,90,15,0,15,0,0,0,3225,3145,0,3145,65,0,65,15,0,15,0,0,0,3545,1025,165,0,165,140,0,140,450,20,430,270,0,270,815,250,0,250,275,4,270,290,0,290,0,0,0,675,550,0,550,115,0,115,15,0,15,0,0,0,245,215,0,215,30,0,30,0,0,0,0,0,0,785,785,0,785,0,0,0,0,0,0,0,0,0,281,284,105,32,8,32,24,22,24,92,22,92,37,22,37,109,77,5,76,59,22,59,52,22,52,22,22,22,156,130,9,129,85,22,85,40,22,40,22,22,22,118,119,22,119,39,22,39,14,22,14,22,22,22,263,254,22,254,29,22,29,21,22,21,22,22,22,324,187,66,22,66,81,22,81,111,28,110,114,22,114,177,100,22,100,94,13,93,96,22,96,22,22,22,149,142,22,142,54,22,54,15,22,15,22,22,22,91,79,22,79,41,22,41,22,22,22,22,22,22,180,180,22,180,22,22,22,22,22,22,22,22,22
2014thru2018,050,05000US01007,"Bibb County, Alabama",01,007,6840,5135,495,200,0,200,125,20,105,120,0,120,45,0,45,585,260,0,260,225,0,225,100,0,100,0,0,0,1070,880,20,860,120,0,120,65,0,65,0,0,0,450,420,0,420,30,0,30,0,0,0,0,0,0,2535,2515,30,2485,10,0,10,4,0,4,0,0,0,1705,560,190,0,190,35,0,35,280,0,280,55,0,55,260,125,0,125,70,0,70,65,0,65,0,0,0,455,400,0,400,55,0,55,0,0,0,0,0,0,95,95,0,95,0,0,0,0,0,0,0,0,0,330,330,4,330,0,0,0,0,0,0,0,0,0,320,333,148,81,22,81,79,30,71,79,22,79,44,22,44,194,97,22,97,168,22,168,79,22,79,22,22,22,226,193,30,194,78,22,78,74,22,74,22,22,22,160,152,22,152,32,22,32,22,22,22,22,22,22,308,306,48,323,16,22,16,17,22,17,22,22,22,289,200,98,22,98,40,22,40,142,22,142,55,22,55,139,82,22,82,52,22,52,91,22,91,22,22,22,173,169,22,169,51,22,51,22,22,22,22,22,22,81,81,22,81,22,22,22,22,22,22,22,22,22,129,129,4,131,22,22,22,22,22,22,22,22,22
2014thru2018,050,05000US01009,"Blount County, Alabama",01,009,20600,16195,1695,445,15,430,340,55,285,550,10,540,360,10,355,1685,1265,0,1265,255,0,255,165,0,165,0,0,0,3385,2785,15,2770,405,35,370,195,10,190,0,0,0,1955,1800,0,1800,115,0,115,40,0,40,0,0,0,7475,7330,15,7310,125,0,125,25,0,25,0,0,0,4405,1265,285,4,285,255,15,245,505,0,505,215,25,190,1045,560,35,525,390,4,385,95,0,95,0,0,0,980,900,10,890,85,0,85,0,0,0,0,0,0,370,360,0,360,4,0,4,10,0,10,0,0,0,740,720,10,710,20,0,20,0,0,0,0,0,0,396,495,269,160,22,156,141,84,111,151,21,154,132,13,135,287,252,28,252,86,28,86,92,28,92,28,28,28,378,350,23,346,115,49,114,106,14,105,28,28,28,289,287,28,287,56,28,56,40,28,40,28,28,28,429,428,18,432,84,28,84,30,28,30,28,28,28,411,236,102,5,101,119,18,120,147,28,147,100,31,98,263,196,44,193,146,4,144,55,28,55,28,28,28,262,252,15,249,53,28,53,28,28,28,28,28,28,127,128,28,128,10,28,10,14,28,14,28,28,28,171,172,20,177,36,28,36,28,28,28,28,28,28
2014thru2018,050,05000US01011,"Bullock County, Alabama",01,011,3610,2725,445,45,0,45,35,0,35,155,0,155,215,0,215,245,115,0,115,45,25,20,85,0,85,0,0,0,325,215,0,215,75,0,75,40,0,40,0,0,0,170,165,0,165,4,0,4,0,0,0,0,0,0,1535,1370,0,1370,165,35,135,0,0,0,0,0,0,885,500,125,0,125,75,0,75,220,0,220,80,0,80,160,35,0,35,65,0,65,60,0,60,0,0,0,75,55,0,55,15,0,15,10,0,10,0,0,0,90,90,0,90,0,0,0,0,0,0,0,0,0,60,60,0,60,0,0,0,0,0,0,0,0,0,196,213,202,66,19,66,32,19,32,90,19,90,178,19,178,103,73,19,73,50,41,29,50,19,50,19,19,19,123,108,19,108,41,19,41,46,19,46,19,19,19,91,91,19,91,13,19,13,19,19,19,19,19,19,231,199,19,199,132,51,122,19,19,19,19,19,19,193,166,71,19,71,76,19,76,126,19,126,77,19,77,99,31,19,31,67,19,67,59,19,59,19,19,19,61,53,19,53,29,19,29,17,19,17,19,19,19,85,85,19,85,19,19,19,19,19,19,19,19,19,54,54,19,54,19,19,19,19,19,19,19,19,19
2014thru2018,050,05000US01013,"Butler County, Alabama",01,013,6710,4690,340,70,4,65,30,0,30,190,0,190,50,0,50,560,260,0,260,175,0,175,125,0,125,0,0,0,725,505,0,505,175,0,175,45,0,45,0,0,0,410,325,10,315,70,0,70,15,0,15,0,0,0,2655,2565,4,2560,80,0,80,10,0,10,0,0,0,2015,580,135,4,130,90,0,90,215,4,205,140,0,140,335,125,0,125,145,0,145,60,0,60,0,0,0,235,90,0,90,125,25,100,25,0,25,0,0,0,250,240,0,240,10,0,10,0,0,0,0,0,0,620,605,4,600,15,0,15,0,0,0,0,0,0,272,232,86,41,9,41,26,22,26,65,22,65,30,22,30,114,90,22,90,79,22,79,75,22,75,22,22,22,125,96,22,96,65,22,65,35,22,35,22,22,22,121,105,17,103,56,22,56,18,22,18,22,22,22,205,217,7,218,54,22,54,15,22,15,22,22,22,235,120,57,13,56,57,22,57,60,13,61,66,22,66,91,58,22,58,63,22,63,41,22,41,22,22,22,70,44,22,44,54,30,47,29,22,29,22,22,22,90,89,22,89,13,22,13,22,22,22,22,22,22,134,136,13,133,23,22,23,22,22,22,22,22,22
2014thru2018,050,05000US01015,"Calhoun County, Alabama",01,015,45035,31285,2325,320,4,315,530,15,515,1130,4,1125,345,15,330,2410,1305,15,1290,510,0,510,595,0,595,0,0,0,4370,3250,30,3220,955,0,955,160,10,150,0,0,0,2900,2390,0,2390,440,0,440,70,0,70,0,0,0,19285,18385,75,18310,850,25,825,50,0,50,0,0,0,13745,2855,500,0,500,280,0,280,1765,30,1740,305,0,305,2715,785,0,785,995,20,975,930,15,920,0,0,0,2915,1580,4,1575,1210,20,1190,120,10,110,0,0,0,1055,840,10,830,210,0,210,0,0,0,0,0,0,4210,4125,25,4100,75,0,75,10,10,0,0,0,0,681,654,258,124,15,123,150,17,150,203,7,203,111,26,105,338,238,18,237,129,28,129,168,28,168,28,28,28,423,364,51,356,195,28,195,77,16,76,28,28,28,323,322,28,322,131,28,131,56,28,56,28,28,28,633,653,72,645,200,41,198,55,28,55,28,28,28,711,316,125,28,125,118,28,118,279,32,281,125,28,125,413,218,28,218,238,39,232,279,17,281,28,28,28,362,273,11,274,249,21,245,83,15,82,28,28,28,217,193,23,190,97,28,97,28,28,28,28,28,28,553,547,27,542,62,28,62,19,19,28,28,28,28
2014thru2018,050,05000US01017,"Chambers County, Alabama",01,017,13515,9160,535,60,4,55,85,0,85,245,0,245,140,20,120,1085,480,10,470,235,0,235,370,0,370,0,0,0,1555,1000,4,995,395,0,395,160,0,160,0,0,0,885,770,0,770,110,0,110,4,0,4,0,0,0,5095,4920,10,4910,145,0,145,30,0,30,0,0,0,4355,810,215,30,185,45,0,45,420,35,385,130,20,110,580,140,0,140,220,10,210,215,0,215,0,0,0,975,415,50,365,530,0,530,30,0,30,0,0,0,350,285,0,285,65,0,65,0,0,0,0,0,0,1640,1635,4,1630,4,0,4,4,0,4,0,0,0,372,398,136,50,20,50,49,25,49,92,25,92,80,34,69,200,131,21,128,87,25,87,132,25,132,25,25,25,210,161,7,160,128,25,128,68,25,68,25,25,25,178,176,25,176,62,25,62,13,25,13,25,25,25,313,328,19,329,65,25,65,35,25,35,25,25,25,436,208,114,41,105,31,25,31,137,42,131,79,38,69,143,63,25,63,94,19,93,83,25,83,25,25,25,232,162,62,146,167,25,167,39,25,39,25,25,25,136,124,25,124,59,25,59,25,25,25,25,25,25,298,300,4,298,25,25,25,4,25,4,25,25,25
2014thru2018,050,05000US01019,"Cherokee County, Alabama",01,019,10605,8375,595,75,0,75,65,0,65,355,0,355,100,10,90,730,390,0,390,200,0,200,145,0,145,0,0,0,1505,1250,0,1250,175,0,175,80,0,80,0,0,0,790,670,30,645,70,0,70,50,0,50,0,0,0,4755,4525,10,4520,210,0,210,15,0,15,0,0,0,2230,480,110,10,100,50,0,50,190,0,190,125,4,120,415,155,0,155,160,0,160,100,0,100,0,0,0,550,325,0,325,185,0,185,40,0,40,0,0,0,210,180,0,180,30,0,30,0,0,0,0,0,0,580,560,0,560,10,0,10,10,0,10,0,0,0,370,411,161,50,22,50,52,22,52,131,22,131,62,19,61,156,131,22,131,78,22,78,60,22,60,22,22,22,266,269,22,269,83,22,83,45,22,45,22,22,22,173,171,35,163,47,22,47,56,22,56,22,22,22,397,379,13,378,78,22,78,24,22,24,22,22,22,323,140,88,17,86,42,22,42,85,22,85,70,11,69,131,84,22,84,90,22,90,68,22,68,22,22,22,171,141,22,141,100,22,100,42,22,42,22,22,22,135,130,22,130,46,22,46,22,22,22,22,22,22,185,182,22,182,14,22,14,18,22,18,22,22,22
