source,sumlevel,geoid,name,st,cnty,T9_est1,T9_est2,T9_est3,T9_est4,T9_est5,T9_est6,T9_est7,T9_est8,T9_est9,T9_est10,T9_est11,T9_est12,T9_est13,T9_est14,T9_est15,T9_est16,T9_est17,T9_est18,T9_est19,T9_est20,T9_est21,T9_est22,T9_est23,T9_est24,T9_est25,T9_est26,T9_est27,T9_est28,T9_est29,T9_est30,T9_est31,T9_est32,T9_est33,T9_est34,T9_est35,T9_est36,T9_est37,T9_est38,T9_est39,T9_est40,T9_est41,T9_est42,T9_est43,T9_est44,T9_est45,T9_est46,T9_est47,T9_est48,T9_est49,T9_est50,T9_est51,T9_est52,T9_est53,T9_est54,T9_est55,T9_est56,T9_est57,T9_est58,T9_est59,T9_est60,T9_est61,T9_est62,T9_est63,T9_est64,T9_est65,T9_est66,T9_est67,T9_est68,T9_est69,T9_est70,T9_est71,T9_est72,T9_est73,T9_moe1,T9_moe2,T9_moe3,T9_moe4,T9_moe5,T9_moe6,T9_moe7,T9_moe8,T9_moe9,T9_moe10,T9_moe11,T9_moe12,T9_moe13,T9_moe14,T9_moe15,T9_moe16,T9_moe17,T9_moe18,T9_moe19,T9_moe20,T9_moe21,T9_moe22,T9_moe23,T9_moe24,T9_moe25,T9_moe26,T9_moe27,T9_moe28,T9_moe29,T9_moe30,T9_moe31,T9_moe32,T9_moe33,T9_moe34,T9_moe35,T9_moe36,T9_moe37,T9_moe38,T9_moe39,T9_moe40,T9_moe41,T9_moe42,T9_moe43,T9_moe44,T9_moe45,T9_moe46,T9_moe47,T9_moe48,T9_moe49,T9_moe50,T9_moe51,T9_moe52,T9_moe53,T9_moe54,T9_moe55,T9_moe56,T9_moe57,T9_moe58,T9_moe59,T9_moe60,T9_moe61,T9_moe62,T9_moe63,T9_moe64,T9_moe65,T9_moe66,T9_moe67,T9_moe68,T9_moe69,T9_moe70,T9_moe71,T9_moe72,T9_moe73
2014thru2018,050,05000US01001,"Autauga County, Alabama",01,001,21115,15815,12830,11030,915,860,25,2305,1420,525,330,35,95,65,30,0,0,35,15,20,0,0,0,0,0,0,0,395,370,30,0,0,150,85,35,30,0,5300,3345,1915,560,815,50,1750,815,325,535,75,100,15,0,70,20,0,0,0,0,0,4,4,0,0,0,70,70,4,0,0,30,4,0,25,0,383,493,464,481,248,241,37,284,195,179,112,51,63,47,30,28,28,32,18,33,28,28,28,28,28,28,28,157,151,30,28,28,59,49,43,29,28,448,409,309,192,216,55,294,221,154,177,89,91,23,28,86,40,28,28,28,28,28,13,13,28,28,28,64,63,2,28,28,29,15,28,27,28
2014thru2018,050,05000US01003,"Baldwin County, Alabama",01,003,78620,57880,52005,42240,5135,4160,475,2985,1955,620,410,0,600,320,270,10,0,350,260,25,65,4,0,0,0,0,0,1310,1065,175,50,15,630,505,65,55,4,20740,15720,9840,2955,2715,210,3235,1625,970,605,35,110,110,0,0,0,90,70,0,20,0,0,0,0,0,0,1345,680,215,440,4,245,140,80,25,0,1186,1171,1080,1071,543,475,189,307,320,220,142,28,214,160,228,15,28,139,119,39,57,4,28,28,28,28,28,276,241,125,69,30,152,159,63,61,13,1051,950,715,452,526,128,486,355,302,246,32,92,92,28,28,28,89,85,28,26,28,28,28,28,28,28,360,361,137,212,3,214,163,86,42,28
2014thru2018,050,05000US01005,"Barbour County, Alabama",01,005,9185,5640,3555,3155,205,185,15,1915,1355,285,230,40,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,100,90,0,0,10,50,40,0,0,10,3545,1095,660,175,175,85,2210,1190,325,540,155,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,135,80,10,20,25,90,20,50,20,0,281,284,216,229,59,73,21,208,181,103,85,30,29,29,22,22,22,22,22,22,22,22,22,22,22,22,22,52,47,22,22,16,37,34,22,22,14,324,188,136,70,63,71,221,207,107,106,83,36,36,22,22,22,22,22,22,22,22,22,22,22,22,22,67,43,20,27,35,60,29,49,27,22
2014thru2018,050,05000US01007,"Bibb County, Alabama",01,007,6840,5135,4385,3750,300,285,45,645,430,215,4,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,0,0,0,35,35,0,0,0,1705,1120,790,125,175,30,510,285,25,170,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,60,10,0,0,4,4,0,0,0,320,333,310,284,121,158,44,173,169,160,5,22,33,33,22,22,22,22,22,22,22,22,22,22,22,22,22,58,58,22,22,22,39,39,22,22,22,289,234,197,66,109,34,172,156,37,137,46,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,53,50,15,22,22,10,10,22,22,22
2014thru2018,050,05000US01009,"Blount County, Alabama",01,009,20600,16195,15130,12810,1070,960,290,40,35,4,4,0,35,35,0,0,0,25,15,10,0,0,0,0,0,0,0,805,595,135,4,70,165,135,20,10,0,4405,3905,2540,640,525,200,110,110,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,345,135,110,85,15,35,35,4,0,0,396,495,483,463,207,215,123,37,31,6,3,28,27,27,28,28,28,26,26,14,28,28,28,28,28,28,28,136,155,90,17,46,66,66,27,18,28,411,391,316,183,141,101,86,86,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,124,71,95,64,20,35,37,3,28,28
2014thru2018,050,05000US01011,"Bullock County, Alabama",01,011,3610,2725,790,670,105,0,15,1875,1180,220,275,195,0,0,0,0,0,45,45,0,0,0,0,0,0,0,0,20,15,0,0,4,0,0,0,0,0,885,45,35,0,10,0,810,295,155,280,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0,196,213,97,106,85,19,32,226,211,130,97,175,19,19,19,19,19,52,52,19,19,19,19,19,19,19,19,25,27,19,19,3,19,19,19,19,19,193,36,32,19,17,19,192,140,95,126,77,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,40,40,19,19,19,19,19,19,19,19
2014thru2018,050,05000US01013,"Butler County, Alabama",01,013,6710,4690,3000,2625,165,175,30,1615,1050,360,190,10,4,4,0,0,0,4,4,0,0,0,0,0,0,0,0,25,0,0,15,10,50,50,0,0,0,2015,790,545,130,90,30,1130,610,235,170,115,40,30,0,10,0,0,0,0,0,0,0,0,0,0,0,20,0,10,15,0,35,10,4,20,0,272,232,150,155,60,72,23,159,141,102,74,19,2,2,22,22,22,1,1,22,22,22,22,22,22,22,22,22,22,22,19,13,20,20,22,22,22,235,131,109,60,43,23,160,125,87,59,69,17,26,22,14,22,22,22,22,22,22,22,22,22,22,22,26,22,15,23,22,35,15,15,29,22
2014thru2018,050,05000US01015,"Calhoun County, Alabama",01,015,45035,31285,25260,21205,2495,1345,220,4605,3405,600,550,50,350,275,45,0,30,110,80,4,20,10,10,0,0,0,10,555,440,75,20,25,395,250,65,70,4,13745,8065,5050,1570,1240,210,4875,2315,1080,1395,85,60,45,0,15,0,20,4,0,15,0,0,0,0,0,0,420,295,50,70,0,310,125,80,100,10,681,654,630,687,338,195,88,286,264,165,179,39,108,125,52,28,39,54,53,28,24,16,13,28,28,28,13,109,115,55,25,28,107,76,58,76,9,711,594,520,300,232,108,404,318,201,298,66,44,35,28,26,28,21,13,28,18,28,28,28,28,28,28,104,97,47,58,28,119,70,58,67,18
2014thru2018,050,05000US01017,"Chambers County, Alabama",01,017,13515,9160,5880,4920,505,355,95,3060,2185,410,420,45,4,4,0,0,0,25,25,0,0,0,0,0,0,0,0,160,70,50,40,0,25,25,0,0,0,4355,1765,1280,245,200,40,2205,1155,545,410,90,140,125,0,10,0,30,15,0,15,0,0,0,0,0,0,195,105,55,35,0,25,10,15,0,0,372,398,260,243,128,103,64,277,226,131,118,40,9,9,25,25,25,32,32,25,25,25,25,25,25,25,25,91,72,57,61,25,30,30,25,25,25,436,260,254,82,73,32,295,255,169,141,69,68,70,25,19,25,30,24,25,23,25,25,25,25,25,25,143,102,76,58,25,27,17,24,25,25
2014thru2018,050,05000US01019,"Cherokee County, Alabama",01,019,10605,8375,7830,6410,690,630,95,385,355,30,0,0,0,0,0,0,0,35,30,0,0,4,0,0,0,0,0,95,85,0,15,0,30,30,0,0,0,2230,2070,1240,420,340,70,90,85,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,4,15,0,50,0,0,0,0,0,370,411,381,373,143,162,62,100,102,28,22,22,22,22,22,22,22,32,33,22,22,4,22,22,22,22,22,65,63,22,24,22,38,38,22,22,22,323,290,270,134,119,57,72,72,22,22,15,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,58,9,29,22,50,22,22,22,22,22
