source,sumlevel,geoid,name,st,cnty,T14A_est1,T14A_est2,T14A_est3,T14A_est4,T14A_est5,T14A_est6,T14A_est7,T14A_est8,T14A_est9,T14A_est10,T14A_est11,T14A_est12,T14A_est13,T14A_est14,T14A_est15,T14A_est16,T14A_est17,T14A_est18,T14A_est19,T14A_moe1,T14A_moe2,T14A_moe3,T14A_moe4,T14A_moe5,T14A_moe6,T14A_moe7,T14A_moe8,T14A_moe9,T14A_moe10,T14A_moe11,T14A_moe12,T14A_moe13,T14A_moe14,T14A_moe15,T14A_moe16,T14A_moe17,T14A_moe18,T14A_moe19
2008thru2012,050,05000US01001,"Autauga County, Alabama",01,001,210,45,160,0,0,0,0,30,0,0,30,70,0,0,70,60,0,0,60,123,51,116,28,28,28,28,50,28,28,50,78,28,28,78,66,28,28,66
2008thru2012,050,05000US01003,"Baldwin County, Alabama",01,003,2515,760,1760,230,30,30,175,490,0,40,450,165,0,70,95,875,15,120,740,453,238,415,120,32,45,107,270,28,66,264,102,28,80,63,291,24,94,273
2008thru2012,050,05000US01005,"Barbour County, Alabama",01,005,135,30,100,25,0,25,0,15,0,0,15,15,0,0,15,45,0,0,45,75,24,72,42,22,42,22,22,22,22,22,27,22,22,27,47,22,22,47
2008thru2012,050,05000US01007,"Bibb County, Alabama",01,007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
2008thru2012,050,05000US01009,"Blount County, Alabama",01,009,250,105,150,30,0,0,30,50,0,50,0,0,0,0,0,70,0,30,40,166,117,117,29,28,28,29,78,28,78,28,28,28,28,28,79,28,44,67
2008thru2012,050,05000US01011,"Bullock County, Alabama",01,011,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,95,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
2008thru2012,050,05000US01013,"Butler County, Alabama",01,013,100,40,60,4,0,0,4,0,0,0,0,55,0,0,55,0,0,0,0,62,36,54,9,22,22,9,22,22,22,22,52,22,22,52,22,22,22,22
2008thru2012,050,05000US01015,"Calhoun County, Alabama",01,015,725,405,320,140,0,15,130,65,0,25,40,80,0,0,80,35,0,35,0,247,186,177,109,28,23,102,61,28,37,53,78,28,28,78,44,28,44,28
2008thru2012,050,05000US01017,"Chambers County, Alabama",01,017,450,285,165,90,0,35,50,10,0,0,10,0,0,0,0,65,0,0,65,168,130,97,77,25,44,64,17,25,25,17,25,25,25,25,66,25,25,66
2008thru2012,050,05000US01019,"Cherokee County, Alabama",01,019,225,60,165,45,0,4,40,0,0,0,0,45,0,0,45,75,0,4,75,96,54,110,53,22,22,53,22,22,22,22,57,22,22,57,72,22,22,72
2008thru2012,050,05000US01021,"Chilton County, Alabama",01,021,370,40,330,225,0,35,190,10,0,10,0,0,0,0,0,95,0,15,80,150,37,146,132,25,38,131,15,25,15,25,25,25,25,25,65,25,28,59
2008thru2012,050,05000US01023,"Choctaw County, Alabama",01,023,45,0,45,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,45,59,19,59,19,19,19,19,19,19,19,19,19,19,19,19,59,19,19,59
2008thru2012,050,05000US01025,"Clarke County, Alabama",01,025,180,45,135,25,0,10,15,50,0,0,50,0,0,0,0,60,0,0,60,109,64,91,28,22,20,23,55,22,22,55,22,22,22,22,70,22,22,70
2008thru2012,050,05000US01027,"Clay County, Alabama",01,027,10,0,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,19,16,16,16,19,19,19,19,19,19,19,19,19,19,19,19,19,19
2008thru2012,050,05000US01029,"Cleburne County, Alabama",01,029,115,35,80,35,0,0,35,15,0,0,15,30,0,0,30,0,0,0,0,78,40,71,48,19,19,48,25,19,19,25,49,19,19,49,19,19,19,19
2008thru2012,050,05000US01031,"Coffee County, Alabama",01,031,290,70,220,80,0,45,30,20,0,0,20,85,0,0,85,40,0,0,40,128,73,108,55,28,49,33,32,28,28,32,83,28,28,83,61,28,28,61
2008thru2012,050,05000US01033,"Colbert County, Alabama",01,033,435,120,315,180,0,55,120,50,0,10,40,50,0,0,50,35,0,10,30,159,100,113,99,28,52,86,54,28,13,51,60,28,28,60,36,28,13,34
2008thru2012,050,05000US01035,"Conecuh County, Alabama",01,035,50,15,40,40,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,48,21,44,44,19,34,34,19,19,19,19,19,19,19,19,19,19,19,19
2008thru2012,050,05000US01037,"Coosa County, Alabama",01,037,75,30,45,0,0,0,0,45,0,15,30,0,0,0,0,0,0,0,0,70,42,43,19,19,19,19,43,19,24,37,19,19,19,19,19,19,19,19
2008thru2012,050,05000US01039,"Covington County, Alabama",01,039,150,65,85,30,0,15,15,40,0,0,40,4,0,0,4,10,0,0,10,85,60,56,34,25,27,24,56,25,25,56,7,25,25,7,13,25,25,13
2008thru2012,050,05000US01041,"Crenshaw County, Alabama",01,041,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
2008thru2012,050,05000US01043,"Cullman County, Alabama",01,043,565,230,340,120,0,15,105,10,0,0,10,50,0,0,50,155,0,0,155,204,131,162,80,28,26,78,18,28,28,18,56,28,28,56,115,28,28,115
2008thru2012,050,05000US01045,"Dale County, Alabama",01,045,300,25,275,100,20,25,55,95,0,10,90,0,0,0,0,75,4,45,25,109,24,109,62,36,28,40,71,28,15,71,28,28,28,28,64,10,51,37
2008thru2012,050,05000US01047,"Dallas County, Alabama",01,047,170,115,55,25,0,0,25,0,0,0,0,35,0,0,35,0,0,0,0,102,86,55,24,25,25,24,25,25,25,25,55,25,25,55,25,25,25,25
2008thru2012,050,05000US01049,"DeKalb County, Alabama",01,049,360,115,245,135,0,55,80,75,0,10,65,25,0,0,25,4,0,0,4,156,88,102,98,28,60,74,37,28,18,34,28,28,28,28,16,28,28,16
