source,sumlevel,geoid,name,st,cnty,T17A_est1,T17A_est2,T17A_est3,T17A_est4,T17A_est5,T17A_est6,T17A_est7,T17A_est8,T17A_est9,T17A_est10,T17A_est11,T17A_est12,T17A_est13,T17A_est14,T17A_est15,T17A_est16,T17A_est17,T17A_est18,T17A_est19,T17A_est20,T17A_est21,T17A_moe1,T17A_moe2,T17A_moe3,T17A_moe4,T17A_moe5,T17A_moe6,T17A_moe7,T17A_moe8,T17A_moe9,T17A_moe10,T17A_moe11,T17A_moe12,T17A_moe13,T17A_moe14,T17A_moe15,T17A_moe16,T17A_moe17,T17A_moe18,T17A_moe19,T17A_moe20,T17A_moe21
2009thru2013,050,05000US01001,"Autauga County, Alabama",01,001,110,110,10,40,35,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,97,14,45,48,36,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
2009thru2013,050,05000US01003,"Baldwin County, Alabama",01,003,2300,1735,205,365,425,745,110,0,45,45,25,265,0,0,55,210,185,185,0,0,0,489,450,109,242,222,285,102,27,72,68,29,127,27,27,64,119,124,124,27,27,27
2009thru2013,050,05000US01005,"Barbour County, Alabama",01,005,170,135,15,10,15,100,0,0,0,0,0,0,0,0,0,0,35,35,0,0,0,100,74,16,14,24,69,21,21,21,21,21,21,21,21,21,21,54,54,21,21,21
2009thru2013,050,05000US01007,"Bibb County, Alabama",01,007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
2009thru2013,050,05000US01009,"Blount County, Alabama",01,009,220,210,30,140,0,40,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,139,140,37,116,27,51,27,27,27,27,27,27,27,27,27,27,24,24,27,27,27
2009thru2013,050,05000US01011,"Bullock County, Alabama",01,011,55,55,10,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,72,15,18,18,68,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
2009thru2013,050,05000US01013,"Butler County, Alabama",01,013,60,55,4,0,55,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,48,49,3,21,50,21,21,21,21,21,21,21,21,21,21,21,4,4,21,21,21
2009thru2013,050,05000US01015,"Calhoun County, Alabama",01,015,1000,805,325,140,225,115,20,20,0,0,0,15,0,15,0,0,165,165,0,0,0,244,242,152,104,135,100,39,39,27,27,27,22,27,22,27,27,115,115,27,27,27
2009thru2013,050,05000US01017,"Chambers County, Alabama",01,017,485,390,240,55,0,90,50,50,0,0,0,0,0,0,0,0,45,25,0,0,20,154,146,114,41,24,92,57,57,24,24,24,24,24,24,24,24,50,42,24,24,31
2009thru2013,050,05000US01019,"Cherokee County, Alabama",01,019,240,160,70,0,4,85,0,0,0,0,0,4,4,0,0,4,75,75,0,0,0,133,111,90,21,9,69,21,21,21,21,21,16,21,21,21,21,75,75,21,21,21
