source,sumlevel,geoid,name,st,cnty,T18B_est1,T18B_est2,T18B_est3,T18B_est4,T18B_est5,T18B_est6,T18B_est7,T18B_est8,T18B_est9,T18B_est10,T18B_est11,T18B_est12,T18B_est13,T18B_est14,T18B_est15,T18B_est16,T18B_est17,T18B_est18,T18B_est19,T18B_est20,T18B_est21,T18B_est22,T18B_est23,T18B_est24,T18B_est25,T18B_est26,T18B_est27,T18B_est28,T18B_est29,T18B_est30,T18B_est31,T18B_est32,T18B_est33,T18B_est34,T18B_est35,T18B_est36,T18B_est37,T18B_est38,T18B_est39,T18B_est40,T18B_est41,T18B_est42,T18B_est43,T18B_est44,T18B_est45,T18B_est46,T18B_est47,T18B_est48,T18B_est49,T18B_est50,T18B_est51,T18B_est52,T18B_est53,T18B_est54,T18B_est55,T18B_est56,T18B_est57,T18B_est58,T18B_est59,T18B_est60,T18B_est61,T18B_est62,T18B_est63,T18B_est64,T18B_est65,T18B_est66,T18B_est67,T18B_est68,T18B_est69,T18B_est70,T18B_est71,T18B_est72,T18B_est73,T18B_est74,T18B_est75,T18B_est76,T18B_est77,T18B_est78,T18B_est79,T18B_est80,T18B_est81,T18B_est82,T18B_est83,T18B_est84,T18B_est85,T18B_est86,T18B_est87,T18B_est88,T18B_est89,T18B_est90,T18B_est91,T18B_est92,T18B_est93,T18B_est94,T18B_est95,T18B_est96,T18B_est97,T18B_est98,T18B_est99,T18B_est100,T18B_est101,T18B_moe1,T18B_moe2,T18B_moe3,T18B_moe4,T18B_moe5,T18B_moe6,T18B_moe7,T18B_moe8,T18B_moe9,T18B_moe10,T18B_moe11,T18B_moe12,T18B_moe13,T18B_moe14,T18B_moe15,T18B_moe16,T18B_moe17,T18B_moe18,T18B_moe19,T18B_moe20,T18B_moe21,T18B_moe22,T18B_moe23,T18B_moe24,T18B_moe25,T18B_moe26,T18B_moe27,T18B_moe28,T18B_moe29,T18B_moe30,T18B_moe31,T18B_moe32,T18B_moe33,T18B_moe34,T18B_moe35,T18B_moe36,T18B_moe37,T18B_moe38,T18B_moe39,T18B_moe40,T18B_moe41,T18B_moe42,T18B_moe43,T18B_moe44,T18B_moe45,T18B_moe46,T18B_moe47,T18B_moe48,T18B_moe49,T18B_moe50,T18B_moe51,T18B_moe52,T18B_moe53,T18B_moe54,T18B_moe55,T18B_moe56,T18B_moe57,T18B_moe58,T18B_moe59,T18B_moe60,T18B_moe61,T18B_moe62,T18B_moe63,T18B_moe64,T18B_moe65,T18B_moe66,T18B_moe67,T18B_moe68,T18B_moe69,T18B_moe70,T18B_moe71,T18B_moe72,T18B_moe73,T18B_moe74,T18B_moe75,T18B_moe76,T18B_moe77,T18B_moe78,T18B_moe79,T18B_moe80,T18B_moe81,T18B_moe82,T18B_moe83,T18B_moe84,T18B_moe85,T18B_moe86,T18B_moe87,T18B_moe88,T18B_moe89,T18B_moe90,T18B_moe91,T18B_moe92,T18B_moe93,T18B_moe94,T18B_moe95,T18B_moe96,T18B_moe97,T18B_moe98,T18B_moe99,T18B_moe100,T18B_moe101
2009thru2013,050,05000US01001,"Autauga County, Alabama",01,001,5645,4130,1410,120,240,435,115,505,1235,40,80,210,185,715,400,20,45,50,65,215,1090,55,35,80,65,855,10,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1480,1340,275,195,305,160,405,95,15,0,0,0,80,4,0,0,0,4,0,40,20,15,0,0,4,471,400,291,59,105,189,68,156,214,39,45,92,85,173,137,29,40,45,58,99,218,41,33,59,51,175,18,18,27,27,18,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,30,30,30,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,263,252,110,95,145,76,150,70,27,27,27,27,62,10,27,27,27,10,27,41,28,28,27,27,27
2009thru2013,050,05000US01003,"Baldwin County, Alabama",01,003,21180,16715,3230,505,560,640,330,1195,4640,390,765,980,410,2100,1890,120,115,305,300,1050,6950,330,510,1010,780,4320,140,30,0,0,30,0,0,65,0,10,0,0,55,0,0,0,0,0,0,45,0,0,0,0,45,380,55,20,15,25,0,0,60,0,0,50,0,10,60,0,0,35,0,25,200,0,20,10,20,150,3950,3360,595,625,685,445,1010,485,15,65,40,110,255,35,10,0,0,0,25,70,4,0,15,10,40,796,703,354,144,209,176,123,218,465,138,210,221,144,360,287,83,62,114,120,219,551,136,172,261,170,456,91,34,27,27,34,27,27,72,27,13,27,27,70,27,27,27,27,27,27,44,27,27,27,27,44,147,49,35,24,30,27,27,82,27,27,81,27,18,66,27,27,59,27,29,104,27,23,21,38,92,461,449,185,226,187,153,251,177,25,65,47,109,125,34,19,27,27,27,31,40,14,27,24,14,38
2009thru2013,050,05000US01005,"Barbour County, Alabama",01,005,3220,2190,880,160,215,185,90,230,525,15,75,95,20,320,165,10,35,15,10,95,615,4,30,125,85,375,10,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1025,805,105,95,120,170,315,110,4,20,50,0,30,0,0,0,0,0,0,115,15,45,4,20,25,256,187,130,67,56,64,46,76,126,20,52,36,20,107,61,21,32,17,16,37,106,10,23,55,48,87,15,21,21,21,21,21,21,11,21,21,21,21,11,21,21,21,21,21,21,3,21,21,21,21,3,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,161,159,57,44,47,94,128,60,2,24,43,21,31,21,21,21,21,21,21,55,19,41,10,17,30
2009thru2013,050,05000US01007,"Bibb County, Alabama",01,007,2875,1720,860,130,195,240,125,165,470,55,55,150,55,155,170,35,20,50,15,50,225,35,40,15,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1155,1105,150,270,310,150,220,55,10,10,35,0,4,0,0,0,0,0,0,0,0,0,0,0,0,283,234,179,72,103,92,91,80,126,47,38,74,47,83,83,47,24,44,23,51,95,38,35,28,21,78,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,230,220,67,109,120,92,121,49,15,15,47,21,2,21,21,21,21,21,21,21,21,21,21,21,21
2009thru2013,050,05000US01009,"Blount County, Alabama",01,009,7390,5405,2275,405,500,555,260,560,1505,195,280,270,225,540,615,45,75,165,55,285,1010,50,105,125,90,635,4,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1980,1875,350,365,445,410,310,45,0,4,0,20,20,25,0,25,0,0,4,35,4,20,10,0,0,492,437,262,119,129,140,98,146,285,103,124,93,91,160,159,36,60,100,43,110,221,36,60,63,60,182,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,304,308,131,136,169,187,106,43,27,17,27,32,33,37,27,36,27,27,1,36,11,31,15,27,27
2009thru2013,050,05000US01011,"Bullock County, Alabama",01,011,1700,1005,505,115,4,170,55,165,295,30,25,70,10,160,20,0,0,15,0,10,180,20,0,0,25,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,695,555,70,75,185,55,165,140,15,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,202,170,139,65,4,100,43,85,109,37,39,62,13,87,24,18,18,22,18,17,74,24,18,18,30,70,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,178,149,54,60,93,52,88,114,24,18,18,18,115,18,18,18,18,18,18,18,18,18,18,18,18
2009thru2013,050,05000US01013,"Butler County, Alabama",01,013,3345,2360,1090,190,260,195,80,365,650,25,60,200,110,255,170,25,4,30,20,85,450,30,45,30,20,325,4,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,975,865,130,180,170,90,295,60,0,0,15,0,45,25,0,0,25,0,0,25,15,10,0,0,0,226,194,153,75,74,65,40,104,126,22,49,88,49,80,60,27,17,25,22,40,98,24,32,24,19,89,3,21,21,21,21,21,21,3,21,21,21,21,3,21,21,21,21,21,21,21,21,21,21,21,21,1,1,21,1,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,168,162,56,80,63,59,106,49,21,21,21,21,42,30,21,21,30,21,21,21,19,13,21,21,21
2009thru2013,050,05000US01015,"Calhoun County, Alabama",01,015,14085,11035,4195,530,750,965,325,1625,3160,350,215,505,220,1870,1425,60,145,155,135,930,2260,120,165,210,185,1575,85,15,15,0,0,0,0,4,4,0,0,0,0,15,4,0,4,0,10,45,45,0,0,0,0,10,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2950,2680,545,380,520,435,800,165,10,10,20,35,95,15,0,15,0,0,0,90,10,20,35,0,25,594,528,353,136,202,162,100,208,378,131,84,156,86,266,234,50,81,65,76,199,252,81,89,74,82,210,65,28,28,27,27,27,27,10,10,27,27,27,27,18,6,27,27,27,13,56,56,27,27,27,27,22,22,27,27,27,27,22,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,376,372,204,115,144,158,188,82,13,13,21,39,64,25,27,25,27,27,27,57,17,34,39,27,33
2009thru2013,050,05000US01017,"Chambers County, Alabama",01,017,4590,3590,1465,175,285,310,215,480,1105,110,240,155,110,485,295,30,45,75,15,130,720,30,30,95,75,490,15,15,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,990,890,105,195,140,205,245,65,0,4,0,30,25,10,0,0,0,0,10,25,0,0,0,0,25,329,304,187,78,78,132,95,110,183,75,100,63,54,129,93,30,40,42,20,61,146,27,34,59,37,111,22,22,24,24,24,24,22,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,181,179,62,79,68,115,83,38,24,17,24,32,26,15,24,24,24,24,15,27,24,24,24,24,27
2009thru2013,050,05000US01019,"Cherokee County, Alabama",01,019,4540,3045,940,70,85,265,90,435,895,75,190,195,105,335,305,40,40,80,10,135,900,45,50,115,145,545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,1335,250,430,260,145,250,65,15,10,4,4,35,15,0,0,15,0,0,85,30,20,0,10,25,348,274,188,67,49,101,67,108,190,65,124,104,62,110,106,43,68,56,18,63,146,38,40,52,65,130,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,255,249,96,188,111,97,93,48,27,13,3,21,38,23,21,21,23,21,21,59,34,38,21,18,25
