source,sumlevel,geoid,name,st,cnty,T9_est1,T9_est2,T9_est3,T9_est4,T9_est5,T9_est6,T9_est7,T9_est8,T9_est9,T9_est10,T9_est11,T9_est12,T9_est13,T9_est14,T9_est15,T9_est16,T9_est17,T9_est18,T9_est19,T9_est20,T9_est21,T9_est22,T9_est23,T9_est24,T9_est25,T9_est26,T9_est27,T9_est28,T9_est29,T9_est30,T9_est31,T9_est32,T9_est33,T9_est34,T9_est35,T9_est36,T9_est37,T9_est38,T9_est39,T9_est40,T9_est41,T9_est42,T9_est43,T9_est44,T9_est45,T9_est46,T9_est47,T9_est48,T9_est49,T9_est50,T9_est51,T9_est52,T9_est53,T9_est54,T9_est55,T9_est56,T9_est57,T9_est58,T9_est59,T9_est60,T9_est61,T9_est62,T9_est63,T9_est64,T9_est65,T9_est66,T9_est67,T9_est68,T9_est69,T9_est70,T9_est71,T9_est72,T9_est73,T9_moe1,T9_moe2,T9_moe3,T9_moe4,T9_moe5,T9_moe6,T9_moe7,T9_moe8,T9_moe9,T9_moe10,T9_moe11,T9_moe12,T9_moe13,T9_moe14,T9_moe15,T9_moe16,T9_moe17,T9_moe18,T9_moe19,T9_moe20,T9_moe21,T9_moe22,T9_moe23,T9_moe24,T9_moe25,T9_moe26,T9_moe27,T9_moe28,T9_moe29,T9_moe30,T9_moe31,T9_moe32,T9_moe33,T9_moe34,T9_moe35,T9_moe36,T9_moe37,T9_moe38,T9_moe39,T9_moe40,T9_moe41,T9_moe42,T9_moe43,T9_moe44,T9_moe45,T9_moe46,T9_moe47,T9_moe48,T9_moe49,T9_moe50,T9_moe51,T9_moe52,T9_moe53,T9_moe54,T9_moe55,T9_moe56,T9_moe57,T9_moe58,T9_moe59,T9_moe60,T9_moe61,T9_moe62,T9_moe63,T9_moe64,T9_moe65,T9_moe66,T9_moe67,T9_moe68,T9_moe69,T9_moe70,T9_moe71,T9_moe72,T9_moe73
2010thru2014,050,05000US01001,"Autauga County, Alabama",01,001,20305,15250,12645,10325,1280,1000,45,2085,1270,445,360,4,65,55,10,0,0,90,20,30,45,0,0,0,0,0,0,215,160,15,40,0,140,130,10,0,0,5055,3535,1995,785,715,35,1275,555,285,395,40,20,20,0,0,0,25,25,0,0,0,0,0,0,0,0,115,95,0,15,0,85,10,25,50,0,458,577,524,496,264,234,52,239,188,168,139,13,28,23,24,27,27,55,23,52,67,27,27,27,27,27,27,75,58,27,47,27,66,63,15,27,27,564,475,354,296,228,45,247,144,147,167,56,36,36,27,27,27,39,39,27,27,27,27,27,27,27,27,75,65,27,28,27,85,20,27,76,27
2010thru2014,050,05000US01003,"Baldwin County, Alabama",01,003,73060,52205,47350,36115,5875,4785,575,3080,2005,660,395,20,225,135,65,25,0,325,305,15,4,0,0,0,0,0,0,765,635,80,50,0,455,255,55,85,65,20855,16575,9435,3945,2910,280,2555,1115,790,540,110,110,30,50,30,0,35,15,10,10,0,0,0,0,0,0,1020,585,225,210,0,565,170,225,145,25,1239,952,936,895,488,556,184,262,341,187,163,25,98,88,60,35,27,157,158,20,5,27,27,27,27,27,27,228,195,70,43,27,159,131,40,65,63,1079,1019,795,605,425,146,374,294,234,243,96,65,29,56,31,27,32,22,17,13,27,27,27,27,27,27,223,178,137,130,27,255,119,185,129,36
2010thru2014,050,05000US01005,"Barbour County, Alabama",01,005,9145,6180,3845,3160,415,260,10,2125,1455,365,240,60,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,115,60,35,20,0,70,70,0,0,0,2965,965,565,160,205,30,1685,980,220,410,75,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,215,60,75,4,70,80,45,4,30,0,311,270,186,194,107,98,14,169,170,90,65,50,21,21,21,21,21,37,37,21,21,21,21,21,21,21,21,71,51,44,42,21,51,51,21,21,21,290,141,116,57,86,29,215,190,92,108,60,20,20,21,21,21,21,21,21,21,21,21,21,21,21,21,114,42,81,17,102,44,39,10,38,21
2010thru2014,050,05000US01007,"Bibb County, Alabama",01,007,7080,5450,4590,3505,585,450,50,710,420,115,175,0,0,0,0,0,0,30,20,10,0,0,0,0,0,0,0,70,70,0,0,0,45,45,0,0,0,1630,1150,835,145,120,50,460,265,80,110,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,15,10,4,0,0,0,0,0,0,0,389,362,337,300,160,151,42,145,136,94,131,21,21,21,21,21,21,38,32,26,21,21,21,21,21,21,21,57,57,21,21,21,38,38,21,21,21,297,248,222,101,64,49,164,124,70,88,21,21,21,21,21,21,6,6,21,21,21,21,21,21,21,21,15,13,10,21,21,21,21,21,21,21
2010thru2014,050,05000US01009,"Blount County, Alabama",01,009,20935,16415,15540,12055,2060,1115,310,60,25,35,0,0,25,10,20,0,0,60,60,0,0,0,0,0,0,0,0,625,430,85,50,55,110,80,30,0,0,4520,3780,2575,550,560,95,170,120,10,45,0,4,4,0,0,0,20,0,4,15,0,0,0,0,0,0,400,330,65,4,0,140,70,40,30,0,400,518,493,507,287,184,131,49,33,36,27,27,26,14,29,27,27,51,51,27,27,27,27,27,27,27,27,139,141,58,47,45,68,55,42,27,27,440,391,326,165,133,89,84,82,16,46,27,8,8,27,27,27,25,27,16,23,27,27,27,27,27,27,160,151,56,9,27,73,51,54,25,27
2010thru2014,050,05000US01011,"Bullock County, Alabama",01,011,3745,2725,910,705,70,100,35,1680,1295,185,175,20,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,110,110,0,0,0,10,10,0,0,0,1020,195,170,30,0,0,820,460,95,230,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,198,126,138,75,75,41,191,162,91,84,34,18,18,18,18,18,24,24,18,18,18,18,18,18,18,18,117,117,18,18,18,14,14,18,18,18,219,123,121,47,18,18,194,152,63,108,52,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
2010thru2014,050,05000US01013,"Butler County, Alabama",01,013,8255,5770,3640,2955,340,290,60,2005,1375,305,275,55,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,80,80,0,0,0,30,15,4,10,0,2485,915,570,145,170,30,1430,580,505,265,85,70,60,10,0,0,10,10,0,0,0,0,0,0,0,0,20,0,0,20,0,35,15,0,20,0,252,238,183,180,98,94,38,153,165,81,84,33,21,21,21,21,21,16,21,21,16,21,21,21,21,21,21,39,39,21,21,21,24,19,12,13,21,179,129,113,73,65,24,164,135,132,87,58,60,60,19,21,21,15,15,21,21,21,21,21,21,21,21,38,21,21,38,21,27,16,21,22,21
2010thru2014,050,05000US01015,"Calhoun County, Alabama",01,015,45350,31075,25780,20905,2815,1895,165,4285,2800,755,670,60,80,50,15,15,0,125,95,4,30,0,4,0,0,0,4,495,410,60,10,20,300,225,35,40,0,14270,8395,4895,1585,1750,170,4930,2390,810,1560,165,140,105,0,15,20,35,4,0,30,0,0,0,0,0,0,610,345,70,200,0,160,90,20,45,0,704,655,593,648,408,258,80,310,239,190,170,43,54,41,31,27,27,63,57,4,30,27,16,27,27,27,16,136,118,74,14,25,91,90,36,33,27,632,531,513,288,310,96,339,289,196,245,89,90,86,27,25,35,43,2,27,44,27,27,27,27,27,27,169,98,73,115,27,79,56,25,60,27
2010thru2014,050,05000US01017,"Chambers County, Alabama",01,017,13900,9330,6490,5015,895,495,85,2690,1660,515,480,35,15,15,0,0,0,45,25,0,20,0,0,0,0,0,0,20,20,0,0,0,75,60,15,0,0,4570,1850,1050,340,375,80,2610,1185,690,660,70,70,60,10,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,30,20,0,10,0,394,382,298,294,205,141,61,262,200,153,148,31,17,17,24,24,24,40,35,24,32,24,24,24,24,24,24,24,24,24,24,24,41,43,24,24,24,400,221,198,106,124,56,333,234,174,174,49,26,35,18,24,24,24,24,24,24,24,24,24,24,24,24,19,19,24,24,24,30,28,24,15,24
2010thru2014,050,05000US01019,"Cherokee County, Alabama",01,019,11725,9070,8435,6315,1150,895,75,400,190,85,130,0,25,10,15,0,0,55,50,0,4,0,4,0,4,0,0,100,20,35,45,0,50,30,25,0,0,2655,2300,1440,505,335,20,165,85,35,35,10,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,160,55,10,95,0,15,10,4,0,0,451,382,375,411,248,196,45,69,84,73,83,21,18,15,20,21,21,45,48,21,12,21,21,21,21,21,21,78,37,53,47,21,36,28,31,21,21,348,316,258,160,108,22,75,53,40,34,23,21,21,21,21,21,31,31,21,21,21,21,21,21,21,21,114,80,14,126,21,20,17,8,21,21
