source,sumlevel,geoid,name,st,cnty,T8_est1,T8_est2,T8_est3,T8_est4,T8_est5,T8_est6,T8_est7,T8_est8,T8_est9,T8_est10,T8_est11,T8_est12,T8_est13,T8_est14,T8_est15,T8_est16,T8_est17,T8_est18,T8_est19,T8_est20,T8_est21,T8_est22,T8_est23,T8_est24,T8_est25,T8_est26,T8_est27,T8_est28,T8_est29,T8_est30,T8_est31,T8_est32,T8_est33,T8_est34,T8_est35,T8_est36,T8_est37,T8_est38,T8_est39,T8_est40,T8_est41,T8_est42,T8_est43,T8_est44,T8_est45,T8_est46,T8_est47,T8_est48,T8_est49,T8_est50,T8_est51,T8_est52,T8_est53,T8_est54,T8_est55,T8_est56,T8_est57,T8_est58,T8_est59,T8_est60,T8_est61,T8_est62,T8_est63,T8_est64,T8_est65,T8_est66,T8_est67,T8_est68,T8_est69,T8_est70,T8_est71,T8_est72,T8_est73,T8_est74,T8_est75,T8_est76,T8_est77,T8_est78,T8_est79,T8_est80,T8_est81,T8_est82,T8_est83,T8_est84,T8_est85,T8_est86,T8_est87,T8_est88,T8_est89,T8_est90,T8_est91,T8_est92,T8_est93,T8_est94,T8_est95,T8_est96,T8_est97,T8_est98,T8_est99,T8_est100,T8_est101,T8_est102,T8_est103,T8_est104,T8_est105,T8_est106,T8_est107,T8_est108,T8_est109,T8_est110,T8_est111,T8_est112,T8_est113,T8_est114,T8_est115,T8_est116,T8_est117,T8_est118,T8_est119,T8_est120,T8_est121,T8_est122,T8_est123,T8_est124,T8_est125,T8_est126,T8_est127,T8_est128,T8_est129,T8_est130,T8_est131,T8_est132,T8_est133,T8_moe1,T8_moe2,T8_moe3,T8_moe4,T8_moe5,T8_moe6,T8_moe7,T8_moe8,T8_moe9,T8_moe10,T8_moe11,T8_moe12,T8_moe13,T8_moe14,T8_moe15,T8_moe16,T8_moe17,T8_moe18,T8_moe19,T8_moe20,T8_moe21,T8_moe22,T8_moe23,T8_moe24,T8_moe25,T8_moe26,T8_moe27,T8_moe28,T8_moe29,T8_moe30,T8_moe31,T8_moe32,T8_moe33,T8_moe34,T8_moe35,T8_moe36,T8_moe37,T8_moe38,T8_moe39,T8_moe40,T8_moe41,T8_moe42,T8_moe43,T8_moe44,T8_moe45,T8_moe46,T8_moe47,T8_moe48,T8_moe49,T8_moe50,T8_moe51,T8_moe52,T8_moe53,T8_moe54,T8_moe55,T8_moe56,T8_moe57,T8_moe58,T8_moe59,T8_moe60,T8_moe61,T8_moe62,T8_moe63,T8_moe64,T8_moe65,T8_moe66,T8_moe67,T8_moe68,T8_moe69,T8_moe70,T8_moe71,T8_moe72,T8_moe73,T8_moe74,T8_moe75,T8_moe76,T8_moe77,T8_moe78,T8_moe79,T8_moe80,T8_moe81,T8_moe82,T8_moe83,T8_moe84,T8_moe85,T8_moe86,T8_moe87,T8_moe88,T8_moe89,T8_moe90,T8_moe91,T8_moe92,T8_moe93,T8_moe94,T8_moe95,T8_moe96,T8_moe97,T8_moe98,T8_moe99,T8_moe100,T8_moe101,T8_moe102,T8_moe103,T8_moe104,T8_moe105,T8_moe106,T8_moe107,T8_moe108,T8_moe109,T8_moe110,T8_moe111,T8_moe112,T8_moe113,T8_moe114,T8_moe115,T8_moe116,T8_moe117,T8_moe118,T8_moe119,T8_moe120,T8_moe121,T8_moe122,T8_moe123,T8_moe124,T8_moe125,T8_moe126,T8_moe127,T8_moe128,T8_moe129,T8_moe130,T8_moe131,T8_moe132,T8_moe133
2012thru2016,050,05000US01001,"Autauga County, Alabama",01,001,20800,15220,1040,245,0,245,140,4,135,590,0,590,65,0,65,1445,680,25,655,485,0,485,280,0,280,0,0,0,2305,1500,0,1500,530,0,530,275,4,265,0,0,0,1595,1220,0,1220,315,0,315,60,0,60,0,0,0,8835,8505,10,8495,320,0,320,10,0,10,0,0,0,5580,1380,225,35,190,55,0,55,1025,0,1025,75,35,40,860,125,0,125,515,25,490,225,0,225,0,0,0,965,450,15,435,460,0,460,60,0,60,0,0,0,690,425,0,425,240,0,240,25,0,25,0,0,0,1685,1585,25,1560,0,0,0,100,100,0,0,0,0,392,546,219,131,27,131,65,13,63,180,27,180,54,27,54,249,151,44,144,165,27,165,152,27,152,27,27,27,319,243,27,243,186,27,186,149,15,148,27,27,27,280,255,27,255,117,27,117,61,27,61,27,27,27,517,515,18,514,115,27,115,14,27,14,27,27,27,574,316,111,51,96,40,27,40,291,27,291,68,54,43,255,65,27,65,201,32,199,125,27,125,27,27,27,295,190,24,187,232,27,232,68,27,68,27,27,27,279,190,27,190,204,27,204,39,27,39,27,27,27,355,328,39,325,27,27,27,122,122,27,27,27,27
2012thru2016,050,05000US01003,"Baldwin County, Alabama",01,003,75150,53905,4125,985,0,985,640,0,640,1870,4,1865,625,0,625,5255,2730,20,2710,1080,0,1080,1450,0,1450,0,0,0,8225,5690,4,5685,1495,0,1495,1045,0,1045,0,0,0,5515,4300,10,4290,1020,0,1020,195,0,195,0,0,0,30785,28750,55,28695,1735,0,1735,295,15,280,0,0,0,21245,4110,745,0,745,430,0,430,2530,45,2480,405,0,405,3570,905,10,895,1280,0,1280,1385,30,1355,0,0,0,4730,2510,25,2485,1955,10,1945,270,15,255,0,0,0,2760,2195,45,2145,530,25,500,40,15,25,0,0,0,6075,5800,30,5770,255,0,255,20,0,20,0,0,0,1285,1142,511,260,27,260,166,27,166,387,2,387,220,27,220,690,426,24,423,263,27,263,365,27,365,27,27,27,721,570,10,571,297,27,297,255,27,255,27,27,27,464,414,13,414,240,27,240,115,27,115,27,27,27,966,954,51,956,323,27,323,127,22,127,27,27,27,874,496,219,27,219,152,27,152,389,55,380,168,27,168,550,309,15,311,272,27,272,321,32,319,27,27,27,579,433,38,431,366,13,365,126,23,123,27,27,27,482,469,71,465,219,45,235,43,24,36,27,27,27,718,724,32,721,106,27,106,38,27,38,27,27,27
2012thru2016,050,05000US01005,"Barbour County, Alabama",01,005,9120,5830,430,85,4,85,80,0,80,200,0,200,60,0,60,575,280,4,275,210,0,210,90,0,90,0,0,0,995,770,0,770,155,0,155,70,0,70,0,0,0,615,540,0,540,70,0,70,4,0,4,0,0,0,3220,3170,4,3165,40,0,40,10,0,10,0,0,0,3295,1115,155,0,155,150,0,150,630,4,620,180,15,165,685,335,0,335,175,4,170,175,0,175,0,0,0,585,440,4,435,125,0,125,15,10,4,0,0,0,305,290,4,285,15,0,15,0,0,0,0,0,0,605,605,0,605,0,0,0,0,0,0,0,0,0,288,256,115,41,2,40,47,21,47,75,21,75,51,21,51,110,78,8,77,73,21,73,41,21,41,21,21,21,129,124,21,124,48,21,48,34,21,34,21,21,21,128,121,21,121,40,21,40,12,21,12,21,21,21,215,220,3,220,27,21,27,15,21,15,21,21,21,244,192,61,21,61,85,21,85,151,12,151,90,26,82,155,109,21,109,82,10,81,72,21,72,21,21,21,132,116,10,114,59,21,59,17,13,10,21,21,21,104,106,9,107,14,21,14,21,21,21,21,21,21,127,127,21,127,21,21,21,21,21,21,21,21,21
2012thru2016,050,05000US01007,"Bibb County, Alabama",01,007,7050,5120,530,175,0,175,115,25,90,180,15,165,65,0,65,725,380,4,375,170,0,170,175,0,175,0,0,0,1345,1075,4,1070,210,0,210,60,0,60,0,0,0,655,620,0,620,35,0,35,0,0,0,0,0,0,1865,1850,4,1845,4,0,4,4,0,4,0,0,0,1930,610,145,0,145,125,0,125,260,0,260,80,0,80,340,240,0,240,90,0,90,10,0,10,0,0,0,585,565,0,565,20,0,20,0,0,0,0,0,0,90,90,0,90,0,0,0,0,0,0,0,0,0,305,305,0,305,0,0,0,0,0,0,0,0,0,351,302,147,83,21,83,68,33,67,90,26,86,60,21,60,195,127,1,128,98,21,98,122,21,122,21,21,21,213,194,8,194,108,21,108,61,21,61,21,21,21,165,158,21,158,39,21,39,21,21,21,21,21,21,236,240,7,238,17,21,17,8,21,8,21,21,21,297,168,68,21,68,97,21,97,121,21,121,70,21,70,143,132,21,132,63,21,63,14,21,14,21,21,21,191,187,21,187,24,21,24,21,21,21,21,21,21,78,78,21,78,21,21,21,21,21,21,21,21,21,139,139,21,139,21,21,21,21,21,21,21,21,21
2012thru2016,050,05000US01009,"Blount County, Alabama",01,009,20620,16255,1700,450,15,435,345,0,345,520,0,520,390,50,340,1835,1285,0,1285,365,0,365,185,0,185,0,0,0,3380,2745,0,2745,415,0,415,220,0,220,0,0,0,2055,1830,0,1830,215,0,215,15,0,15,0,0,0,7280,7020,60,6960,220,0,220,45,0,45,0,0,0,4365,1390,470,0,470,270,10,260,480,0,480,170,25,145,900,490,20,470,315,4,310,95,0,95,0,0,0,1090,945,4,940,125,30,100,15,0,15,0,0,0,260,255,0,255,4,0,4,0,0,0,0,0,0,725,710,10,700,15,0,15,0,0,0,0,0,0,403,506,259,168,23,164,111,27,111,159,27,159,140,62,128,270,234,27,234,113,27,113,88,27,88,27,27,27,334,311,27,311,127,27,127,114,27,114,27,27,27,291,274,27,274,89,27,89,23,27,23,27,27,27,452,462,52,458,119,27,119,38,27,38,27,27,27,410,236,168,27,168,121,17,119,129,27,129,84,26,80,193,139,24,131,121,5,120,54,27,54,27,27,27,233,236,12,236,79,42,67,17,27,17,27,27,27,93,95,27,95,7,27,7,27,27,27,27,27,27,171,172,15,170,24,27,24,27,27,27,27,27,27
2012thru2016,050,05000US01011,"Bullock County, Alabama",01,011,3555,2600,375,90,0,90,45,0,45,160,0,160,85,0,85,290,190,0,190,65,25,40,30,0,30,0,0,0,480,320,55,265,80,0,80,75,0,75,0,0,0,265,200,0,200,65,0,65,0,0,0,0,0,0,1195,1110,0,1110,80,30,50,0,0,0,0,0,0,955,365,55,0,55,60,0,60,225,0,225,25,0,25,85,45,0,45,10,0,10,30,0,30,0,0,0,325,270,0,270,45,0,45,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,185,0,185,0,0,0,0,0,0,0,0,0,210,222,159,84,18,84,38,18,38,94,18,94,87,18,87,123,111,18,111,59,49,39,26,18,26,18,18,18,143,114,77,98,49,18,49,70,18,70,18,18,18,126,98,18,98,95,18,95,18,18,18,18,18,18,215,203,18,203,83,54,60,18,18,18,18,18,18,193,119,43,18,43,52,18,52,101,18,101,41,18,41,56,37,18,37,17,18,17,40,18,40,18,18,18,148,146,18,146,42,18,42,13,18,13,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,100,100,18,100,18,18,18,18,18,18,18,18,18
2012thru2016,050,05000US01013,"Butler County, Alabama",01,013,7675,5395,425,65,4,55,60,0,60,215,10,205,90,0,90,835,480,0,480,180,0,180,170,0,170,0,0,0,815,545,0,545,185,0,185,85,0,85,0,0,0,585,430,10,425,115,0,115,40,0,40,0,0,0,2735,2620,0,2620,100,0,100,10,0,10,0,0,0,2280,640,90,4,85,150,0,150,280,0,280,110,0,110,475,220,0,220,185,0,185,70,0,70,0,0,0,330,175,4,170,150,0,150,4,0,4,0,0,0,235,235,0,235,0,0,0,0,0,0,0,0,0,605,570,0,570,35,0,35,0,0,0,0,0,0,252,243,95,40,10,39,38,21,38,67,14,66,41,21,41,161,119,21,119,74,21,74,77,21,77,21,21,21,133,119,21,119,67,21,67,40,21,40,21,21,21,119,115,13,113,62,21,62,33,21,33,21,21,21,197,188,21,188,47,21,47,14,21,14,21,21,21,218,133,40,8,38,70,21,70,89,21,89,57,21,57,112,80,21,80,71,21,71,41,21,41,21,21,21,79,58,4,59,63,21,63,4,21,4,21,21,21,85,85,21,85,21,21,21,21,21,21,21,21,21,120,111,21,111,41,21,41,21,21,21,21,21,21
2012thru2016,050,05000US01015,"Calhoun County, Alabama",01,015,45070,31105,2195,325,4,315,680,4,675,955,10,945,240,10,230,2805,1475,10,1465,735,0,735,595,0,595,0,0,0,4500,3350,35,3315,825,0,825,330,10,320,0,0,0,3380,2845,0,2845,405,0,405,130,0,130,0,0,0,18225,17380,40,17340,775,30,745,70,0,70,0,0,0,13965,3760,605,0,605,325,0,325,2440,15,2425,390,35,355,2295,635,10,625,980,20,965,680,35,645,0,0,0,3125,2125,10,2115,970,25,945,30,10,20,0,0,0,1090,940,0,940,155,0,155,0,0,0,0,0,0,3695,3650,55,3595,25,0,25,25,10,10,0,0,0,581,734,293,103,15,101,164,7,164,189,13,188,84,21,82,332,238,19,237,191,27,191,137,27,137,27,27,27,415,364,40,360,185,27,185,115,16,114,27,27,27,323,314,27,314,132,27,132,74,27,74,27,27,27,755,783,30,785,184,48,172,67,27,67,27,27,27,726,395,153,27,153,108,27,108,343,16,343,135,53,125,347,177,14,176,220,33,221,196,46,189,27,27,27,378,329,17,330,225,22,224,31,15,27,27,27,27,258,227,27,227,88,27,88,27,27,27,27,27,27,517,516,65,507,23,27,23,28,19,17,27,27,27
2012thru2016,050,05000US01017,"Chambers County, Alabama",01,017,13850,9370,700,100,0,100,135,0,135,295,4,290,170,0,170,1180,570,10,555,255,0,255,360,0,360,0,0,0,1500,970,4,965,410,0,410,120,0,120,0,0,0,1085,910,0,910,125,0,125,50,0,50,0,0,0,4900,4670,10,4660,205,0,205,25,0,25,0,0,0,4480,955,165,15,150,80,0,80,555,50,510,155,0,155,690,160,15,145,350,0,350,175,0,175,0,0,0,895,395,10,385,415,0,415,90,0,90,0,0,0,525,425,4,425,100,0,100,0,0,0,0,0,0,1415,1405,0,1405,4,0,4,4,0,4,0,0,0,360,306,151,71,24,71,67,24,67,104,14,106,82,24,82,173,145,20,141,119,24,119,110,24,110,24,24,24,186,153,8,153,117,24,117,59,24,59,24,24,24,187,180,24,180,68,24,68,64,24,64,24,24,24,309,316,19,312,81,24,81,28,24,28,24,24,24,448,189,79,30,83,47,24,47,156,44,151,91,24,91,162,62,24,58,134,24,134,87,24,87,24,24,24,181,137,20,134,111,24,111,84,24,84,24,24,24,175,145,5,144,87,24,87,24,24,24,24,24,24,263,262,24,262,12,24,12,10,24,10,24,24,24
2012thru2016,050,05000US01019,"Cherokee County, Alabama",01,019,11000,8710,685,120,0,120,75,0,75,380,0,380,110,10,100,1010,505,0,505,250,0,250,255,0,255,0,0,0,1570,1110,0,1110,265,0,265,200,0,200,0,0,0,925,825,25,800,85,0,85,15,0,15,0,0,0,4515,4205,10,4195,265,0,265,45,0,45,0,0,0,2290,425,100,10,90,85,0,85,205,0,205,40,4,35,380,165,0,165,130,0,130,85,0,85,0,0,0,580,390,0,390,175,0,175,15,0,15,0,0,0,285,205,0,205,80,0,80,0,0,0,0,0,0,615,595,0,595,10,0,10,10,0,10,0,0,0,397,397,147,84,21,84,49,21,49,115,21,115,58,14,54,224,158,21,158,106,21,106,116,21,116,21,21,21,251,203,21,203,128,21,128,117,21,117,21,21,21,196,185,28,185,62,21,62,20,21,20,21,21,21,386,368,13,367,111,21,111,61,21,61,21,21,21,324,143,58,13,61,74,21,74,89,21,89,47,18,45,137,85,21,85,81,21,81,52,21,52,21,21,21,211,176,21,176,106,21,106,20,21,20,21,21,21,128,122,21,122,71,21,71,21,21,21,21,21,21,171,168,21,168,20,21,20,16,21,16,21,21,21
