source,sumlevel,geoid,name,st,cnty,T17A_est1,T17A_est2,T17A_est3,T17A_est4,T17A_est5,T17A_est6,T17A_est7,T17A_est8,T17A_est9,T17A_est10,T17A_est11,T17A_est12,T17A_est13,T17A_est14,T17A_est15,T17A_est16,T17A_est17,T17A_est18,T17A_est19,T17A_est20,T17A_est21,T17A_moe1,T17A_moe2,T17A_moe3,T17A_moe4,T17A_moe5,T17A_moe6,T17A_moe7,T17A_moe8,T17A_moe9,T17A_moe10,T17A_moe11,T17A_moe12,T17A_moe13,T17A_moe14,T17A_moe15,T17A_moe16,T17A_moe17,T17A_moe18,T17A_moe19,T17A_moe20,T17A_moe21
2013thru2017,050,05000US01001,"Autauga County, Alabama",01,001,110,90,25,10,10,40,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,77,67,27,18,21,51,27,27,27,27,27,27,27,27,27,27,38,38,27,27,27
2013thru2017,050,05000US01003,"Baldwin County, Alabama",01,003,2875,1880,80,470,330,995,100,0,80,0,20,645,40,25,10,570,250,200,50,0,0,626,506,78,253,223,323,97,27,91,27,32,220,65,39,19,193,178,145,72,27,27
2013thru2017,050,05000US01005,"Barbour County, Alabama",01,005,210,130,4,30,35,60,4,0,0,0,4,0,0,0,0,0,75,45,10,15,0,102,80,10,32,44,51,16,21,21,21,16,21,21,21,21,21,63,53,13,31,21
2013thru2017,050,05000US01007,"Bibb County, Alabama",01,007,65,25,0,4,0,20,0,0,0,0,0,0,0,0,0,0,35,35,0,0,0,66,39,21,17,21,35,21,21,21,21,21,21,21,21,21,21,57,57,21,21,21
2013thru2017,050,05000US01009,"Blount County, Alabama",01,009,210,190,70,50,4,65,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,111,99,48,64,16,71,27,27,27,27,27,27,27,27,27,27,35,35,27,27,27
2013thru2017,050,05000US01011,"Bullock County, Alabama",01,011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
2013thru2017,050,05000US01013,"Butler County, Alabama",01,013,165,160,50,35,0,80,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,82,82,44,38,21,58,21,21,21,21,21,21,21,21,21,21,10,10,21,21,21
2013thru2017,050,05000US01015,"Calhoun County, Alabama",01,015,815,640,395,100,35,105,20,20,0,0,0,15,0,15,0,0,145,145,0,0,0,234,215,186,67,39,88,31,31,27,27,27,26,27,26,27,27,82,82,27,27,27
2013thru2017,050,05000US01017,"Chambers County, Alabama",01,017,290,290,205,25,35,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,118,113,42,42,33,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
2013thru2017,050,05000US01019,"Cherokee County, Alabama",01,019,305,195,60,15,0,120,0,0,0,0,0,0,0,0,0,0,110,60,50,0,0,173,113,79,24,21,80,21,21,21,21,21,21,21,21,21,21,105,67,80,21,21
2013thru2017,050,05000US01021,"Chilton County, Alabama",01,021,270,270,165,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,178,130,24,24,119,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
2013thru2017,050,05000US01023,"Choctaw County, Alabama",01,023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
2013thru2017,050,05000US01025,"Clarke County, Alabama",01,025,75,75,25,40,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,56,42,39,21,13,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
