source,sumlevel,geoid,name,st,cnty,T14A_est1,T14A_est2,T14A_est3,T14A_est4,T14A_est5,T14A_est6,T14A_est7,T14A_est8,T14A_est9,T14A_est10,T14A_est11,T14A_est12,T14A_est13,T14A_est14,T14A_est15,T14A_est16,T14A_est17,T14A_est18,T14A_est19,T14A_moe1,T14A_moe2,T14A_moe3,T14A_moe4,T14A_moe5,T14A_moe6,T14A_moe7,T14A_moe8,T14A_moe9,T14A_moe10,T14A_moe11,T14A_moe12,T14A_moe13,T14A_moe14,T14A_moe15,T14A_moe16,T14A_moe17,T14A_moe18,T14A_moe19
2014thru2018,050,05000US01001,"Autauga County, Alabama",01,001,180,35,145,4,0,4,0,4,0,0,4,80,0,0,80,60,0,0,60,96,44,95,4,28,4,28,13,28,28,13,79,28,28,79,66,28,28,66
2014thru2018,050,05000US01003,"Baldwin County, Alabama",01,003,2485,130,2355,135,45,10,80,455,0,185,270,330,0,10,315,1435,70,335,1030,465,111,449,108,69,15,75,195,28,130,136,204,28,20,202,335,61,169,305
2014thru2018,050,05000US01005,"Barbour County, Alabama",01,005,205,60,140,60,0,10,50,30,0,15,15,15,0,0,15,35,10,0,25,87,50,71,54,22,14,50,33,22,26,21,26,22,22,26,38,19,22,32
2014thru2018,050,05000US01007,"Bibb County, Alabama",01,007,85,75,10,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,77,76,16,16,22,22,16,22,22,22,22,22,22,22,22,22,22,22,22
2014thru2018,050,05000US01009,"Blount County, Alabama",01,009,185,95,85,55,0,4,50,10,0,0,10,10,0,0,10,15,0,0,15,98,89,48,42,28,10,41,15,28,28,15,13,28,28,13,19,28,28,19
2014thru2018,050,05000US01011,"Bullock County, Alabama",01,011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,19,19,0,19,19,19,19,19,19,19,19,19,19,19,19
2014thru2018,050,05000US01013,"Butler County, Alabama",01,013,215,135,75,20,0,0,20,25,0,0,25,0,0,0,0,30,0,0,30,98,82,51,23,22,22,23,34,22,22,34,22,22,22,22,34,22,22,34
2014thru2018,050,05000US01015,"Calhoun County, Alabama",01,015,615,265,345,215,0,45,170,25,0,0,25,30,0,0,30,75,0,4,70,204,126,163,135,28,39,128,33,28,28,33,34,28,28,34,69,28,2,68
2014thru2018,050,05000US01017,"Chambers County, Alabama",01,017,175,90,85,30,0,0,30,25,0,25,0,10,0,0,10,25,0,0,25,93,70,63,37,25,25,37,42,25,42,25,15,25,25,15,41,25,25,41
2014thru2018,050,05000US01019,"Cherokee County, Alabama",01,019,330,75,255,40,0,20,20,65,0,0,65,35,0,0,35,115,20,25,75,143,65,122,40,22,35,25,84,22,22,84,49,22,22,49,85,32,37,73
2014thru2018,050,05000US01021,"Chilton County, Alabama",01,021,300,85,215,50,0,40,10,50,0,50,0,40,0,40,0,70,0,0,70,189,84,151,76,25,73,18,83,25,83,25,65,25,65,25,77,25,25,77
2014thru2018,050,05000US01023,"Choctaw County, Alabama",01,023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
2014thru2018,050,05000US01025,"Clarke County, Alabama",01,025,75,0,75,30,0,30,0,40,0,4,35,0,0,0,0,10,0,0,10,63,22,63,44,22,44,22,41,22,11,38,22,22,22,22,15,22,22,15
2014thru2018,050,05000US01027,"Clay County, Alabama",01,027,105,4,100,25,0,0,25,45,0,0,45,4,0,4,0,25,0,0,25,70,11,71,34,19,19,34,50,19,19,50,16,19,16,19,35,19,19,35
