source,sumlevel,geoid,name,st,cnty,T11_est1,T11_est2,T11_est3,T11_est4,T11_est5,T11_est6,T11_est7,T11_est8,T11_est9,T11_est10,T11_est11,T11_est12,T11_est13,T11_est14,T11_est15,T11_est16,T11_est17,T11_est18,T11_est19,T11_est20,T11_est21,T11_est22,T11_est23,T11_est24,T11_est25,T11_est26,T11_est27,T11_est28,T11_est29,T11_est30,T11_est31,T11_est32,T11_est33,T11_est34,T11_est35,T11_est36,T11_est37,T11_est38,T11_est39,T11_est40,T11_est41,T11_est42,T11_est43,T11_est44,T11_est45,T11_est46,T11_est47,T11_est48,T11_est49,T11_est50,T11_est51,T11_est52,T11_est53,T11_est54,T11_est55,T11_est56,T11_est57,T11_est58,T11_est59,T11_est60,T11_est61,T11_est62,T11_est63,T11_est64,T11_est65,T11_est66,T11_est67,T11_est68,T11_est69,T11_est70,T11_est71,T11_est72,T11_est73,T11_est74,T11_est75,T11_est76,T11_est77,T11_est78,T11_est79,T11_est80,T11_est81,T11_est82,T11_est83,T11_est84,T11_est85,T11_est86,T11_est87,T11_moe1,T11_moe2,T11_moe3,T11_moe4,T11_moe5,T11_moe6,T11_moe7,T11_moe8,T11_moe9,T11_moe10,T11_moe11,T11_moe12,T11_moe13,T11_moe14,T11_moe15,T11_moe16,T11_moe17,T11_moe18,T11_moe19,T11_moe20,T11_moe21,T11_moe22,T11_moe23,T11_moe24,T11_moe25,T11_moe26,T11_moe27,T11_moe28,T11_moe29,T11_moe30,T11_moe31,T11_moe32,T11_moe33,T11_moe34,T11_moe35,T11_moe36,T11_moe37,T11_moe38,T11_moe39,T11_moe40,T11_moe41,T11_moe42,T11_moe43,T11_moe44,T11_moe45,T11_moe46,T11_moe47,T11_moe48,T11_moe49,T11_moe50,T11_moe51,T11_moe52,T11_moe53,T11_moe54,T11_moe55,T11_moe56,T11_moe57,T11_moe58,T11_moe59,T11_moe60,T11_moe61,T11_moe62,T11_moe63,T11_moe64,T11_moe65,T11_moe66,T11_moe67,T11_moe68,T11_moe69,T11_moe70,T11_moe71,T11_moe72,T11_moe73,T11_moe74,T11_moe75,T11_moe76,T11_moe77,T11_moe78,T11_moe79,T11_moe80,T11_moe81,T11_moe82,T11_moe83,T11_moe84,T11_moe85,T11_moe86,T11_moe87
2015thru2019,050,05000US01001,"Autauga County, Alabama",01,001,21395,15680,3130,620,545,365,455,245,130,160,145,40,115,55,60,195,12485,65,295,385,390,345,270,1010,805,460,925,310,1250,5975,65,65,0,0,0,0,0,0,0,0,0,0,0,0,5715,2390,475,550,400,225,180,50,155,65,70,4,0,0,210,3210,130,100,110,60,175,85,155,325,260,430,40,450,890,115,115,0,0,0,0,0,0,0,0,0,0,0,0,325,522,384,179,179,139,168,121,152,79,73,46,87,34,47,123,565,84,163,134,155,139,140,235,205,187,214,130,253,507,75,75,28,28,28,28,28,28,28,28,28,28,28,28,481,379,147,177,164,132,109,64,114,43,105,4,28,28,123,491,89,60,61,48,126,78,107,143,141,243,48,178,244,85,85,28,28,28,28,28,28,28,28,28,28,28,28
2015thru2019,050,05000US01003,"Baldwin County, Alabama",01,003,80930,60895,11690,2035,1640,1025,1225,980,675,1315,935,150,530,125,315,755,48830,355,1195,1385,2470,2265,1565,3965,3965,1530,3785,1225,4535,20590,370,370,0,0,0,0,0,0,0,0,0,0,0,0,20035,7980,1595,1515,1170,915,995,435,690,365,10,160,10,30,100,11790,450,275,655,785,800,565,1340,1570,400,960,325,1090,2575,260,260,0,0,0,0,0,0,0,0,0,0,0,0,1127,1127,870,322,453,248,333,249,271,309,257,67,156,64,132,209,1077,125,294,264,404,309,333,554,438,302,416,270,518,740,148,148,28,28,28,28,28,28,28,28,28,28,28,28,966,763,389,373,388,261,303,205,212,180,15,108,23,36,90,846,179,114,285,306,276,203,341,401,201,247,184,316,395,162,162,28,28,28,28,28,28,28,28,28,28,28,28
2015thru2019,050,05000US01005,"Barbour County, Alabama",01,005,9345,5690,1170,165,230,135,160,130,15,80,80,4,25,115,4,35,4440,4,100,195,245,235,60,495,480,120,320,40,315,1825,85,85,0,0,0,0,0,0,0,0,0,0,0,0,3655,1500,380,405,350,170,100,15,50,0,0,20,0,10,0,1815,90,120,185,165,215,90,170,190,50,155,20,75,290,340,340,0,0,0,0,0,0,0,0,0,0,0,0,313,286,219,65,89,56,73,70,25,41,42,3,25,140,3,22,300,12,42,70,94,63,41,152,133,61,79,26,74,186,43,43,22,22,22,22,22,22,22,22,22,22,22,22,283,208,128,127,101,78,56,18,49,22,22,24,22,16,22,219,60,72,87,84,78,54,81,73,62,88,20,44,104,122,122,22,22,22,22,22,22,22,22,22,22,22,22
2015thru2019,050,05000US01007,"Bibb County, Alabama",01,007,6890,5130,885,235,150,180,35,70,80,25,45,30,25,0,0,4,4220,85,105,210,310,270,95,515,350,210,430,95,545,1015,25,25,0,0,0,0,0,0,0,0,0,0,0,0,1765,650,310,130,135,35,15,0,15,0,0,0,0,0,10,1075,170,145,45,125,75,4,155,35,20,95,40,105,55,40,40,0,0,0,0,0,0,0,0,0,0,0,0,334,303,196,131,100,98,37,54,90,31,60,49,36,22,22,15,342,67,60,94,136,99,76,149,149,103,161,54,171,206,27,27,22,22,22,22,22,22,22,22,22,22,22,22,291,203,190,83,89,33,23,22,22,22,22,22,22,22,15,241,110,97,37,88,65,7,95,61,28,81,54,86,51,36,36,22,22,22,22,22,22,22,22,22,22,22,22
2015thru2019,050,05000US01009,"Blount County, Alabama",01,009,20845,16425,2515,735,340,335,270,305,90,190,145,4,30,15,15,40,13655,165,375,755,735,1135,510,1435,1385,300,1240,445,1295,3880,250,250,0,0,0,0,0,0,0,0,0,0,0,0,4425,1555,600,250,425,145,65,10,40,10,4,4,4,0,4,2640,155,145,250,320,260,120,525,220,75,170,4,115,275,230,230,0,0,0,0,0,0,0,0,0,0,0,0,394,497,327,190,113,136,111,120,59,73,77,14,34,29,18,31,555,131,135,194,181,254,202,275,223,121,228,123,212,342,139,139,28,28,28,28,28,28,28,28,28,28,28,28,421,287,196,121,160,96,56,20,41,14,4,28,28,28,4,366,101,70,147,145,97,101,205,89,73,108,8,78,129,103,103,28,28,28,28,28,28,28,28,28,28,28,28
2015thru2019,050,05000US01011,"Bullock County, Alabama",01,011,3520,2505,510,65,75,70,15,60,4,25,40,110,20,35,0,0,1835,0,55,65,45,100,35,115,65,25,345,55,175,755,155,155,0,0,0,0,0,0,0,0,0,0,0,0,1015,420,60,155,150,25,25,0,0,0,0,0,0,0,0,515,35,90,15,15,4,15,220,75,0,10,0,30,4,80,80,0,0,0,0,0,0,0,0,0,0,0,0,256,270,157,54,63,52,18,51,7,26,64,119,32,51,19,19,249,19,87,50,43,65,38,70,53,35,186,51,88,172,167,167,19,19,19,19,19,19,19,19,19,19,19,19,268,192,62,113,131,28,52,19,19,19,19,19,19,19,19,183,29,93,19,20,9,28,139,75,19,18,19,36,17,84,84,19,19,19,19,19,19,19,19,19,19,19,19
2015thru2019,050,05000US01013,"Butler County, Alabama",01,013,6505,4550,895,145,125,195,60,80,30,80,95,4,20,0,20,40,3620,20,70,110,210,175,105,350,240,160,270,75,285,1550,35,35,0,0,0,0,0,0,0,0,0,0,0,0,1955,700,115,215,115,135,60,0,45,0,0,10,4,0,4,1165,55,75,50,75,10,10,145,190,55,110,15,25,345,85,85,0,0,0,0,0,0,0,0,0,0,0,0,290,283,170,62,72,94,32,49,24,42,70,3,24,19,21,28,240,24,33,50,79,72,56,94,76,60,108,30,87,165,25,25,19,19,19,19,19,19,19,19,19,19,19,19,205,165,52,94,67,66,48,19,36,19,19,14,15,19,4,185,33,38,36,43,15,15,69,87,44,68,30,20,124,51,51,19,19,19,19,19,19,19,19,19,19,19,19
2015thru2019,050,05000US01015,"Calhoun County, Alabama",01,015,44605,31255,5680,1080,875,635,530,510,260,520,375,90,335,25,100,350,25275,50,555,895,1040,1065,790,2095,2335,580,1755,540,2395,11180,300,300,0,0,0,0,0,0,0,0,0,0,0,0,13350,5490,1205,1340,825,895,480,230,290,130,35,20,0,0,35,7530,220,390,295,675,535,185,735,655,220,800,200,740,1890,330,330,0,0,0,0,0,0,0,0,0,0,0,0,643,744,526,223,239,145,155,148,143,180,146,52,131,32,69,140,762,32,168,186,218,213,192,334,349,167,312,165,372,501,112,112,28,28,28,28,28,28,28,28,28,28,28,28,616,583,228,282,211,217,164,134,123,87,44,24,28,28,36,523,102,135,138,192,156,100,185,164,98,244,126,200,283,117,117,28,28,28,28,28,28,28,28,28,28,28,28
2015thru2019,050,05000US01017,"Chambers County, Alabama",01,017,13450,9070,1845,230,270,425,255,200,110,160,10,20,45,15,65,40,7130,0,120,330,290,415,210,660,535,280,590,135,685,2870,95,95,0,0,0,0,0,0,0,0,0,0,0,0,4375,1960,225,370,270,210,250,15,190,35,10,85,0,45,255,2295,60,90,80,85,170,20,150,260,60,245,45,300,730,125,125,0,0,0,0,0,0,0,0,0,0,0,0,404,372,285,102,97,171,105,101,58,75,15,23,48,18,44,36,388,25,80,122,117,123,92,195,149,101,160,69,189,313,67,67,25,25,25,25,25,25,25,25,25,25,25,25,351,291,102,120,113,78,103,25,107,39,15,67,25,62,213,280,52,63,58,48,93,23,75,94,48,135,56,123,162,87,87,25,25,25,25,25,25,25,25,25,25,25,25
2015thru2019,050,05000US01019,"Cherokee County, Alabama",01,019,10735,8305,1410,210,205,195,170,120,115,145,75,0,30,10,80,55,6815,0,210,305,510,395,125,525,535,90,570,110,695,2755,80,80,0,0,0,0,0,0,0,0,0,0,0,0,2435,690,55,175,250,60,110,15,0,10,0,15,0,0,0,1655,55,130,105,135,90,60,190,190,65,125,25,55,435,85,85,0,0,0,0,0,0,0,0,0,0,0,0,446,389,228,90,91,79,76,82,104,103,46,22,23,13,47,46,416,22,111,129,171,118,68,137,133,58,138,65,153,269,59,59,22,22,22,22,22,22,22,22,22,22,22,22,327,184,46,75,129,43,98,17,22,15,22,21,22,22,22,297,63,75,73,76,87,67,110,102,78,74,28,48,148,72,72,22,22,22,22,22,22,22,22,22,22,22,22
