source,sumlevel,geoid,name,st,cnty,T15A_est1,T15A_est2,T15A_est3,T15A_est4,T15A_est5,T15A_est6,T15A_est7,T15A_est8,T15A_est9,T15A_est10,T15A_est11,T15A_est12,T15A_est13,T15A_est14,T15A_est15,T15A_est16,T15A_est17,T15A_est18,T15A_est19,T15A_est20,T15A_est21,T15A_est22,T15A_est23,T15A_est24,T15A_est25,T15A_est26,T15A_est27,T15A_est28,T15A_est29,T15A_est30,T15A_est31,T15A_est32,T15A_est33,T15A_est34,T15A_est35,T15A_est36,T15A_est37,T15A_est38,T15A_est39,T15A_est40,T15A_est41,T15A_est42,T15A_est43,T15A_est44,T15A_est45,T15A_est46,T15A_est47,T15A_est48,T15A_est49,T15A_est50,T15A_est51,T15A_est52,T15A_est53,T15A_est54,T15A_est55,T15A_est56,T15A_est57,T15A_est58,T15A_est59,T15A_est60,T15A_est61,T15A_est62,T15A_est63,T15A_est64,T15A_est65,T15A_est66,T15A_est67,T15A_est68,T15A_est69,T15A_est70,T15A_est71,T15A_est72,T15A_est73,T15A_est74,T15A_est75,T15A_est76,T15A_est77,T15A_est78,T15A_est79,T15A_est80,T15A_est81,T15A_est82,T15A_est83,T15A_est84,T15A_est85,T15A_est86,T15A_est87,T15A_moe1,T15A_moe2,T15A_moe3,T15A_moe4,T15A_moe5,T15A_moe6,T15A_moe7,T15A_moe8,T15A_moe9,T15A_moe10,T15A_moe11,T15A_moe12,T15A_moe13,T15A_moe14,T15A_moe15,T15A_moe16,T15A_moe17,T15A_moe18,T15A_moe19,T15A_moe20,T15A_moe21,T15A_moe22,T15A_moe23,T15A_moe24,T15A_moe25,T15A_moe26,T15A_moe27,T15A_moe28,T15A_moe29,T15A_moe30,T15A_moe31,T15A_moe32,T15A_moe33,T15A_moe34,T15A_moe35,T15A_moe36,T15A_moe37,T15A_moe38,T15A_moe39,T15A_moe40,T15A_moe41,T15A_moe42,T15A_moe43,T15A_moe44,T15A_moe45,T15A_moe46,T15A_moe47,T15A_moe48,T15A_moe49,T15A_moe50,T15A_moe51,T15A_moe52,T15A_moe53,T15A_moe54,T15A_moe55,T15A_moe56,T15A_moe57,T15A_moe58,T15A_moe59,T15A_moe60,T15A_moe61,T15A_moe62,T15A_moe63,T15A_moe64,T15A_moe65,T15A_moe66,T15A_moe67,T15A_moe68,T15A_moe69,T15A_moe70,T15A_moe71,T15A_moe72,T15A_moe73,T15A_moe74,T15A_moe75,T15A_moe76,T15A_moe77,T15A_moe78,T15A_moe79,T15A_moe80,T15A_moe81,T15A_moe82,T15A_moe83,T15A_moe84,T15A_moe85,T15A_moe86,T15A_moe87
2015thru2019,050,05000US01001,"Autauga County, Alabama",01,001,9570,50,9520,3150,310,55,10,245,510,4,85,415,460,0,65,395,310,0,40,270,1560,20,70,1470,2915,105,0,20,90,205,0,45,160,280,0,0,280,370,20,0,355,1950,0,35,1915,1555,125,0,0,125,25,0,0,25,155,0,0,155,50,0,0,50,1200,10,45,1145,1905,120,0,20,100,40,0,30,10,55,0,0,55,80,0,0,80,1610,0,35,1575,528,42,525,433,139,80,21,123,199,15,107,172,167,28,77,150,124,28,36,115,309,26,65,299,362,78,28,35,72,128,28,59,117,122,28,28,122,156,31,28,152,274,28,48,274,297,88,28,28,88,38,28,28,38,150,28,28,150,61,28,28,61,254,17,49,250,246,89,28,26,84,45,28,41,21,43,28,28,43,52,28,28,52,240,28,38,240
2015thru2019,050,05000US01003,"Baldwin County, Alabama",01,003,35455,75,35380,7305,740,20,175,545,775,0,75,700,2005,60,360,1585,1135,25,110,1000,2655,30,235,2390,12760,730,4,105,625,560,0,125,435,1860,4,150,1700,1925,0,90,1835,7690,75,165,7450,5255,100,0,0,100,110,0,70,40,560,0,35,525,530,0,85,450,3955,10,255,3690,10055,460,15,80,360,645,10,40,595,800,45,80,675,330,0,40,290,7825,45,315,7465,1122,56,1120,663,270,28,117,227,201,28,70,187,358,47,157,315,229,39,68,233,382,30,106,365,825,276,1,86,239,179,28,94,148,365,13,82,357,437,28,83,414,746,61,69,758,546,82,28,28,82,92,28,79,45,188,28,40,181,137,28,57,139,502,17,132,480,706,186,32,80,168,286,15,37,286,287,38,74,266,160,28,43,159,656,46,191,648
2015thru2019,050,05000US01005,"Barbour County, Alabama",01,005,2475,0,2475,1020,130,0,15,115,55,0,4,50,220,0,40,175,100,0,4,95,515,4,45,465,600,25,10,0,15,40,0,0,40,70,0,15,50,95,10,15,75,365,0,25,345,305,10,0,10,0,4,0,0,4,10,0,0,10,30,0,0,30,255,0,25,230,550,10,0,0,10,10,0,0,10,25,0,0,25,50,0,4,50,455,0,20,435,224,22,224,138,74,22,16,73,36,22,7,34,86,22,27,79,52,22,2,52,106,11,33,105,94,23,14,22,17,33,22,22,33,33,22,21,26,47,14,17,45,70,22,17,71,95,14,22,14,22,5,22,22,5,24,22,22,24,34,22,22,34,86,22,24,85,110,15,22,22,15,14,22,22,14,29,22,22,29,51,22,7,49,97,22,32,92
2015thru2019,050,05000US01007,"Bibb County, Alabama",01,007,1915,4,1910,1070,90,0,40,50,130,0,25,105,320,0,20,305,195,0,25,170,335,0,25,310,560,0,0,0,0,4,0,0,4,55,4,0,45,80,4,0,75,420,0,4,415,170,0,0,0,0,0,0,0,0,10,0,10,0,4,0,0,4,150,0,0,150,115,0,0,0,0,0,0,0,0,4,0,0,4,40,0,0,40,75,0,4,70,259,22,261,213,89,22,75,44,72,22,28,74,121,22,19,121,97,22,28,90,120,22,34,115,171,22,22,22,22,10,22,22,10,36,11,22,35,69,12,22,68,160,22,9,158,87,22,22,22,22,22,22,22,22,17,22,17,22,16,22,22,16,85,22,22,85,88,22,22,22,22,22,22,22,22,1,22,22,1,62,22,22,62,59,22,8,59
2015thru2019,050,05000US01009,"Blount County, Alabama",01,009,8080,70,8010,3815,310,40,55,215,390,20,70,300,1025,60,165,800,545,0,50,490,1545,4,95,1440,2480,60,4,4,50,145,0,85,65,300,0,60,235,330,0,25,305,1645,0,90,1560,770,10,0,10,4,4,0,0,4,105,0,0,105,25,0,0,25,625,75,30,525,945,25,0,15,4,30,0,0,30,120,0,10,110,75,0,0,75,700,0,35,660,441,55,448,440,119,43,47,92,146,26,52,127,230,79,83,200,179,28,38,183,259,12,51,253,295,63,14,7,64,88,28,73,52,91,28,36,82,104,28,25,107,264,28,51,269,202,16,28,15,6,1,28,28,1,60,28,28,60,23,28,28,23,194,100,30,168,201,30,28,29,2,32,28,28,32,94,28,18,92,58,28,28,58,173,28,36,166
2015thru2019,050,05000US01011,"Bullock County, Alabama",01,011,1100,35,1065,720,4,0,0,4,10,0,0,10,70,0,10,60,140,0,0,140,495,0,10,485,180,105,0,0,105,4,0,0,4,10,0,0,10,0,0,0,0,50,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,20,0,0,20,0,0,0,0,0,0,0,0,40,0,0,40,110,0,20,90,267,51,269,262,8,19,19,8,15,19,19,15,48,19,18,41,132,19,19,132,256,19,17,256,154,137,19,19,137,16,19,19,16,17,19,19,17,19,19,19,19,42,19,19,42,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,108,47,19,19,47,19,19,19,19,19,19,19,19,64,19,19,64,75,19,32,68
2015thru2019,050,05000US01013,"Butler County, Alabama",01,013,1830,0,1830,835,80,0,10,70,85,0,10,80,220,0,25,195,135,0,0,135,310,0,35,275,455,40,0,0,40,10,0,0,10,4,0,0,4,45,0,25,25,350,10,30,310,180,0,0,0,0,4,0,4,0,4,0,0,4,15,0,0,15,150,0,4,150,355,15,0,0,15,55,0,0,55,20,0,4,20,20,0,0,20,245,0,0,245,216,19,216,144,42,19,21,42,41,19,13,40,68,19,29,62,69,19,19,69,80,19,23,75,115,52,19,19,52,17,19,19,17,12,19,19,12,39,19,25,30,89,16,27,88,61,19,19,19,19,15,19,15,19,13,19,19,13,20,19,19,20,55,19,1,55,96,26,19,19,26,48,19,19,48,25,19,3,22,20,19,19,20,75,19,19,75
2015thru2019,050,05000US01015,"Calhoun County, Alabama",01,015,16280,30,16250,6120,435,0,60,370,700,10,160,535,1390,25,160,1205,655,0,30,625,2940,4,200,2730,5565,95,0,10,90,130,0,15,115,700,15,60,625,565,0,45,520,4070,0,230,3840,1790,85,0,0,85,10,0,10,0,140,20,10,115,160,0,0,160,1395,0,25,1365,2780,105,0,40,65,70,0,4,65,115,0,25,90,130,0,10,120,2360,15,75,2265,659,38,654,487,189,28,55,178,152,14,86,122,287,30,75,285,156,28,26,160,401,11,96,399,471,61,28,13,59,81,28,22,78,200,25,44,194,168,28,52,169,402,28,126,401,293,61,28,28,61,14,28,14,28,72,23,15,69,84,28,28,84,256,28,24,259,347,74,28,57,48,60,28,4,59,98,28,23,98,79,28,14,76,311,33,69,320
2015thru2019,050,05000US01017,"Chambers County, Alabama",01,017,4380,30,4350,1940,130,0,25,105,265,0,50,215,395,0,70,325,125,0,25,100,1030,10,105,915,1065,40,0,10,30,75,0,20,55,150,0,20,130,45,0,0,45,750,0,105,645,530,0,0,0,0,4,0,0,4,45,0,0,45,80,0,25,50,400,0,10,390,810,0,0,0,0,150,0,0,150,115,0,65,50,100,0,0,100,445,0,35,410,380,31,379,248,81,25,29,71,95,25,45,84,119,25,45,122,63,25,40,60,180,15,56,180,192,38,25,20,33,48,25,27,45,81,25,33,77,38,25,25,38,167,25,62,161,159,25,25,25,25,10,25,25,10,53,25,25,53,67,25,40,52,127,25,22,126,258,25,25,25,25,191,25,25,191,70,25,60,35,87,25,25,87,165,25,34,162
2015thru2019,050,05000US01019,"Cherokee County, Alabama",01,019,3215,0,3215,905,55,0,10,45,65,0,10,55,240,0,10,230,140,0,0,140,405,0,95,310,970,65,0,0,65,25,0,0,25,95,0,4,90,45,0,4,40,740,10,30,700,415,55,0,55,0,0,0,0,0,45,0,15,30,15,0,4,10,300,0,30,270,925,4,0,0,4,35,0,30,4,80,0,0,80,50,0,10,35,750,0,60,690,294,22,294,235,45,22,23,40,37,22,15,35,136,22,13,137,79,22,22,79,156,22,57,143,183,65,22,22,65,33,22,22,33,68,22,9,66,31,22,15,31,188,21,27,188,117,53,22,53,22,22,22,22,22,41,22,24,34,16,22,1,14,102,22,34,98,214,10,22,22,10,31,22,30,22,76,22,22,76,36,22,19,31,186,22,50,185
