source,sumlevel,geoid,name,st,cnty,T18A_est1,T18A_est2,T18A_est3,T18A_est4,T18A_est5,T18A_est6,T18A_est7,T18A_est8,T18A_est9,T18A_est10,T18A_est11,T18A_est12,T18A_est13,T18A_est14,T18A_est15,T18A_est16,T18A_est17,T18A_est18,T18A_est19,T18A_est20,T18A_est21,T18A_est22,T18A_est23,T18A_est24,T18A_est25,T18A_est26,T18A_est27,T18A_est28,T18A_est29,T18A_est30,T18A_est31,T18A_est32,T18A_est33,T18A_est34,T18A_est35,T18A_est36,T18A_est37,T18A_est38,T18A_est39,T18A_est40,T18A_est41,T18A_est42,T18A_est43,T18A_est44,T18A_est45,T18A_est46,T18A_est47,T18A_est48,T18A_est49,T18A_est50,T18A_est51,T18A_est52,T18A_est53,T18A_est54,T18A_est55,T18A_est56,T18A_est57,T18A_est58,T18A_est59,T18A_est60,T18A_est61,T18A_est62,T18A_est63,T18A_est64,T18A_est65,T18A_est66,T18A_est67,T18A_est68,T18A_est69,T18A_est70,T18A_est71,T18A_est72,T18A_est73,T18A_est74,T18A_est75,T18A_est76,T18A_est77,T18A_est78,T18A_est79,T18A_est80,T18A_est81,T18A_est82,T18A_est83,T18A_est84,T18A_est85,T18A_est86,T18A_est87,T18A_est88,T18A_est89,T18A_est90,T18A_est91,T18A_est92,T18A_est93,T18A_est94,T18A_est95,T18A_est96,T18A_est97,T18A_est98,T18A_est99,T18A_est100,T18A_est101,T18A_moe1,T18A_moe2,T18A_moe3,T18A_moe4,T18A_moe5,T18A_moe6,T18A_moe7,T18A_moe8,T18A_moe9,T18A_moe10,T18A_moe11,T18A_moe12,T18A_moe13,T18A_moe14,T18A_moe15,T18A_moe16,T18A_moe17,T18A_moe18,T18A_moe19,T18A_moe20,T18A_moe21,T18A_moe22,T18A_moe23,T18A_moe24,T18A_moe25,T18A_moe26,T18A_moe27,T18A_moe28,T18A_moe29,T18A_moe30,T18A_moe31,T18A_moe32,T18A_moe33,T18A_moe34,T18A_moe35,T18A_moe36,T18A_moe37,T18A_moe38,T18A_moe39,T18A_moe40,T18A_moe41,T18A_moe42,T18A_moe43,T18A_moe44,T18A_moe45,T18A_moe46,T18A_moe47,T18A_moe48,T18A_moe49,T18A_moe50,T18A_moe51,T18A_moe52,T18A_moe53,T18A_moe54,T18A_moe55,T18A_moe56,T18A_moe57,T18A_moe58,T18A_moe59,T18A_moe60,T18A_moe61,T18A_moe62,T18A_moe63,T18A_moe64,T18A_moe65,T18A_moe66,T18A_moe67,T18A_moe68,T18A_moe69,T18A_moe70,T18A_moe71,T18A_moe72,T18A_moe73,T18A_moe74,T18A_moe75,T18A_moe76,T18A_moe77,T18A_moe78,T18A_moe79,T18A_moe80,T18A_moe81,T18A_moe82,T18A_moe83,T18A_moe84,T18A_moe85,T18A_moe86,T18A_moe87,T18A_moe88,T18A_moe89,T18A_moe90,T18A_moe91,T18A_moe92,T18A_moe93,T18A_moe94,T18A_moe95,T18A_moe96,T18A_moe97,T18A_moe98,T18A_moe99,T18A_moe100,T18A_moe101
2015thru2019,050,05000US01001,"Autauga County, Alabama",01,001,9570,8455,2145,135,270,345,175,1220,2875,105,205,280,370,1910,1520,125,25,155,50,1165,1915,120,40,50,80,1630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,30,0,0,0,0,0,0,1090,1020,190,240,115,135,340,55,0,0,0,0,55,4,0,0,0,0,4,10,0,0,10,0,0,528,506,367,92,149,147,81,272,369,78,128,122,156,287,295,88,38,150,61,248,252,89,45,41,52,246,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,48,28,28,28,28,28,28,28,28,28,28,28,28,48,28,28,28,28,48,28,28,28,28,28,28,250,245,104,146,84,92,146,53,28,28,28,28,53,10,28,28,28,28,10,13,28,28,13,28,28
2015thru2019,050,05000US01003,"Baldwin County, Alabama",01,003,35455,32465,5185,415,525,1210,890,2150,12505,680,535,1800,1900,7585,5205,100,110,560,530,3905,9575,350,635,690,320,7580,220,95,0,0,55,0,40,85,0,0,40,25,20,15,0,0,0,0,15,25,0,0,0,0,25,400,55,0,0,10,30,15,35,0,0,15,0,20,45,0,0,0,0,45,260,15,0,10,10,230,2370,1970,325,255,730,215,445,190,55,25,4,40,65,0,0,0,0,0,0,210,95,10,100,0,10,1122,1113,596,194,178,259,206,368,845,278,182,359,435,746,542,82,92,188,137,496,649,153,287,262,159,615,133,77,28,28,64,28,47,83,28,28,48,61,25,24,28,28,28,28,24,40,28,28,28,28,40,137,45,28,28,13,40,24,44,28,28,24,28,40,57,28,28,28,28,57,103,22,28,13,13,96,369,365,154,122,227,107,170,77,51,31,13,40,46,28,28,28,28,28,28,129,104,13,119,28,15
2015thru2019,050,05000US01005,"Barbour County, Alabama",01,005,2475,1975,600,85,35,135,80,265,555,25,30,70,70,360,280,0,4,10,10,255,545,10,10,25,50,455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,425,45,25,85,25,250,45,0,10,0,25,10,30,10,0,0,20,0,4,0,0,0,4,0,224,185,108,49,25,71,48,76,95,23,29,33,43,73,84,22,5,24,18,86,109,15,14,29,49,97,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,113,100,51,22,51,24,85,30,22,15,22,24,15,33,14,22,22,32,22,7,22,22,22,7,22
2015thru2019,050,05000US01007,"Bibb County, Alabama",01,007,1915,1470,675,50,50,225,95,260,510,0,4,55,40,410,170,0,0,10,4,150,115,0,0,4,40,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445,400,40,80,100,105,70,45,0,0,0,40,10,0,0,0,0,0,0,0,0,0,0,0,0,259,232,173,76,51,112,76,111,177,22,10,36,46,159,87,22,22,17,16,85,88,22,22,1,62,59,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,150,132,41,58,64,75,41,50,22,22,22,52,15,22,22,22,22,22,22,22,22,22,22,22,22
2015thru2019,050,05000US01009,"Blount County, Alabama",01,009,8080,6945,2805,265,200,760,385,1195,2425,60,135,275,330,1630,770,10,4,105,25,625,945,25,30,120,75,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1135,1080,70,190,305,155,355,55,0,15,25,0,15,0,0,0,0,0,0,0,0,0,0,0,0,441,410,340,128,83,185,153,238,296,63,83,86,104,262,202,16,1,60,23,194,201,30,32,94,58,173,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,243,234,44,104,124,87,113,40,28,23,28,28,20,28,28,28,28,28,28,28,28,28,28,28,28
2015thru2019,050,05000US01011,"Bullock County, Alabama",01,011,1100,665,325,0,10,30,120,165,140,95,4,0,0,35,0,0,0,0,0,0,200,20,0,0,40,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435,395,4,0,40,20,330,40,10,0,10,0,15,0,0,0,0,0,0,0,0,0,0,0,0,267,219,157,19,15,33,123,113,149,138,16,19,19,37,19,19,19,19,19,19,121,47,19,19,64,93,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,174,173,8,19,37,47,197,32,19,19,17,19,17,19,19,19,19,19,19,19,19,19,19,19,19
2015thru2019,050,05000US01013,"Butler County, Alabama",01,013,1830,1435,465,30,40,135,30,225,440,40,10,4,45,340,175,0,4,4,10,150,355,15,55,20,20,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,385,375,50,45,85,105,85,10,0,0,0,4,10,0,0,0,0,0,0,4,0,0,0,0,4,216,193,89,34,32,51,24,66,112,52,17,12,32,89,59,19,15,13,19,55,96,26,48,25,20,75,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,7,19,19,19,19,19,19,19,19,19,19,19,19,7,19,19,19,7,19,19,19,19,19,19,19,103,96,27,32,51,66,50,26,19,19,19,22,14,19,19,19,19,19,19,9,19,19,19,19,9
2015thru2019,050,05000US01015,"Calhoun County, Alabama",01,015,16280,14915,4915,415,595,1120,540,2245,5445,95,130,670,540,4010,1780,80,10,140,160,1395,2770,105,70,115,130,2350,4,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1360,1210,15,110,275,115,690,110,0,0,35,25,55,10,10,0,0,0,0,35,0,0,0,0,35,659,665,456,188,145,244,149,344,461,61,81,188,160,395,294,57,14,72,84,256,343,74,60,98,79,304,12,28,28,28,28,28,28,12,28,28,28,28,12,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,244,233,21,60,129,55,175,72,28,28,51,35,37,15,15,28,28,28,28,36,28,28,28,28,36
2015thru2019,050,05000US01017,"Chambers County, Alabama",01,017,4380,3900,1570,105,185,335,105,840,1045,40,75,150,40,740,550,0,4,45,80,420,730,0,115,115,55,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,370,20,80,60,20,190,30,0,0,0,4,25,0,0,0,0,0,0,80,0,35,0,45,0,380,342,227,72,91,117,54,170,188,38,48,81,36,162,166,25,10,53,67,133,236,25,161,70,61,165,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,144,108,30,49,43,24,88,29,25,25,25,16,26,25,25,25,25,25,25,91,25,57,25,66,25
2015thru2019,050,05000US01019,"Cherokee County, Alabama",01,019,3215,2870,615,4,35,200,85,290,930,65,25,90,45,710,415,55,0,45,15,300,910,4,35,80,50,735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340,290,50,25,45,55,115,40,0,0,4,0,35,0,0,0,0,0,0,15,0,0,0,0,15,294,270,193,18,26,135,61,126,175,65,33,68,31,177,117,53,22,41,16,102,213,10,31,76,36,184,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,125,119,45,32,33,51,75,29,22,22,10,22,28,22,22,22,22,22,22,24,22,22,22,22,24
