source,sumlevel,geoid,name,st,cnty,T18B_est1,T18B_est2,T18B_est3,T18B_est4,T18B_est5,T18B_est6,T18B_est7,T18B_est8,T18B_est9,T18B_est10,T18B_est11,T18B_est12,T18B_est13,T18B_est14,T18B_est15,T18B_est16,T18B_est17,T18B_est18,T18B_est19,T18B_est20,T18B_est21,T18B_est22,T18B_est23,T18B_est24,T18B_est25,T18B_est26,T18B_est27,T18B_est28,T18B_est29,T18B_est30,T18B_est31,T18B_est32,T18B_est33,T18B_est34,T18B_est35,T18B_est36,T18B_est37,T18B_est38,T18B_est39,T18B_est40,T18B_est41,T18B_est42,T18B_est43,T18B_est44,T18B_est45,T18B_est46,T18B_est47,T18B_est48,T18B_est49,T18B_est50,T18B_est51,T18B_est52,T18B_est53,T18B_est54,T18B_est55,T18B_est56,T18B_est57,T18B_est58,T18B_est59,T18B_est60,T18B_est61,T18B_est62,T18B_est63,T18B_est64,T18B_est65,T18B_est66,T18B_est67,T18B_est68,T18B_est69,T18B_est70,T18B_est71,T18B_est72,T18B_est73,T18B_est74,T18B_est75,T18B_est76,T18B_est77,T18B_est78,T18B_est79,T18B_est80,T18B_est81,T18B_est82,T18B_est83,T18B_est84,T18B_est85,T18B_est86,T18B_est87,T18B_est88,T18B_est89,T18B_est90,T18B_est91,T18B_est92,T18B_est93,T18B_est94,T18B_est95,T18B_est96,T18B_est97,T18B_est98,T18B_est99,T18B_est100,T18B_est101,T18B_moe1,T18B_moe2,T18B_moe3,T18B_moe4,T18B_moe5,T18B_moe6,T18B_moe7,T18B_moe8,T18B_moe9,T18B_moe10,T18B_moe11,T18B_moe12,T18B_moe13,T18B_moe14,T18B_moe15,T18B_moe16,T18B_moe17,T18B_moe18,T18B_moe19,T18B_moe20,T18B_moe21,T18B_moe22,T18B_moe23,T18B_moe24,T18B_moe25,T18B_moe26,T18B_moe27,T18B_moe28,T18B_moe29,T18B_moe30,T18B_moe31,T18B_moe32,T18B_moe33,T18B_moe34,T18B_moe35,T18B_moe36,T18B_moe37,T18B_moe38,T18B_moe39,T18B_moe40,T18B_moe41,T18B_moe42,T18B_moe43,T18B_moe44,T18B_moe45,T18B_moe46,T18B_moe47,T18B_moe48,T18B_moe49,T18B_moe50,T18B_moe51,T18B_moe52,T18B_moe53,T18B_moe54,T18B_moe55,T18B_moe56,T18B_moe57,T18B_moe58,T18B_moe59,T18B_moe60,T18B_moe61,T18B_moe62,T18B_moe63,T18B_moe64,T18B_moe65,T18B_moe66,T18B_moe67,T18B_moe68,T18B_moe69,T18B_moe70,T18B_moe71,T18B_moe72,T18B_moe73,T18B_moe74,T18B_moe75,T18B_moe76,T18B_moe77,T18B_moe78,T18B_moe79,T18B_moe80,T18B_moe81,T18B_moe82,T18B_moe83,T18B_moe84,T18B_moe85,T18B_moe86,T18B_moe87,T18B_moe88,T18B_moe89,T18B_moe90,T18B_moe91,T18B_moe92,T18B_moe93,T18B_moe94,T18B_moe95,T18B_moe96,T18B_moe97,T18B_moe98,T18B_moe99,T18B_moe100,T18B_moe101
2015thru2019,050,05000US01001,"Autauga County, Alabama",01,001,6110,4375,1420,195,300,300,150,470,1565,110,80,280,190,905,450,45,45,95,40,225,935,65,60,155,175,480,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1730,1555,485,250,365,75,380,15,0,10,0,0,4,90,20,10,0,0,60,65,0,45,10,10,0,436,423,204,74,102,91,72,145,328,107,56,145,91,255,143,36,55,70,53,83,225,49,68,101,96,156,15,15,28,15,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,313,294,180,104,143,44,142,23,28,23,28,28,8,90,33,16,28,28,80,53,28,45,20,15,28
2015thru2019,050,05000US01003,"Baldwin County, Alabama",01,003,25440,20260,4585,1245,950,1060,370,960,6685,920,880,1375,1050,2460,2485,95,240,655,180,1320,6505,465,575,910,630,3925,190,55,0,0,35,20,0,50,0,15,20,0,15,0,0,0,0,0,0,90,0,60,0,0,30,565,95,10,0,40,0,45,90,0,10,40,0,40,70,4,0,45,10,10,310,25,20,60,35,170,4420,3830,650,1115,1140,295,625,335,75,105,45,30,75,115,0,0,115,0,0,140,75,40,0,0,25,973,833,497,298,257,275,139,177,678,241,199,264,266,430,323,53,122,198,85,246,500,160,203,223,180,313,107,51,28,28,57,27,28,46,28,24,34,28,25,28,28,28,28,28,28,75,28,68,28,28,32,165,88,13,28,51,28,69,68,28,17,48,28,45,82,28,28,69,22,14,119,42,15,69,59,66,486,420,193,306,249,152,152,143,86,64,55,43,62,160,28,28,160,28,28,101,92,44,28,28,27
2015thru2019,050,05000US01005,"Barbour County, Alabama",01,005,3215,2120,1080,150,245,245,200,235,380,45,75,60,45,155,140,30,4,30,15,65,520,40,80,30,85,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1090,1015,140,200,325,50,300,60,0,4,4,4,40,4,0,0,0,0,4,10,0,10,0,0,0,298,234,164,56,95,79,74,78,108,42,42,34,32,63,58,39,6,25,21,40,112,35,46,27,65,64,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,3,3,22,22,22,3,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,219,227,52,84,125,35,164,41,22,12,11,10,38,2,22,22,22,22,2,18,22,18,22,22,22
2015thru2019,050,05000US01007,"Bibb County, Alabama",01,007,3215,2145,1200,275,230,310,75,310,565,20,100,95,45,305,150,0,60,25,0,65,235,20,25,40,35,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1070,1055,190,190,185,150,340,4,0,0,4,0,0,10,4,0,0,4,0,0,0,0,0,0,0,280,273,279,123,122,168,43,156,159,23,62,58,46,136,86,22,55,36,22,55,108,25,41,45,40,76,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,242,241,105,105,98,96,148,5,22,22,5,22,22,17,12,22,22,13,22,22,22,22,22,22,22
2015thru2019,050,05000US01009,"Blount County, Alabama",01,009,8345,5650,2425,455,600,550,320,495,1775,90,310,525,210,645,550,15,45,115,40,340,900,90,40,235,125,410,4,4,4,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2690,2555,770,520,585,170,510,50,0,15,0,0,35,0,0,0,0,0,0,85,20,4,60,0,0,504,415,300,136,166,149,124,134,317,56,121,206,75,159,134,14,33,56,35,115,201,58,31,120,95,117,28,4,4,28,28,28,28,5,28,28,5,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,337,325,211,169,183,69,155,45,28,29,28,28,36,28,28,28,28,28,28,54,39,28,48,28,28
2015thru2019,050,05000US01011,"Bullock County, Alabama",01,011,1405,820,400,95,40,20,4,240,180,4,35,45,15,80,25,0,0,10,4,10,215,25,15,10,4,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,585,580,95,80,170,25,205,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,200,135,109,80,35,21,6,82,84,8,42,47,23,55,23,19,19,15,9,19,68,38,23,16,15,58,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,150,149,97,62,73,34,90,19,19,19,19,19,19,19,19,19,19,19,19,14,19,14,19,19,19
2015thru2019,050,05000US01013,"Butler County, Alabama",01,013,2725,1970,845,95,150,195,100,305,590,50,45,170,65,260,130,15,4,4,35,70,400,15,40,20,50,275,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,745,695,80,165,165,15,275,30,4,0,0,10,15,4,0,0,0,0,4,15,4,10,0,0,0,234,207,131,45,56,66,57,80,140,44,38,77,38,107,45,17,17,9,33,34,96,18,25,28,37,74,16,19,19,19,19,19,19,19,19,19,19,19,19,16,19,19,16,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,130,127,36,68,75,18,88,25,8,19,19,13,20,3,19,19,19,19,3,17,8,14,19,19,19
2015thru2019,050,05000US01015,"Calhoun County, Alabama",01,015,14975,12100,6090,1075,1070,1365,795,1780,2880,220,290,530,410,1430,1170,110,145,170,40,705,1965,90,165,225,185,1300,40,30,10,0,20,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,25,25,15,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2810,2535,545,475,470,395,650,105,0,20,70,10,0,4,0,4,0,0,0,165,70,10,35,20,30,673,587,472,207,196,222,169,265,311,119,102,166,114,221,205,74,89,90,36,168,307,81,88,122,78,284,28,26,15,28,22,28,28,28,28,28,28,28,28,14,14,28,28,28,28,28,28,28,28,28,28,24,24,22,28,28,15,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,283,292,183,143,171,154,145,73,28,27,73,18,28,15,28,15,28,28,28,96,67,15,30,38,35
2015thru2019,050,05000US01017,"Chambers County, Alabama",01,017,4695,3755,1920,195,365,460,265,640,1010,160,105,145,140,465,290,15,55,125,20,80,535,0,70,110,35,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,935,810,185,140,195,35,250,100,0,45,15,0,40,0,0,0,0,0,0,30,0,30,0,0,0,300,298,274,96,111,139,108,180,165,87,76,85,66,145,85,22,44,68,21,41,146,25,46,74,32,107,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,182,174,77,79,102,29,101,71,25,60,23,25,37,25,25,25,25,25,25,47,25,47,25,25,25
2015thru2019,050,05000US01019,"Cherokee County, Alabama",01,019,5090,3550,1090,195,250,260,80,305,1010,25,180,120,125,560,310,25,50,30,4,205,1140,80,155,110,115,680,40,20,0,0,0,0,20,20,0,15,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,0,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,1480,1330,205,355,380,100,285,70,0,35,15,0,20,0,0,0,0,0,0,85,0,10,45,15,10,350,325,202,101,99,89,52,97,228,39,116,76,79,167,92,33,41,27,15,78,169,51,76,65,52,148,39,29,22,22,22,22,29,29,22,24,22,14,22,22,22,22,22,22,22,22,22,22,22,22,22,17,14,22,22,22,18,13,22,22,22,22,22,22,22,22,22,22,22,22,9,22,22,22,22,9,246,224,89,135,121,50,107,63,22,56,24,22,25,22,22,22,22,22,22,70,22,13,62,26,19
