source,sumlevel,geoid,name,st,cnty,T11_est1,T11_est2,T11_est3,T11_est4,T11_est5,T11_est6,T11_est7,T11_est8,T11_est9,T11_est10,T11_est11,T11_est12,T11_est13,T11_est14,T11_est15,T11_est16,T11_est17,T11_est18,T11_est19,T11_est20,T11_est21,T11_est22,T11_est23,T11_est24,T11_est25,T11_est26,T11_est27,T11_est28,T11_est29,T11_est30,T11_est31,T11_est32,T11_est33,T11_est34,T11_est35,T11_est36,T11_est37,T11_est38,T11_est39,T11_est40,T11_est41,T11_est42,T11_est43,T11_est44,T11_est45,T11_est46,T11_est47,T11_est48,T11_est49,T11_est50,T11_est51,T11_est52,T11_est53,T11_est54,T11_est55,T11_est56,T11_est57,T11_est58,T11_est59,T11_est60,T11_est61,T11_est62,T11_est63,T11_est64,T11_est65,T11_est66,T11_est67,T11_est68,T11_est69,T11_est70,T11_est71,T11_est72,T11_est73,T11_est74,T11_est75,T11_est76,T11_est77,T11_est78,T11_est79,T11_est80,T11_est81,T11_est82,T11_est83,T11_est84,T11_est85,T11_est86,T11_est87,T11_moe1,T11_moe2,T11_moe3,T11_moe4,T11_moe5,T11_moe6,T11_moe7,T11_moe8,T11_moe9,T11_moe10,T11_moe11,T11_moe12,T11_moe13,T11_moe14,T11_moe15,T11_moe16,T11_moe17,T11_moe18,T11_moe19,T11_moe20,T11_moe21,T11_moe22,T11_moe23,T11_moe24,T11_moe25,T11_moe26,T11_moe27,T11_moe28,T11_moe29,T11_moe30,T11_moe31,T11_moe32,T11_moe33,T11_moe34,T11_moe35,T11_moe36,T11_moe37,T11_moe38,T11_moe39,T11_moe40,T11_moe41,T11_moe42,T11_moe43,T11_moe44,T11_moe45,T11_moe46,T11_moe47,T11_moe48,T11_moe49,T11_moe50,T11_moe51,T11_moe52,T11_moe53,T11_moe54,T11_moe55,T11_moe56,T11_moe57,T11_moe58,T11_moe59,T11_moe60,T11_moe61,T11_moe62,T11_moe63,T11_moe64,T11_moe65,T11_moe66,T11_moe67,T11_moe68,T11_moe69,T11_moe70,T11_moe71,T11_moe72,T11_moe73,T11_moe74,T11_moe75,T11_moe76,T11_moe77,T11_moe78,T11_moe79,T11_moe80,T11_moe81,T11_moe82,T11_moe83,T11_moe84,T11_moe85,T11_moe86,T11_moe87
2016thru2020,050,0500000US01001,"Autauga County, Alabama",01,001,21560,16090,3500,660,575,350,530,355,245,100,195,45,125,35,120,160,12485,80,405,385,465,335,260,975,805,515,1050,320,1130,5760,105,105,0,0,0,0,0,0,0,0,0,0,0,0,5470,1895,385,510,305,95,145,25,165,75,0,4,0,0,190,3505,95,90,155,315,220,70,65,390,270,240,90,365,1140,70,70,0,0,0,0,0,0,0,0,0,0,0,0,365,551,501,208,232,143,232,168,174,60,102,55,78,36,88,109,589,90,219,158,172,142,106,205,196,205,232,170,251,513,110,110,29,29,29,29,29,29,29,29,29,29,29,29,537,309,161,187,148,71,102,30,127,58,29,8,29,29,98,505,65,65,95,227,162,61,46,218,116,111,82,133,298,54,54,29,29,29,29,29,29,29,29,29,29,29,29
2016thru2020,050,0500000US01003,"Baldwin County, Alabama",01,003,84045,64715,13290,2745,1905,935,1355,1205,660,1655,785,205,405,90,325,1015,51115,385,1080,1210,2635,2325,1720,3485,4010,1420,3615,1525,5445,22270,310,310,0,0,0,0,0,0,0,0,0,0,0,0,19330,7345,1425,1605,910,930,935,350,580,300,0,125,15,20,145,11755,320,255,540,800,670,1085,1085,1370,415,840,500,1525,2345,235,235,0,0,0,0,0,0,0,0,0,0,0,0,1144,1320,1339,738,428,249,440,327,249,445,238,122,176,62,161,419,1402,148,305,296,511,368,520,480,525,271,499,459,896,1219,130,130,29,29,29,29,29,29,29,29,29,29,29,29,1186,796,331,406,346,295,351,180,225,118,29,115,23,31,109,1064,144,91,213,288,267,444,320,391,212,277,286,591,431,139,139,29,29,29,29,29,29,29,29,29,29,29,29
2016thru2020,050,0500000US01005,"Barbour County, Alabama",01,005,9320,5775,1110,130,195,145,135,130,10,50,60,4,195,4,4,50,4575,4,75,185,295,260,85,295,555,90,310,75,355,1995,90,90,0,0,0,0,0,0,0,0,0,0,0,0,3545,1505,380,350,325,180,110,25,75,0,0,40,0,20,0,1680,70,195,165,165,145,80,140,145,4,155,30,45,350,360,360,0,0,0,0,0,0,0,0,0,0,0,0,338,338,267,52,89,62,61,72,17,32,36,3,174,1,8,31,303,11,39,70,100,93,48,93,146,49,82,45,77,247,44,44,23,23,23,23,23,23,23,23,23,23,23,23,330,243,144,109,129,90,65,31,57,23,23,58,23,21,23,243,48,107,77,95,64,51,84,69,9,77,37,38,143,122,122,23,23,23,23,23,23,23,23,23,23,23,23
2016thru2020,050,0500000US01007,"Bibb County, Alabama",01,007,7260,5430,905,360,130,135,25,95,30,15,45,35,30,0,0,10,4505,75,105,190,315,255,105,405,580,205,490,120,565,1095,15,15,0,0,0,0,0,0,0,0,0,0,0,0,1830,780,505,95,130,25,0,0,10,0,0,0,0,0,20,1005,110,145,35,135,55,0,185,20,35,80,25,115,75,40,40,0,0,0,0,0,0,0,0,0,0,0,0,299,346,248,165,86,77,33,71,25,21,62,46,41,23,23,15,378,91,60,97,145,122,86,131,245,95,161,84,235,201,29,29,23,23,23,23,23,23,23,23,23,23,23,23,316,253,222,89,81,26,23,23,14,23,23,23,23,23,18,216,84,88,30,93,52,23,96,32,49,64,43,79,65,50,50,23,23,23,23,23,23,23,23,23,23,23,23
2016thru2020,050,0500000US01009,"Blount County, Alabama",01,009,21205,16130,2550,700,355,380,155,395,75,165,195,35,30,10,15,40,13355,140,260,960,690,955,440,1355,1460,300,1075,505,1160,4060,225,225,0,0,0,0,0,0,0,0,0,0,0,0,5075,1820,800,240,460,190,80,4,20,4,4,4,4,0,4,3035,435,115,205,295,415,130,580,265,65,70,4,120,335,215,215,0,0,0,0,0,0,0,0,0,0,0,0,429,602,338,183,112,152,74,154,53,62,102,48,39,20,17,55,608,121,94,333,189,216,141,269,321,114,252,230,215,439,124,124,29,29,29,29,29,29,29,29,29,29,29,29,587,362,240,125,182,119,65,8,28,12,5,1,9,29,9,469,269,57,114,131,170,101,193,138,66,51,9,91,139,103,103,29,29,29,29,29,29,29,29,29,29,29,29
2016thru2020,050,0500000US01011,"Bullock County, Alabama",01,011,3430,2530,305,55,30,100,4,70,10,20,0,0,20,0,0,0,2080,0,165,35,45,125,60,175,50,30,295,55,150,900,145,145,0,0,0,0,0,0,0,0,0,0,0,0,900,410,55,125,175,40,20,0,0,0,0,0,0,0,0,380,15,125,65,15,4,15,60,55,0,0,0,25,4,110,110,0,0,0,0,0,0,0,0,0,0,0,0,196,251,113,47,29,76,10,53,17,21,19,19,24,19,19,19,262,19,132,41,48,73,44,120,44,40,150,55,74,160,93,93,19,19,19,19,19,19,19,19,19,19,19,19,211,156,57,75,126,46,40,19,19,19,19,19,19,19,19,154,15,134,66,24,9,26,59,49,19,19,19,23,1,86,86,19,19,19,19,19,19,19,19,19,19,19,19
2016thru2020,050,0500000US01013,"Butler County, Alabama",01,013,6650,4870,750,145,70,165,90,90,30,70,55,4,0,0,0,30,4090,15,75,90,210,155,115,340,350,105,400,100,305,1835,30,30,0,0,0,0,0,0,0,0,0,0,0,0,1775,670,100,265,115,90,45,0,45,0,0,4,0,0,4,1015,50,55,65,75,10,4,105,175,25,75,25,30,320,95,95,0,0,0,0,0,0,0,0,0,0,0,0,282,227,125,78,45,78,50,64,34,41,37,2,19,19,19,26,215,22,58,42,90,73,64,102,114,63,107,49,89,189,43,43,19,19,19,19,19,19,19,19,19,19,19,19,256,186,54,129,65,63,41,19,38,19,19,12,19,19,3,180,36,33,57,40,13,10,52,83,32,51,28,26,121,50,50,19,19,19,19,19,19,19,19,19,19,19,19
2016thru2020,050,0500000US01015,"Calhoun County, Alabama",01,015,44570,31370,5075,1095,695,510,450,600,255,445,275,60,250,4,75,360,25995,50,485,905,1470,870,785,2395,2075,500,1920,500,2355,11685,305,305,0,0,0,0,0,0,0,0,0,0,0,0,13200,4825,1140,1200,600,635,525,215,255,130,50,45,0,0,25,8045,265,475,335,635,465,150,835,925,220,845,215,830,1860,330,330,0,0,0,0,0,0,0,0,0,0,0,0,645,744,552,287,204,149,162,252,150,150,155,48,127,16,62,127,820,37,156,231,373,168,208,425,321,122,380,170,395,770,113,113,29,29,29,29,29,29,29,29,29,29,29,29,700,559,293,277,170,194,215,156,117,129,47,57,29,29,38,688,148,161,162,185,169,73,246,242,119,274,119,266,360,127,127,29,29,29,29,29,29,29,29,29,29,29,29
2016thru2020,050,0500000US01017,"Chambers County, Alabama",01,017,13580,9135,1680,215,250,395,210,180,75,145,10,45,40,35,55,20,7405,0,100,280,280,470,255,815,475,245,615,120,735,3010,45,45,0,0,0,0,0,0,0,0,0,0,0,0,4450,2185,130,330,380,180,495,15,175,75,95,70,0,35,205,2170,50,95,90,65,160,25,95,285,40,170,50,340,705,95,95,0,0,0,0,0,0,0,0,0,0,0,0,418,497,226,92,90,132,108,85,63,74,17,35,46,45,43,25,497,26,66,126,118,158,134,230,137,106,154,48,197,369,39,39,26,26,26,26,26,26,26,26,26,26,26,26,408,360,62,135,169,69,249,26,100,71,130,53,26,60,160,298,47,77,52,45,101,28,64,151,38,93,53,130,167,80,80,26,26,26,26,26,26,26,26,26,26,26,26
2016thru2020,050,0500000US01019,"Cherokee County, Alabama",01,019,10835,8475,1405,185,205,195,130,110,230,120,75,0,25,10,55,70,7015,0,145,255,375,610,175,605,505,70,555,125,645,2950,55,55,0,0,0,0,0,0,0,0,0,0,0,0,2360,670,35,145,285,45,140,15,0,10,0,0,0,0,0,1600,55,155,55,120,105,50,180,275,60,125,45,45,335,90,90,0,0,0,0,0,0,0,0,0,0,0,0,477,452,303,99,95,94,70,61,159,84,52,23,22,14,42,48,463,23,92,113,136,267,98,199,119,46,167,63,151,341,54,54,23,23,23,23,23,23,23,23,23,23,23,23,356,219,36,75,151,42,89,18,23,14,23,23,23,23,23,286,68,122,44,68,77,65,109,143,68,75,55,39,132,67,67,23,23,23,23,23,23,23,23,23,23,23,23
