source,sumlevel,geoid,name,st,cnty,T14A_est1,T14A_est2,T14A_est3,T14A_est4,T14A_est5,T14A_est6,T14A_est7,T14A_est8,T14A_est9,T14A_est10,T14A_est11,T14A_est12,T14A_est13,T14A_est14,T14A_est15,T14A_est16,T14A_est17,T14A_est18,T14A_est19,T14A_moe1,T14A_moe2,T14A_moe3,T14A_moe4,T14A_moe5,T14A_moe6,T14A_moe7,T14A_moe8,T14A_moe9,T14A_moe10,T14A_moe11,T14A_moe12,T14A_moe13,T14A_moe14,T14A_moe15,T14A_moe16,T14A_moe17,T14A_moe18,T14A_moe19
2016thru2020,050,0500000US01001,"Autauga County, Alabama",01,001,140,35,105,25,0,0,25,15,0,0,15,45,0,0,45,20,0,0,20,80,42,71,37,29,29,37,31,29,29,31,41,29,29,41,32,29,29,32
2016thru2020,050,0500000US01003,"Baldwin County, Alabama",01,003,1865,40,1825,165,0,10,160,720,0,215,505,105,0,25,85,835,65,130,640,483,49,481,117,29,14,117,343,29,187,291,86,29,41,71,331,75,98,309
2016thru2020,050,0500000US01005,"Barbour County, Alabama",01,005,235,55,180,75,0,15,60,15,0,15,0,35,0,0,35,60,20,0,40,93,60,69,46,23,16,42,26,23,26,23,34,23,23,34,51,31,23,44
2016thru2020,050,0500000US01007,"Bibb County, Alabama",01,007,70,65,4,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,67,64,14,14,23,23,14,23,23,23,23,23,23,23,23,23,23,23,23
2016thru2020,050,0500000US01009,"Blount County, Alabama",01,009,90,60,30,20,0,4,15,4,0,0,4,4,0,0,4,0,0,0,0,58,41,32,30,29,5,28,1,29,29,1,16,29,29,16,29,29,29,29
2016thru2020,050,0500000US01011,"Bullock County, Alabama",01,011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,19,19,0,19,19,19,19,19,19,19,19,19,19,19,19
2016thru2020,050,0500000US01013,"Butler County, Alabama",01,013,185,115,70,40,0,0,40,4,0,0,4,0,0,0,0,25,0,0,25,92,72,54,44,19,19,44,19,19,19,19,19,19,19,19,27,19,19,27
2016thru2020,050,0500000US01015,"Calhoun County, Alabama",01,015,520,185,335,195,0,20,175,100,0,0,100,20,0,0,20,20,0,4,15,182,114,143,112,29,27,113,79,29,29,79,32,29,29,32,24,29,5,23
2016thru2020,050,0500000US01017,"Chambers County, Alabama",01,017,205,105,95,50,0,25,25,10,0,0,10,35,0,35,0,0,0,0,0,108,80,73,49,26,39,29,17,26,26,17,55,26,55,26,26,26,26,26
2016thru2020,050,0500000US01019,"Cherokee County, Alabama",01,019,205,25,180,55,0,20,40,25,0,0,25,40,0,40,0,55,0,0,55,114,39,110,47,23,32,35,43,23,23,43,47,23,47,23,61,23,23,61
2016thru2020,050,0500000US01021,"Chilton County, Alabama",01,021,390,80,305,45,0,20,30,130,0,60,65,90,0,50,40,40,0,0,40,189,104,167,49,26,33,34,114,26,74,87,101,26,75,60,49,26,26,49
