source,sumlevel,geoid,name,st,cnty,T14B_est1,T14B_est2,T14B_est3,T14B_est4,T14B_est5,T14B_est6,T14B_est7,T14B_est8,T14B_est9,T14B_est10,T14B_est11,T14B_est12,T14B_est13,T14B_est14,T14B_est15,T14B_est16,T14B_est17,T14B_est18,T14B_est19,T14B_moe1,T14B_moe2,T14B_moe3,T14B_moe4,T14B_moe5,T14B_moe6,T14B_moe7,T14B_moe8,T14B_moe9,T14B_moe10,T14B_moe11,T14B_moe12,T14B_moe13,T14B_moe14,T14B_moe15,T14B_moe16,T14B_moe17,T14B_moe18,T14B_moe19
2016thru2020,050,0500000US01001,"Autauga County, Alabama",01,001,160,45,115,15,0,10,4,75,15,15,45,0,0,0,0,25,0,0,25,99,56,84,20,29,14,17,76,26,26,59,29,29,29,29,37,29,29,37
2016thru2020,050,0500000US01003,"Baldwin County, Alabama",01,003,16435,410,16025,1655,95,515,1040,5605,435,2455,2720,5560,990,2340,2230,3205,450,1065,1685,983,214,951,348,89,217,274,677,198,433,493,691,353,596,427,551,211,301,365
2016thru2020,050,0500000US01005,"Barbour County, Alabama",01,005,220,20,205,65,0,25,40,115,30,40,45,25,4,0,15,0,0,0,0,106,29,104,66,23,27,58,93,50,49,62,29,16,23,27,23,23,23,23
2016thru2020,050,0500000US01007,"Bibb County, Alabama",01,007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,23,23,0,23,0,23,23,23,23,23,23,23,23,23
2016thru2020,050,0500000US01009,"Blount County, Alabama",01,009,395,4,390,365,4,210,150,20,0,15,4,0,0,0,0,0,0,0,0,167,9,165,168,17,118,124,21,29,21,4,29,29,29,29,29,29,29,29
2016thru2020,050,0500000US01011,"Bullock County, Alabama",01,011,70,65,4,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,91,96,11,19,19,19,19,11,19,11,19,19,19,19,19,19,19,19,19
2016thru2020,050,0500000US01013,"Butler County, Alabama",01,013,620,230,390,185,10,85,90,155,45,85,25,55,0,55,0,0,0,0,0,166,102,120,90,15,68,65,80,38,63,40,44,19,44,19,19,19,19,19
2016thru2020,050,0500000US01015,"Calhoun County, Alabama",01,015,895,145,750,165,55,65,45,455,210,170,75,115,90,20,4,20,0,0,20,240,101,217,101,61,66,46,187,142,110,62,74,75,37,1,38,29,29,38
2016thru2020,050,0500000US01017,"Chambers County, Alabama",01,017,395,65,330,135,100,0,35,50,10,40,0,145,60,40,40,0,0,0,0,154,52,143,97,90,26,41,53,14,51,26,101,68,69,65,26,26,26,26
2016thru2020,050,0500000US01019,"Cherokee County, Alabama",01,019,300,0,300,165,15,25,125,115,0,20,95,0,0,0,0,25,0,25,0,147,23,147,90,30,29,85,107,23,39,101,23,23,23,23,35,23,35,23
2016thru2020,050,0500000US01021,"Chilton County, Alabama",01,021,270,10,265,4,0,4,0,160,0,10,150,95,25,0,70,0,0,0,0,157,13,157,12,26,12,26,132,26,13,127,101,40,26,92,26,26,26,26
2016thru2020,050,0500000US01023,"Choctaw County, Alabama",01,023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,19,19,19,19,0,0,19,19,19,19,19,19,19,19,19,19
2016thru2020,050,0500000US01025,"Clarke County, Alabama",01,025,125,30,95,60,25,35,0,30,0,0,30,0,0,0,0,0,0,0,0,81,46,73,60,43,42,23,42,23,23,42,23,23,23,23,23,23,23,23
2016thru2020,050,0500000US01027,"Clay County, Alabama",01,027,135,70,60,20,0,20,0,30,0,30,0,15,0,0,15,0,0,0,0,112,90,49,28,19,28,19,34,19,34,19,24,19,19,24,19,19,19,19
2016thru2020,050,0500000US01029,"Cleburne County, Alabama",01,029,80,30,50,0,0,0,0,50,0,25,25,0,0,0,0,0,0,0,0,77,41,62,19,19,19,19,62,19,43,43,19,19,19,19,19,19,19,19
2016thru2020,050,0500000US01031,"Coffee County, Alabama",01,031,630,80,545,275,120,15,140,205,75,100,30,70,0,0,70,0,0,0,0,233,56,222,165,122,22,88,133,80,92,46,95,29,29,95,29,29,29,29
2016thru2020,050,0500000US01033,"Colbert County, Alabama",01,033,695,180,515,225,45,175,4,150,80,40,25,40,15,25,0,100,40,0,60,204,106,182,108,54,87,4,98,68,58,39,45,24,41,29,114,63,29,97
2016thru2020,050,0500000US01035,"Conecuh County, Alabama",01,035,275,75,200,180,0,110,70,20,20,0,0,0,0,0,0,0,0,0,0,152,76,132,128,19,109,63,34,34,19,19,19,19,19,19,19,19,19,19
2016thru2020,050,0500000US01037,"Coosa County, Alabama",01,037,30,0,30,10,0,10,0,20,20,0,0,0,0,0,0,0,0,0,0,29,19,29,19,19,19,19,24,24,19,19,19,19,19,19,19,19,19,19
2016thru2020,050,0500000US01039,"Covington County, Alabama",01,039,175,30,145,100,10,40,45,45,20,4,20,0,0,0,0,0,0,0,0,90,31,85,71,22,42,48,45,28,2,36,26,26,26,26,26,26,26,26
2016thru2020,050,0500000US01041,"Crenshaw County, Alabama",01,041,150,80,70,60,0,45,10,10,0,4,4,4,0,0,4,0,0,0,0,70,54,49,48,19,47,15,13,19,4,2,11,19,19,11,19,19,19,19
2016thru2020,050,0500000US01043,"Cullman County, Alabama",01,043,495,75,420,110,40,45,20,235,105,85,50,75,75,0,0,0,0,0,0,192,72,169,88,65,56,25,125,82,78,53,82,82,29,29,29,29,29,29
2016thru2020,050,0500000US01045,"Dale County, Alabama",01,045,920,190,730,100,0,75,25,500,120,210,170,120,15,20,85,15,15,0,0,291,122,239,83,26,73,42,200,106,109,118,76,24,39,70,24,24,26,26
2016thru2020,050,0500000US01047,"Dallas County, Alabama",01,047,385,135,250,120,20,35,60,85,0,45,40,45,4,0,40,0,0,0,0,149,84,132,95,34,62,65,83,26,53,63,39,16,26,36,26,26,26,26
2016thru2020,050,0500000US01049,"DeKalb County, Alabama",01,049,460,100,360,130,4,60,65,125,50,50,30,4,0,4,0,100,25,75,0,231,94,210,96,11,57,75,126,78,62,43,3,29,3,29,88,37,78,29
2016thru2020,050,0500000US01051,"Elmore County, Alabama",01,051,515,4,510,170,0,55,115,300,0,195,105,40,0,0,40,0,0,0,0,222,7,223,121,29,59,106,154,29,130,89,49,29,29,49,29,29,29,29
2016thru2020,050,0500000US01053,"Escambia County, Alabama",01,053,370,25,345,245,4,135,105,80,0,20,60,20,0,20,0,0,0,0,0,152,31,146,128,9,89,90,76,26,30,70,33,26,33,26,26,26,26,26
2016thru2020,050,0500000US01055,"Etowah County, Alabama",01,055,985,145,840,185,0,85,100,380,135,190,55,225,15,170,40,45,45,0,0,262,92,247,100,29,83,68,154,96,128,53,147,26,122,68,74,74,29,29
2016thru2020,050,0500000US01057,"Fayette County, Alabama",01,057,155,35,120,120,35,30,60,0,0,0,0,0,0,0,0,0,0,0,0,108,56,93,93,53,44,64,19,19,19,19,19,19,19,19,19,19,19,19
2016thru2020,050,0500000US01059,"Franklin County, Alabama",01,059,420,25,400,115,10,65,45,280,0,190,85,0,0,0,0,4,0,0,4,205,35,203,79,14,62,48,179,26,131,112,26,26,26,26,10,26,26,10
2016thru2020,050,0500000US01061,"Geneva County, Alabama",01,061,140,90,50,15,0,4,4,40,30,10,0,0,0,0,0,0,0,0,0,106,97,39,17,23,15,12,34,32,12,23,23,23,23,23,23,23,23,23
