source,sumlevel,geoid,name,st,cnty,T17A_est1,T17A_est2,T17A_est3,T17A_est4,T17A_est5,T17A_est6,T17A_est7,T17A_est8,T17A_est9,T17A_est10,T17A_est11,T17A_est12,T17A_est13,T17A_est14,T17A_est15,T17A_est16,T17A_est17,T17A_est18,T17A_est19,T17A_est20,T17A_est21,T17A_moe1,T17A_moe2,T17A_moe3,T17A_moe4,T17A_moe5,T17A_moe6,T17A_moe7,T17A_moe8,T17A_moe9,T17A_moe10,T17A_moe11,T17A_moe12,T17A_moe13,T17A_moe14,T17A_moe15,T17A_moe16,T17A_moe17,T17A_moe18,T17A_moe19,T17A_moe20,T17A_moe21
2016thru2020,050,0500000US01001,"Autauga County, Alabama",01,001,140,130,40,4,65,20,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,80,75,40,15,55,32,29,29,29,29,29,29,29,29,29,29,27,29,27,29,29
2016thru2020,050,0500000US01003,"Baldwin County, Alabama",01,003,1865,1205,115,460,85,550,145,0,145,0,0,420,0,115,25,285,90,80,15,0,0,483,359,101,240,71,297,148,29,148,29,29,193,29,157,41,133,72,71,22,29,29
2016thru2020,050,0500000US01005,"Barbour County, Alabama",01,005,235,130,65,0,25,40,20,0,0,0,20,15,0,15,0,0,70,55,0,15,0,93,58,44,23,23,44,31,23,23,23,31,26,23,26,23,23,64,59,23,25,23
2016thru2020,050,0500000US01007,"Bibb County, Alabama",01,007,70,35,15,0,0,20,0,0,0,0,0,0,0,0,0,0,40,40,0,0,0,67,36,19,23,23,33,23,23,23,23,23,23,23,23,23,23,58,58,23,23,23
2016thru2020,050,0500000US01009,"Blount County, Alabama",01,009,90,70,55,10,4,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,58,48,41,17,16,29,29,29,29,29,29,29,29,29,29,29,28,28,29,29,29
2016thru2020,050,0500000US01011,"Bullock County, Alabama",01,011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
2016thru2020,050,0500000US01013,"Butler County, Alabama",01,013,185,185,85,15,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,92,63,18,19,58,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
2016thru2020,050,0500000US01015,"Calhoun County, Alabama",01,015,520,435,235,125,20,55,0,0,0,0,0,0,0,0,0,0,80,80,0,0,0,182,184,139,87,32,58,29,29,29,29,29,29,29,29,29,29,65,65,29,29,29
2016thru2020,050,0500000US01017,"Chambers County, Alabama",01,017,205,175,130,10,35,0,30,0,0,0,30,0,0,0,0,0,0,0,0,0,0,108,98,86,17,55,26,46,26,26,26,46,26,26,26,26,26,26,26,26,26,26
2016thru2020,050,0500000US01019,"Cherokee County, Alabama",01,019,205,140,40,25,20,55,0,0,0,0,0,20,0,0,20,0,45,45,0,0,0,114,97,35,43,36,61,23,23,23,23,23,35,23,23,35,23,49,49,23,23,23
2016thru2020,050,0500000US01021,"Chilton County, Alabama",01,021,390,375,75,130,90,80,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,189,187,69,114,101,80,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
2016thru2020,050,0500000US01023,"Choctaw County, Alabama",01,023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
2016thru2020,050,0500000US01025,"Clarke County, Alabama",01,025,145,145,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,142,142,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
2016thru2020,050,0500000US01027,"Clay County, Alabama",01,027,45,45,20,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,44,34,19,19,32,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
2016thru2020,050,0500000US01029,"Cleburne County, Alabama",01,029,35,30,4,0,0,30,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,44,44,3,19,19,43,19,19,19,19,19,19,19,19,19,19,4,4,19,19,19
2016thru2020,050,0500000US01031,"Coffee County, Alabama",01,031,200,140,45,10,70,10,4,4,0,0,0,30,0,0,30,0,25,20,0,0,4,100,87,29,14,82,14,14,14,29,29,29,44,29,29,44,29,21,18,29,29,12
2016thru2020,050,0500000US01033,"Colbert County, Alabama",01,033,150,150,90,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,76,61,44,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
2016thru2020,050,0500000US01035,"Conecuh County, Alabama",01,035,75,30,15,15,0,0,0,0,0,0,0,0,0,0,0,0,40,40,0,0,0,47,28,17,24,19,19,19,19,19,19,19,19,19,19,19,19,35,35,19,19,19
2016thru2020,050,0500000US01037,"Coosa County, Alabama",01,037,100,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,70,57,57,19,19,19,19,19,19,19,19,19,19,19,19,19,40,40,19,19,19
2016thru2020,050,0500000US01039,"Covington County, Alabama",01,039,265,215,130,50,0,35,0,0,0,0,0,0,0,0,0,0,55,55,0,0,0,120,105,76,51,26,37,26,26,26,26,26,26,26,26,26,26,48,48,26,26,26
2016thru2020,050,0500000US01041,"Crenshaw County, Alabama",01,041,65,45,40,0,4,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,46,37,31,19,16,19,19,19,19,19,19,19,19,19,19,19,26,26,19,19,19
2016thru2020,050,0500000US01043,"Cullman County, Alabama",01,043,425,390,180,95,30,80,0,0,0,0,0,0,0,0,0,0,40,15,25,0,0,169,169,139,88,47,67,29,29,29,29,29,29,29,29,29,29,43,17,40,29,29
2016thru2020,050,0500000US01045,"Dale County, Alabama",01,045,85,75,20,20,35,0,4,4,0,0,0,0,0,0,0,0,4,4,0,0,0,73,71,23,37,57,26,8,8,26,26,26,26,26,26,26,26,26,26,26,26,26
2016thru2020,050,0500000US01047,"Dallas County, Alabama",01,047,280,235,150,15,4,60,20,20,0,0,0,0,0,0,0,0,30,30,0,0,0,155,146,94,28,10,96,31,31,26,26,26,26,26,26,26,26,46,46,26,26,26
2016thru2020,050,0500000US01049,"DeKalb County, Alabama",01,049,330,315,190,95,0,30,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,119,113,101,59,29,38,29,29,29,29,29,29,29,29,29,29,19,19,29,29,29
2016thru2020,050,0500000US01051,"Elmore County, Alabama",01,051,540,535,280,185,30,40,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,221,224,149,138,48,49,29,29,29,29,29,29,29,29,29,29,13,13,29,29,29
2016thru2020,050,0500000US01053,"Escambia County, Alabama",01,053,230,230,115,35,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,138,97,48,26,79,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
2016thru2020,050,0500000US01055,"Etowah County, Alabama",01,055,495,425,315,10,55,40,0,0,0,0,0,0,0,0,0,0,70,70,0,0,0,227,210,160,14,87,54,29,29,29,29,29,29,29,29,29,29,70,70,29,29,29
2016thru2020,050,0500000US01057,"Fayette County, Alabama",01,057,195,195,135,25,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,207,155,36,54,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
2016thru2020,050,0500000US01059,"Franklin County, Alabama",01,059,240,130,70,10,20,30,0,0,0,0,0,110,55,0,55,0,0,0,0,0,0,110,91,79,14,36,48,26,26,26,26,26,82,88,26,85,26,26,26,26,26,26
2016thru2020,050,0500000US01061,"Geneva County, Alabama",01,061,135,85,45,15,4,20,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,89,47,39,17,3,23,23,23,23,23,23,23,23,23,23,23,71,71,23,23,23
2016thru2020,050,0500000US01063,"Greene County, Alabama",01,063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
2016thru2020,050,0500000US01065,"Hale County, Alabama",01,065,45,45,0,45,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,19,45,19,3,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
2016thru2020,050,0500000US01067,"Henry County, Alabama",01,067,105,70,35,25,10,4,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,74,59,40,36,21,4,19,19,19,19,19,19,19,19,19,19,44,44,19,19,19
2016thru2020,050,0500000US01069,"Houston County, Alabama",01,069,580,505,215,165,45,80,10,4,4,0,0,0,0,0,0,0,60,60,0,0,0,117,107,68,54,29,49,14,10,10,29,29,29,29,29,29,29,38,38,29,29,29
2016thru2020,050,0500000US01071,"Jackson County, Alabama",01,071,190,170,120,30,20,4,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,106,102,99,35,19,3,29,29,29,29,29,29,29,29,29,29,26,26,29,29,29
2016thru2020,050,0500000US01073,"Jefferson County, Alabama",01,073,2745,2530,1325,455,300,450,0,0,0,0,0,70,0,0,0,70,150,30,0,0,120,608,571,329,225,175,260,29,29,29,29,29,97,29,29,29,97,148,46,29,29,138
2016thru2020,050,0500000US01075,"Lamar County, Alabama",01,075,25,25,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,23,20,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
