source,sumlevel,geoid,name,st,cnty,T17B_est1,T17B_est2,T17B_est3,T17B_est4,T17B_est5,T17B_est6,T17B_est7,T17B_est8,T17B_est9,T17B_est10,T17B_est11,T17B_est12,T17B_est13,T17B_est14,T17B_est15,T17B_est16,T17B_est17,T17B_est18,T17B_est19,T17B_est20,T17B_est21,T17B_moe1,T17B_moe2,T17B_moe3,T17B_moe4,T17B_moe5,T17B_moe6,T17B_moe7,T17B_moe8,T17B_moe9,T17B_moe10,T17B_moe11,T17B_moe12,T17B_moe13,T17B_moe14,T17B_moe15,T17B_moe16,T17B_moe17,T17B_moe18,T17B_moe19,T17B_moe20,T17B_moe21
2016thru2020,050,0500000US01001,"Autauga County, Alabama",01,001,160,130,0,65,45,25,15,0,15,0,0,0,0,0,0,0,15,15,0,0,0,99,88,29,63,57,37,26,29,26,29,29,29,29,29,29,29,20,20,29,29,29
2016thru2020,050,0500000US01003,"Baldwin County, Alabama",01,003,16435,2910,365,655,1010,885,1050,110,510,360,70,11845,1080,4175,4225,2365,635,205,315,115,0,983,600,169,278,439,292,274,80,198,180,59,738,283,577,522,463,283,125,184,118,29
2016thru2020,050,0500000US01005,"Barbour County, Alabama",01,005,220,100,0,85,15,0,15,4,10,0,0,20,15,0,4,0,85,45,40,0,0,106,78,23,75,27,23,21,19,13,23,23,26,24,23,16,23,86,60,62,23,23
2016thru2020,050,0500000US01007,"Bibb County, Alabama",01,007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,23,23,23,23,23,23,23,23,0,23,0,23,23,0,0,23,23,23
2016thru2020,050,0500000US01009,"Blount County, Alabama",01,009,395,75,65,10,0,0,75,75,0,0,0,60,60,0,0,0,180,170,10,0,0,167,82,81,15,29,29,62,62,29,29,29,73,73,29,29,29,112,112,13,29,29
2016thru2020,050,0500000US01011,"Bullock County, Alabama",01,011,70,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,65,0,0,65,0,91,19,19,19,19,19,11,19,11,19,19,19,19,19,19,19,96,19,19,96,19
2016thru2020,050,0500000US01013,"Butler County, Alabama",01,013,620,100,55,30,15,0,285,145,130,10,0,55,10,20,25,0,180,90,95,0,0,166,67,38,36,31,19,97,82,78,20,19,41,18,29,26,19,97,69,66,19,19
2016thru2020,050,0500000US01015,"Calhoun County, Alabama",01,015,895,275,70,200,0,0,140,4,125,10,0,410,120,130,120,40,70,25,25,20,0,240,136,69,110,29,29,107,12,107,13,29,174,93,105,93,47,60,32,41,37,29
2016thru2020,050,0500000US01017,"Chambers County, Alabama",01,017,395,105,45,55,0,0,65,35,10,20,0,205,60,0,145,0,25,0,25,0,0,154,70,43,58,26,26,51,42,14,31,26,126,81,26,101,26,37,26,37,26,26
2016thru2020,050,0500000US01019,"Cherokee County, Alabama",01,019,300,200,80,95,0,25,30,10,20,0,0,15,15,0,0,0,55,55,0,0,0,147,127,62,101,23,35,42,19,39,23,23,30,30,23,23,23,57,57,23,23,23
2016thru2020,050,0500000US01021,"Chilton County, Alabama",01,021,270,85,4,40,35,0,0,0,0,0,0,55,0,55,0,0,130,0,70,60,0,157,72,12,54,45,26,26,26,26,26,26,89,26,89,26,26,111,26,71,88,26
2016thru2020,050,0500000US01023,"Choctaw County, Alabama",01,023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,19,19,19,19,19,19,19,19,0,19,0,19,19,19,19,19,19,19
2016thru2020,050,0500000US01025,"Clarke County, Alabama",01,025,125,30,0,30,0,0,40,40,0,0,0,55,25,30,0,0,0,0,0,0,0,81,46,23,46,23,23,48,48,23,23,23,55,39,42,23,23,23,23,23,23,23
2016thru2020,050,0500000US01027,"Clay County, Alabama",01,027,135,85,10,0,75,0,4,4,0,0,0,45,15,30,0,0,0,0,0,0,0,112,93,21,19,91,19,14,14,19,19,19,41,25,34,19,19,19,19,19,19,19
2016thru2020,050,0500000US01029,"Cleburne County, Alabama",01,029,80,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,0,0,77,41,41,19,19,19,19,19,19,19,19,19,19,19,19,19,62,19,62,19,19
2016thru2020,050,0500000US01031,"Coffee County, Alabama",01,031,630,290,195,30,70,0,175,120,55,0,0,130,0,130,0,0,30,20,15,0,0,233,137,102,39,95,29,144,122,76,29,29,113,29,113,29,29,21,19,17,29,29
