source,sumlevel,geoid,name,st,cnty,T9_est1,T9_est2,T9_est3,T9_est4,T9_est5,T9_est6,T9_est7,T9_est8,T9_est9,T9_est10,T9_est11,T9_est12,T9_est13,T9_est14,T9_est15,T9_est16,T9_est17,T9_est18,T9_est19,T9_est20,T9_est21,T9_est22,T9_est23,T9_est24,T9_est25,T9_est26,T9_est27,T9_est28,T9_est29,T9_est30,T9_est31,T9_est32,T9_est33,T9_est34,T9_est35,T9_est36,T9_est37,T9_est38,T9_est39,T9_est40,T9_est41,T9_est42,T9_est43,T9_est44,T9_est45,T9_est46,T9_est47,T9_est48,T9_est49,T9_est50,T9_est51,T9_est52,T9_est53,T9_est54,T9_est55,T9_est56,T9_est57,T9_est58,T9_est59,T9_est60,T9_est61,T9_est62,T9_est63,T9_est64,T9_est65,T9_est66,T9_est67,T9_est68,T9_est69,T9_est70,T9_est71,T9_est72,T9_est73,T9_moe1,T9_moe2,T9_moe3,T9_moe4,T9_moe5,T9_moe6,T9_moe7,T9_moe8,T9_moe9,T9_moe10,T9_moe11,T9_moe12,T9_moe13,T9_moe14,T9_moe15,T9_moe16,T9_moe17,T9_moe18,T9_moe19,T9_moe20,T9_moe21,T9_moe22,T9_moe23,T9_moe24,T9_moe25,T9_moe26,T9_moe27,T9_moe28,T9_moe29,T9_moe30,T9_moe31,T9_moe32,T9_moe33,T9_moe34,T9_moe35,T9_moe36,T9_moe37,T9_moe38,T9_moe39,T9_moe40,T9_moe41,T9_moe42,T9_moe43,T9_moe44,T9_moe45,T9_moe46,T9_moe47,T9_moe48,T9_moe49,T9_moe50,T9_moe51,T9_moe52,T9_moe53,T9_moe54,T9_moe55,T9_moe56,T9_moe57,T9_moe58,T9_moe59,T9_moe60,T9_moe61,T9_moe62,T9_moe63,T9_moe64,T9_moe65,T9_moe66,T9_moe67,T9_moe68,T9_moe69,T9_moe70,T9_moe71,T9_moe72,T9_moe73
2016thru2020,050,0500000US01001,"Autauga County, Alabama",01,001,21560,16090,12975,10895,950,1085,40,2450,1465,525,400,65,85,85,0,0,0,20,20,0,0,0,0,0,0,0,0,305,270,35,0,0,255,85,45,125,0,5470,3540,2470,380,650,35,1485,690,225,520,45,120,100,0,0,20,0,0,0,0,0,0,0,0,0,0,270,270,0,0,4,60,20,4,40,0,365,551,463,485,206,282,53,277,250,196,159,90,72,72,29,29,29,25,25,29,29,29,29,29,29,29,29,127,132,40,29,29,155,66,52,124,29,537,501,452,161,221,35,211,187,98,168,46,102,97,29,29,34,29,29,29,29,29,29,29,29,29,29,162,166,29,29,5,90,55,6,60,29
2016thru2020,050,0500000US01003,"Baldwin County, Alabama",01,003,84045,64715,57085,46720,5730,4390,245,4125,2945,615,530,40,505,405,85,4,4,400,185,150,45,25,0,0,0,0,0,1855,1415,175,255,10,745,495,55,195,0,19330,15490,10050,2735,2545,160,2495,1340,735,385,35,90,90,0,0,0,85,55,0,30,0,0,0,0,0,0,1020,535,90,350,45,145,20,45,80,0,1144,1320,1348,1414,830,846,118,498,457,250,144,40,168,155,104,6,12,148,112,184,46,33,29,29,29,29,29,391,380,130,198,26,254,202,53,167,29,1186,994,930,522,506,118,481,414,282,203,36,94,94,29,29,29,85,77,29,32,29,29,29,29,29,29,307,252,76,201,68,110,36,58,80,29
2016thru2020,050,0500000US01005,"Barbour County, Alabama",01,005,9320,5775,3525,3075,255,175,25,2125,1615,220,225,70,20,15,4,0,0,10,10,0,0,0,0,0,0,0,0,35,30,0,0,4,55,45,0,0,10,3545,1175,745,210,135,80,1990,885,435,460,215,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,255,135,45,10,65,95,20,50,25,0,338,338,218,225,80,72,21,252,211,85,92,37,22,23,7,23,23,13,13,23,23,23,23,23,23,23,23,34,31,23,23,9,48,43,23,23,17,330,184,151,91,63,73,243,179,132,152,82,25,25,23,23,23,23,23,23,23,23,23,23,23,23,23,57,66,51,15,62,68,25,58,29,23
2016thru2020,050,0500000US01007,"Bibb County, Alabama",01,007,7260,5430,4630,4075,350,190,15,680,465,170,45,0,35,35,0,0,0,4,4,0,0,0,0,0,0,0,0,75,75,0,0,0,4,4,0,0,0,1830,1110,875,100,125,10,660,125,210,290,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,55,4,0,0,4,4,0,0,0,299,346,243,274,137,103,29,201,168,137,59,23,54,54,23,23,23,18,18,23,23,23,23,23,23,23,23,72,72,23,23,23,6,6,23,23,23,316,238,215,70,91,13,237,67,205,232,48,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,37,38,3,23,23,1,1,23,23,23
2016thru2020,050,0500000US01009,"Blount County, Alabama",01,009,21205,16130,14840,12600,1240,800,200,85,70,10,4,0,40,40,0,0,0,20,10,10,0,0,0,0,0,0,0,925,820,75,4,25,220,130,75,20,0,5075,4350,2840,680,600,230,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,580,180,150,225,30,130,90,35,4,0,429,602,564,544,228,231,123,41,40,15,4,29,38,38,29,29,29,24,15,21,29,29,29,29,29,29,29,181,169,82,5,31,100,58,84,23,29,587,510,442,219,206,114,15,15,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,182,127,131,113,43,83,62,48,13,29
2016thru2020,050,0500000US01011,"Bullock County, Alabama",01,011,3430,2530,770,700,65,4,0,1725,1365,70,160,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,20,0,0,15,0,0,0,0,0,900,45,40,0,10,0,640,230,245,135,30,80,0,0,0,80,0,0,0,0,0,0,0,0,0,0,130,130,0,0,0,0,0,0,0,0,196,251,125,115,61,12,19,240,239,51,78,90,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,49,41,19,19,28,19,19,19,19,19,211,30,29,19,16,19,183,103,127,73,48,69,19,19,19,69,19,19,19,19,19,19,19,19,19,19,119,119,19,19,19,19,19,19,19,19
2016thru2020,050,0500000US01013,"Butler County, Alabama",01,013,6650,4870,3155,2890,160,95,10,1545,1155,275,105,4,10,10,0,0,0,50,50,0,0,0,0,0,0,0,0,90,15,0,55,20,20,15,4,0,0,1775,635,440,80,90,25,1065,585,160,250,70,35,20,0,15,0,0,0,0,0,0,0,0,0,0,0,40,0,10,30,0,0,0,0,0,0,282,227,160,154,66,49,14,160,162,87,58,10,19,19,19,19,19,35,35,19,19,19,19,19,19,19,19,84,24,19,64,39,18,17,9,19,19,256,126,107,48,51,24,195,138,76,120,46,24,22,19,23,19,19,19,19,19,19,19,19,19,19,19,60,19,30,53,19,19,19,19,19,19
2016thru2020,050,0500000US01015,"Calhoun County, Alabama",01,015,44570,31370,25130,21605,2160,1195,170,4730,3630,615,405,80,260,195,30,0,35,90,70,4,10,10,4,4,0,0,0,675,535,100,20,20,475,310,30,120,10,13200,7310,5065,1180,880,185,4875,2570,985,1200,120,70,60,4,0,0,20,4,0,10,0,0,0,0,0,0,525,395,85,45,0,405,130,120,140,20,645,744,723,773,388,247,72,369,321,178,182,47,111,124,39,29,48,55,52,7,15,17,10,10,29,29,29,158,153,82,26,33,190,144,48,105,21,700,605,526,259,219,91,480,389,258,291,85,63,63,12,29,29,24,14,29,24,29,29,29,29,29,29,160,154,76,44,29,170,66,99,97,30
2016thru2020,050,0500000US01017,"Chambers County, Alabama",01,017,13580,9135,5940,5110,500,290,35,3050,2265,380,375,30,10,10,0,0,0,20,20,0,0,0,0,0,0,0,0,75,45,30,0,0,40,20,20,0,4,4450,1870,1205,440,190,35,2230,1620,265,270,80,110,100,0,10,0,30,15,0,15,0,0,0,0,0,0,185,90,85,10,0,20,10,10,0,0,418,497,299,328,143,94,34,314,312,117,134,36,24,24,26,26,26,34,34,26,26,26,26,26,26,26,26,59,37,46,26,26,27,19,22,26,9,408,321,233,208,105,43,290,290,110,107,86,52,51,26,17,26,31,28,26,27,26,26,26,26,26,26,75,49,72,18,26,25,15,16,26,26
2016thru2020,050,0500000US01019,"Cherokee County, Alabama",01,019,10835,8475,7915,6570,840,450,55,305,280,20,0,0,4,0,0,4,0,65,65,0,0,0,0,0,0,0,0,115,115,0,0,0,70,70,0,0,0,2360,2085,1450,380,190,65,130,110,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,55,10,0,40,45,45,0,0,0,477,452,454,467,240,158,54,104,101,31,23,23,18,23,23,18,23,71,71,23,23,23,23,23,23,23,23,79,79,23,23,23,59,59,23,23,23,356,344,269,162,91,49,97,93,31,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,61,55,19,23,42,58,58,23,23,23
2016thru2020,050,0500000US01021,"Chilton County, Alabama",01,021,17140,12880,11310,9680,735,765,125,850,690,75,85,0,20,15,4,0,0,4,4,0,0,0,0,0,0,0,0,495,400,4,95,0,200,180,0,25,0,4260,2695,1670,475,480,70,1030,845,95,85,4,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,390,320,4,65,0,130,45,40,45,0,358,578,498,518,227,264,63,150,157,53,69,26,29,26,13,26,26,32,32,26,26,26,26,26,26,26,26,178,138,24,137,26,182,180,26,38,26,536,430,366,172,176,53,316,266,87,105,4,20,20,26,26,26,26,26,26,26,26,26,26,26,26,26,158,156,5,61,26,118,64,61,55,26
2016thru2020,050,0500000US01023,"Choctaw County, Alabama",01,023,5330,4350,2665,2400,155,60,50,1630,1305,140,170,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,45,45,4,0,0,980,485,355,90,40,4,465,305,100,30,35,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,25,10,0,15,0,4,4,0,0,0,256,252,187,188,66,38,41,162,171,77,81,14,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,16,16,19,19,19,48,46,3,19,19,197,144,103,85,42,4,136,102,58,41,28,19,19,19,19,19,5,19,5,19,19,19,19,19,19,19,32,22,19,24,19,5,5,19,19,19
2016thru2020,050,0500000US01025,"Clarke County, Alabama",01,025,9325,6760,4065,3355,270,370,75,2555,1875,240,265,180,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,0,0,0,45,35,10,0,0,2560,1170,800,200,105,65,1370,560,330,180,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,10,0,15,0,0,0,0,0,0,439,452,287,295,87,118,49,283,240,79,118,118,41,41,23,23,23,23,23,23,23,23,23,23,23,23,23,34,34,23,23,23,46,42,17,23,23,387,267,213,125,77,61,286,178,168,106,174,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,31,19,23,26,23,23,23,23,23,23
2016thru2020,050,0500000US01027,"Clay County, Alabama",01,027,5155,3945,3435,2995,215,210,15,465,345,95,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,0,0,0,15,15,0,0,0,1205,755,560,130,50,15,410,265,95,35,15,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,30,20,0,0,4,0,0,0,0,0,267,278,261,241,87,93,19,94,94,61,14,30,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,44,44,19,19,19,26,26,19,19,19,172,174,146,76,41,18,126,95,66,31,24,20,20,19,19,19,19,19,19,19,19,19,19,19,19,19,36,35,19,19,15,19,19,19,19,19
2016thru2020,050,0500000US01029,"Cleburne County, Alabama",01,029,5835,4515,4205,3675,290,175,60,180,45,135,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,50,30,0,15,0,70,30,0,40,0,1320,1200,730,210,130,130,90,70,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0,195,258,238,248,90,68,38,109,55,117,19,19,19,19,19,19,19,24,24,19,19,19,19,19,19,19,19,25,26,19,21,19,27,21,19,39,19,266,245,188,109,78,107,73,58,34,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,24,24,19,19,19,19,19,19,19,19
2016thru2020,050,0500000US01031,"Coffee County, Alabama",01,031,19950,13525,10915,9430,815,585,85,1370,1070,220,45,30,40,40,0,0,0,210,140,40,30,0,0,0,0,0,0,760,580,50,120,10,235,195,20,15,0,6425,3590,2510,475,555,50,1955,1145,340,435,40,65,65,0,0,0,55,55,0,0,0,0,0,0,0,0,565,395,45,85,45,190,160,10,25,0,459,513,439,447,158,189,47,176,176,82,35,36,49,49,29,29,29,65,65,45,25,29,29,29,29,29,29,154,134,39,92,14,72,61,21,20,29,482,379,270,146,177,29,277,229,135,169,32,58,58,29,29,29,43,43,29,29,29,29,29,29,29,29,186,158,40,64,50,138,128,13,39,29
2016thru2020,050,0500000US01033,"Colbert County, Alabama",01,033,21795,15610,13395,11235,1075,945,140,1750,1355,235,160,4,55,45,0,10,0,135,125,0,10,0,0,0,0,0,0,155,125,30,0,0,120,120,0,0,0,6190,3915,2310,945,595,65,1930,1150,280,330,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,75,110,15,0,145,95,0,35,10,516,488,442,472,241,272,82,212,228,114,89,4,29,30,29,14,29,118,111,29,21,29,29,29,29,29,29,71,63,36,29,29,72,72,29,29,29,550,434,298,276,152,60,349,297,150,167,144,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,91,62,76,25,29,113,104,29,44,20
2016thru2020,050,0500000US01035,"Conecuh County, Alabama",01,035,4585,3425,2030,1760,145,80,40,1375,1120,65,145,50,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1160,340,265,15,15,45,805,600,100,70,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,4,4,0,0,0,297,304,207,198,80,49,46,213,201,58,81,45,19,19,19,19,19,26,26,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,224,101,81,24,27,59,218,186,95,60,64,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,18,18,19,19,19,4,4,19,19,19
2016thru2020,050,0500000US01037,"Coosa County, Alabama",01,037,4015,3255,2265,2035,115,115,0,955,765,120,65,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,0,0,10,10,0,0,0,760,445,355,70,10,10,280,140,115,20,10,0,0,0,0,0,25,0,25,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,203,207,172,185,68,70,19,154,161,91,49,16,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,34,19,34,19,19,13,13,19,19,19,192,137,126,56,19,16,139,76,120,26,16,19,19,19,19,19,38,19,38,19,19,19,19,19,19,19,15,15,19,19,19,19,19,19,19,19
2016thru2020,050,0500000US01039,"Covington County, Alabama",01,039,14995,11135,9970,8520,845,495,110,805,625,55,110,25,50,45,0,4,0,75,40,15,20,0,0,0,0,0,0,115,90,15,4,4,125,125,0,0,0,3860,2810,1740,410,370,285,910,425,155,270,60,30,0,0,30,0,0,0,0,0,0,0,0,0,0,0,35,4,0,25,10,75,35,10,25,0,400,354,293,373,200,145,63,135,121,41,79,26,32,29,26,8,26,59,52,22,26,26,26,26,26,26,26,49,43,16,8,16,66,66,26,26,26,345,297,214,135,102,146,180,114,97,106,52,35,26,26,35,26,26,26,26,26,26,26,26,26,26,26,27,4,26,23,18,54,46,15,35,26
