Code,Year,Estimate,MOE,source,sumlevel,geoid,county,state,st,cnty,fips,Line_Type,Tenure,Facilities,Home price,Number of bedrooms
T14A_est1,2012,455,206,2008thru2012,050,05000US51001,Accomack County, Virginia,51,001,51001,Total,Total: Vacant-for-sale housing units,All,All,All
T14A_est2,2012,55,64,2008thru2012,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Vacant-for-sale,housing unit lacks complete kitchen or plumbing facilities,All,All
T14A_est3,2012,400,198,2008thru2012,050,05000US51001,Accomack County, Virginia,51,001,51001,Subtotal,Vacant-for-sale,housing unit has complete kitchen and plumbing facilities,All,All
T14A_est4,2012,145,119,2008thru2012,050,05000US51001,Accomack County, Virginia,51,001,51001,Subtotal,Vacant-for-sale,housing unit has complete kitchen and plumbing facilities,less than or equal to VHUD50,All
T14A_est5,2012,0,26,2008thru2012,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Vacant-for-sale,housing unit has complete kitchen and plumbing facilities,less than or equal to VHUD50,0 or 1
T14A_est6,2012,45,73,2008thru2012,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Vacant-for-sale,housing unit has complete kitchen and plumbing facilities,less than or equal to VHUD50,2
T14A_est7,2012,95,97,2008thru2012,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Vacant-for-sale,housing unit has complete kitchen and plumbing facilities,less than or equal to VHUD50,3 or more
T14A_est8,2012,45,50,2008thru2012,050,05000US51001,Accomack County, Virginia,51,001,51001,Subtotal,Vacant-for-sale,housing unit has complete kitchen and plumbing facilities,greater than VHUD50 but less than or equal to VHUD80,All
T14A_est9,2012,30,46,2008thru2012,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Vacant-for-sale,housing unit has complete kitchen and plumbing facilities,greater than VHUD50 but less than or equal to VHUD80,0 or 1
T14A_est10,2012,10,14,2008thru2012,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Vacant-for-sale,housing unit has complete kitchen and plumbing facilities,greater than VHUD50 but less than or equal to VHUD80,2
T14A_est11,2012,4,6,2008thru2012,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Vacant-for-sale,housing unit has complete kitchen and plumbing facilities,greater than VHUD50 but less than or equal to VHUD80,3 or more
T14A_est12,2012,0,26,2008thru2012,050,05000US51001,Accomack County, Virginia,51,001,51001,Subtotal,Vacant-for-sale,housing unit has complete kitchen and plumbing facilities,greater than VHUD80 but less than or equal to VHUD100,All
T14A_est13,2012,0,26,2008thru2012,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Vacant-for-sale,housing unit has complete kitchen and plumbing facilities,greater than VHUD80 but less than or equal to VHUD100,0 or 1
T14A_est14,2012,0,26,2008thru2012,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Vacant-for-sale,housing unit has complete kitchen and plumbing facilities,greater than VHUD80 but less than or equal to VHUD100,2
T14A_est15,2012,0,26,2008thru2012,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Vacant-for-sale,housing unit has complete kitchen and plumbing facilities,greater than VHUD80 but less than or equal to VHUD100,3 or more
