Code,Year,Estimate,MOE,source,sumlevel,geoid,county,state,st,cnty,fips,Line_Type,Tenure,Asking price
T17A_est1,2012,455,206,2008thru2012,050,05000US51001,Accomack County, Virginia,51,001,51001,Total,Total: Vacant-for-sale housing units,All
T17A_est2,2012,405,184,2008thru2012,050,05000US51001,Accomack County, Virginia,51,001,51001,Subtotal,One unit in structure,All
T17A_est3,2012,145,120,2008thru2012,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,One unit in structure,Value less than or equal to VHUD50
T17A_est4,2012,15,18,2008thru2012,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,One unit in structure,Value greater than VHUD50 and less than or equal to VHUD80
T17A_est5,2012,0,26,2008thru2012,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,One unit in structure,Value greater than VHUD80 and less than or equal to VHUD100
T17A_est6,2012,245,132,2008thru2012,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,One unit in structure,Value greater than VHUD100
T17A_est7,2012,0,26,2008thru2012,050,05000US51001,Accomack County, Virginia,51,001,51001,Subtotal,2 to 4 units in structure,All
T17A_est8,2012,0,26,2008thru2012,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,2 to 4 units in structure,Value less than or equal to VHUD50
T17A_est9,2012,0,26,2008thru2012,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,2 to 4 units in structure,Value greater than VHUD50 and less than or equal to VHUD80
T17A_est10,2012,0,26,2008thru2012,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,2 to 4 units in structure,Value greater than VHUD80 and less than or equal to VHUD100
T17A_est11,2012,0,26,2008thru2012,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,2 to 4 units in structure,Value greater than VHUD100
T17A_est12,2012,30,46,2008thru2012,050,05000US51001,Accomack County, Virginia,51,001,51001,Subtotal,5 or more units in structure,All
T17A_est13,2012,0,26,2008thru2012,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,5 or more units in structure,Value less than or equal to VHUD50
T17A_est14,2012,30,46,2008thru2012,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,5 or more units in structure,Value greater than VHUD50 and less than or equal to VHUD80
T17A_est15,2012,0,26,2008thru2012,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,5 or more units in structure,Value greater than VHUD80 and less than or equal to VHUD100
T17A_est16,2012,0,26,2008thru2012,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,5 or more units in structure,Value greater than VHUD100
T17A_est17,2012,25,42,2008thru2012,050,05000US51001,Accomack County, Virginia,51,001,51001,Subtotal,"Other structure type (mobile homes, etc.)",All
T17A_est18,2012,25,42,2008thru2012,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,"Other structure type (mobile homes, etc.)",Value less than or equal to VHUD50
T17A_est19,2012,0,26,2008thru2012,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,"Other structure type (mobile homes, etc.)",Value greater than VHUD50 and less than or equal to VHUD80
T17A_est20,2012,0,26,2008thru2012,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,"Other structure type (mobile homes, etc.)",Value greater than VHUD80 and less than or equal to VHUD100
T17A_est21,2012,0,26,2008thru2012,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,"Other structure type (mobile homes, etc.)",Value greater than VHUD100
T17A_est1,2012,300,162,2008thru2012,050,05000US51003,Albemarle County, Virginia,51,003,51003,Total,Total: Vacant-for-sale housing units,All
T17A_est2,2012,210,137,2008thru2012,050,05000US51003,Albemarle County, Virginia,51,003,51003,Subtotal,One unit in structure,All
T17A_est3,2012,60,66,2008thru2012,050,05000US51003,Albemarle County, Virginia,51,003,51003,Detail,One unit in structure,Value less than or equal to VHUD50
T17A_est4,2012,0,29,2008thru2012,050,05000US51003,Albemarle County, Virginia,51,003,51003,Detail,One unit in structure,Value greater than VHUD50 and less than or equal to VHUD80
T17A_est5,2012,90,102,2008thru2012,050,05000US51003,Albemarle County, Virginia,51,003,51003,Detail,One unit in structure,Value greater than VHUD80 and less than or equal to VHUD100
T17A_est6,2012,60,39,2008thru2012,050,05000US51003,Albemarle County, Virginia,51,003,51003,Detail,One unit in structure,Value greater than VHUD100
T17A_est7,2012,30,43,2008thru2012,050,05000US51003,Albemarle County, Virginia,51,003,51003,Subtotal,2 to 4 units in structure,All
T17A_est8,2012,0,29,2008thru2012,050,05000US51003,Albemarle County, Virginia,51,003,51003,Detail,2 to 4 units in structure,Value less than or equal to VHUD50
T17A_est9,2012,0,29,2008thru2012,050,05000US51003,Albemarle County, Virginia,51,003,51003,Detail,2 to 4 units in structure,Value greater than VHUD50 and less than or equal to VHUD80
T17A_est10,2012,0,29,2008thru2012,050,05000US51003,Albemarle County, Virginia,51,003,51003,Detail,2 to 4 units in structure,Value greater than VHUD80 and less than or equal to VHUD100
T17A_est11,2012,30,43,2008thru2012,050,05000US51003,Albemarle County, Virginia,51,003,51003,Detail,2 to 4 units in structure,Value greater than VHUD100
T17A_est12,2012,60,74,2008thru2012,050,05000US51003,Albemarle County, Virginia,51,003,51003,Subtotal,5 or more units in structure,All
T17A_est13,2012,0,29,2008thru2012,050,05000US51003,Albemarle County, Virginia,51,003,51003,Detail,5 or more units in structure,Value less than or equal to VHUD50
T17A_est14,2012,40,65,2008thru2012,050,05000US51003,Albemarle County, Virginia,51,003,51003,Detail,5 or more units in structure,Value greater than VHUD50 and less than or equal to VHUD80
T17A_est15,2012,0,29,2008thru2012,050,05000US51003,Albemarle County, Virginia,51,003,51003,Detail,5 or more units in structure,Value greater than VHUD80 and less than or equal to VHUD100
T17A_est16,2012,25,36,2008thru2012,050,05000US51003,Albemarle County, Virginia,51,003,51003,Detail,5 or more units in structure,Value greater than VHUD100
