Code,Year,Estimate,MOE,source,sumlevel,geoid,county,state,st,cnty,fips,Line_Type,Tenure,Rent
T17B_est1,2012,240,145,2008thru2012,050,05000US51001,Accomack County, Virginia,51,001,51001,Total,Total: Vacant-for-rent housing units,All
T17B_est2,2012,115,91,2008thru2012,050,05000US51001,Accomack County, Virginia,51,001,51001,Subtotal,One unit in structure,All
T17B_est3,2012,4,9,2008thru2012,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,One unit in structure,Rent less than or equal to RHUD30
T17B_est4,2012,45,48,2008thru2012,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,One unit in structure,Rent greater than RHUD30 and less than or equal to RHUD50
T17B_est5,2012,10,13,2008thru2012,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,One unit in structure,Rent greater than RHUD50 and less than or equal to RHUD80
T17B_est6,2012,55,75,2008thru2012,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,One unit in structure,Rent greater than RHUD80
T17B_est7,2012,15,18,2008thru2012,050,05000US51001,Accomack County, Virginia,51,001,51001,Subtotal,2 to 4 units in structure,All
T17B_est8,2012,0,26,2008thru2012,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,2 to 4 units in structure,Rent less than or equal to RHUD30
T17B_est9,2012,0,26,2008thru2012,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,2 to 4 units in structure,Rent greater than RHUD30 and less than or equal to RHUD50
T17B_est10,2012,10,13,2008thru2012,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,2 to 4 units in structure,Rent greater than RHUD50 and less than or equal to RHUD80
T17B_est11,2012,4,10,2008thru2012,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,2 to 4 units in structure,Rent greater than RHUD80
T17B_est12,2012,75,100,2008thru2012,050,05000US51001,Accomack County, Virginia,51,001,51001,Subtotal,5 or more units in structure,All
T17B_est13,2012,0,26,2008thru2012,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,5 or more units in structure,Rent less than or equal to RHUD30
T17B_est14,2012,20,23,2008thru2012,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,5 or more units in structure,Rent greater than RHUD30 and less than or equal to RHUD50
T17B_est15,2012,55,89,2008thru2012,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,5 or more units in structure,Rent greater than RHUD50 and less than or equal to RHUD80
T17B_est16,2012,0,26,2008thru2012,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,5 or more units in structure,Rent greater than RHUD80
T17B_est17,2012,35,59,2008thru2012,050,05000US51001,Accomack County, Virginia,51,001,51001,Subtotal,"Other structure type (mobile homes, etc.)",All
T17B_est18,2012,0,26,2008thru2012,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,"Other structure type (mobile homes, etc.)",Rent less than or equal to RHUD30
T17B_est19,2012,35,59,2008thru2012,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,"Other structure type (mobile homes, etc.)",Rent greater than RHUD30 and less than or equal to RHUD50
T17B_est20,2012,0,26,2008thru2012,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,"Other structure type (mobile homes, etc.)",Rent greater than RHUD50 and less than or equal to RHUD80
T17B_est21,2012,0,26,2008thru2012,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,"Other structure type (mobile homes, etc.)",Rent greater than RHUD80
T17B_est1,2012,1615,346,2008thru2012,050,05000US51003,Albemarle County, Virginia,51,003,51003,Total,Total: Vacant-for-rent housing units,All
T17B_est2,2012,500,162,2008thru2012,050,05000US51003,Albemarle County, Virginia,51,003,51003,Subtotal,One unit in structure,All
T17B_est3,2012,70,74,2008thru2012,050,05000US51003,Albemarle County, Virginia,51,003,51003,Detail,One unit in structure,Rent less than or equal to RHUD30
T17B_est4,2012,255,132,2008thru2012,050,05000US51003,Albemarle County, Virginia,51,003,51003,Detail,One unit in structure,Rent greater than RHUD30 and less than or equal to RHUD50
T17B_est5,2012,105,91,2008thru2012,050,05000US51003,Albemarle County, Virginia,51,003,51003,Detail,One unit in structure,Rent greater than RHUD50 and less than or equal to RHUD80
T17B_est6,2012,70,73,2008thru2012,050,05000US51003,Albemarle County, Virginia,51,003,51003,Detail,One unit in structure,Rent greater than RHUD80
T17B_est7,2012,100,112,2008thru2012,050,05000US51003,Albemarle County, Virginia,51,003,51003,Subtotal,2 to 4 units in structure,All
T17B_est8,2012,0,29,2008thru2012,050,05000US51003,Albemarle County, Virginia,51,003,51003,Detail,2 to 4 units in structure,Rent less than or equal to RHUD30
T17B_est9,2012,4,9,2008thru2012,050,05000US51003,Albemarle County, Virginia,51,003,51003,Detail,2 to 4 units in structure,Rent greater than RHUD30 and less than or equal to RHUD50
T17B_est10,2012,95,109,2008thru2012,050,05000US51003,Albemarle County, Virginia,51,003,51003,Detail,2 to 4 units in structure,Rent greater than RHUD50 and less than or equal to RHUD80
T17B_est11,2012,0,29,2008thru2012,050,05000US51003,Albemarle County, Virginia,51,003,51003,Detail,2 to 4 units in structure,Rent greater than RHUD80
T17B_est12,2012,975,314,2008thru2012,050,05000US51003,Albemarle County, Virginia,51,003,51003,Subtotal,5 or more units in structure,All
T17B_est13,2012,70,68,2008thru2012,050,05000US51003,Albemarle County, Virginia,51,003,51003,Detail,5 or more units in structure,Rent less than or equal to RHUD30
