Code,Year,Estimate,MOE,source,sumlevel,geoid,county,state,st,cnty,fips,Line_Type,Tenure,Facilities,Rent,Number of bedrooms
T14B_est1,2012,240,145,2008thru2012,050,05000US51001,Accomack County, Virginia,51,001,51001,Total,Total: Vacant-for-rent housing units,All,All,All
T14B_est2,2012,4,4,2008thru2012,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Vacant-for-rent,housing unit lacks complete kitchen or plumbing facilities,All,All
T14B_est3,2012,235,145,2008thru2012,050,05000US51001,Accomack County, Virginia,51,001,51001,Subtotal,Vacant-for-rent,housing unit has complete kitchen and plumbing facilities,All,All
T14B_est4,2012,4,9,2008thru2012,050,05000US51001,Accomack County, Virginia,51,001,51001,Subtotal,Vacant-for-rent,housing unit has complete kitchen and plumbing facilities,less than or equal to RHUD30,All
T14B_est5,2012,0,26,2008thru2012,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Vacant-for-rent,housing unit has complete kitchen and plumbing facilities,less than or equal to RHUD30,0 or 1
T14B_est6,2012,4,9,2008thru2012,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Vacant-for-rent,housing unit has complete kitchen and plumbing facilities,less than or equal to RHUD30,2
T14B_est7,2012,0,26,2008thru2012,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Vacant-for-rent,housing unit has complete kitchen and plumbing facilities,less than or equal to RHUD30,3 or more
T14B_est8,2012,100,79,2008thru2012,050,05000US51001,Accomack County, Virginia,51,001,51001,Subtotal,Vacant-for-rent,housing unit has complete kitchen and plumbing facilities,greater than RHUD30 but less than or equal to RHUD50,All
T14B_est9,2012,10,13,2008thru2012,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Vacant-for-rent,housing unit has complete kitchen and plumbing facilities,greater than RHUD30 but less than or equal to RHUD50,0 or 1
T14B_est10,2012,45,62,2008thru2012,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Vacant-for-rent,housing unit has complete kitchen and plumbing facilities,greater than RHUD30 but less than or equal to RHUD50,2
T14B_est11,2012,45,48,2008thru2012,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Vacant-for-rent,housing unit has complete kitchen and plumbing facilities,greater than RHUD30 but less than or equal to RHUD50,3 or more
T14B_est12,2012,70,92,2008thru2012,050,05000US51001,Accomack County, Virginia,51,001,51001,Subtotal,Vacant-for-rent,housing unit has complete kitchen and plumbing facilities,greater than RHUD50 but less than or equal to RHUD80,All
T14B_est13,2012,55,89,2008thru2012,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Vacant-for-rent,housing unit has complete kitchen and plumbing facilities,greater than RHUD50 but less than or equal to RHUD80,0 or 1
T14B_est14,2012,15,18,2008thru2012,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Vacant-for-rent,housing unit has complete kitchen and plumbing facilities,greater than RHUD50 but less than or equal to RHUD80,2
T14B_est15,2012,0,26,2008thru2012,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Vacant-for-rent,housing unit has complete kitchen and plumbing facilities,greater than RHUD50 but less than or equal to RHUD80,3 or more
T14B_est16,2012,60,77,2008thru2012,050,05000US51001,Accomack County, Virginia,51,001,51001,Subtotal,Vacant-for-rent,housing unit has complete kitchen and plumbing facilities,greater than RHUD80,All
T14B_est17,2012,4,10,2008thru2012,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Vacant-for-rent,housing unit has complete kitchen and plumbing facilities,greater than RHUD80,0 or 1
T14B_est18,2012,45,73,2008thru2012,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Vacant-for-rent,housing unit has complete kitchen and plumbing facilities,greater than RHUD80,2
T14B_est19,2012,10,15,2008thru2012,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Vacant-for-rent,housing unit has complete kitchen and plumbing facilities,greater than RHUD80,3 or more
T14B_est1,2012,1615,346,2008thru2012,050,05000US51003,Albemarle County, Virginia,51,003,51003,Total,Total: Vacant-for-rent housing units,All,All,All
T14B_est2,2012,240,126,2008thru2012,050,05000US51003,Albemarle County, Virginia,51,003,51003,Detail,Vacant-for-rent,housing unit lacks complete kitchen or plumbing facilities,All,All
T14B_est3,2012,1375,335,2008thru2012,050,05000US51003,Albemarle County, Virginia,51,003,51003,Subtotal,Vacant-for-rent,housing unit has complete kitchen and plumbing facilities,All,All
T14B_est4,2012,90,92,2008thru2012,050,05000US51003,Albemarle County, Virginia,51,003,51003,Subtotal,Vacant-for-rent,housing unit has complete kitchen and plumbing facilities,less than or equal to RHUD30,All
T14B_est5,2012,0,29,2008thru2012,050,05000US51003,Albemarle County, Virginia,51,003,51003,Detail,Vacant-for-rent,housing unit has complete kitchen and plumbing facilities,less than or equal to RHUD30,0 or 1
T14B_est6,2012,90,92,2008thru2012,050,05000US51003,Albemarle County, Virginia,51,003,51003,Detail,Vacant-for-rent,housing unit has complete kitchen and plumbing facilities,less than or equal to RHUD30,2
