source,sumlevel,geoid,name,st,cnty,T17A_est1,T17A_est2,T17A_est3,T17A_est4,T17A_est5,T17A_est6,T17A_est7,T17A_est8,T17A_est9,T17A_est10,T17A_est11,T17A_est12,T17A_est13,T17A_est14,T17A_est15,T17A_est16,T17A_est17,T17A_est18,T17A_est19,T17A_est20,T17A_est21,T17A_moe1,T17A_moe2,T17A_moe3,T17A_moe4,T17A_moe5,T17A_moe6,T17A_moe7,T17A_moe8,T17A_moe9,T17A_moe10,T17A_moe11,T17A_moe12,T17A_moe13,T17A_moe14,T17A_moe15,T17A_moe16,T17A_moe17,T17A_moe18,T17A_moe19,T17A_moe20,T17A_moe21
2008thru2012,050,05000US01001,"Autauga County, Alabama",01,001,210,175,15,30,70,60,0,0,0,0,0,0,0,0,0,0,35,35,0,0,0,123,114,22,50,78,66,28,28,28,28,28,28,28,28,28,28,57,57,28,28,28
2008thru2012,050,05000US01003,"Baldwin County, Alabama",01,003,2515,1750,160,420,325,850,110,0,90,0,25,310,0,0,30,280,345,235,65,40,0,453,406,114,258,157,300,107,28,103,28,30,174,28,28,47,165,158,139,54,65,28
2008thru2012,050,05000US01005,"Barbour County, Alabama",01,005,135,105,15,15,15,60,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,75,64,16,22,27,51,22,22,22,22,22,22,22,22,22,22,40,40,22,22,22
2008thru2012,050,05000US01007,"Bibb County, Alabama",01,007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
2008thru2012,050,05000US01009,"Blount County, Alabama",01,009,250,235,15,150,0,70,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,166,164,20,142,28,79,28,28,28,28,28,28,28,28,28,28,24,24,28,28,28
2008thru2012,050,05000US01011,"Bullock County, Alabama",01,011,60,60,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,95,19,19,19,95,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
2008thru2012,050,05000US01013,"Butler County, Alabama",01,013,100,95,10,0,80,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,62,62,18,22,62,22,22,22,22,22,22,22,22,22,22,22,9,9,22,22,22
2008thru2012,050,05000US01015,"Calhoun County, Alabama",01,015,725,635,285,120,105,120,0,0,0,0,0,0,0,0,0,0,90,90,0,0,0,247,222,148,94,90,109,28,28,28,28,28,28,28,28,28,28,89,89,28,28,28
2008thru2012,050,05000US01017,"Chambers County, Alabama",01,017,450,335,225,45,0,65,55,55,0,0,0,0,0,0,0,0,60,25,0,0,35,168,156,131,39,25,66,65,65,25,25,25,25,25,25,25,25,70,40,25,25,45
2008thru2012,050,05000US01019,"Cherokee County, Alabama",01,019,225,170,15,35,45,75,0,0,0,0,0,10,4,0,0,4,45,40,0,0,4,96,93,25,55,57,74,22,22,22,22,22,15,22,22,22,22,60,53,22,22,14
2008thru2012,050,05000US01021,"Chilton County, Alabama",01,021,370,165,70,10,0,90,0,0,0,0,0,0,0,0,0,0,200,175,0,0,30,150,85,78,15,25,53,25,25,25,25,25,25,25,25,25,25,119,113,25,25,36
2008thru2012,050,05000US01023,"Choctaw County, Alabama",01,023,45,45,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,59,19,19,19,59,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
2008thru2012,050,05000US01025,"Clarke County, Alabama",01,025,180,150,0,90,0,60,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,109,107,22,85,22,70,22,22,22,22,22,22,22,22,22,22,27,27,22,22,22
2008thru2012,050,05000US01027,"Clay County, Alabama",01,027,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,16,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,16,16,19,19,19
2008thru2012,050,05000US01029,"Cleburne County, Alabama",01,029,115,55,20,15,0,20,0,0,0,0,0,0,0,0,0,0,60,30,0,30,0,78,43,28,25,19,34,19,19,19,19,19,19,19,19,19,19,66,47,19,49,19
