source,sumlevel,geoid,name,st,cnty,T17B_est1,T17B_est2,T17B_est3,T17B_est4,T17B_est5,T17B_est6,T17B_est7,T17B_est8,T17B_est9,T17B_est10,T17B_est11,T17B_est12,T17B_est13,T17B_est14,T17B_est15,T17B_est16,T17B_est17,T17B_est18,T17B_est19,T17B_est20,T17B_est21,T17B_moe1,T17B_moe2,T17B_moe3,T17B_moe4,T17B_moe5,T17B_moe6,T17B_moe7,T17B_moe8,T17B_moe9,T17B_moe10,T17B_moe11,T17B_moe12,T17B_moe13,T17B_moe14,T17B_moe15,T17B_moe16,T17B_moe17,T17B_moe18,T17B_moe19,T17B_moe20,T17B_moe21
2009thru2013,050,05000US01001,"Autauga County, Alabama",01,001,235,55,0,25,4,25,90,0,90,0,0,60,0,0,60,0,25,0,25,0,0,136,60,27,44,9,40,95,27,95,27,27,76,27,27,76,27,38,27,38,27,27
2009thru2013,050,05000US01003,"Baldwin County, Alabama",01,003,7080,1410,185,555,255,415,620,70,125,175,250,4355,130,835,1445,1940,695,140,445,115,0,861,321,123,248,123,169,272,76,138,178,159,631,101,287,365,431,241,118,192,139,27
2009thru2013,050,05000US01005,"Barbour County, Alabama",01,005,225,15,4,10,0,0,85,20,65,0,0,35,35,0,0,0,90,55,35,0,0,109,18,17,13,21,21,52,33,43,21,21,56,56,21,21,21,69,64,28,21,21
2009thru2013,050,05000US01007,"Bibb County, Alabama",01,007,65,50,40,0,10,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,68,64,60,21,14,21,21,21,21,21,21,21,21,21,21,21,32,32,21,21,21
2009thru2013,050,05000US01009,"Blount County, Alabama",01,009,305,190,95,90,4,0,10,10,0,0,0,0,0,0,0,0,105,105,0,0,0,162,119,84,83,5,27,16,16,27,27,27,27,27,27,27,27,106,106,27,27,27
2009thru2013,050,05000US01011,"Bullock County, Alabama",01,011,30,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,20,15,4,0,0,27,19,18,18,19,18,18,18,18,18,18,18,18,18,18,18,20,17,18,18,18
2009thru2013,050,05000US01013,"Butler County, Alabama",01,013,145,40,25,10,4,0,75,25,45,0,10,20,0,20,0,0,10,10,0,0,0,76,39,40,16,18,21,56,24,52,21,15,36,21,36,21,21,14,14,21,21,21
2009thru2013,050,05000US01015,"Calhoun County, Alabama",01,015,975,285,55,155,75,0,310,150,90,70,0,225,25,125,70,0,160,0,160,0,0,279,153,52,110,89,27,139,88,82,79,27,131,40,107,63,27,116,27,116,27,27
2009thru2013,050,05000US01017,"Chambers County, Alabama",01,017,610,115,55,30,30,0,60,10,50,0,0,390,4,0,20,365,45,20,25,0,0,141,89,55,52,39,24,60,18,56,24,24,134,3,24,33,135,50,38,36,24,24
2009thru2013,050,05000US01019,"Cherokee County, Alabama",01,019,210,115,95,4,15,0,45,35,10,0,0,0,0,0,0,0,50,0,50,0,0,129,76,77,3,23,21,59,56,15,21,21,21,21,21,21,21,59,21,59,21,21
2009thru2013,050,05000US01021,"Chilton County, Alabama",01,021,390,85,0,15,70,0,20,0,10,10,0,70,50,15,0,0,215,165,50,0,0,179,73,24,29,80,24,24,24,18,13,24,87,85,27,24,24,118,99,64,24,24
2009thru2013,050,05000US01023,"Choctaw County, Alabama",01,023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
2009thru2013,050,05000US01025,"Clarke County, Alabama",01,025,75,10,0,10,0,0,10,4,0,4,0,0,0,0,0,0,50,0,50,0,0,65,15,21,15,21,21,16,12,21,9,21,21,21,21,21,21,61,21,61,21,21
2009thru2013,050,05000US01027,"Clay County, Alabama",01,027,105,0,0,0,0,0,25,25,0,0,0,10,0,0,0,10,75,75,0,0,0,92,18,18,18,18,18,40,40,18,18,18,13,18,18,18,13,81,81,18,18,18
2009thru2013,050,05000US01029,"Cleburne County, Alabama",01,029,60,0,0,0,0,0,10,0,10,0,0,20,0,20,0,0,25,0,25,0,0,45,18,18,18,18,18,18,18,18,18,18,31,18,31,18,18,30,18,30,18,18
2009thru2013,050,05000US01031,"Coffee County, Alabama",01,031,695,315,40,135,85,55,165,15,75,75,0,155,0,100,45,10,60,20,40,0,0,243,173,48,100,77,78,127,23,86,83,27,91,27,70,61,14,49,19,46,27,27
2009thru2013,050,05000US01033,"Colbert County, Alabama",01,033,480,225,50,165,10,0,105,40,55,10,0,115,0,80,30,0,35,10,25,0,0,140,109,48,109,14,27,67,31,62,17,27,84,27,68,53,27,33,17,30,27,27
2009thru2013,050,05000US01035,"Conecuh County, Alabama",01,035,55,0,0,0,0,0,30,0,30,0,0,0,0,0,0,0,30,0,30,0,0,61,18,18,18,18,18,48,18,48,18,18,18,18,18,18,18,44,18,44,18,18
2009thru2013,050,05000US01037,"Coosa County, Alabama",01,037,100,45,10,35,0,0,0,0,0,0,0,0,0,0,0,0,55,45,4,0,0,65,37,17,34,18,18,18,18,18,18,18,18,18,18,18,18,52,50,10,18,18
2009thru2013,050,05000US01039,"Covington County, Alabama",01,039,355,160,50,85,25,0,80,65,20,0,0,20,20,0,0,0,95,20,75,0,0,134,92,44,80,26,24,61,54,32,24,24,33,33,24,24,24,55,23,53,24,24
2009thru2013,050,05000US01041,"Crenshaw County, Alabama",01,041,80,55,35,20,0,0,10,4,4,0,0,0,0,0,0,0,20,20,0,0,0,46,41,34,28,18,18,14,9,10,18,18,18,18,18,18,18,28,28,18,18,18
2009thru2013,050,05000US01043,"Cullman County, Alabama",01,043,405,90,10,65,15,0,70,25,25,20,0,110,30,65,0,15,135,30,75,35,0,180,68,14,61,26,27,55,33,26,33,27,97,50,80,27,22,84,28,64,53,27
2009thru2013,050,05000US01045,"Dale County, Alabama",01,045,505,260,20,135,80,20,65,10,45,10,0,120,60,15,0,45,65,35,30,0,0,167,106,24,79,70,34,67,21,63,13,24,79,57,18,24,53,59,44,42,24,24
2009thru2013,050,05000US01047,"Dallas County, Alabama",01,047,310,70,10,25,30,0,190,110,80,0,0,20,0,20,0,0,35,35,0,0,0,151,67,21,39,51,24,120,99,73,24,24,31,24,31,24,24,29,29,24,24,24
2009thru2013,050,05000US01049,"DeKalb County, Alabama",01,049,1030,220,30,195,0,0,120,60,60,0,0,135,0,105,30,0,555,365,190,0,0,260,114,34,112,27,27,85,50,65,27,27,101,27,88,52,27,209,168,119,27,27
2009thru2013,050,05000US01051,"Elmore County, Alabama",01,051,510,65,0,25,40,0,80,0,10,70,0,320,0,65,180,75,45,0,45,0,0,182,64,27,28,58,27,73,27,14,72,27,143,27,66,132,51,59,27,59,27,27
2009thru2013,050,05000US01053,"Escambia County, Alabama",01,053,180,80,4,75,0,0,70,45,30,0,0,20,0,20,0,0,15,15,0,0,0,88,68,5,67,24,24,62,45,46,24,24,33,24,33,24,24,23,23,24,24,24
2009thru2013,050,05000US01055,"Etowah County, Alabama",01,055,690,270,55,135,85,0,170,20,150,0,0,200,15,170,15,0,50,0,50,0,0,179,120,58,89,84,27,116,35,110,27,27,104,27,98,25,27,40,27,40,27,27
2009thru2013,050,05000US01057,"Fayette County, Alabama",01,057,45,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,56,56,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
2009thru2013,050,05000US01059,"Franklin County, Alabama",01,059,265,0,0,0,0,0,65,55,4,0,0,150,50,105,0,0,50,0,50,0,0,153,24,24,24,24,24,69,68,10,24,24,113,67,94,24,24,68,24,68,24,24
