source,sumlevel,geoid,name,st,cnty,T8_est1,T8_est2,T8_est3,T8_est4,T8_est5,T8_est6,T8_est7,T8_est8,T8_est9,T8_est10,T8_est11,T8_est12,T8_est13,T8_est14,T8_est15,T8_est16,T8_est17,T8_est18,T8_est19,T8_est20,T8_est21,T8_est22,T8_est23,T8_est24,T8_est25,T8_est26,T8_est27,T8_est28,T8_est29,T8_est30,T8_est31,T8_est32,T8_est33,T8_est34,T8_est35,T8_est36,T8_est37,T8_est38,T8_est39,T8_est40,T8_est41,T8_est42,T8_est43,T8_est44,T8_est45,T8_est46,T8_est47,T8_est48,T8_est49,T8_est50,T8_est51,T8_est52,T8_est53,T8_est54,T8_est55,T8_est56,T8_est57,T8_est58,T8_est59,T8_est60,T8_est61,T8_est62,T8_est63,T8_est64,T8_est65,T8_est66,T8_est67,T8_est68,T8_est69,T8_est70,T8_est71,T8_est72,T8_est73,T8_est74,T8_est75,T8_est76,T8_est77,T8_est78,T8_est79,T8_est80,T8_est81,T8_est82,T8_est83,T8_est84,T8_est85,T8_est86,T8_est87,T8_est88,T8_est89,T8_est90,T8_est91,T8_est92,T8_est93,T8_est94,T8_est95,T8_est96,T8_est97,T8_est98,T8_est99,T8_est100,T8_est101,T8_est102,T8_est103,T8_est104,T8_est105,T8_est106,T8_est107,T8_est108,T8_est109,T8_est110,T8_est111,T8_est112,T8_est113,T8_est114,T8_est115,T8_est116,T8_est117,T8_est118,T8_est119,T8_est120,T8_est121,T8_est122,T8_est123,T8_est124,T8_est125,T8_est126,T8_est127,T8_est128,T8_est129,T8_est130,T8_est131,T8_est132,T8_est133,T8_moe1,T8_moe2,T8_moe3,T8_moe4,T8_moe5,T8_moe6,T8_moe7,T8_moe8,T8_moe9,T8_moe10,T8_moe11,T8_moe12,T8_moe13,T8_moe14,T8_moe15,T8_moe16,T8_moe17,T8_moe18,T8_moe19,T8_moe20,T8_moe21,T8_moe22,T8_moe23,T8_moe24,T8_moe25,T8_moe26,T8_moe27,T8_moe28,T8_moe29,T8_moe30,T8_moe31,T8_moe32,T8_moe33,T8_moe34,T8_moe35,T8_moe36,T8_moe37,T8_moe38,T8_moe39,T8_moe40,T8_moe41,T8_moe42,T8_moe43,T8_moe44,T8_moe45,T8_moe46,T8_moe47,T8_moe48,T8_moe49,T8_moe50,T8_moe51,T8_moe52,T8_moe53,T8_moe54,T8_moe55,T8_moe56,T8_moe57,T8_moe58,T8_moe59,T8_moe60,T8_moe61,T8_moe62,T8_moe63,T8_moe64,T8_moe65,T8_moe66,T8_moe67,T8_moe68,T8_moe69,T8_moe70,T8_moe71,T8_moe72,T8_moe73,T8_moe74,T8_moe75,T8_moe76,T8_moe77,T8_moe78,T8_moe79,T8_moe80,T8_moe81,T8_moe82,T8_moe83,T8_moe84,T8_moe85,T8_moe86,T8_moe87,T8_moe88,T8_moe89,T8_moe90,T8_moe91,T8_moe92,T8_moe93,T8_moe94,T8_moe95,T8_moe96,T8_moe97,T8_moe98,T8_moe99,T8_moe100,T8_moe101,T8_moe102,T8_moe103,T8_moe104,T8_moe105,T8_moe106,T8_moe107,T8_moe108,T8_moe109,T8_moe110,T8_moe111,T8_moe112,T8_moe113,T8_moe114,T8_moe115,T8_moe116,T8_moe117,T8_moe118,T8_moe119,T8_moe120,T8_moe121,T8_moe122,T8_moe123,T8_moe124,T8_moe125,T8_moe126,T8_moe127,T8_moe128,T8_moe129,T8_moe130,T8_moe131,T8_moe132,T8_moe133
2009thru2013,050,05000US01001,"Autauga County, Alabama",01,001,20070,15420,920,190,30,160,90,0,90,600,0,600,40,0,40,1000,445,20,425,205,0,205,350,0,350,0,0,0,2125,1280,15,1265,490,0,490,350,4,350,0,0,0,1580,985,0,985,475,0,475,120,0,120,0,0,0,9795,9130,10,9120,570,0,570,95,0,95,0,0,0,4655,945,150,35,115,20,0,20,700,4,700,70,0,70,640,175,0,175,275,0,275,185,0,185,0,0,0,790,270,0,270,435,0,435,85,0,85,0,0,0,725,470,10,460,260,0,260,0,0,0,0,0,0,1555,1430,15,1415,105,0,105,20,20,0,0,0,0,387,515,188,111,46,107,55,27,55,156,27,156,43,27,43,216,145,34,143,96,27,96,103,27,103,27,27,27,341,276,29,275,149,27,149,147,3,147,27,27,27,268,202,27,202,159,27,159,92,27,92,27,27,27,513,522,15,520,175,27,175,61,27,61,27,27,27,400,255,78,36,70,24,27,24,238,2,238,64,27,64,199,90,27,90,147,27,147,108,27,108,27,27,27,212,104,27,104,167,27,167,95,27,95,27,27,27,238,175,15,174,179,27,179,27,27,27,27,27,27,255,229,29,226,101,27,101,33,33,27,27,27,27
2009thru2013,050,05000US01003,"Baldwin County, Alabama",01,003,73285,53225,3335,370,0,370,635,4,625,1805,15,1790,530,0,530,4390,1980,10,1970,1085,0,1085,1330,0,1330,0,0,0,7035,4405,30,4375,1470,10,1460,1165,0,1165,0,0,0,5215,3705,0,3705,1110,0,1110,400,0,400,0,0,0,33245,30020,225,29795,2620,0,2620,600,0,600,0,0,0,20060,3350,650,60,590,390,0,390,1895,0,1895,410,4,405,3030,445,0,445,1335,10,1325,1250,0,1250,0,0,0,4630,1620,0,1620,2505,0,2505,510,25,480,0,0,0,2245,1790,60,1735,410,40,375,40,10,30,0,0,0,6810,6105,105,6000,640,15,625,65,10,50,0,0,0,1027,1028,417,140,27,140,158,18,156,339,21,338,167,27,167,538,310,16,311,233,27,233,328,27,328,27,27,27,590,443,36,438,280,22,278,312,27,312,27,27,27,570,492,27,492,284,27,284,152,27,152,27,27,27,1017,1052,174,1060,300,27,300,168,27,168,27,27,27,1041,393,217,72,204,165,27,165,309,27,309,175,6,174,537,189,27,189,318,21,319,338,27,338,27,27,27,577,368,27,368,430,27,430,178,32,179,27,27,27,400,388,71,393,119,50,114,35,17,31,27,27,27,735,661,90,665,323,22,324,58,19,55,27,27,27
2009thru2013,050,05000US01005,"Barbour County, Alabama",01,005,9200,6225,465,40,0,40,95,4,85,225,15,210,105,0,105,830,245,0,245,370,0,370,215,4,210,0,0,0,905,610,0,610,205,0,205,90,0,90,0,0,0,540,465,0,465,60,0,60,15,0,15,0,0,0,3485,3300,20,3280,170,0,170,20,0,20,0,0,0,2975,950,240,0,240,95,0,95,460,0,460,160,10,150,650,270,20,245,195,0,195,185,0,185,0,0,0,480,325,0,325,120,0,120,30,10,20,0,0,0,245,190,10,180,55,0,55,0,0,0,0,0,0,650,640,0,640,10,0,10,0,0,0,0,0,0,329,297,121,28,21,28,49,14,49,84,25,75,63,21,63,128,58,21,58,110,21,110,63,9,64,21,21,21,144,117,21,117,67,21,67,44,21,44,21,21,21,127,120,21,120,33,21,33,22,21,22,21,21,21,239,241,19,242,74,21,74,24,21,24,21,21,21,283,172,88,21,88,55,21,55,105,21,105,102,14,101,180,92,31,84,116,21,116,80,21,80,21,21,21,123,108,21,108,53,21,53,26,13,23,21,21,21,90,80,18,78,39,21,39,21,21,21,21,21,21,149,149,21,149,14,21,14,21,21,21,21,21,21
2009thru2013,050,05000US01007,"Bibb County, Alabama",01,007,7090,5600,590,140,0,140,135,0,135,255,10,245,55,0,55,950,575,4,570,95,0,95,280,0,280,0,0,0,1355,1100,0,1100,215,0,215,40,0,40,0,0,0,695,585,0,585,115,0,115,0,0,0,0,0,0,2005,1910,4,1905,95,0,95,0,0,0,0,0,0,1490,655,140,0,140,135,0,135,355,0,355,25,0,25,345,220,0,220,120,0,120,4,0,4,0,0,0,360,355,0,355,4,0,4,0,0,0,0,0,0,35,35,0,35,0,0,0,0,0,0,0,0,0,95,95,0,95,0,0,0,0,0,0,0,0,0,296,321,185,74,21,74,67,21,67,158,17,152,45,21,45,197,141,3,142,54,21,54,134,21,134,21,21,21,238,204,21,204,107,21,107,37,21,37,21,21,21,182,172,21,172,75,21,75,21,21,21,21,21,21,249,247,12,244,64,21,64,21,21,21,21,21,21,271,184,75,21,75,96,21,96,150,21,150,33,21,33,159,141,21,141,64,21,64,5,21,5,21,21,21,173,173,21,173,5,21,5,21,21,21,21,21,21,33,33,21,33,21,21,21,21,21,21,21,21,21,56,56,21,56,21,21,21,21,21,21,21,21,21
2009thru2013,050,05000US01009,"Blount County, Alabama",01,009,21110,17110,1720,270,0,270,430,0,430,745,0,745,275,25,250,2200,1220,20,1200,585,0,585,395,0,395,0,0,0,3060,2290,0,2290,590,0,590,175,0,175,0,0,0,2300,1870,15,1855,375,0,375,55,0,55,0,0,0,7830,7440,60,7380,370,0,370,20,0,20,0,0,0,4000,1175,475,0,475,175,0,175,495,15,485,30,0,30,715,440,15,425,215,0,215,65,0,65,0,0,0,1065,935,0,935,115,0,115,15,0,15,0,0,0,355,310,0,310,45,35,10,0,0,0,0,0,0,685,670,0,670,15,0,15,0,0,0,0,0,0,420,500,274,113,27,113,140,27,140,188,27,188,117,36,116,266,209,28,207,173,27,173,117,27,117,27,27,27,400,347,27,347,173,27,173,101,27,101,27,27,27,324,277,25,274,120,27,120,39,27,39,27,27,27,532,495,54,495,144,27,144,22,27,22,27,27,27,400,210,164,27,164,79,27,79,130,25,128,38,27,38,180,159,26,161,96,27,96,42,27,42,27,27,27,210,192,27,192,95,27,95,19,27,19,27,27,27,131,113,27,113,49,55,20,27,27,27,27,27,27,199,196,27,196,19,27,19,27,27,27,27,27,27
2009thru2013,050,05000US01011,"Bullock County, Alabama",01,011,3740,2780,315,80,0,80,30,0,30,190,15,175,15,0,15,130,75,0,75,25,0,25,30,0,30,0,0,0,590,485,20,460,95,0,95,10,0,10,0,0,0,260,195,0,195,40,0,40,25,0,25,0,0,0,1490,1380,0,1380,100,0,100,10,0,10,0,0,0,960,340,30,0,30,65,0,65,200,0,200,45,0,45,130,60,10,50,30,0,30,40,0,40,0,0,0,245,210,0,210,30,0,30,4,0,4,0,0,0,35,35,0,35,0,0,0,0,0,0,0,0,0,210,210,0,210,0,0,0,0,0,0,0,0,0,246,219,106,61,18,61,31,18,31,95,26,92,22,18,22,68,57,18,57,29,18,29,24,18,24,18,18,18,170,162,41,155,71,18,71,17,18,17,18,18,18,97,76,18,76,31,18,31,40,18,40,18,18,18,232,244,18,244,88,18,88,16,18,16,18,18,18,202,131,28,18,28,57,18,57,119,18,119,71,18,71,78,44,20,39,35,18,35,56,18,56,18,18,18,146,141,18,141,29,18,29,18,18,18,18,18,18,47,47,18,47,18,18,18,18,18,18,18,18,18,117,117,18,117,18,18,18,18,18,18,18,18,18
2009thru2013,050,05000US01013,"Butler County, Alabama",01,013,8235,5790,540,80,0,80,95,0,95,275,4,270,90,4,85,795,385,0,385,175,0,175,235,0,235,0,0,0,1005,660,40,625,250,0,250,95,0,95,0,0,0,485,380,0,380,95,0,95,10,0,10,0,0,0,2965,2765,4,2755,175,0,175,25,0,25,0,0,0,2445,730,70,0,70,165,4,160,390,4,385,100,0,100,575,180,15,165,265,0,265,130,15,110,0,0,0,480,240,4,235,210,0,210,30,0,30,0,0,0,195,155,0,155,25,0,25,10,0,10,0,0,0,470,460,20,440,10,0,10,0,0,0,0,0,0,224,220,115,50,21,50,48,21,48,80,17,80,58,9,53,148,111,21,111,57,21,57,98,21,98,21,21,21,162,122,41,117,92,21,92,48,21,48,21,21,21,119,99,21,99,58,21,58,15,21,15,21,21,21,245,251,15,253,88,21,88,28,21,28,21,21,21,259,174,46,21,46,82,9,80,126,13,123,47,21,47,139,60,20,60,96,21,96,72,27,66,21,21,21,127,83,7,81,84,21,84,28,21,28,21,21,21,92,75,21,75,41,21,41,18,21,18,21,21,21,116,116,34,112,16,21,16,21,21,21,21,21,21
2009thru2013,050,05000US01015,"Calhoun County, Alabama",01,015,45195,31030,2350,280,4,280,500,0,500,1310,15,1300,260,0,260,2450,1030,0,1030,795,0,795,630,0,630,0,0,0,3885,2550,10,2545,875,0,875,460,0,460,0,0,0,2570,1860,10,1850,495,0,495,215,0,215,0,0,0,19775,18535,10,18530,1035,0,1035,205,0,205,0,0,0,14170,3815,615,10,605,385,0,385,2365,10,2355,455,25,430,2460,760,0,760,865,4,865,835,50,790,0,0,0,2450,1365,0,1365,935,45,890,150,50,100,0,0,0,1195,985,40,945,210,0,210,0,0,0,0,0,0,4245,4105,80,4025,130,0,130,10,0,10,0,0,0,667,617,336,109,27,108,175,27,175,305,17,304,106,27,106,300,224,27,224,191,27,191,156,27,156,27,27,27,376,315,15,314,195,27,195,148,27,148,27,27,27,295,271,15,269,129,27,129,107,27,107,27,27,27,600,599,15,595,192,27,192,111,27,111,27,27,27,748,429,149,14,149,144,27,144,336,13,333,176,37,166,339,148,27,148,198,27,198,214,54,214,27,27,27,325,259,27,259,239,45,235,101,78,70,27,27,27,247,225,60,208,122,27,122,27,27,27,27,27,27,462,451,70,449,70,27,70,14,27,14,27,27,27
2009thru2013,050,05000US01017,"Chambers County, Alabama",01,017,13720,9325,710,80,0,80,105,0,105,400,4,395,130,0,130,1265,475,0,475,350,0,350,440,10,425,0,0,0,1285,800,0,800,380,30,345,105,0,105,0,0,0,1095,820,15,805,210,0,210,60,0,60,0,0,0,4970,4655,20,4635,310,0,310,4,0,4,0,0,0,4400,1150,175,0,175,165,0,165,700,40,660,110,0,110,1060,300,20,280,350,0,350,405,0,405,0,0,0,730,360,10,350,265,10,255,105,0,105,0,0,0,345,230,0,230,115,0,115,0,0,0,0,0,0,1115,1105,15,1090,10,0,10,0,0,0,0,0,0,322,327,173,51,24,51,53,24,53,133,2,133,72,24,72,198,130,24,130,118,24,118,108,15,105,24,24,24,198,169,24,169,121,44,118,51,24,51,24,24,24,193,172,27,170,84,24,84,57,24,57,24,24,24,325,326,33,325,102,24,102,2,24,2,24,24,24,351,228,78,24,78,82,24,82,189,44,185,63,24,63,248,120,26,118,130,24,130,159,24,159,24,24,24,139,112,13,111,82,16,79,65,24,65,24,24,24,99,80,24,80,64,24,64,24,24,24,24,24,24,215,213,14,213,18,24,18,24,24,24,24,24,24
2009thru2013,050,05000US01019,"Cherokee County, Alabama",01,019,11655,8865,665,60,0,60,120,10,105,420,0,420,65,0,65,1175,505,0,505,295,0,295,370,25,345,0,0,0,1505,940,0,940,440,0,440,120,0,120,0,0,0,905,685,0,685,180,0,180,40,0,40,0,0,0,4620,4245,10,4235,310,0,310,65,0,65,0,0,0,2790,755,280,0,280,100,0,100,360,0,360,10,0,10,475,160,0,160,195,0,195,120,0,120,0,0,0,575,410,45,365,145,0,145,15,0,15,0,0,0,235,220,0,220,20,0,20,0,0,0,0,0,0,755,705,0,705,50,0,50,0,0,0,0,0,0,449,424,172,55,21,55,77,22,75,139,21,139,49,21,49,266,173,21,173,149,21,149,142,49,137,21,21,21,272,204,21,204,150,21,150,94,21,94,21,21,21,194,162,21,162,89,21,89,54,21,54,21,21,21,357,371,17,370,94,21,94,63,21,63,21,21,21,367,216,133,21,133,81,21,81,165,21,165,19,21,19,122,62,21,62,94,21,94,62,21,62,21,21,21,177,162,66,157,84,21,84,30,21,30,21,21,21,116,113,21,113,23,21,23,21,21,21,21,21,21,241,223,21,223,54,21,54,21,21,21,21,21,21
