source,sumlevel,geoid,name,st,cnty,T14A_est1,T14A_est2,T14A_est3,T14A_est4,T14A_est5,T14A_est6,T14A_est7,T14A_est8,T14A_est9,T14A_est10,T14A_est11,T14A_est12,T14A_est13,T14A_est14,T14A_est15,T14A_est16,T14A_est17,T14A_est18,T14A_est19,T14A_moe1,T14A_moe2,T14A_moe3,T14A_moe4,T14A_moe5,T14A_moe6,T14A_moe7,T14A_moe8,T14A_moe9,T14A_moe10,T14A_moe11,T14A_moe12,T14A_moe13,T14A_moe14,T14A_moe15,T14A_moe16,T14A_moe17,T14A_moe18,T14A_moe19
2010thru2014,050,05000US01001,"Autauga County, Alabama",01,001,130,15,115,15,0,4,15,25,0,0,25,40,0,0,40,35,0,0,35,92,23,93,23,27,4,22,43,27,27,43,60,27,27,60,50,27,27,50
2010thru2014,050,05000US01003,"Baldwin County, Alabama",01,003,2850,420,2430,255,15,0,240,605,0,45,560,350,0,25,325,1220,0,200,1015,581,222,508,131,27,27,128,314,27,67,305,198,27,41,193,304,27,135,276
2010thru2014,050,05000US01005,"Barbour County, Alabama",01,005,205,4,200,55,0,30,25,10,0,0,10,15,0,0,15,120,0,0,120,112,10,111,62,21,46,43,14,21,21,14,26,21,21,26,74,21,21,74
2010thru2014,050,05000US01007,"Bibb County, Alabama",01,007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
2010thru2014,050,05000US01009,"Blount County, Alabama",01,009,300,145,155,25,0,0,25,95,0,40,55,0,0,0,0,35,0,30,4,140,116,105,21,27,27,21,92,27,63,66,27,27,27,27,49,27,45,13
2010thru2014,050,05000US01011,"Bullock County, Alabama",01,011,50,45,4,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,69,67,15,15,18,18,15,18,18,18,18,18,18,18,18,18,18,18,18
2010thru2014,050,05000US01013,"Butler County, Alabama",01,013,45,20,25,4,0,0,4,0,0,0,0,20,0,0,20,0,0,0,0,48,35,35,3,21,21,3,21,21,21,21,34,21,21,34,21,21,21,21
2010thru2014,050,05000US01015,"Calhoun County, Alabama",01,015,995,515,475,180,0,20,155,130,0,60,70,110,0,40,70,60,0,30,30,262,201,214,109,27,27,105,92,27,59,70,111,27,63,94,62,27,39,45
2010thru2014,050,05000US01017,"Chambers County, Alabama",01,017,380,295,85,40,0,10,30,10,0,0,10,0,0,0,0,35,0,0,35,147,129,70,50,24,13,49,14,24,24,14,24,24,24,24,47,24,24,47
2010thru2014,050,05000US01019,"Cherokee County, Alabama",01,019,295,60,235,70,0,30,40,55,0,0,55,50,0,0,50,60,0,0,60,168,46,162,68,21,46,49,85,21,21,85,82,21,21,82,64,21,21,64
