source,sumlevel,geoid,name,st,cnty,T14A_est1,T14A_est2,T14A_est3,T14A_est4,T14A_est5,T14A_est6,T14A_est7,T14A_est8,T14A_est9,T14A_est10,T14A_est11,T14A_est12,T14A_est13,T14A_est14,T14A_est15,T14A_est16,T14A_est17,T14A_est18,T14A_est19,T14A_moe1,T14A_moe2,T14A_moe3,T14A_moe4,T14A_moe5,T14A_moe6,T14A_moe7,T14A_moe8,T14A_moe9,T14A_moe10,T14A_moe11,T14A_moe12,T14A_moe13,T14A_moe14,T14A_moe15,T14A_moe16,T14A_moe17,T14A_moe18,T14A_moe19
2011thru2015,050,05000US01001,"Autauga County, Alabama",01,001,175,40,135,40,0,4,35,35,0,0,35,15,0,0,15,45,0,0,45,101,46,93,48,27,5,49,57,27,27,57,24,27,27,24,46,27,27,46
2011thru2015,050,05000US01003,"Baldwin County, Alabama",01,003,2950,330,2620,255,55,0,200,760,0,120,640,235,0,0,235,1370,0,295,1075,461,208,428,114,73,27,99,336,27,102,331,152,27,27,152,300,27,150,318
2011thru2015,050,05000US01005,"Barbour County, Alabama",01,005,215,10,205,70,0,35,40,30,0,0,30,55,0,0,55,50,0,0,50,104,13,103,73,21,55,53,29,21,21,29,51,21,21,51,48,21,21,48
2011thru2015,050,05000US01007,"Bibb County, Alabama",01,007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
2011thru2015,050,05000US01009,"Blount County, Alabama",01,009,245,85,160,30,0,0,30,85,0,40,45,0,0,0,0,45,0,30,15,153,76,119,28,27,27,28,87,27,62,59,27,27,27,27,52,27,49,18
2011thru2015,050,05000US01011,"Bullock County, Alabama",01,011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,0,18,18,18,18,18,18,18,18,18,18,18,18
2011thru2015,050,05000US01013,"Butler County, Alabama",01,013,50,30,20,10,0,0,10,0,0,0,0,0,0,0,0,10,0,0,10,35,32,19,14,21,21,14,21,21,21,21,21,21,21,21,14,21,21,14
2011thru2015,050,05000US01015,"Calhoun County, Alabama",01,015,970,530,440,190,0,50,135,155,0,100,55,10,0,0,10,85,0,35,55,199,175,144,93,27,42,82,102,27,80,53,19,27,27,19,66,27,43,62
2011thru2015,050,05000US01017,"Chambers County, Alabama",01,017,350,270,80,50,0,4,45,10,0,0,10,0,0,0,0,25,0,0,25,139,122,71,56,24,5,58,13,24,24,13,24,24,24,24,37,24,24,37
2011thru2015,050,05000US01019,"Cherokee County, Alabama",01,019,325,75,250,115,0,30,85,0,0,0,0,50,0,0,50,85,15,0,70,158,50,148,103,21,46,91,21,21,21,21,77,21,21,77,72,23,21,68
2011thru2015,050,05000US01021,"Chilton County, Alabama",01,021,305,65,240,170,50,30,95,4,0,4,0,0,0,0,0,65,0,15,50,144,74,118,110,78,46,82,14,24,14,24,24,24,24,24,48,24,22,42
2011thru2015,050,05000US01023,"Choctaw County, Alabama",01,023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,18,18,18,18,18,18,18,18,18,18,18,18,0,18,18,0
2011thru2015,050,05000US01025,"Clarke County, Alabama",01,025,130,40,90,0,0,0,0,35,0,0,35,0,0,0,0,55,0,0,55,102,64,82,21,21,21,21,40,21,21,40,21,21,21,21,74,21,21,74
2011thru2015,050,05000US01027,"Clay County, Alabama",01,027,55,4,50,20,0,0,20,20,0,0,20,10,0,10,0,0,0,0,0,46,19,44,26,18,18,26,37,18,18,37,14,18,14,18,18,18,18,18
2011thru2015,050,05000US01029,"Cleburne County, Alabama",01,029,30,15,15,15,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,29,22,26,26,18,18,26,18,18,18,18,18,18,18,18,18,18,18,18
2011thru2015,050,05000US01031,"Coffee County, Alabama",01,031,450,240,210,70,0,25,45,75,0,25,50,60,0,0,60,10,0,0,10,183,153,100,43,27,37,38,59,27,41,42,67,27,27,67,13,27,27,13
