source,sumlevel,geoid,name,st,cnty,T18A_est1,T18A_est2,T18A_est3,T18A_est4,T18A_est5,T18A_est6,T18A_est7,T18A_est8,T18A_est9,T18A_est10,T18A_est11,T18A_est12,T18A_est13,T18A_est14,T18A_est15,T18A_est16,T18A_est17,T18A_est18,T18A_est19,T18A_est20,T18A_est21,T18A_est22,T18A_est23,T18A_est24,T18A_est25,T18A_est26,T18A_est27,T18A_est28,T18A_est29,T18A_est30,T18A_est31,T18A_est32,T18A_est33,T18A_est34,T18A_est35,T18A_est36,T18A_est37,T18A_est38,T18A_est39,T18A_est40,T18A_est41,T18A_est42,T18A_est43,T18A_est44,T18A_est45,T18A_est46,T18A_est47,T18A_est48,T18A_est49,T18A_est50,T18A_est51,T18A_est52,T18A_est53,T18A_est54,T18A_est55,T18A_est56,T18A_est57,T18A_est58,T18A_est59,T18A_est60,T18A_est61,T18A_est62,T18A_est63,T18A_est64,T18A_est65,T18A_est66,T18A_est67,T18A_est68,T18A_est69,T18A_est70,T18A_est71,T18A_est72,T18A_est73,T18A_est74,T18A_est75,T18A_est76,T18A_est77,T18A_est78,T18A_est79,T18A_est80,T18A_est81,T18A_est82,T18A_est83,T18A_est84,T18A_est85,T18A_est86,T18A_est87,T18A_est88,T18A_est89,T18A_est90,T18A_est91,T18A_est92,T18A_est93,T18A_est94,T18A_est95,T18A_est96,T18A_est97,T18A_est98,T18A_est99,T18A_est100,T18A_est101,T18A_moe1,T18A_moe2,T18A_moe3,T18A_moe4,T18A_moe5,T18A_moe6,T18A_moe7,T18A_moe8,T18A_moe9,T18A_moe10,T18A_moe11,T18A_moe12,T18A_moe13,T18A_moe14,T18A_moe15,T18A_moe16,T18A_moe17,T18A_moe18,T18A_moe19,T18A_moe20,T18A_moe21,T18A_moe22,T18A_moe23,T18A_moe24,T18A_moe25,T18A_moe26,T18A_moe27,T18A_moe28,T18A_moe29,T18A_moe30,T18A_moe31,T18A_moe32,T18A_moe33,T18A_moe34,T18A_moe35,T18A_moe36,T18A_moe37,T18A_moe38,T18A_moe39,T18A_moe40,T18A_moe41,T18A_moe42,T18A_moe43,T18A_moe44,T18A_moe45,T18A_moe46,T18A_moe47,T18A_moe48,T18A_moe49,T18A_moe50,T18A_moe51,T18A_moe52,T18A_moe53,T18A_moe54,T18A_moe55,T18A_moe56,T18A_moe57,T18A_moe58,T18A_moe59,T18A_moe60,T18A_moe61,T18A_moe62,T18A_moe63,T18A_moe64,T18A_moe65,T18A_moe66,T18A_moe67,T18A_moe68,T18A_moe69,T18A_moe70,T18A_moe71,T18A_moe72,T18A_moe73,T18A_moe74,T18A_moe75,T18A_moe76,T18A_moe77,T18A_moe78,T18A_moe79,T18A_moe80,T18A_moe81,T18A_moe82,T18A_moe83,T18A_moe84,T18A_moe85,T18A_moe86,T18A_moe87,T18A_moe88,T18A_moe89,T18A_moe90,T18A_moe91,T18A_moe92,T18A_moe93,T18A_moe94,T18A_moe95,T18A_moe96,T18A_moe97,T18A_moe98,T18A_moe99,T18A_moe100,T18A_moe101
2011thru2015,050,05000US01001,"Autauga County, Alabama",01,001,9670,8395,1530,40,165,385,205,735,2700,75,80,380,275,1890,1985,25,0,65,275,1625,2175,30,40,115,130,1860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1270,1155,225,170,375,100,285,65,0,0,0,40,25,0,0,0,0,0,0,55,4,0,15,10,25,509,519,263,36,82,197,100,166,284,55,41,163,152,224,293,42,27,72,160,249,344,27,42,79,98,324,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,229,219,124,103,126,60,94,70,27,27,27,55,41,27,27,27,27,27,27,45,17,27,25,20,28
2011thru2015,050,05000US01003,"Baldwin County, Alabama",01,003,31825,28745,3855,450,365,765,465,1810,8990,325,465,970,920,6310,5380,70,520,530,440,3825,10525,265,290,770,645,8555,225,15,0,0,0,0,15,115,0,35,50,25,4,0,0,0,0,0,0,95,0,0,0,0,95,430,95,0,0,35,20,40,40,0,10,0,10,20,75,0,0,10,0,65,220,15,0,0,35,170,2425,2015,180,390,515,310,615,275,0,55,105,55,65,45,0,0,25,0,20,90,10,20,60,0,0,1069,1027,465,171,138,205,139,370,785,148,174,262,207,689,517,53,238,201,176,445,657,146,166,216,204,641,137,26,27,27,27,27,26,96,27,60,54,39,5,27,27,27,27,27,27,90,27,27,27,27,90,149,78,27,27,46,39,49,31,27,13,27,20,28,76,27,27,14,27,80,117,22,27,27,59,100,407,353,150,201,181,124,235,153,27,70,111,57,54,45,27,27,39,27,23,71,13,30,60,27,27
2011thru2015,050,05000US01005,"Barbour County, Alabama",01,005,2690,2135,495,55,65,80,75,220,645,4,45,40,45,510,340,10,10,50,20,250,655,0,35,100,65,455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,555,400,35,55,55,65,195,80,4,0,0,4,70,10,0,0,0,0,10,65,0,20,0,0,45,204,165,92,43,34,37,51,73,132,7,32,30,29,126,107,14,19,32,18,101,112,21,34,49,44,93,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,145,126,30,39,30,55,83,39,10,21,21,12,37,14,21,21,21,21,14,41,21,21,21,21,38
2011thru2015,050,05000US01007,"Bibb County, Alabama",01,007,2605,2020,890,30,155,190,95,420,660,80,25,170,55,330,240,0,40,15,25,160,230,0,0,45,40,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,585,570,45,115,165,75,175,15,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,293,287,256,36,92,96,78,172,174,109,28,87,40,122,92,21,53,18,25,65,90,21,21,39,50,86,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,162,160,46,75,89,51,83,30,21,21,21,21,30,21,21,21,21,21,21,21,21,21,21,21,21
2011thru2015,050,05000US01009,"Blount County, Alabama",01,009,8850,7520,2415,175,285,470,505,980,2935,205,125,330,365,1915,930,20,10,120,105,680,1240,0,15,85,45,1095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1325,1245,120,120,340,270,400,80,0,0,45,10,30,0,0,0,0,0,0,0,0,0,0,0,0,439,439,333,71,133,148,142,179,363,104,71,114,120,310,150,27,15,70,54,141,196,27,27,69,34,196,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,244,237,75,57,144,110,126,68,27,27,57,15,34,27,27,27,27,27,27,27,27,27,27,27,27
2011thru2015,050,05000US01011,"Bullock County, Alabama",01,011,865,575,105,4,4,0,10,85,160,0,10,30,4,110,40,0,4,0,10,25,270,15,0,40,25,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,260,15,10,30,40,170,20,0,0,0,0,20,0,0,0,0,0,0,10,0,0,10,0,0,161,145,48,10,8,18,12,50,99,18,18,35,9,83,35,18,10,18,17,25,126,27,18,37,34,120,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,100,88,23,20,26,32,78,48,18,18,18,18,48,18,18,18,18,18,18,14,18,18,14,18,18
2011thru2015,050,05000US01013,"Butler County, Alabama",01,013,2350,1805,595,30,60,125,70,310,435,15,35,25,15,340,310,0,15,0,40,260,465,10,35,75,10,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,535,440,20,80,100,85,160,70,0,0,4,10,55,20,0,0,0,0,20,0,0,0,0,0,0,211,186,106,27,40,56,38,75,103,19,33,24,20,89,101,21,17,21,44,89,102,15,32,51,21,85,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,15,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,15,21,21,21,15,21,110,98,18,55,50,53,52,45,21,21,11,14,41,35,21,21,21,21,35,21,21,21,21,21,21
2011thru2015,050,05000US01015,"Calhoun County, Alabama",01,015,16610,15210,4010,215,450,710,515,2125,4855,170,225,455,525,3480,2360,35,10,130,95,2090,3985,30,70,115,200,3565,10,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15,0,0,0,0,0,0,1375,1165,70,65,215,120,690,170,10,0,15,10,140,25,0,0,0,0,25,10,0,0,0,0,10,702,724,461,67,132,161,159,333,462,89,94,155,136,363,338,36,14,78,56,329,423,35,46,70,108,393,23,27,27,27,27,27,27,23,27,27,27,27,23,27,27,27,27,27,27,27,27,27,27,27,27,23,27,27,27,27,27,27,27,27,27,27,27,27,23,27,27,27,27,23,27,27,27,27,27,27,252,221,57,38,89,68,191,103,13,27,16,16,98,40,27,27,27,27,40,15,27,27,27,27,15
2011thru2015,050,05000US01017,"Chambers County, Alabama",01,017,4845,4120,1625,55,245,395,215,715,1240,30,65,85,125,935,450,20,20,20,10,380,805,40,20,35,45,660,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720,605,0,80,65,35,425,115,15,10,10,0,85,0,0,0,0,0,0,4,4,0,0,0,0,343,349,222,27,94,124,99,151,203,30,44,44,83,183,121,34,23,22,14,116,162,53,35,32,37,141,10,10,10,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,175,167,24,57,42,39,152,57,19,15,14,24,51,24,24,24,24,24,24,5,5,24,24,24,24
2011thru2015,050,05000US01019,"Cherokee County, Alabama",01,019,3980,3495,520,20,90,100,110,200,960,55,30,255,105,515,635,25,30,60,40,480,1380,35,55,125,110,1055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,485,440,80,15,70,40,230,40,0,0,0,0,40,0,0,0,0,0,0,4,0,0,0,0,4,333,287,142,23,80,67,78,74,207,45,26,130,71,127,155,32,35,83,49,139,264,31,54,61,89,244,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,160,157,64,29,53,43,104,39,21,21,21,21,39,21,21,21,21,21,21,17,21,21,21,21,17
