source,sumlevel,geoid,name,st,cnty,T9_est1,T9_est2,T9_est3,T9_est4,T9_est5,T9_est6,T9_est7,T9_est8,T9_est9,T9_est10,T9_est11,T9_est12,T9_est13,T9_est14,T9_est15,T9_est16,T9_est17,T9_est18,T9_est19,T9_est20,T9_est21,T9_est22,T9_est23,T9_est24,T9_est25,T9_est26,T9_est27,T9_est28,T9_est29,T9_est30,T9_est31,T9_est32,T9_est33,T9_est34,T9_est35,T9_est36,T9_est37,T9_est38,T9_est39,T9_est40,T9_est41,T9_est42,T9_est43,T9_est44,T9_est45,T9_est46,T9_est47,T9_est48,T9_est49,T9_est50,T9_est51,T9_est52,T9_est53,T9_est54,T9_est55,T9_est56,T9_est57,T9_est58,T9_est59,T9_est60,T9_est61,T9_est62,T9_est63,T9_est64,T9_est65,T9_est66,T9_est67,T9_est68,T9_est69,T9_est70,T9_est71,T9_est72,T9_est73,T9_moe1,T9_moe2,T9_moe3,T9_moe4,T9_moe5,T9_moe6,T9_moe7,T9_moe8,T9_moe9,T9_moe10,T9_moe11,T9_moe12,T9_moe13,T9_moe14,T9_moe15,T9_moe16,T9_moe17,T9_moe18,T9_moe19,T9_moe20,T9_moe21,T9_moe22,T9_moe23,T9_moe24,T9_moe25,T9_moe26,T9_moe27,T9_moe28,T9_moe29,T9_moe30,T9_moe31,T9_moe32,T9_moe33,T9_moe34,T9_moe35,T9_moe36,T9_moe37,T9_moe38,T9_moe39,T9_moe40,T9_moe41,T9_moe42,T9_moe43,T9_moe44,T9_moe45,T9_moe46,T9_moe47,T9_moe48,T9_moe49,T9_moe50,T9_moe51,T9_moe52,T9_moe53,T9_moe54,T9_moe55,T9_moe56,T9_moe57,T9_moe58,T9_moe59,T9_moe60,T9_moe61,T9_moe62,T9_moe63,T9_moe64,T9_moe65,T9_moe66,T9_moe67,T9_moe68,T9_moe69,T9_moe70,T9_moe71,T9_moe72,T9_moe73
2011thru2015,050,05000US01001,"Autauga County, Alabama",01,001,20395,15075,12525,10385,1215,900,25,2095,1240,500,350,4,50,20,30,0,0,70,25,40,0,0,0,0,0,0,0,190,185,0,10,0,150,115,30,0,0,5320,3575,1870,805,840,65,1470,705,300,460,4,90,20,0,70,0,15,15,0,0,0,10,10,0,0,0,90,85,4,4,0,70,4,15,55,0,413,483,426,465,239,238,28,248,196,214,105,17,53,26,47,27,27,49,34,53,27,27,27,27,27,27,27,51,51,27,15,27,83,77,40,27,27,520,429,363,309,241,60,267,194,142,198,14,104,34,27,88,27,24,24,27,27,27,16,16,27,27,27,83,78,3,18,27,78,12,24,75,27
2011thru2015,050,05000US01003,"Baldwin County, Alabama",01,003,74105,52995,48160,37600,5345,4625,590,2860,1940,590,310,20,215,105,85,25,0,410,370,10,25,0,0,0,0,0,0,895,765,80,50,0,455,275,55,85,40,21105,16360,9470,3605,3045,245,3005,1425,785,695,95,130,45,65,15,0,30,15,4,10,0,0,0,0,0,0,1100,730,175,195,0,480,140,200,105,35,1264,1049,915,1022,531,577,204,322,317,161,155,28,120,86,81,35,27,211,204,20,38,27,27,27,27,27,27,301,272,73,54,27,135,107,59,75,40,1200,1025,837,568,483,110,435,342,223,314,94,71,33,77,20,27,33,25,17,16,27,27,27,27,27,27,256,225,127,114,27,257,123,191,118,64
2011thru2015,050,05000US01005,"Barbour County, Alabama",01,005,9220,5865,3685,3200,320,165,0,1965,1340,340,235,50,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,135,85,30,20,0,55,55,0,0,0,3360,1015,660,130,205,25,2045,1090,295,570,90,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,180,80,35,4,65,90,45,10,35,0,272,265,207,216,84,62,21,165,140,73,67,47,21,21,21,21,21,36,36,21,21,21,21,21,21,21,21,52,45,35,38,21,43,43,21,21,21,271,136,123,59,71,28,217,177,108,144,57,38,38,21,21,21,21,21,21,21,21,21,21,21,21,21,105,74,49,10,72,63,46,14,44,21
2011thru2015,050,05000US01007,"Bibb County, Alabama",01,007,7025,5280,4485,3600,475,360,45,685,350,165,170,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,50,50,0,0,0,45,45,0,0,0,1750,1255,940,130,130,50,480,305,90,85,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,10,4,4,0,0,0,0,0,0,0,354,392,322,296,132,146,39,152,117,90,134,21,21,21,21,21,21,19,19,21,21,21,21,21,21,21,21,54,54,21,21,21,37,37,21,21,21,341,240,232,90,69,44,177,135,77,64,21,21,21,21,21,21,4,4,21,21,21,21,21,21,21,21,17,18,6,21,21,21,21,21,21,21
2011thru2015,050,05000US01009,"Blount County, Alabama",01,009,20815,16425,15485,12555,1670,975,290,85,60,25,0,0,35,15,20,0,0,50,50,0,0,0,0,0,0,0,0,610,450,90,30,40,160,135,25,0,0,4395,3600,2360,540,560,140,200,185,10,10,0,4,4,0,0,0,4,0,4,0,0,0,0,0,0,0,455,340,75,15,25,130,40,55,35,0,428,508,507,471,251,175,124,65,53,40,27,27,31,19,31,27,27,37,37,27,27,27,27,27,27,27,27,125,116,64,33,37,83,77,34,27,27,397,376,336,172,166,94,83,88,14,16,27,7,7,27,27,27,10,27,10,27,27,27,27,27,27,27,168,161,68,22,22,85,53,62,35,27
2011thru2015,050,05000US01011,"Bullock County, Alabama",01,011,3685,2610,845,630,110,90,15,1635,1160,205,210,60,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0,80,80,0,0,0,20,20,0,0,0,1075,125,105,15,0,0,950,500,95,300,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,251,126,125,98,65,29,240,230,89,76,71,18,18,18,18,18,41,41,18,18,18,18,18,18,18,18,80,80,18,18,18,32,32,18,18,18,226,81,69,35,18,18,222,158,61,147,64,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
2011thru2015,050,05000US01013,"Butler County, Alabama",01,013,8055,5645,3485,2890,310,250,40,2050,1380,380,255,35,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,50,50,0,0,0,50,35,4,10,0,2410,915,615,140,135,25,1405,650,485,210,65,35,20,10,0,0,4,4,0,0,0,0,0,0,0,0,20,0,0,20,0,35,20,4,10,0,253,236,164,168,75,72,26,156,162,106,85,27,21,21,21,21,21,9,21,21,9,21,21,21,21,21,21,38,38,21,21,21,27,20,7,22,21,215,133,121,65,44,22,188,140,128,85,44,30,26,19,21,21,21,21,21,21,21,21,21,21,21,21,37,21,21,37,21,28,21,7,22,21
2011thru2015,050,05000US01015,"Calhoun County, Alabama",01,015,45155,31180,25785,21560,2640,1485,100,4320,2970,655,645,45,70,50,20,0,0,80,70,0,15,0,4,0,0,0,4,565,475,65,4,20,350,260,50,40,0,13975,8035,4510,1580,1770,175,5025,2470,910,1495,145,130,85,0,25,20,30,4,0,30,0,0,0,0,0,0,575,355,60,160,0,180,80,65,35,0,644,633,591,588,389,281,59,265,220,179,162,33,53,47,35,27,27,51,41,27,26,27,14,27,27,27,14,131,122,58,15,25,101,99,45,36,27,663,507,461,281,301,111,342,312,202,233,79,95,83,27,32,35,35,2,27,34,27,27,27,27,27,27,132,87,63,90,27,89,47,59,28,27
2011thru2015,050,05000US01017,"Chambers County, Alabama",01,017,13785,9320,6380,5080,835,335,130,2835,1895,470,445,20,20,20,0,0,0,20,20,0,0,0,0,0,0,0,0,20,0,0,20,0,45,45,0,0,0,4470,1770,1080,310,305,80,2555,1165,720,610,65,90,75,15,0,0,0,0,0,0,0,0,0,0,0,0,35,35,0,0,0,20,20,0,0,0,409,400,306,296,175,131,86,250,228,141,127,27,17,17,24,24,24,31,31,24,24,24,24,24,24,24,24,35,24,24,35,24,44,44,24,24,24,389,236,201,112,104,41,311,244,163,180,44,34,44,23,24,24,24,24,24,24,24,24,24,24,24,24,34,34,24,24,24,30,30,24,24,24
2011thru2015,050,05000US01019,"Cherokee County, Alabama",01,019,11280,8760,8220,6210,990,920,100,360,185,85,95,0,25,4,25,0,0,55,50,0,4,4,4,0,4,0,0,45,0,30,15,0,45,25,20,0,0,2515,2225,1420,500,295,10,125,75,10,30,10,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,140,50,4,85,0,15,10,4,0,0,437,379,363,352,241,213,56,66,70,61,65,21,38,18,36,21,21,50,49,21,12,3,4,21,4,21,21,53,21,48,28,21,43,26,29,21,21,306,271,230,145,84,14,70,59,17,27,15,21,21,21,21,21,25,25,21,21,21,21,21,21,21,21,101,72,14,114,21,18,16,8,21,21
